,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
78017,121.0,121.0,121.0,121.0,87600,PPGL,2020-07-20,,,,,
102720,133.0,133.0,133.0,133.0,11200,PPGL,2020-07-21,,,,,
93663,146.0,146.0,146.0,146.0,96300,PPGL,2020-07-22,,,,,
8805,160.0,160.0,160.0,160.0,17100,PPGL,2020-07-23,,,,,
101098,176.0,172.0,176.0,161.0,41236800,PPGL,2020-07-24,,,,,
54928,172.0,181.0,184.0,169.0,55696700,PPGL,2020-07-27,,,,,
41753,180.0,180.0,189.0,179.0,43873200,PPGL,2020-07-28,,,,,
110951,180.0,188.0,188.0,178.0,22472800,PPGL,2020-07-29,,,,,160.125
80471,188.0,196.0,198.0,187.0,23883100,PPGL,2020-07-30,,,,,168.09722222222223
117537,197.0,192.0,198.0,191.0,17706500,PPGL,2020-08-03,,,,166.9,173.40895061728395
7168,192.0,200.0,206.0,192.0,40010400,PPGL,2020-08-04,,,,174.8,179.31807270233196
53284,200.0,200.0,218.0,198.0,45403500,PPGL,2020-08-05,,,,181.5,183.9140565462582
69773,200.0,199.0,208.0,199.0,14967700,PPGL,2020-08-06,,,,186.8,187.26648842486748
43389,199.0,199.0,208.0,199.0,15560200,PPGL,2020-08-07,,,,190.7,189.8739354415636
98618,199.0,198.0,204.0,198.0,14549800,PPGL,2020-08-10,,,,193.3,191.67972756566056
52467,198.0,192.0,216.0,191.0,59168900,PPGL,2020-08-11,,,,194.4,191.750899217736
119999,192.0,193.0,196.0,191.0,15650700,PPGL,2020-08-12,,,,195.7,192.02847716935023
62348,193.0,194.0,194.0,193.0,1771300,PPGL,2020-08-13,,,,196.3,192.46659335393906
87085,194.0,193.0,194.0,193.0,3884200,PPGL,2020-08-14,,,,196.0,192.58512816417482
60704,193.0,199.0,199.0,193.0,11973200,PPGL,2020-08-18,,,,196.7,194.01065523880263
88726,199.0,198.0,200.0,197.0,5599100,PPGL,2020-08-19,,,,196.5,194.89717629684648
10452,198.0,204.0,206.0,197.0,12017600,PPGL,2020-08-24,,,,196.9,196.92002600865837
129045,204.0,202.0,204.0,202.0,2250400,PPGL,2020-08-25,,,,197.2,198.0489091178454
103532,202.0,200.0,204.0,200.0,5255100,PPGL,2020-08-26,,,,197.3,198.4824848694353
3872,200.0,204.0,206.0,200.0,2800400,PPGL,2020-08-27,,,,197.9,199.70859934289413
78828,204.0,204.0,206.0,204.0,667600,PPGL,2020-08-28,,,,199.1,200.6622439333621
27752,204.0,202.0,204.0,202.0,588200,PPGL,2020-08-31,,,,200.0,200.95952305928165
35147,202.0,214.0,218.0,200.0,10945500,PPGL,2020-09-01,,,,202.0,203.85740682388573
39285,214.0,226.0,226.0,214.0,6145300,PPGL,2020-09-02,,,,205.3,208.77798308524444
68120,226.0,234.0,236.0,224.0,4946500,PPGL,2020-09-03,,,190.8,208.8,214.3828757329679
12928,234.0,240.0,242.0,228.0,5390500,PPGL,2020-09-04,,,194.76666666666668,213.0,220.0755700145306
26934,240.0,236.0,240.0,236.0,905400,PPGL,2020-09-07,,,198.2,216.2,223.6143322335238
107645,236.0,234.0,238.0,234.0,895300,PPGL,2020-09-08,,,201.13333333333333,219.4,225.92225840385186
