,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121653,149.0,146.0,149.0,146.0,200,PRAS,2020-07-01,,,,,
129074,146.0,146.0,146.0,146.0,0,PRAS,2020-07-02,,,,,
102748,136.0,136.0,136.0,136.0,5900,PRAS,2020-07-03,,,,,
85441,129.0,127.0,129.0,127.0,23900,PRAS,2020-07-06,,,,,
34339,120.0,119.0,120.0,119.0,191200,PRAS,2020-07-07,,,,,
48350,119.0,114.0,119.0,112.0,38700,PRAS,2020-07-08,,,,,
115077,114.0,114.0,114.0,114.0,17100,PRAS,2020-07-09,,,,,
23634,114.0,114.0,114.0,114.0,1200,PRAS,2020-07-10,,,,,127.0
15398,124.0,108.0,124.0,107.0,347300,PRAS,2020-07-13,,,,,122.77777777777777
31876,108.0,111.0,111.0,108.0,2200,PRAS,2020-07-14,,,,123.5,120.1604938271605
90379,111.0,111.0,111.0,111.0,2000,PRAS,2020-07-15,,,,120.0,118.12482853223594
21989,105.0,127.0,140.0,104.0,95500,PRAS,2020-07-16,,,,118.1,120.09708885840573
105185,137.0,119.0,137.0,119.0,13300,PRAS,2020-07-17,,,,116.4,119.85329133431557
78855,129.0,141.0,141.0,119.0,9100,PRAS,2020-07-20,,,,117.8,124.5525599266899
103558,151.0,137.0,151.0,132.0,3800,PRAS,2020-07-21,,,,119.6,127.31865772075881
94501,147.0,128.0,147.0,128.0,14300,PRAS,2020-07-22,,,,121.0,127.47006711614574
8809,120.0,120.0,128.0,120.0,164300,PRAS,2020-07-23,,,,121.6,125.8100522014467
101936,127.0,116.0,127.0,116.0,54900,PRAS,2020-07-24,,,,121.8,123.6300406011252
55766,109.0,108.0,120.0,108.0,33000,PRAS,2020-07-27,,,,121.8,120.1566982453196
41757,105.0,108.0,108.0,105.0,12100,PRAS,2020-07-28,,,,121.5,117.45520974635969
111789,105.0,124.0,130.0,105.0,62100,PRAS,2020-07-29,,,,122.8,118.90960758050198
81309,134.0,119.0,134.0,116.0,189500,PRAS,2020-07-30,,,,122.0,118.92969478483488
118375,119.0,118.0,119.0,111.0,16200,PRAS,2020-08-03,,,,121.9,118.72309594376046
7172,128.0,115.0,128.0,115.0,2100,PRAS,2020-08-04,,,,119.3,117.89574128959147
54122,115.0,109.0,115.0,109.0,8300,PRAS,2020-08-05,,,,116.5,115.91890989190448
70611,109.0,109.0,109.0,109.0,100,PRAS,2020-08-06,,,,114.6,114.38137436037015
44227,109.0,109.0,109.0,109.0,0,PRAS,2020-08-07,,,,113.5,113.185513391399
99456,103.0,104.0,104.0,103.0,300,PRAS,2020-08-10,,,,112.3,111.14428819331033
53305,104.0,122.0,125.0,104.0,12100,PRAS,2020-08-11,,,,113.7,113.55666859479692
120837,132.0,138.0,140.0,121.0,151100,PRAS,2020-08-12,,,120.56666666666666,116.7,118.98852001817538
63186,134.0,134.0,134.0,133.0,2800,PRAS,2020-08-13,,,120.16666666666667,117.7,122.32440445858084
87923,130.0,125.0,130.0,125.0,30400,PRAS,2020-08-14,,,119.46666666666667,118.3,122.91898124556288
61542,120.0,121.0,121.0,118.0,62800,PRAS,2020-08-18,,,118.96666666666667,118.6,122.49254096877112
89564,121.0,116.0,121.0,116.0,60100,PRAS,2020-08-19,,,118.6,118.7,121.04975408682199
10456,116.0,116.0,116.0,116.0,0,PRAS,2020-08-24,,,118.5,119.4,119.92758651197266
129883,122.0,122.0,122.0,122.0,362100,PRAS,2020-08-25,,,118.76666666666667,120.7,120.3881228426454
104370,122.0,125.0,148.0,118.0,7465300,PRAS,2020-08-26,,,119.13333333333334,122.3,121.41298443316865
3876,127.0,126.0,127.0,120.0,112600,PRAS,2020-08-27,,,119.53333333333333,124.5,122.43232122579784
79666,126.0,125.0,135.0,122.0,204700,PRAS,2020-08-28,,,120.1,124.8,123.00291650895387
27756,119.0,123.0,125.0,119.0,10200,PRAS,2020-08-31,,,120.5,123.3,123.00226839585301
35151,124.0,127.0,130.0,118.0,62600,PRAS,2020-09-01,,,121.03333333333333,122.6,123.89065319677457
39289,137.0,123.0,137.0,123.0,1500,PRAS,2020-09-02,,,120.9,122.4,123.692730264158
68958,133.0,121.0,133.0,121.0,700,PRAS,2020-09-03,,,120.96666666666667,122.4,123.09434576101178
12932,113.0,117.0,122.0,113.0,93500,PRAS,2020-09-04,,,120.16666666666667,122.5,121.74004670300916
26938,124.0,124.0,124.0,124.0,3000,PRAS,2020-09-07,,,119.73333333333333,123.3,122.2422585467849
108483,120.0,125.0,125.0,120.0,22700,PRAS,2020-09-08,,,119.63333333333334,123.6,122.8550899808327
122464,135.0,125.0,135.0,120.0,8200,PRAS,2020-09-09,,,119.8,123.6,123.33173665175877
7987,118.0,125.0,125.0,118.0,110300,PRAS,2020-09-10,,,120.1,123.5,123.70246184025683
