,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
579,4000.0,4140.0,4200.0,4000.0,195400,PRDA,2021-04-01,,,,,
1419,4140.0,4070.0,4140.0,4030.0,186400,PRDA,2021-04-05,,,,,
2259,4070.0,4140.0,4150.0,4070.0,65400,PRDA,2021-04-06,,,,,
3101,4140.0,4100.0,4140.0,4050.0,80000,PRDA,2021-04-07,,,,,
3943,4100.0,4130.0,4140.0,3990.0,374600,PRDA,2021-04-08,,,,,
4787,4180.0,4100.0,4310.0,4100.0,891900,PRDA,2021-04-09,,,,,
5630,4150.0,4100.0,4280.0,4080.0,536300,PRDA,2021-04-12,,,,,
6474,4150.0,4120.0,4190.0,4050.0,114700,PRDA,2021-04-13,,,,,4112.5
7319,4150.0,4170.0,4200.0,4130.0,109900,PRDA,2021-04-14,,,,,4125.277777777777
8164,4140.0,4180.0,4230.0,4130.0,218600,PRDA,2021-04-15,,,,4125.0,4137.438271604938
9008,4180.0,4170.0,4250.0,4160.0,1697200,PRDA,2021-04-16,,,,4128.0,4144.674211248285
9852,4000.0,3890.0,4080.0,3880.0,558700,PRDA,2021-04-19,,,,4110.0,4088.0799420819994
10696,3890.0,3920.0,3920.0,3880.0,181600,PRDA,2021-04-20,,,,4088.0,4050.7288438415553
11540,3920.0,3920.0,3960.0,3910.0,167300,PRDA,2021-04-21,,,,4070.0,4021.677989654543
12384,3960.0,3920.0,3960.0,3880.0,90200,PRDA,2021-04-22,,,,4049.0,3999.0828808424226
13228,3920.0,3880.0,3940.0,3860.0,266900,PRDA,2021-04-23,,,,4027.0,3972.6200184329955
14071,3890.0,3910.0,3920.0,3890.0,76500,PRDA,2021-04-26,,,,4008.0,3958.704458781219
14914,3900.0,3870.0,3910.0,3870.0,94000,PRDA,2021-04-27,,,,3983.0,3938.992356829837
15758,3890.0,3870.0,3960.0,3870.0,82600,PRDA,2021-04-28,,,,3953.0,3923.660721978762
16602,3870.0,3870.0,3890.0,3820.0,224000,PRDA,2021-04-29,,,,3922.0,3911.736117094593
17446,3850.0,3820.0,3880.0,3800.0,223400,PRDA,2021-04-30,,,,3887.0,3891.3503132957944
18289,3820.0,3830.0,3850.0,3770.0,199700,PRDA,2021-05-03,,,,3881.0,3877.7169103411734
19132,4070.0,4300.0,4590.0,4070.0,3632900,PRDA,2021-05-04,,,,3919.0,3971.557596932024
19976,4350.0,4350.0,4430.0,4310.0,567000,PRDA,2021-05-05,,,,3962.0,4055.6559087249075
