,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121656,6.0,6.0,6.0,5.0,5300,PRIM-W,2020-07-01,,,,,
129077,7.0,6.0,7.0,6.0,600,PRIM-W,2020-07-02,,,,,
102751,6.0,6.0,7.0,5.0,241100,PRIM-W,2020-07-03,,,,,
85444,6.0,6.0,6.0,5.0,203600,PRIM-W,2020-07-06,,,,,
34342,5.0,6.0,7.0,5.0,106400,PRIM-W,2020-07-07,,,,,
48353,5.0,6.0,6.0,5.0,253500,PRIM-W,2020-07-08,,,,,
115080,6.0,5.0,6.0,5.0,150000,PRIM-W,2020-07-09,,,,,
23637,6.0,6.0,6.0,5.0,768000,PRIM-W,2020-07-10,,,,,5.875
15401,6.0,6.0,7.0,5.0,901200,PRIM-W,2020-07-13,,,,,5.902777777777778
31879,5.0,5.0,5.0,5.0,60000,PRIM-W,2020-07-14,,,,5.8,5.702160493827161
90382,6.0,6.0,6.0,6.0,5400,PRIM-W,2020-07-15,,,,5.8,5.768347050754458
21992,6.0,7.0,7.0,5.0,543100,PRIM-W,2020-07-16,,,,5.9,6.042047706142356
105188,7.0,7.0,7.0,6.0,113100,PRIM-W,2020-07-17,,,,6.0,6.254925993666277
78858,7.0,7.0,7.0,5.0,213500,PRIM-W,2020-07-20,,,,6.1,6.420497995073771
103561,6.0,6.0,7.0,6.0,548800,PRIM-W,2020-07-21,,,,6.1,6.327053996168488
94504,7.0,7.0,7.0,6.0,593000,PRIM-W,2020-07-22,,,,6.2,6.476597552575491
8812,7.0,6.0,7.0,5.0,168600,PRIM-W,2020-07-23,,,,6.3,6.370686985336493
101939,6.0,6.0,7.0,5.0,63600,PRIM-W,2020-07-24,,,,6.3,6.288312099706162
55769,6.0,6.0,7.0,5.0,111000,PRIM-W,2020-07-27,,,,6.3,6.224242744215903
41760,6.0,6.0,6.0,5.0,335000,PRIM-W,2020-07-28,,,,6.4,6.174411023279036
111792,6.0,5.0,6.0,5.0,238300,PRIM-W,2020-07-29,,,,6.3,5.913430795883694
81312,5.0,5.0,5.0,5.0,76900,PRIM-W,2020-07-30,,,,6.1,5.710446174576206
118378,5.0,5.0,5.0,5.0,502600,PRIM-W,2020-08-03,,,,5.9,5.552569246892605
7175,5.0,5.0,5.0,5.0,9000,PRIM-W,2020-08-04,,,,5.7,5.42977608091647
54125,5.0,6.0,6.0,5.0,11200,PRIM-W,2020-08-05,,,,5.7,5.556492507379477
70614,6.0,6.0,6.0,6.0,225200,PRIM-W,2020-08-06,,,,5.6,5.655049727961815
44230,6.0,6.0,6.0,5.0,500,PRIM-W,2020-08-07,,,,5.6,5.731705343970301
99459,5.0,5.0,5.0,5.0,41300,PRIM-W,2020-08-10,,,,5.5,5.5691041564213455
53308,5.0,5.0,5.0,5.0,223500,PRIM-W,2020-08-11,,,,5.4,5.442636566105491
120840,6.0,5.0,6.0,5.0,2400,PRIM-W,2020-08-12,,,5.833333333333333,5.3,5.344272884748715
63189,5.0,5.0,6.0,4.0,30500,PRIM-W,2020-08-13,,,5.8,5.3,5.267767799249
87926,4.0,5.0,6.0,4.0,31000,PRIM-W,2020-08-14,,,5.766666666666667,5.3,5.208263843860333
61545,5.0,5.0,5.0,4.0,224300,PRIM-W,2020-08-18,,,5.733333333333333,5.3,5.1619829896691485
89567,4.0,5.0,6.0,4.0,136500,PRIM-W,2020-08-19,,,5.7,5.3,5.125986769742671
10459,6.0,6.0,6.0,4.0,63100,PRIM-W,2020-08-24,,,5.7,5.3,5.320211932022077
129886,5.0,5.0,6.0,4.0,653300,PRIM-W,2020-08-25,,,5.666666666666667,5.2,5.24905372490606
104373,4.0,5.0,5.0,4.0,1187900,PRIM-W,2020-08-26,,,5.666666666666667,5.1,5.193708452704713
3879,4.0,5.0,5.0,4.0,216700,PRIM-W,2020-08-27,,,5.633333333333334,5.1,5.150662129881443
79669,5.0,5.0,5.0,5.0,50300,PRIM-W,2020-08-28,,,5.6,5.1,5.117181656574456
27759,5.0,5.0,5.0,5.0,4100,PRIM-W,2020-08-31,,,5.6,5.1,5.091141288446799
35154,5.0,5.0,5.0,5.0,100,PRIM-W,2020-09-01,,,5.566666666666666,5.1,5.070887668791955
39292,5.0,5.0,5.0,4.0,940700,PRIM-W,2020-09-02,,,5.5,5.1,5.055134853504854
68961,4.0,5.0,5.0,4.0,335400,PRIM-W,2020-09-03,,,5.433333333333334,5.1,5.0428826638371085
12935,5.0,5.0,5.0,4.0,3400,PRIM-W,2020-09-04,,,5.366666666666666,5.1,5.033353182984418
