,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121662,2020.0,2090.0,2090.0,1995.0,82565200,PTBA,2020-07-01,,,,,
129083,2110.0,2070.0,2120.0,2060.0,80132800,PTBA,2020-07-02,,,,,
102757,2100.0,2050.0,2100.0,2050.0,31700400,PTBA,2020-07-03,,,,,
85450,2060.0,2070.0,2070.0,2040.0,33927100,PTBA,2020-07-06,,,,,
34348,2080.0,2050.0,2090.0,2050.0,30740100,PTBA,2020-07-07,,,,,
48359,2050.0,2080.0,2100.0,2040.0,57910300,PTBA,2020-07-08,,,,,
115086,2080.0,2100.0,2170.0,2060.0,129801200,PTBA,2020-07-09,,,,,
23643,2100.0,2070.0,2130.0,2060.0,53632400,PTBA,2020-07-10,,,,,2072.5
15407,2080.0,2170.0,2170.0,2070.0,142137400,PTBA,2020-07-13,,,,,2094.1666666666665
31885,2180.0,2140.0,2200.0,2140.0,111290100,PTBA,2020-07-14,,,,2089.0,2104.3518518518517
90388,2190.0,2150.0,2190.0,2130.0,51534200,PTBA,2020-07-15,,,,2095.0,2114.4958847736625
21998,2170.0,2120.0,2180.0,2120.0,31992300,PTBA,2020-07-16,,,,2100.0,2115.7190214906263
105194,2140.0,2140.0,2170.0,2110.0,59441700,PTBA,2020-07-17,,,,2109.0,2121.1147944927093
78864,2160.0,2080.0,2160.0,2080.0,44068400,PTBA,2020-07-20,,,,2110.0,2111.9781734943294
103567,2080.0,2110.0,2130.0,2080.0,29396200,PTBA,2020-07-21,,,,2116.0,2111.5385793844785
94510,2130.0,2080.0,2140.0,2080.0,31878600,PTBA,2020-07-22,,,,2116.0,2104.5300061879275
8818,2110.0,2110.0,2140.0,2090.0,32352000,PTBA,2020-07-23,,,,2117.0,2105.745560368388
101945,2100.0,2070.0,2120.0,2070.0,31699900,PTBA,2020-07-24,,,,2117.0,2097.802102508746
55775,2080.0,2080.0,2110.0,2070.0,23222200,PTBA,2020-07-27,,,,2108.0,2093.8460797290245
41766,2090.0,2080.0,2110.0,2050.0,30856500,PTBA,2020-07-28,,,,2102.0,2090.7691731225746
111798,2080.0,2070.0,2090.0,2050.0,14713800,PTBA,2020-07-29,,,,2094.0,2086.153801317558
81318,2080.0,2030.0,2090.0,2020.0,46692000,PTBA,2020-07-30,,,,2085.0,2073.6751788025454
