,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
588,2060.0,2060.0,2060.0,2060.0,0,PTDU,2021-04-01,,,,,
1428,2060.0,2060.0,2060.0,2060.0,0,PTDU,2021-04-05,,,,,
2268,2060.0,2060.0,2060.0,2060.0,0,PTDU,2021-04-06,,,,,
3110,2060.0,2060.0,2060.0,2060.0,0,PTDU,2021-04-07,,,,,
3952,2060.0,2060.0,2060.0,2060.0,0,PTDU,2021-04-08,,,,,
4796,2060.0,2060.0,2060.0,2060.0,0,PTDU,2021-04-09,,,,,
5639,2050.0,2100.0,2490.0,1920.0,1095600,PTDU,2021-04-12,,,,,
6483,2100.0,2100.0,2100.0,1955.0,347200,PTDU,2021-04-13,,,,,2070.0
7328,2100.0,1960.0,2150.0,1960.0,386200,PTDU,2021-04-14,,,,,2045.5555555555557
8173,1955.0,1990.0,1990.0,1825.0,207000,PTDU,2021-04-15,,,,2051.0,2033.20987654321
9017,1990.0,1995.0,2030.0,1985.0,787700,PTDU,2021-04-16,,,,2044.5,2024.7187928669412
9861,2000.0,1920.0,2050.0,1920.0,1107200,PTDU,2021-04-19,,,,2030.5,2001.4479500076209
10705,1970.0,1790.0,2010.0,1790.0,572600,PTDU,2021-04-20,,,,2003.5,1954.459516672594
11549,1780.0,1765.0,1780.0,1665.0,7600,PTDU,2021-04-21,,,,1974.0,1912.357401856462
12393,1645.0,1645.0,1645.0,1645.0,5400,PTDU,2021-04-22,,,,1932.5,1852.9446458883594
13237,1530.0,1645.0,1650.0,1530.0,96500,PTDU,2021-04-23,,,,1891.0,1806.734724579835
14080,1645.0,1605.0,1745.0,1530.0,8400,PTDU,2021-04-26,,,,1841.5,1761.9047857843161
14923,1495.0,1495.0,1565.0,1495.0,5300,PTDU,2021-04-27,,,,1781.0,1702.5926111655792
15767,1495.0,1525.0,1850.0,1495.0,161400,PTDU,2021-04-28,,,,1737.5,1663.1275864621173
16611,1525.0,1450.0,1660.0,1420.0,8100,PTDU,2021-04-29,,,,1683.5,1615.7659005816467
17455,1450.0,1500.0,1570.0,1400.0,8300,PTDU,2021-04-30,,,,1634.0,1590.0401448968364
18298,1500.0,1630.0,1800.0,1410.0,239200,PTDU,2021-05-03,,,,1605.0,1598.9201126975395
19141,1620.0,1650.0,1650.0,1550.0,15900,PTDU,2021-05-04,,,,1591.0,1610.2711987647529
19985,1655.0,1835.0,1845.0,1655.0,34800,PTDU,2021-05-05,,,,1598.0,1660.2109323725856
20829,1885.0,1900.0,1915.0,1835.0,11200,PTDU,2021-05-06,,,,1623.5,1713.4973918453443
21673,1995.0,1930.0,1995.0,1900.0,278600,PTDU,2021-05-07,,,,1652.0,1761.6090825463789
22516,1950.0,2000.0,2180.0,1930.0,522000,PTDU,2021-05-10,,,,1691.5,1814.584841980517
23359,2000.0,2070.0,2090.0,1960.0,507800,PTDU,2021-05-11,,,,1749.0,1871.3437659848466
24200,2040.0,2100.0,2100.0,1980.0,529900,PTDU,2021-05-17,,,,1806.5,1922.1562624326584
25040,2100.0,2140.0,2160.0,2100.0,1074100,PTDU,2021-05-18,,,1870.0,1875.5,1970.5659818920676
25880,2140.0,2210.0,2220.0,2140.0,1411300,PTDU,2021-05-19,,,1875.0,1946.5,2023.773541471608
26799,2150.0,2260.0,2300.0,2140.0,1945500,PTDU,2021-05-20,,,1881.6666666666667,2009.5,2076.268310033473
27604,2250.0,2340.0,2390.0,2250.0,2560400,PTDU,2021-05-21,,,1891.0,2078.5,2134.8753522482566
28446,2260.0,2380.0,2400.0,2260.0,4338900,PTDU,2021-05-24,,,1901.6666666666667,2133.0,2189.3474961930883
29288,2380.0,2420.0,2420.0,2380.0,4502700,PTDU,2021-05-25,,,1913.6666666666667,2185.0,2240.6036081501798
30079,2420.0,2450.0,2480.0,2410.0,4426900,PTDU,2021-05-27,,,1926.6666666666667,2237.0,2287.136139672362
30921,2450.0,2510.0,2560.0,2450.0,7761700,PTDU,2021-05-28,,,1940.3333333333333,2288.0,2336.6614419673924
31763,2510.0,2600.0,2600.0,2510.0,6768900,PTDU,2021-05-31,,,1957.0,2341.0,2395.181121530194
32605,2600.0,2670.0,2700.0,2600.0,7576100,PTDU,2021-06-02,,,1980.6666666666667,2398.0,2456.251983412373
33446,2670.0,2770.0,2780.0,2670.0,7782100,PTDU,2021-06-03,,,2006.6666666666667,2461.0,2525.9737648762903
34287,2770.0,2860.0,2880.0,2760.0,8002600,PTDU,2021-06-04,,,2035.5,2526.0,2600.2018171260033
35128,2860.0,2920.0,3000.0,2860.0,8481900,PTDU,2021-06-07,,,2068.8333333333335,2592.0,2671.2680799868913
35971,2930.0,2900.0,3000.0,2900.0,8302200,PTDU,2021-06-08,,,2105.8333333333335,2648.0,2722.09739554536
36814,2910.0,3280.0,3500.0,2900.0,6664600,PTDU,2021-06-09,,,2156.3333333333335,2738.0,2846.0757520908355
37659,3280.0,3410.0,3600.0,3280.0,6867800,PTDU,2021-06-10,,,2215.1666666666665,2837.0,2971.3922516262055
38506,3410.0,3510.0,3700.0,3400.0,7951400,PTDU,2021-06-11,,,2277.3333333333335,2943.0,3091.0828623759376
39353,3520.0,3580.0,3710.0,3520.0,7670500,PTDU,2021-06-14,,,2343.1666666666665,3050.0,3199.7311151812846
40200,3590.0,3650.0,3700.0,3580.0,7860900,PTDU,2021-06-15,,,2415.0,3155.0,3299.7908673632214
41047,3660.0,3660.0,3760.0,3640.0,7172300,PTDU,2021-06-16,,,2486.1666666666665,3254.0,3379.8373412825053
41894,3660.0,3720.0,3800.0,3660.0,7638300,PTDU,2021-06-17,,,2561.8333333333335,3349.0,3455.4290432197263
42741,3710.0,3770.0,3900.0,3710.0,7242600,PTDU,2021-06-18,,,2637.5,3440.0,3525.3337002820094
43588,3770.0,3800.0,3840.0,3720.0,2217000,PTDU,2021-06-21,,,2709.8333333333335,3528.0,3586.370655774896
44435,3800.0,3840.0,3890.0,3800.0,7145200,PTDU,2021-06-22,,,2782.8333333333335,3622.0,3642.7327322693636
45282,3850.0,3870.0,3900.0,3850.0,6656600,PTDU,2021-06-23,,,2850.6666666666665,3681.0,3693.2365695428384
46129,3870.0,3900.0,3940.0,3870.0,6443400,PTDU,2021-06-24,,,2917.3333333333335,3730.0,3739.1839985333186
46976,3910.0,3920.0,3960.0,3900.0,4074600,PTDU,2021-06-25,,,2983.6666666666665,3771.0,3779.3653321925813
47824,3920.0,3840.0,3970.0,3840.0,1872900,PTDU,2021-06-28,,,3045.0,3797.0,3792.8397028164522
48668,3840.0,3580.0,3840.0,3580.0,116600,PTDU,2021-06-29,,,3095.3333333333335,3790.0,3745.541991079463
49467,3330.0,3330.0,3330.0,3330.0,18700,PTDU,2021-06-30,,,3136.3333333333335,3757.0,3653.199326395138
50318,3100.0,3100.0,3100.0,3100.0,1590600,PTDU,2021-07-01,,,3168.3333333333335,3695.0,3530.266142751774
51169,2890.0,2890.0,2890.0,2890.0,24900,PTDU,2021-07-02,,,3191.0,3607.0,3387.9847776958245
52020,2690.0,2690.0,2690.0,2690.0,589800,PTDU,2021-07-05,,,3205.3333333333335,3496.0,3232.8770493189745
52872,2510.0,2510.0,2510.0,2510.0,332500,PTDU,2021-07-06,,,3211.0,3363.0,3072.237705025869
53701,2340.0,2340.0,2340.0,2340.0,721900,PTDU,2021-07-07,,,3209.6666666666665,3210.0,2909.5182150201204
54534,2180.0,2550.0,2920.0,2180.0,4305100,PTDU,2021-07-08,,,3214.0,3075.0,2829.6252783489826
55387,2560.0,2420.0,2600.0,2410.0,5150200,PTDU,2021-07-09,,,3213.0,2925.0,2738.5974387158753
56240,2430.0,2430.0,2500.0,2420.0,5993800,PTDU,2021-07-12,,,3210.3333333333335,2784.0,2670.0202301123477
57093,2440.0,2270.0,2460.0,2270.0,6829200,PTDU,2021-07-13,,,3199.3333333333335,2653.0,2581.126845642937
57946,2270.0,2120.0,2300.0,2120.0,6064300,PTDU,2021-07-14,,,3181.0,2532.0,2478.65421327784
58799,2130.0,2000.0,2200.0,1975.0,5621100,PTDU,2021-07-15,,,3155.3333333333335,2422.0,2372.286610327209
59652,2020.0,1860.0,2080.0,1860.0,2755800,PTDU,2021-07-16,,,3122.0,2319.0,2258.445141365607
60504,1870.0,1790.0,1890.0,1730.0,9330000,PTDU,2021-07-19,,,3084.3333333333335,2229.0,2154.3462210621387
61356,1790.0,1665.0,1790.0,1665.0,10808900,PTDU,2021-07-21,,,3043.1666666666665,2144.5,2045.6026163816634
62208,1665.0,1550.0,1665.0,1550.0,9925000,PTDU,2021-07-22,,,2985.5,2065.5,1935.4687016301827
63060,1500.0,1445.0,1500.0,1445.0,2136100,PTDU,2021-07-23,,,2920.0,1955.0,1826.4756568234754
63912,1420.0,1345.0,1420.0,1345.0,423400,PTDU,2021-07-26,,,2847.8333333333335,1847.5,1719.4810664182587
64764,1335.0,1255.0,1335.0,1255.0,329700,PTDU,2021-07-27,,,2770.3333333333335,1730.0,1616.2630516586457
65618,1170.0,1170.0,1220.0,1170.0,310000,PTDU,2021-07-28,,,2687.6666666666665,1620.0,1517.093484623391
66472,1120.0,1090.0,1120.0,1090.0,69500,PTDU,2021-07-29,,,2602.0,1517.0,1422.1838213737485
67326,1015.0,1015.0,1020.0,1015.0,31400,PTDU,2021-07-30,,,2511.8333333333335,1418.5,1331.6985277351378
68180,1000.0,970.0,1170.0,945.0,10804000,PTDU,2021-08-02,,,2418.5,1329.5,1251.3210771273293
69034,975.0,905.0,1015.0,905.0,836900,PTDU,2021-08-03,,,2322.0,1241.0,1174.3608377657006
69888,845.0,845.0,845.0,845.0,112900,PTDU,2021-08-04,,,2222.1666666666665,1159.0,1101.1695404844338
70742,795.0,790.0,795.0,790.0,128800,PTDU,2021-08-05,,,2119.5,1083.0,1032.0207537101153
71597,735.0,735.0,735.0,735.0,149300,PTDU,2021-08-06,,,2014.0,1012.0,966.0161417745342
72452,685.0,685.0,685.0,685.0,64300,PTDU,2021-08-09,,,1906.1666666666667,946.0,903.5681102690821
73307,640.0,640.0,640.0,640.0,81500,PTDU,2021-08-10,,,1799.5,884.5,844.997419098175
74162,600.0,600.0,600.0,600.0,87100,PTDU,2021-08-12,,,1700.1666666666667,827.5,790.5535481874695
75017,560.0,560.0,560.0,560.0,137300,PTDU,2021-08-13,,,1607.8333333333333,774.5,739.3194263680318
75872,525.0,525.0,525.0,525.0,43300,PTDU,2021-08-16,,,1522.0,725.5,691.6928871751359
76727,490.0,490.0,490.0,490.0,85800,PTDU,2021-08-18,,,1442.0,677.5,646.8722455806612
77582,456.0,456.0,456.0,456.0,131300,PTDU,2021-08-19,,,1367.5333333333333,632.6,604.4561910071809
78437,426.0,426.0,440.0,426.0,2923100,PTDU,2021-08-20,,,1298.0666666666666,590.7,564.7992596722518
79292,398.0,406.0,530.0,398.0,19820700,PTDU,2021-08-23,,,1233.6,552.3,529.5105353006403
80147,408.0,420.0,450.0,406.0,9656900,PTDU,2021-08-24,,,1162.6,520.8,505.1748607893869
81002,424.0,446.0,478.0,424.0,21494500,PTDU,2021-08-25,,,1096.8,496.9,492.0248917250787
81857,446.0,462.0,470.0,446.0,26054900,PTDU,2021-08-26,,,1031.2,479.1,485.3526935639501
82712,464.0,575.0,575.0,462.0,75653500,PTDU,2021-08-27,,,974.7,476.6,505.2743172164056
83567,600.0,715.0,715.0,595.0,192668200,PTDU,2021-08-30,,,927.8666666666667,492.1,551.8800245016488
84422,775.0,665.0,775.0,665.0,13489600,PTDU,2021-08-31,2018.71,,883.3666666666667,506.1,577.0177968346158
85278,620.0,620.0,620.0,620.0,857700,PTDU,2021-09-01,2004.31,,842.0333333333333,519.1,586.5693975380344
86134,580.0,580.0,580.0,580.0,1663700,PTDU,2021-09-02,1989.51,,801.7,531.5,585.1095314184712
86990,540.0,540.0,600.0,540.0,43648900,PTDU,2021-09-03,1974.31,,764.2,542.9,575.0851911032554
87850,505.0,505.0,550.0,505.0,20603100,PTDU,2021-09-06,1958.76,,729.3666666666667,552.8,559.5107041914208
88711,470.0,470.0,470.0,470.0,1307600,PTDU,2021-09-07,1942.86,,696.8666666666667,557.8,539.6194365933274
89574,438.0,438.0,438.0,438.0,3084000,PTDU,2021-09-08,1926.64,,666.6333333333333,557.0,517.0373395725879
90442,408.0,408.0,408.0,408.0,5008400,PTDU,2021-09-09,1909.72,,638.4,551.6,492.8068196675684
91310,380.0,380.0,438.0,380.0,148880200,PTDU,2021-09-10,1892.52,,612.0666666666667,532.1,467.7386375192199
92178,376.0,354.0,376.0,354.0,4651000,PTDU,2021-09-13,1876.46,,587.5333333333333,496.0,442.463384737171
93046,330.0,330.0,330.0,330.0,1795500,PTDU,2021-09-14,1859.86,,564.7,462.5,417.47152146224414
93914,308.0,390.0,390.0,308.0,90917900,PTDU,2021-09-15,1843.81,,545.3666666666667,439.5,411.36673891507877
94782,396.0,364.0,402.0,364.0,42129600,PTDU,2021-09-16,1828.25,,527.3333333333334,417.9,400.8407969339502
95650,364.0,340.0,364.0,340.0,13345200,PTDU,2021-09-17,1813.75,,510.5,397.9,387.3206198375168
96518,340.0,318.0,340.0,318.0,21203500,PTDU,2021-09-20,1799.28,,494.76666666666665,379.2,371.91603765140195
97386,320.0,330.0,352.0,306.0,25070000,PTDU,2021-09-21,1786.13,,481.26666666666665,365.2,362.60136261775705
98255,318.0,326.0,344.0,318.0,8287700,PTDU,2021-09-22,1772.94,,469.3,354.0,354.4677264804777
99124,326.0,304.0,330.0,304.0,14288500,PTDU,2021-09-23,1759.93,,458.1,343.6,343.25267615148266
99993,304.0,284.0,304.0,284.0,9205400,PTDU,2021-09-24,1747.82,,447.56666666666666,334.0,330.0854147844865
100861,266.0,266.0,284.0,266.0,5505600,PTDU,2021-09-27,1735.23,,437.76666666666665,325.2,315.84421149904506
101729,260.0,248.0,268.0,248.0,2777300,PTDU,2021-09-28,1723.21,,428.53333333333336,317.0,300.7677200548128
102597,232.0,232.0,250.0,232.0,25230500,PTDU,2021-09-29,1710.53,,419.93333333333334,301.2,285.4860044870766
103465,216.0,244.0,252.0,216.0,46828500,PTDU,2021-09-30,1696.67,,412.8666666666667,289.2,276.2668923788374
104332,236.0,232.0,248.0,230.0,26303600,PTDU,2021-10-01,1682.49,,406.4,278.4,266.42980518354017
105199,218.0,228.0,236.0,218.0,8024400,PTDU,2021-10-04,1666.42,,400.46666666666664,269.4,257.8898484760868
106066,214.0,230.0,260.0,214.0,53465700,PTDU,2021-10-05,1649.72,,394.1333333333333,259.4,251.69210437028974
106933,230.0,232.0,248.0,226.0,18320200,PTDU,2021-10-06,1632.74,,387.0,250.0,247.31608117689203
107800,234.0,230.0,238.0,224.0,17129600,PTDU,2021-10-07,1615.04,,379.26666666666665,242.6,243.46806313758267
108667,230.0,232.0,242.0,224.0,30191100,PTDU,2021-10-08,1596.66,,367.8333333333333,237.4,240.9196046625643
109533,232.0,230.0,246.0,228.0,50987600,PTDU,2021-10-11,1577.96,,351.6666666666667,233.8,238.49302584866112
110399,232.0,218.0,232.0,216.0,14874100,PTDU,2021-10-12,1558.74,,336.76666666666665,230.8,233.9390201045142
111265,220.0,204.0,224.0,204.0,10094600,PTDU,2021-10-13,1538.68,,322.9,228.0,227.2859045257333
112131,204.0,193.0,208.0,192.0,9951200,PTDU,2021-10-14,1518.01,,310.0,222.9,219.6668146311259
112997,193.0,194.0,198.0,188.0,7438200,PTDU,2021-10-15,1496.55,,298.46666666666664,219.1,213.96307804643126
113863,195.0,208.0,214.0,194.0,10006300,PTDU,2021-10-18,1474.83,,288.56666666666666,217.1,212.63794959166876
114729,210.0,204.0,216.0,204.0,8818300,PTDU,2021-10-19,1452.67,,279.7,214.5,210.7184052379646
115595,208.0,202.0,208.0,199.0,13790400,PTDU,2021-10-21,1430.19,,271.8333333333333,211.5,208.78098185175023
116460,202.0,197.0,204.0,196.0,14514800,PTDU,2021-10-22,1407.06,,264.8,208.2,206.16298588469462
117327,198.0,194.0,199.0,192.0,8713400,PTDU,2021-10-25,1383.0,,258.6,204.4,203.46010013254025
118195,194.0,193.0,206.0,193.0,31159700,PTDU,2021-10-26,1358.23,,253.23333333333332,200.7,201.1356334364202
119063,193.0,187.0,197.0,187.0,34824600,PTDU,2021-10-27,1332.4,,248.46666666666667,197.6,197.99438156166016
119931,190.0,175.0,190.0,174.0,21707800,PTDU,2021-10-28,1305.55,,241.3,194.7,192.88451899240235
120799,176.0,175.0,179.0,174.0,12804400,PTDU,2021-10-29,1278.1,,235.0,192.9,188.91018143853515
121667,175.0,177.0,179.0,174.0,29666400,PTDU,2021-11-01,1250.87,,229.56666666666666,191.2,186.263474452194
122534,178.0,178.0,187.0,174.0,43285500,PTDU,2021-11-02,1219.85,,224.9,188.2,184.42714679615088
123401,179.0,175.0,180.0,170.0,31207200,PTDU,2021-11-03,1187.5,,219.73333333333332,185.3,182.33222528589513
124268,175.0,173.0,177.0,171.0,35312600,PTDU,2021-11-04,1154.13,,214.63333333333333,182.4,180.2583974445851
125135,173.0,173.0,176.0,168.0,26660000,PTDU,2021-11-05,1120.06,,210.26666666666668,180.0,178.64542023467732
126002,174.0,167.0,174.0,167.0,36665600,PTDU,2021-11-08,1085.23,,206.36666666666667,177.3,176.05754907141568
126868,168.0,162.0,168.0,161.0,7721600,PTDU,2021-11-09,1050.25,,202.9,174.2,172.93364927776776
127734,162.0,161.0,165.0,158.0,4259500,PTDU,2021-11-10,1014.66,,200.0,171.6,170.2817272160416
128600,161.0,157.0,162.0,157.0,2863100,PTDU,2021-11-11,978.53,,197.5,169.8,167.33023227914344
129466,157.0,157.0,158.0,156.0,7239800,PTDU,2021-11-12,942.1,,194.6,168.0,165.03462510600045
130333,157.0,155.0,158.0,155.0,8039000,PTDU,2021-11-15,905.25,,192.03333333333333,165.8,162.80470841577812
