,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121664,885.0,880.0,895.0,855.0,27391100,PTPP,2020-07-01,,,,,
129085,885.0,980.0,980.0,885.0,274178300,PTPP,2020-07-02,,,,,
102759,990.0,955.0,1035.0,955.0,258425000,PTPP,2020-07-03,,,,,
85452,965.0,1020.0,1020.0,955.0,109021500,PTPP,2020-07-06,,,,,
34350,1035.0,990.0,1040.0,990.0,100462800,PTPP,2020-07-07,,,,,
48361,990.0,1005.0,1020.0,990.0,67541700,PTPP,2020-07-08,,,,,
115088,1015.0,995.0,1030.0,990.0,60174600,PTPP,2020-07-09,,,,,
23645,990.0,985.0,1005.0,980.0,32016700,PTPP,2020-07-10,,,,,976.25
15409,985.0,995.0,1005.0,980.0,19744700,PTPP,2020-07-13,,,,,980.4166666666666
31887,1000.0,980.0,1000.0,970.0,25018800,PTPP,2020-07-14,,,,978.5,980.324074074074
90390,990.0,990.0,1015.0,980.0,68027100,PTPP,2020-07-15,,,,989.5,982.4742798353909
22000,1010.0,995.0,1010.0,990.0,36778700,PTPP,2020-07-16,,,,991.0,985.257773205304
105196,1005.0,985.0,1005.0,985.0,19356400,PTPP,2020-07-17,,,,994.0,985.200490270792
78866,985.0,960.0,995.0,960.0,38788700,PTPP,2020-07-20,,,,988.0,979.6003813217271
103569,965.0,1000.0,1010.0,965.0,40732100,PTPP,2020-07-21,,,,989.0,984.1336299168988
94512,1005.0,985.0,1005.0,980.0,19653800,PTPP,2020-07-22,,,,987.0,984.3261566020324
8820,995.0,1070.0,1070.0,985.0,184230200,PTPP,2020-07-23,,,,994.5,1003.3647884682474
101947,1060.0,1045.0,1075.0,1040.0,72045900,PTPP,2020-07-24,,,,1000.5,1012.6170576975258
55777,1045.0,1000.0,1050.0,1000.0,58708100,PTPP,2020-07-27,,,,1001.0,1009.8132670980756
41768,1015.0,995.0,1025.0,985.0,51172700,PTPP,2020-07-28,,,,1002.5,1006.5214299651699
