,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121665,1060.0,1060.0,1070.0,1055.0,2161200,PTPW,2020-07-01,,,,,
129086,1055.0,1075.0,1075.0,1055.0,1936900,PTPW,2020-07-02,,,,,
102760,1075.0,1065.0,1090.0,1065.0,2929700,PTPW,2020-07-03,,,,,
85453,1060.0,1075.0,1075.0,1050.0,1873500,PTPW,2020-07-06,,,,,
34351,1080.0,1075.0,1090.0,1070.0,1721300,PTPW,2020-07-07,,,,,
48362,1075.0,1075.0,1085.0,1075.0,1484200,PTPW,2020-07-08,,,,,
115089,1075.0,1075.0,1085.0,1075.0,1516100,PTPW,2020-07-09,,,,,
23646,1075.0,1120.0,1140.0,1075.0,3725400,PTPW,2020-07-10,,,,,1077.5
15410,1120.0,1310.0,1310.0,1110.0,6899300,PTPW,2020-07-13,,,,,1129.1666666666667
31888,1310.0,1400.0,1440.0,1305.0,5959800,PTPW,2020-07-14,,,,1133.0,1189.351851851852
90391,1395.0,1490.0,1520.0,1385.0,3905700,PTPW,2020-07-15,,,,1176.0,1256.1625514403293
22001,1490.0,1495.0,1510.0,1485.0,1259700,PTPW,2020-07-16,,,,1218.0,1309.237540009145
105197,1495.0,1535.0,1565.0,1495.0,3866800,PTPW,2020-07-17,,,,1265.0,1359.4069755626683
78867,1535.0,1585.0,1585.0,1480.0,4549200,PTPW,2020-07-20,,,,1316.0,1409.5387587709643
103570,1585.0,1550.0,1600.0,1530.0,2514400,PTPW,2020-07-21,,,,1363.5,1440.7523679329722
94513,1550.0,1530.0,1570.0,1475.0,2401300,PTPW,2020-07-22,,,,1409.0,1460.5851750589784
8821,1520.0,1530.0,1560.0,1520.0,5572500,PTPW,2020-07-23,,,,1454.5,1476.0106917125388
101948,1530.0,1495.0,1530.0,1485.0,2850200,PTPW,2020-07-24,,,,1492.0,1480.2305379986412
55778,1495.0,1560.0,1565.0,1490.0,11091100,PTPW,2020-07-27,,,,1517.0,1497.9570851100543
41769,1560.0,1555.0,1575.0,1515.0,7847800,PTPW,2020-07-28,,,,1532.5,1510.6332884189312
111801,1555.0,1525.0,1585.0,1490.0,8916300,PTPW,2020-07-29,,,,1536.0,1513.825890992502
81321,1525.0,1585.0,1585.0,1520.0,7931100,PTPW,2020-07-30,,,,1545.0,1529.642359660835
118387,1585.0,1560.0,1585.0,1475.0,3644600,PTPW,2020-08-03,,,,1547.5,1536.3885019584272
7184,1560.0,1655.0,1680.0,1555.0,18257500,PTPW,2020-08-04,,,,1554.5,1562.7466126343322
54134,1655.0,1615.0,1685.0,1595.0,11261900,PTPW,2020-08-05,,,,1561.0,1574.3584764933696
70623,1610.0,1680.0,1680.0,1610.0,20860700,PTPW,2020-08-06,,,,1576.0,1597.834370605954
44239,1680.0,1640.0,1700.0,1630.0,8102400,PTPW,2020-08-07,,,,1587.0,1607.2045104712977
99468,1640.0,1645.0,1655.0,1620.0,4040000,PTPW,2020-08-10,,,,1602.0,1615.6035081443426
53317,1640.0,1710.0,1725.0,1625.0,15896800,PTPW,2020-08-11,,,,1617.0,1636.5805063344887
120849,1715.0,1625.0,1715.0,1610.0,4711400,PTPW,2020-08-12,,,1429.8333333333333,1624.0,1634.0070604823802
63198,1625.0,1635.0,1635.0,1515.0,12999800,PTPW,2020-08-13,,,1449.0,1635.0,1634.227713708518
87935,1635.0,1615.0,1655.0,1610.0,3001700,PTPW,2020-08-14,,,1467.0,1638.0,1629.9548884399585
61554,1615.0,1585.0,1615.0,1585.0,3321800,PTPW,2020-08-18,,,1484.3333333333333,1640.5,1619.9649132310788
89576,1585.0,1525.0,1585.0,1525.0,3518700,PTPW,2020-08-19,,,1499.3333333333333,1627.5,1598.8615991797278
10468,1525.0,1555.0,1560.0,1520.0,5202400,PTPW,2020-08-24,,,1515.3333333333333,1621.5,1589.1145771397883
129895,1555.0,1580.0,1580.0,1550.0,4852200,PTPW,2020-08-25,,,1532.1666666666667,1611.5,1587.0891155531685
104382,1580.0,1625.0,1625.0,1570.0,5944400,PTPW,2020-08-26,,,1550.5,1610.0,1595.5137565413534
3888,1625.0,1620.0,1640.0,1615.0,4049600,PTPW,2020-08-27,,,1567.1666666666667,1607.5,1600.9551439766083
79678,1610.0,1510.0,1615.0,1510.0,1386800,PTPW,2020-08-28,,,1573.8333333333333,1587.5,1580.7428897595842
27768,1500.0,1405.0,1500.0,1405.0,134700,PTPW,2020-08-31,,,1574.0,1565.5,1541.6889142574544
35163,1385.0,1310.0,1385.0,1310.0,5864400,PTPW,2020-09-01,,,1568.0,1533.0,1490.2024888669089
39301,1290.0,1250.0,1400.0,1220.0,222700,PTPW,2020-09-02,,,1559.8333333333333,1496.5,1436.8241580075958
68970,1255.0,1260.0,1320.0,1225.0,2269300,PTPW,2020-09-03,,,1550.6666666666667,1464.0,1397.5299006725745
12944,1250.0,1175.0,1250.0,1175.0,1631400,PTPW,2020-09-04,,,1537.0,1429.0,1348.0788116342246
26950,1110.0,1195.0,1200.0,1095.0,2783700,PTPW,2020-09-07,,,1525.1666666666667,1393.0,1314.0612979377302
108495,1195.0,1210.0,1225.0,1185.0,1532800,PTPW,2020-09-08,,,1514.5,1356.0,1290.936565062679
122476,1185.0,1175.0,1185.0,1170.0,1122200,PTPW,2020-09-09,,,1502.6666666666667,1311.0,1265.1728839376392
7999,1160.0,1100.0,1160.0,1095.0,1042600,PTPW,2020-09-10,,,1489.5,1259.0,1228.467798618164
17876,1050.0,1155.0,1175.0,1035.0,2962800,PTPW,2020-09-11,,,1476.0,1223.5,1212.141621147461
45058,1150.0,1175.0,1185.0,1140.0,2034200,PTPW,2020-09-14,,,1463.3333333333333,1200.5,1203.8879275591362
66499,1175.0,1165.0,1180.0,1165.0,1566600,PTPW,2020-09-15,,,1451.3333333333333,1186.0,1195.2461658793281
1413,1165.0,1145.0,1165.0,1145.0,1579600,PTPW,2020-09-16,,,1436.6666666666667,1175.5,1184.0803512394775
56597,1140.0,1155.0,1160.0,1140.0,1218500,PTPW,2020-09-17,,,1423.1666666666667,1165.0,1177.618050964038
62377,1155.0,1180.0,1180.0,1150.0,1719200,PTPW,2020-09-18,,,1407.3333333333333,1165.5,1178.1473729720296
72269,1180.0,1195.0,1245.0,1180.0,3568500,PTPW,2020-09-21,,,1393.3333333333333,1165.5,1181.8924012004675
100291,1195.0,1165.0,1195.0,1165.0,2085800,PTPW,2020-09-22,,,1376.1666666666667,1161.0,1178.1385342670303
77221,1165.0,1175.0,1200.0,1165.0,993800,PTPW,2020-09-23,,,1360.6666666666667,1161.0,1177.4410822076902
