,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
592,1940.0,1930.0,1980.0,1905.0,2096500,PTRO,2021-04-01,,,,,
1432,1930.0,1955.0,1975.0,1930.0,1066900,PTRO,2021-04-05,,,,,
2272,1980.0,1960.0,1995.0,1955.0,830400,PTRO,2021-04-06,,,,,
3114,1965.0,1980.0,1985.0,1960.0,834900,PTRO,2021-04-07,,,,,
3956,1980.0,1990.0,2020.0,1980.0,865800,PTRO,2021-04-08,,,,,
4800,2000.0,2070.0,2140.0,2000.0,4497000,PTRO,2021-04-09,,,,,
5643,2080.0,2020.0,2100.0,1930.0,2586300,PTRO,2021-04-12,,,,,
6487,2020.0,2010.0,2020.0,1965.0,1373000,PTRO,2021-04-13,,,,,1989.375
7332,2010.0,2020.0,2030.0,1995.0,774900,PTRO,2021-04-14,,,,,1996.1805555555557
8177,2040.0,2030.0,2080.0,2000.0,695800,PTRO,2021-04-15,,,,1996.5,2003.695987654321
9021,2040.0,2010.0,2040.0,2000.0,447700,PTRO,2021-04-16,,,,2004.5,2005.096879286694
9865,2020.0,2030.0,2050.0,2010.0,639400,PTRO,2021-04-19,,,,2012.0,2010.6309061118732
10709,2040.0,2030.0,2050.0,2020.0,615500,PTRO,2021-04-20,,,,2019.0,2014.9351491981236
11553,2030.0,2030.0,2040.0,2010.0,572500,PTRO,2021-04-21,,,,2024.0,2018.2828938207629
12397,2040.0,2030.0,2050.0,2010.0,423400,PTRO,2021-04-22,,,,2028.0,2020.8866951939267
13241,2040.0,2030.0,2040.0,2020.0,330200,PTRO,2021-04-23,,,,2024.0,2022.9118740397207
14084,2050.0,2060.0,2090.0,2030.0,927400,PTRO,2021-04-26,,,,2028.0,2031.1536798086718
14927,2060.0,2160.0,2160.0,2060.0,3447800,PTRO,2021-04-27,,,,2043.0,2059.786195406745
15771,2180.0,2180.0,2180.0,2110.0,2134700,PTRO,2021-04-28,,,,2059.0,2086.500374205246
16615,2180.0,2290.0,2290.0,2160.0,2884000,PTRO,2021-04-29,,,,2085.0,2131.7225132707467
17459,2290.0,2270.0,2310.0,2130.0,4700100,PTRO,2021-04-30,,,,2111.0,2162.4508436550254
18302,2270.0,2180.0,2280.0,2170.0,1862100,PTRO,2021-05-03,,,,2126.0,2166.350656176131
19145,2180.0,2150.0,2240.0,2130.0,1775700,PTRO,2021-05-04,,,,2138.0,2162.7171770258797
19989,2160.0,2200.0,2210.0,2140.0,1335900,PTRO,2021-05-05,,,,2155.0,2171.0022487979063
20833,2190.0,2240.0,2240.0,2190.0,1936700,PTRO,2021-05-06,,,,2176.0,2186.3350823983715
21677,2240.0,2270.0,2280.0,2240.0,2242200,PTRO,2021-05-07,,,,2200.0,2204.9272863098445
22520,2270.0,2270.0,2300.0,2240.0,3250200,PTRO,2021-05-10,,,,2221.0,2219.3878893521014
23363,2250.0,2140.0,2250.0,2120.0,1997900,PTRO,2021-05-11,,,,2219.0,2201.7461361627456
24204,2140.0,2040.0,2150.0,2010.0,1818200,PTRO,2021-05-17,,,,2205.0,2165.802550348802
25044,2030.0,2070.0,2070.0,2000.0,911400,PTRO,2021-05-18,,,2088.1666666666665,2183.0,2144.513094715735
25884,2070.0,2020.0,2080.0,2010.0,511700,PTRO,2021-05-19,,,2091.1666666666665,2158.0,2116.843518112238
26803,2000.0,1975.0,2030.0,1975.0,1432700,PTRO,2021-05-20,,,2091.8333333333335,2137.5,2085.3227363095184
27608,1975.0,1990.0,2010.0,1950.0,1049100,PTRO,2021-05-21,,,2092.8333333333335,2121.5,2064.1399060185145
28450,2000.0,1960.0,2010.0,1950.0,919000,PTRO,2021-05-24,,,2092.1666666666665,2097.5,2040.9977046810668
29292,1950.0,1980.0,1995.0,1950.0,543400,PTRO,2021-05-25,,,2091.8333333333335,2071.5,2027.4426591963852
30083,1985.0,2010.0,2040.0,1980.0,934300,PTRO,2021-05-27,,,2089.8333333333335,2045.5,2023.5665127082996
30925,2020.0,1990.0,2030.0,1965.0,550300,PTRO,2021-05-28,,,2088.8333333333335,2017.5,2016.1072876620108
31767,2020.0,1990.0,2020.0,1975.0,540100,PTRO,2021-05-31,,,2088.1666666666665,2002.5,2010.305668181564
32609,2000.0,2090.0,2100.0,1990.0,1168400,PTRO,2021-06-02,,,2090.5,2007.5,2028.015519696772
33450,2090.0,2030.0,2110.0,2010.0,776100,PTRO,2021-06-03,,,2090.5,2003.5,2028.4565153197116
34291,2040.0,2000.0,2060.0,1995.0,723500,PTRO,2021-06-04,,,2090.1666666666665,2001.5,2022.1328452486646
35132,2000.0,1985.0,2040.0,1980.0,754000,PTRO,2021-06-07,,,2088.6666666666665,2002.5,2013.8811018600725
35975,1985.0,1975.0,2010.0,1975.0,707600,PTRO,2021-06-08,,,2086.8333333333335,2001.0,2005.2408570022785
36818,1980.0,1980.0,1995.0,1965.0,536800,PTRO,2021-06-09,,,2085.1666666666665,2003.0,1999.6317776684389
37663,1980.0,1975.0,1990.0,1965.0,667000,PTRO,2021-06-10,,,2083.3333333333335,2002.5,1994.1580492976748
38510,1985.0,2000.0,2050.0,1975.0,1088200,PTRO,2021-06-11,,,2082.3333333333335,2001.5,1995.4562605648582
39357,2000.0,1995.0,2020.0,1975.0,414100,PTRO,2021-06-14,,,2080.1666666666665,2002.0,1995.354869328223
40204,1995.0,1975.0,1995.0,1965.0,602600,PTRO,2021-06-15,,,2074.0,2000.5,1990.8315650330624
