,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
601,540.0,540.0,550.0,530.0,35030200,PWON,2021-04-01,,,,,
1441,540.0,535.0,545.0,530.0,18633100,PWON,2021-04-05,,,,,
2281,535.0,545.0,550.0,525.0,33794500,PWON,2021-04-06,,,,,
3123,540.0,545.0,550.0,535.0,44532500,PWON,2021-04-07,,,,,
3965,545.0,540.0,555.0,535.0,39330500,PWON,2021-04-08,,,,,
4808,545.0,535.0,545.0,535.0,27075800,PWON,2021-04-09,,,,,
5651,540.0,498.0,540.0,498.0,116431200,PWON,2021-04-12,,,,,
6495,492.0,494.0,500.0,484.0,124107800,PWON,2021-04-13,,,,,529.0
7340,496.0,515.0,520.0,496.0,54719900,PWON,2021-04-14,,,,,525.8888888888889
8185,520.0,510.0,520.0,505.0,24747100,PWON,2021-04-15,,,,525.7,522.3580246913581
9029,510.0,505.0,515.0,500.0,46391300,PWON,2021-04-16,,,,522.2,518.5006858710562
9873,505.0,505.0,510.0,500.0,35856400,PWON,2021-04-19,,,,519.2,515.500533455266
10717,510.0,510.0,515.0,500.0,54036900,PWON,2021-04-20,,,,515.7,514.2781926874292
11561,505.0,505.0,510.0,500.0,20074200,PWON,2021-04-21,,,,511.7,512.2163720902226
12405,510.0,505.0,515.0,500.0,32488100,PWON,2021-04-22,,,,508.2,510.61273384795095
13249,505.0,515.0,520.0,500.0,50961200,PWON,2021-04-23,,,,506.2,511.5876818817396
14092,525.0,525.0,530.0,515.0,53181900,PWON,2021-04-26,,,,508.9,514.5681970191308
14935,525.0,535.0,540.0,515.0,61999400,PWON,2021-04-27,,,,513.0,519.1085976815461
15779,535.0,540.0,540.0,525.0,32836400,PWON,2021-04-28,,,,515.5,523.7511315300915
16623,540.0,535.0,545.0,530.0,8102100,PWON,2021-04-29,,,,518.0,526.25088007896
17467,535.0,530.0,540.0,520.0,17169600,PWON,2021-04-30,,,,520.5,527.0840178391911
18310,530.0,540.0,540.0,525.0,22850700,PWON,2021-05-03,,,,524.0,529.9542360971486
19153,540.0,535.0,540.0,530.0,15522800,PWON,2021-05-04,,,,526.5,531.075516964449
19997,535.0,520.0,535.0,520.0,22569100,PWON,2021-05-05,,,,528.0,528.6142909723492
20841,520.0,505.0,525.0,505.0,58343700,PWON,2021-05-06,,,,528.0,523.3666707562716
21685,510.0,510.0,515.0,505.0,13710700,PWON,2021-05-07,,,,527.5,520.3962994771001
22528,515.0,520.0,525.0,510.0,23057700,PWON,2021-05-10,,,,527.0,520.3082329266334
23371,520.0,520.0,525.0,510.0,22483900,PWON,2021-05-11,,,,525.5,520.2397367207149
24212,520.0,500.0,525.0,496.0,51189100,PWON,2021-05-17,,,,521.5,515.7420174494449
25052,500.0,510.0,510.0,496.0,28168800,PWON,2021-05-18,,,520.9,519.0,514.4660135717905
25892,505.0,498.0,510.0,498.0,28577700,PWON,2021-05-19,,,519.5,515.8,510.80689944472596
26811,498.0,505.0,510.0,498.0,37934100,PWON,2021-05-20,,,518.5,512.3,509.51647734589795
27616,510.0,505.0,510.0,498.0,29072300,PWON,2021-05-21,,,517.1666666666666,509.3,508.5128157134762
28458,505.0,505.0,510.0,500.0,38187600,PWON,2021-05-24,,,515.8333333333334,507.8,507.73218999937035
29300,510.0,510.0,515.0,500.0,38174300,PWON,2021-05-25,,,514.8333333333334,508.3,508.23614777728807
30091,505.0,500.0,515.0,500.0,50375900,PWON,2021-05-27,,,513.6666666666666,507.3,506.4058927156685
30933,500.0,498.0,505.0,496.0,36577800,PWON,2021-05-28,,,513.6666666666666,505.1,504.53791655663105
31775,500.0,500.0,505.0,498.0,27039900,PWON,2021-05-31,,,513.8666666666667,503.1,503.5294906551575
32617,500.0,510.0,510.0,500.0,29948700,PWON,2021-06-02,,,513.7,504.1,504.96738162067805
33458,510.0,500.0,510.0,498.0,84558900,PWON,2021-06-03,,,513.3666666666667,503.1,503.8635190383051
34299,505.0,496.0,505.0,496.0,49356900,PWON,2021-06-04,,,513.0666666666667,502.9,502.1160703631262
35140,498.0,490.0,500.0,490.0,44277900,PWON,2021-06-07,,,512.5666666666667,501.4,499.42361028243147
35983,492.0,480.0,496.0,480.0,56265100,PWON,2021-06-08,,,511.56666666666666,498.9,495.10725244189115
36826,480.0,470.0,486.0,468.0,133375800,PWON,2021-06-09,,,510.4,495.4,489.5278630103598
37671,472.0,472.0,478.0,468.0,65685900,PWON,2021-06-10,,,509.3,491.6,485.63278234139096
38518,476.0,476.0,478.0,472.0,64582500,PWON,2021-06-11,,,508.0,489.2,483.49216404330406
39365,478.0,474.0,488.0,470.0,114763100,PWON,2021-06-14,,,506.3,486.8,481.38279425590315
40212,474.0,462.0,476.0,460.0,64257000,PWON,2021-06-15,,,503.8666666666667,483.0,477.07550664348025
41059,462.0,462.0,468.0,456.0,28257700,PWON,2021-06-16,,,501.26666666666665,478.2,473.7253940560402
41906,462.0,456.0,462.0,452.0,47101900,PWON,2021-06-17,,,498.6333333333333,473.8,469.7864175991424
42753,456.0,446.0,456.0,436.0,99053400,PWON,2021-06-18,,,495.8333333333333,468.8,464.5005470215552
43600,440.0,434.0,440.0,428.0,97828900,PWON,2021-06-21,,,492.3,463.2,457.72264768343183
44447,440.0,438.0,452.0,438.0,73365700,PWON,2021-06-22,,,489.06666666666666,459.0,453.33983708711366
45294,440.0,432.0,446.0,432.0,41285500,PWON,2021-06-23,,,486.1333333333333,455.2,448.59765106775507
46141,438.0,452.0,458.0,434.0,85927700,PWON,2021-06-24,,,484.3666666666667,453.2,449.35372860825396
46988,454.0,458.0,460.0,452.0,52901200,PWON,2021-06-25,,,482.6333333333333,451.4,451.2751222508642
47836,458.0,450.0,460.0,446.0,50096800,PWON,2021-06-28,,,480.3,449.0,450.99176175067214
48680,450.0,450.0,452.0,430.0,61186100,PWON,2021-06-29,,,477.96666666666664,447.8,450.77137025052275
49479,450.0,440.0,452.0,438.0,49332500,PWON,2021-06-30,,,475.96666666666664,445.6,448.3777324170733
