,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
604,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-01,,,,,
1444,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-05,,,,,
2284,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-06,,,,,
3126,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-07,,,,,
3968,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-08,,,,,
4811,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-09,,,,,
5654,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-12,,,,,
6498,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-13,,,,,28600.0
7343,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-14,,,,,28600.0
8188,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-15,,,,28600.0,28600.0
9032,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-16,,,,28600.0,28600.0
9876,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-19,,,,28600.0,28600.0
10720,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-20,,,,28600.0,28600.0
11564,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-21,,,,28600.0,28600.0
12408,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-22,,,,28600.0,28600.0
13252,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-23,,,,28600.0,28600.0
14095,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-26,,,,28600.0,28600.0
14938,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-27,,,,28600.0,28600.0
15782,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-28,,,,28600.0,28600.0
16626,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-29,,,,28600.0,28600.0
17470,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-04-30,,,,28600.0,28600.0
18313,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-03,,,,28600.0,28600.0
19156,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-04,,,,28600.0,28600.0
20000,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-05,,,,28600.0,28600.0
20844,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-06,,,,28600.0,28600.0
21688,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-07,,,,28600.0,28600.0
22531,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-10,,,,28600.0,28600.0
23374,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-11,,,,28600.0,28600.0
24215,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-17,,,,28600.0,28600.0
25055,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-18,,,28600.0,28600.0,28600.0
25895,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-19,,,28600.0,28600.0,28600.0
27619,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-21,,,28600.0,28600.0,28600.0
28461,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-24,,,28600.0,28600.0,28600.0
30094,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-27,,,28600.0,28600.0,28600.0
30936,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-28,,,28600.0,28600.0,28600.0
31778,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-05-31,,,28600.0,28600.0,28600.0
32620,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-02,,,28600.0,28600.0,28600.0
33461,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-03,,,28600.0,28600.0,28600.0
34302,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-04,,,28600.0,28600.0,28600.0
35143,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-07,,,28600.0,28600.0,28600.0
35986,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-08,,,28600.0,28600.0,28600.0
36829,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-09,,,28600.0,28600.0,28600.0
37674,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-10,,,28600.0,28600.0,28600.0
38521,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-11,,,28600.0,28600.0,28600.0
39368,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-14,,,28600.0,28600.0,28600.0
40215,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-15,,,28600.0,28600.0,28600.0
41062,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-16,,,28600.0,28600.0,28600.0
41909,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-17,,,28600.0,28600.0,28600.0
42756,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-18,,,28600.0,28600.0,28600.0
43603,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-21,,,28600.0,28600.0,28600.0
44450,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-22,,,28600.0,28600.0,28600.0
45297,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-23,,,28600.0,28600.0,28600.0
46144,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-24,,,28600.0,28600.0,28600.0
46991,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-25,,,28600.0,28600.0,28600.0
47839,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-28,,,28600.0,28600.0,28600.0
49482,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-06-30,,,28600.0,28600.0,28600.0
50333,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-01,,,28600.0,28600.0,28600.0
51184,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-02,,,28600.0,28600.0,28600.0
52035,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-05,,,28600.0,28600.0,28600.0
52887,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-06,,,28600.0,28600.0,28600.0
54549,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-08,,,28600.0,28600.0,28600.0
55402,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-09,,,28600.0,28600.0,28600.0
56255,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-12,,,28600.0,28600.0,28600.0
57108,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-13,,,28600.0,28600.0,28600.0
57961,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-14,,,28600.0,28600.0,28600.0
58814,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-15,,,28600.0,28600.0,28600.0
59667,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-16,,,28600.0,28600.0,28600.0
60519,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-19,,,28600.0,28600.0,28600.0
61371,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-21,,,28600.0,28600.0,28600.0
62223,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-22,,,28600.0,28600.0,28600.0
63075,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-23,,,28600.0,28600.0,28600.0
63927,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-26,,,28600.0,28600.0,28600.0
64779,28600.0,28600.0,28600.0,28600.0,0,R-ABFII,2021-07-27,,,28600.0,28600.0,28600.0
