,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126685,386.0,398.0,400.0,374.0,825400,RANC,2020-07-01,,,,,
134106,398.0,408.0,468.0,382.0,1624100,RANC,2020-07-02,,,,,
107780,408.0,408.0,430.0,408.0,286400,RANC,2020-07-03,,,,,
89639,408.0,418.0,440.0,408.0,532700,RANC,2020-07-06,,,,,
34367,422.0,428.0,470.0,408.0,490700,RANC,2020-07-07,,,,,
51714,428.0,424.0,440.0,414.0,131300,RANC,2020-07-08,,,,,
120109,424.0,420.0,424.0,408.0,261500,RANC,2020-07-09,,,,,
23662,420.0,416.0,420.0,408.0,432300,RANC,2020-07-10,,,,,415.0
15426,432.0,420.0,432.0,408.0,98300,RANC,2020-07-13,,,,,416.1111111111111
31904,410.0,404.0,424.0,402.0,224200,RANC,2020-07-14,,,,414.4,413.41975308641975
95411,424.0,410.0,424.0,402.0,435300,RANC,2020-07-15,,,,415.6,412.65980795610426
22017,410.0,410.0,418.0,408.0,192700,RANC,2020-07-16,,,,415.8,412.06873952141444
110217,418.0,410.0,418.0,404.0,209400,RANC,2020-07-17,,,,416.0,411.60901962776677
83053,412.0,410.0,412.0,410.0,498000,RANC,2020-07-20,,,,415.2,411.2514597104853
108590,414.0,410.0,414.0,410.0,79300,RANC,2020-07-21,,,,413.4,410.9733575525997
99533,414.0,408.0,414.0,402.0,6400,RANC,2020-07-22,,,,411.8,410.31261142979974
8837,414.0,408.0,414.0,406.0,1144300,RANC,2020-07-23,,,,410.6,409.7986977787331
106968,410.0,428.0,440.0,410.0,1980700,RANC,2020-07-24,,,,411.8,413.8434316056813
59964,434.0,438.0,452.0,434.0,1441400,RANC,2020-07-27,,,,413.6,419.2115579155299
43453,444.0,438.0,450.0,436.0,1033300,RANC,2020-07-28,,,,417.0,423.38676726763435
116821,440.0,442.0,448.0,438.0,1628300,RANC,2020-07-29,,,,420.2,427.52304120816007
85507,446.0,456.0,488.0,446.0,2824900,RANC,2020-07-30,,,,424.8,433.8512542730134
123407,460.0,474.0,530.0,460.0,9316900,RANC,2020-08-03,,,,431.2,442.7731977678993
7200,478.0,466.0,488.0,466.0,5233300,RANC,2020-08-04,,,,436.8,447.9347093750328
58320,460.0,440.0,468.0,438.0,5421900,RANC,2020-08-05,,,,439.8,446.1714406250255
74809,450.0,440.0,450.0,438.0,2269400,RANC,2020-08-06,,,,443.0,444.80000937501984
46757,440.0,440.0,446.0,430.0,2541400,RANC,2020-08-07,,,,446.2,443.73334062501544
104488,450.0,438.0,450.0,438.0,2118300,RANC,2020-08-10,,,,447.2,442.45926493056754
57503,440.0,432.0,440.0,432.0,2015000,RANC,2020-08-11,,,,446.6,440.1349838348859
125869,440.0,430.0,440.0,426.0,2789000,RANC,2020-08-12,,,425.73333333333335,445.8,437.8827652049112
67384,438.0,426.0,438.0,424.0,1054500,RANC,2020-08-13,,,426.6666666666667,444.2,435.2421507149309
92955,430.0,430.0,436.0,418.0,851400,RANC,2020-08-14,,,427.4,441.6,434.07722833383514
65740,438.0,430.0,440.0,426.0,1050900,RANC,2020-08-18,,,428.1333333333333,437.2,433.1711775929829
94596,436.0,434.0,436.0,428.0,600700,RANC,2020-08-19,,,428.6666666666667,434.0,433.3553603500978
10484,436.0,426.0,436.0,418.0,1933200,RANC,2020-08-24,,,428.6,432.6,431.7208358278538
134915,430.0,420.0,430.0,418.0,1332300,RANC,2020-08-25,,,428.46666666666664,430.6,429.1162056438863
109402,422.0,412.0,422.0,410.0,2250600,RANC,2020-08-26,,,428.2,427.8,425.31260438968934
3904,424.0,410.0,424.0,402.0,2918100,RANC,2020-08-27,,,428.0,425.0,421.9098034142028
83864,410.0,398.0,412.0,390.0,4182300,RANC,2020-08-28,,,427.26666666666665,421.6,416.5965137666022
27784,410.0,400.0,416.0,398.0,3354800,RANC,2020-08-31,,,427.1333333333333,418.6,412.90839959624617
35179,400.0,400.0,406.0,394.0,757700,RANC,2020-09-01,,,426.8,416.0,410.0398663526359
39317,404.0,400.0,404.0,392.0,1608200,RANC,2020-09-02,,,426.46666666666664,413.0,407.808784940939
73156,404.0,400.0,404.0,398.0,1611300,RANC,2020-09-03,,,426.1333333333333,410.0,406.0734993985081
12960,408.0,402.0,408.0,396.0,529800,RANC,2020-09-04,,,425.8666666666667,406.8,405.1682773099507
26966,402.0,428.0,434.0,400.0,3889700,RANC,2020-09-07,,,426.46666666666664,407.0,410.241993463295
113516,428.0,414.0,438.0,414.0,2236000,RANC,2020-09-08,,,426.6666666666667,406.4,411.07710602700723
127497,414.0,408.0,420.0,404.0,2138000,RANC,2020-09-09,,,426.6666666666667,406.0,410.3933046876723
8016,408.0,396.0,408.0,384.0,2049000,RANC,2020-09-10,,,425.6,404.6,407.1947925348562
17893,396.0,412.0,428.0,382.0,1866800,RANC,2020-09-11,,,424.73333333333335,406.0,408.2626164159993
47577,412.0,418.0,422.0,412.0,815200,RANC,2020-09-14,,,424.06666666666666,407.8,410.4264794346661
70686,430.0,410.0,430.0,408.0,891500,RANC,2020-09-15,,,423.0,408.8,410.3317062269625
1430,412.0,410.0,414.0,406.0,481100,RANC,2020-09-16,,,421.46666666666664,409.8,410.25799373208196
60784,410.0,404.0,410.0,404.0,392400,RANC,2020-09-17,,,419.1333333333333,410.2,408.86732845828595
66564,404.0,410.0,414.0,402.0,475800,RANC,2020-09-18,,,417.26666666666665,411.0,409.1190332453335
76456,406.0,408.0,412.0,402.0,762200,RANC,2020-09-21,,,416.2,409.0,408.87035919081495
105312,404.0,400.0,408.0,396.0,897200,RANC,2020-09-22,,,414.8666666666667,407.6,406.89916825952275
81408,408.0,398.0,410.0,396.0,810100,RANC,2020-09-23,,,413.46666666666664,406.6,404.92157531296215
69858,398.0,396.0,400.0,388.0,1063000,RANC,2020-09-24,,,412.06666666666666,406.6,402.9390030211928
102013,400.0,400.0,404.0,392.0,828700,RANC,2020-09-25,,,411.0,405.4,402.2858912387055
64095,406.0,402.0,406.0,400.0,80600,RANC,2020-09-28,,,410.06666666666666,403.8,402.2223598523265
16245,398.0,400.0,406.0,398.0,189400,RANC,2020-09-29,,,409.2,402.8,401.72850210736505
88820,404.0,404.0,404.0,398.0,286300,RANC,2020-09-30,,,408.3333333333333,402.2,402.2332794168395
