,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126687,4950.0,4950.0,4950.0,4950.0,0,RDTX,2020-07-01,,,,,
134108,4950.0,4950.0,4950.0,4950.0,400,RDTX,2020-07-02,,,,,
107782,5000.0,4950.0,5000.0,4950.0,1000,RDTX,2020-07-03,,,,,
89641,4950.0,4950.0,4950.0,4950.0,100,RDTX,2020-07-06,,,,,
34369,4950.0,4950.0,4950.0,4950.0,0,RDTX,2020-07-07,,,,,
51716,4950.0,4950.0,4950.0,4950.0,0,RDTX,2020-07-08,,,,,
120111,4950.0,4950.0,4950.0,4950.0,0,RDTX,2020-07-09,,,,,
23664,4950.0,4950.0,4950.0,4950.0,4000,RDTX,2020-07-10,,,,,4950.0
15428,4950.0,4950.0,4950.0,4950.0,0,RDTX,2020-07-13,,,,,4950.0
31906,4950.0,4950.0,4950.0,4950.0,0,RDTX,2020-07-14,,,,4950.0,4950.0
95413,4950.0,4950.0,4950.0,4950.0,0,RDTX,2020-07-15,,,,4950.0,4950.0
22019,5000.0,5250.0,5250.0,5000.0,1000,RDTX,2020-07-16,,,,4980.0,5016.666666666667
110219,5250.0,5100.0,5250.0,5100.0,1900,RDTX,2020-07-17,,,,4995.0,5035.185185185185
83055,5100.0,5100.0,5100.0,5100.0,0,RDTX,2020-07-20,,,,5010.0,5049.588477366256
108592,5100.0,5100.0,5100.0,5100.0,0,RDTX,2020-07-21,,,,5025.0,5060.791037951532
99535,5100.0,5100.0,5100.0,5100.0,0,RDTX,2020-07-22,,,,5040.0,5069.504140628969
8839,5100.0,5100.0,5100.0,5100.0,0,RDTX,2020-07-23,,,,5055.0,5076.280998266976
106970,5050.0,5050.0,5050.0,5050.0,4500,RDTX,2020-07-24,,,,5065.0,5070.44077642987
59966,5050.0,5050.0,5050.0,5050.0,0,RDTX,2020-07-27,,,,5075.0,5065.898381667677
43455,5050.0,5050.0,5050.0,5050.0,0,RDTX,2020-07-28,,,,5085.0,5062.365407963749
116823,5050.0,5050.0,5050.0,5050.0,0,RDTX,2020-07-29,,,,5095.0,5059.61753952736
85509,5350.0,5350.0,5350.0,5350.0,100,RDTX,2020-07-30,,,,5105.0,5124.146975187947
123409,5350.0,5350.0,5350.0,5350.0,3500,RDTX,2020-08-03,,,,5130.0,5174.336536257292
7202,5400.0,5750.0,5750.0,5400.0,33500,RDTX,2020-08-04,,,,5195.0,5302.261750422338
58322,5750.0,5625.0,5750.0,5625.0,19700,RDTX,2020-08-05,,,,5247.5,5373.981361439596
74811,5625.0,5625.0,5625.0,5625.0,0,RDTX,2020-08-06,,,,5300.0,5429.763281119686
46759,5750.0,5750.0,5750.0,5750.0,7000,RDTX,2020-08-07,,,,5365.0,5500.926996426423
104490,5750.0,5750.0,5750.0,5750.0,100,RDTX,2020-08-10,,,,5435.0,5556.276552776107
57505,5750.0,5750.0,5750.0,5750.0,0,RDTX,2020-08-11,,,,5505.0,5599.326207714749
125871,5600.0,5700.0,5700.0,5600.0,200,RDTX,2020-08-12,,,5201.666666666667,5570.0,5621.698161555916
67386,5700.0,5700.0,5700.0,5700.0,0,RDTX,2020-08-13,,,5226.666666666667,5635.0,5639.098570099046
92957,5750.0,5750.0,5750.0,5750.0,14900,RDTX,2020-08-14,,,5253.333333333333,5675.0,5663.743332299258
65742,5750.0,5750.0,5750.0,5750.0,100,RDTX,2020-08-18,,,5280.0,5715.0,5682.911480677201
94598,5700.0,5750.0,5750.0,5600.0,61500,RDTX,2020-08-19,,,5306.666666666667,5715.0,5697.820040526713
10486,5500.0,5750.0,5750.0,5500.0,600,RDTX,2020-08-24,,,5333.333333333333,5727.5,5709.415587076332
134917,5750.0,5800.0,5800.0,5750.0,1500,RDTX,2020-08-25,,,5361.666666666667,5745.0,5729.545456614925
109404,5600.0,5650.0,5650.0,5600.0,10000,RDTX,2020-08-26,,,5385.0,5735.0,5711.868688478275
3906,5650.0,5800.0,5800.0,5650.0,7500,RDTX,2020-08-27,,,5413.333333333333,5740.0,5731.453424371992
83866,5800.0,5800.0,5800.0,5800.0,600,RDTX,2020-08-28,,,5441.666666666667,5745.0,5746.685996733771
27786,5800.0,5800.0,5800.0,5800.0,0,RDTX,2020-08-31,,,5470.0,5755.0,5758.533553015155
35181,5800.0,5800.0,5800.0,5800.0,0,RDTX,2020-09-01,,,5498.333333333333,5765.0,5767.748319011787
39319,5800.0,5800.0,5800.0,5800.0,0,RDTX,2020-09-02,,,5516.666666666667,5770.0,5774.9153592313905
73158,5575.0,5550.0,5575.0,5550.0,17200,RDTX,2020-09-03,,,5531.666666666667,5750.0,5724.934168291082
12962,5550.0,5550.0,5550.0,5550.0,0,RDTX,2020-09-04,,,5546.666666666667,5730.0,5686.059908670842
26968,5550.0,5550.0,5550.0,5550.0,0,RDTX,2020-09-07,,,5561.666666666667,5710.0,5655.8243734106545
113518,5550.0,5550.0,5550.0,5550.0,0,RDTX,2020-09-08,,,5576.666666666667,5685.0,5632.307845986064
127499,5350.0,5300.0,5350.0,5300.0,48900,RDTX,2020-09-09,,,5583.333333333333,5650.0,5558.461657989161
8018,5300.0,5325.0,5325.0,5300.0,800,RDTX,2020-09-10,,,5592.5,5602.5,5506.581289547125
