,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121685,6.0,6.0,6.0,5.0,11434900,REAL-W,2020-07-01,,,,,
129106,6.0,5.0,6.0,5.0,2431100,REAL-W,2020-07-02,,,,,
102780,5.0,5.0,6.0,5.0,2086700,REAL-W,2020-07-03,,,,,
85473,5.0,5.0,6.0,4.0,11191800,REAL-W,2020-07-06,,,,,
34371,5.0,4.0,6.0,3.0,39327800,REAL-W,2020-07-07,,,,,
48382,4.0,4.0,5.0,4.0,5474100,REAL-W,2020-07-08,,,,,
115109,5.0,6.0,6.0,4.0,48392700,REAL-W,2020-07-09,,,,,
23666,5.0,6.0,6.0,5.0,9252900,REAL-W,2020-07-10,,,,,5.125
15430,5.0,5.0,6.0,5.0,41252100,REAL-W,2020-07-13,,,,,5.097222222222222
31908,5.0,5.0,5.0,4.0,3821300,REAL-W,2020-07-14,,,,5.1,5.075617283950617
90411,5.0,4.0,5.0,4.0,4376300,REAL-W,2020-07-15,,,,4.9,4.8365912208504795
22021,5.0,5.0,5.0,4.0,6096000,REAL-W,2020-07-16,,,,4.9,4.872904282883706
105217,5.0,5.0,5.0,4.0,6488800,REAL-W,2020-07-17,,,,4.9,4.901147775576216
78887,5.0,5.0,5.0,4.0,8428000,REAL-W,2020-07-20,,,,4.9,4.923114936559279
103590,5.0,4.0,5.0,4.0,3187700,REAL-W,2020-07-21,,,,4.9,4.717978283990551
94533,4.0,5.0,5.0,4.0,6647900,REAL-W,2020-07-22,,,,5.0,4.7806497764370945
8841,4.0,5.0,6.0,4.0,13641700,REAL-W,2020-07-23,,,,4.9,4.829394270562185
101968,5.0,4.0,5.0,4.0,4165700,REAL-W,2020-07-24,,,,4.7,4.645084432659477
55798,5.0,5.0,5.0,4.0,2403700,REAL-W,2020-07-27,,,,4.7,4.723954558735149
41789,5.0,5.0,5.0,4.0,2060800,REAL-W,2020-07-28,,,,4.7,4.785297990127338
111821,5.0,5.0,5.0,4.0,15635900,REAL-W,2020-07-29,,,,4.8,4.833009547876818
81341,5.0,5.0,5.0,4.0,8308200,REAL-W,2020-07-30,,,,4.8,4.870118537237525
118407,5.0,5.0,5.0,4.0,2067100,REAL-W,2020-08-03,,,,4.8,4.898981084518075
