,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
611,50.0,50.0,50.0,50.0,800,REAL,2021-04-01,,,,,
1451,50.0,50.0,50.0,50.0,25300,REAL,2021-04-05,,,,,
2291,50.0,50.0,50.0,50.0,15400,REAL,2021-04-06,,,,,
3133,50.0,50.0,50.0,50.0,201800,REAL,2021-04-07,,,,,
3975,50.0,50.0,50.0,50.0,74400,REAL,2021-04-08,,,,,
4818,50.0,50.0,50.0,50.0,4400,REAL,2021-04-09,,,,,
5661,50.0,50.0,50.0,50.0,4600,REAL,2021-04-12,,,,,
6505,50.0,50.0,50.0,50.0,1700,REAL,2021-04-13,,,,,50.0
7350,50.0,50.0,50.0,50.0,68300,REAL,2021-04-14,,,,,50.0
8195,50.0,50.0,50.0,50.0,1600,REAL,2021-04-15,,,,50.0,50.0
9039,50.0,50.0,50.0,50.0,2200,REAL,2021-04-16,,,,50.0,50.0
9883,50.0,50.0,50.0,50.0,1407700,REAL,2021-04-19,,,,50.0,50.0
10727,50.0,50.0,50.0,50.0,18700,REAL,2021-04-20,,,,50.0,50.0
11571,50.0,50.0,50.0,50.0,18500,REAL,2021-04-21,,,,50.0,50.0
12415,50.0,50.0,50.0,50.0,56200,REAL,2021-04-22,,,,50.0,50.0
13259,50.0,50.0,50.0,50.0,700,REAL,2021-04-23,,,,50.0,50.0
14102,50.0,50.0,50.0,50.0,200,REAL,2021-04-26,,,,50.0,50.0
14945,50.0,50.0,50.0,50.0,14600,REAL,2021-04-27,,,,50.0,50.0
15789,50.0,50.0,50.0,50.0,28700,REAL,2021-04-28,,,,50.0,50.0
16633,50.0,50.0,50.0,50.0,12100,REAL,2021-04-29,,,,50.0,50.0
17477,50.0,50.0,50.0,50.0,215600,REAL,2021-04-30,,,,50.0,50.0
18320,50.0,50.0,50.0,50.0,2239900,REAL,2021-05-03,,,,50.0,50.0
19163,50.0,50.0,50.0,50.0,902200,REAL,2021-05-04,,,,50.0,50.0
20007,50.0,50.0,50.0,50.0,2600,REAL,2021-05-05,,,,50.0,50.0
20851,50.0,50.0,50.0,50.0,2600,REAL,2021-05-06,,,,50.0,50.0
21695,50.0,50.0,50.0,50.0,2900,REAL,2021-05-07,,,,50.0,50.0
22538,50.0,50.0,50.0,50.0,527300,REAL,2021-05-10,,,,50.0,50.0
23381,50.0,50.0,50.0,50.0,22800,REAL,2021-05-11,,,,50.0,50.0
24222,50.0,50.0,50.0,50.0,3900,REAL,2021-05-17,,,,50.0,50.0
25062,50.0,50.0,50.0,50.0,3500,REAL,2021-05-18,,,50.0,50.0,50.0
25902,50.0,50.0,50.0,50.0,2700,REAL,2021-05-19,,,50.0,50.0,50.0
26819,50.0,50.0,50.0,50.0,190200,REAL,2021-05-20,,,50.0,50.0,50.0
27626,50.0,50.0,50.0,50.0,1686100,REAL,2021-05-21,,,50.0,50.0,50.0
28468,50.0,50.0,50.0,50.0,26300,REAL,2021-05-24,,,50.0,50.0,50.0
29308,50.0,50.0,50.0,50.0,500,REAL,2021-05-25,,,50.0,50.0,50.0
30101,50.0,50.0,50.0,50.0,914400,REAL,2021-05-27,,,50.0,50.0,50.0
30943,50.0,50.0,50.0,50.0,1224400,REAL,2021-05-28,,,50.0,50.0,50.0
31785,50.0,50.0,50.0,50.0,13700,REAL,2021-05-31,,,50.0,50.0,50.0
32627,50.0,50.0,50.0,50.0,450700,REAL,2021-06-02,,,50.0,50.0,50.0
33468,50.0,50.0,50.0,50.0,1025700,REAL,2021-06-03,,,50.0,50.0,50.0
34309,50.0,50.0,50.0,50.0,444300,REAL,2021-06-04,,,50.0,50.0,50.0
35150,50.0,50.0,50.0,50.0,12300,REAL,2021-06-07,,,50.0,50.0,50.0
35993,50.0,50.0,50.0,50.0,1000,REAL,2021-06-08,,,50.0,50.0,50.0
36836,50.0,50.0,50.0,50.0,127100,REAL,2021-06-09,,,50.0,50.0,50.0
37681,50.0,50.0,50.0,50.0,17100,REAL,2021-06-10,,,50.0,50.0,50.0
38528,50.0,50.0,50.0,50.0,122300,REAL,2021-06-11,,,50.0,50.0,50.0
39375,50.0,50.0,50.0,50.0,104400,REAL,2021-06-14,,,50.0,50.0,50.0
40222,50.0,50.0,50.0,50.0,3200,REAL,2021-06-15,,,50.0,50.0,50.0
41069,50.0,50.0,50.0,50.0,598300,REAL,2021-06-16,,,50.0,50.0,50.0
41916,50.0,50.0,50.0,50.0,20400,REAL,2021-06-17,,,50.0,50.0,50.0
42763,50.0,50.0,50.0,50.0,45000,REAL,2021-06-18,,,50.0,50.0,50.0
43610,50.0,50.0,50.0,50.0,4000,REAL,2021-06-21,,,50.0,50.0,50.0
44457,50.0,50.0,50.0,50.0,3242900,REAL,2021-06-22,,,50.0,50.0,50.0
45304,50.0,50.0,50.0,50.0,12100,REAL,2021-06-23,,,50.0,50.0,50.0
46151,50.0,50.0,50.0,50.0,6600,REAL,2021-06-24,,,50.0,50.0,50.0
46998,50.0,50.0,50.0,50.0,18500,REAL,2021-06-25,,,50.0,50.0,50.0
47846,50.0,50.0,50.0,50.0,3094100,REAL,2021-06-28,,,50.0,50.0,50.0
48688,50.0,50.0,50.0,50.0,2000,REAL,2021-06-29,,,50.0,50.0,50.0
