,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
613,89.0,88.0,89.0,86.0,68300,RICY,2021-04-01,,,,,
1453,89.0,88.0,90.0,86.0,171400,RICY,2021-04-05,,,,,
2293,88.0,90.0,90.0,88.0,281800,RICY,2021-04-06,,,,,
3135,90.0,91.0,91.0,89.0,48100,RICY,2021-04-07,,,,,
3977,91.0,93.0,99.0,90.0,3528800,RICY,2021-04-08,,,,,
4820,93.0,90.0,93.0,88.0,629100,RICY,2021-04-09,,,,,
5663,90.0,89.0,90.0,87.0,83600,RICY,2021-04-12,,,,,
6507,90.0,89.0,90.0,86.0,34100,RICY,2021-04-13,,,,,89.75
7352,90.0,89.0,90.0,85.0,148000,RICY,2021-04-14,,,,,89.58333333333333
8197,89.0,87.0,93.0,86.0,139300,RICY,2021-04-15,,,,89.4,89.00925925925925
9041,87.0,89.0,89.0,85.0,29200,RICY,2021-04-16,,,,89.5,89.00720164609054
9885,89.0,90.0,90.0,89.0,2600,RICY,2021-04-19,,,,89.7,89.22782350251487
10729,90.0,91.0,91.0,87.0,245100,RICY,2021-04-20,,,,89.8,89.62164050195601
11573,90.0,92.0,92.0,90.0,88300,RICY,2021-04-21,,,,89.9,90.15016483485468
12417,92.0,92.0,93.0,92.0,117300,RICY,2021-04-22,,,,89.8,90.56123931599808
13261,92.0,91.0,92.0,90.0,75400,RICY,2021-04-23,,,,89.9,90.65874169022072
14104,90.0,91.0,91.0,89.0,18300,RICY,2021-04-26,,,,90.1,90.73457687017168
14947,91.0,91.0,92.0,89.0,207400,RICY,2021-04-27,,,,90.3,90.7935597879113
15791,91.0,92.0,93.0,91.0,25700,RICY,2021-04-28,,,,90.6,91.0616576128199
16635,92.0,92.0,93.0,91.0,112800,RICY,2021-04-29,,,,91.1,91.27017814330436
17479,92.0,91.0,92.0,88.0,211700,RICY,2021-04-30,,,,91.3,91.2101385559034
18322,91.0,91.0,91.0,89.0,106200,RICY,2021-05-03,,,,91.4,91.16344109903598
19165,92.0,105.0,122.0,92.0,20304000,RICY,2021-05-04,,,,92.8,94.23823196591687
20009,110.0,100.0,114.0,98.0,6496400,RICY,2021-05-05,,,,93.6,95.51862486237978
20853,100.0,99.0,103.0,97.0,794200,RICY,2021-05-06,,,,94.3,96.29226378185093
21697,99.0,109.0,121.0,97.0,9915900,RICY,2021-05-07,,,,96.1,99.11620516366183
22540,112.0,107.0,118.0,105.0,628900,RICY,2021-05-10,,,,97.7,100.86815957173698
23383,107.0,108.0,110.0,104.0,726400,RICY,2021-05-11,,,,99.4,102.45301300023988
24224,111.0,104.0,111.0,104.0,686200,RICY,2021-05-17,,,,100.6,102.79678788907546
25064,103.0,100.0,106.0,99.0,590700,RICY,2021-05-18,,,93.96666666666667,101.4,102.17527946928091
25904,103.0,103.0,107.0,98.0,160600,RICY,2021-05-19,,,94.46666666666667,102.6,102.3585506983296
26821,100.0,99.0,103.0,98.0,30000,RICY,2021-05-20,,,94.83333333333333,103.4,101.6122060987008
