,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120855,50.0,50.0,50.0,50.0,0,RIMO,2020-07-01,,,,,
128276,50.0,50.0,50.0,50.0,0,RIMO,2020-07-02,,,,,
101950,50.0,50.0,50.0,50.0,0,RIMO,2020-07-03,,,,,
84643,50.0,50.0,50.0,50.0,0,RIMO,2020-07-06,,,,,
34375,50.0,50.0,50.0,50.0,0,RIMO,2020-07-07,,,,,
47552,50.0,50.0,50.0,50.0,0,RIMO,2020-07-08,,,,,
114279,50.0,50.0,50.0,50.0,0,RIMO,2020-07-09,,,,,
23670,50.0,50.0,50.0,50.0,0,RIMO,2020-07-10,,,,,50.0
15434,50.0,50.0,50.0,50.0,0,RIMO,2020-07-13,,,,,50.0
31912,50.0,50.0,50.0,50.0,0,RIMO,2020-07-14,,,,50.0,50.0
89581,50.0,50.0,50.0,50.0,0,RIMO,2020-07-15,,,,50.0,50.0
22025,50.0,50.0,50.0,50.0,0,RIMO,2020-07-16,,,,50.0,50.0
104387,50.0,50.0,50.0,50.0,0,RIMO,2020-07-17,,,,50.0,50.0
78057,50.0,50.0,50.0,50.0,0,RIMO,2020-07-20,,,,50.0,50.0
102760,50.0,50.0,50.0,50.0,0,RIMO,2020-07-21,,,,50.0,50.0
93703,50.0,50.0,50.0,50.0,0,RIMO,2020-07-22,,,,50.0,50.0
8845,50.0,50.0,50.0,50.0,0,RIMO,2020-07-23,,,,50.0,50.0
101138,50.0,50.0,50.0,50.0,0,RIMO,2020-07-24,,,,50.0,50.0
54968,50.0,50.0,50.0,50.0,0,RIMO,2020-07-27,,,,50.0,50.0
41793,50.0,50.0,50.0,50.0,0,RIMO,2020-07-28,,,,50.0,50.0
110991,50.0,50.0,50.0,50.0,0,RIMO,2020-07-29,,,,50.0,50.0
80511,50.0,50.0,50.0,50.0,0,RIMO,2020-07-30,,,,50.0,50.0
117577,50.0,50.0,50.0,50.0,0,RIMO,2020-08-03,,,,50.0,50.0
7208,50.0,50.0,50.0,50.0,0,RIMO,2020-08-04,,,,50.0,50.0
