,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124192,460.0,470.0,470.0,460.0,518500,RISE,2020-07-01,,,,,
131613,470.0,472.0,472.0,470.0,405900,RISE,2020-07-02,,,,,
105287,472.0,470.0,472.0,460.0,382700,RISE,2020-07-03,,,,,
87146,470.0,470.0,470.0,466.0,394800,RISE,2020-07-06,,,,,
34376,470.0,472.0,472.0,466.0,377900,RISE,2020-07-07,,,,,
49221,472.0,476.0,476.0,472.0,467800,RISE,2020-07-08,,,,,
117616,476.0,482.0,482.0,476.0,387600,RISE,2020-07-09,,,,,
23671,482.0,486.0,486.0,482.0,390100,RISE,2020-07-10,,,,,474.75
15435,486.0,488.0,488.0,486.0,373900,RISE,2020-07-13,,,,,477.69444444444446
31913,488.0,490.0,490.0,488.0,476200,RISE,2020-07-14,,,,477.6,480.42901234567904
92918,490.0,476.0,490.0,476.0,608500,RISE,2020-07-15,,,,478.2,479.4447873799726
22026,476.0,460.0,478.0,460.0,272000,RISE,2020-07-16,,,,477.0,475.12372351775645
107724,460.0,450.0,460.0,448.0,396300,RISE,2020-07-17,,,,475.0,469.5406738471439
80560,450.0,444.0,450.0,444.0,401000,RISE,2020-07-20,,,,472.4,463.86496854777863
106097,442.0,424.0,442.0,424.0,441200,RISE,2020-07-21,,,,467.6,455.0060866482723
97040,424.0,426.0,430.0,424.0,398000,RISE,2020-07-22,,,,462.6,448.5602896153229
8846,426.0,410.0,426.0,410.0,495400,RISE,2020-07-23,,,,455.4,439.99133636747337
104475,410.0,404.0,410.0,402.0,343600,RISE,2020-07-24,,,,447.2,431.9932616191459
57471,406.0,394.0,406.0,394.0,430200,RISE,2020-07-27,,,,437.8,423.55031459266905
41794,398.0,392.0,398.0,390.0,283900,RISE,2020-07-28,,,,428.0,416.5391335720759
114328,396.0,392.0,396.0,390.0,358700,RISE,2020-07-29,,,,419.6,411.08599277828125
83014,392.0,390.0,396.0,390.0,281700,RISE,2020-07-30,,,,412.6,406.4002166053299
120914,392.0,406.0,406.0,392.0,276000,RISE,2020-08-03,,,,408.2,406.31127958192326
7209,408.0,416.0,418.0,408.0,417800,RISE,2020-08-04,,,,405.4,408.4643285637181
55827,416.0,416.0,418.0,414.0,315400,RISE,2020-08-05,,,,404.6,410.1389222162252
72316,418.0,420.0,420.0,416.0,433600,RISE,2020-08-06,,,,404.0,412.3302728348418
44264,422.0,420.0,422.0,420.0,408900,RISE,2020-08-07,,,,405.0,414.0346566493214
101995,420.0,420.0,420.0,418.0,349000,RISE,2020-08-10,,,,406.6,415.36028850502777
55010,420.0,420.0,420.0,420.0,392600,RISE,2020-08-11,,,,409.2,416.3913355039105
123376,420.0,420.0,422.0,416.0,393000,RISE,2020-08-12,,,439.2,412.0,417.19326094748595
64891,420.0,420.0,424.0,420.0,321100,RISE,2020-08-13,,,437.53333333333336,414.8,417.81698073693354
90462,420.0,422.0,422.0,418.0,429800,RISE,2020-08-14,,,435.8666666666667,418.0,418.74654057317053
63247,422.0,424.0,424.0,422.0,379500,RISE,2020-08-18,,,434.3333333333333,419.8,419.91397600135485
92103,424.0,426.0,426.0,424.0,370400,RISE,2020-08-19,,,432.8666666666667,420.8,421.26642577883155
