,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
8027,1675.0,1675.0,1675.0,1675.0,42900,ROCK,2020-09-10,,,,,
17904,1930.0,2090.0,2090.0,1930.0,133800,ROCK,2020-09-11,,,,,
45086,2350.0,1945.0,2610.0,1945.0,889700,ROCK,2020-09-14,,,,,
66527,1895.0,1810.0,1895.0,1810.0,42800,ROCK,2020-09-15,,,,,
1441,1685.0,1685.0,1685.0,1685.0,76800,ROCK,2020-09-16,,,,,
56625,1570.0,1570.0,1570.0,1570.0,1600,ROCK,2020-09-17,,,,,
62405,1465.0,1465.0,1465.0,1465.0,6200,ROCK,2020-09-18,,,,,
72297,1440.0,1395.0,1460.0,1365.0,9800,ROCK,2020-09-21,,,,,1704.375
100319,1300.0,1300.0,1300.0,1300.0,3200,ROCK,2020-09-22,,,,,1614.513888888889
77249,1280.0,1625.0,1625.0,1210.0,882900,ROCK,2020-09-23,,,,1656.0,1616.844135802469
65699,1675.0,1515.0,2000.0,1515.0,1184800,ROCK,2020-09-24,,,,1640.0,1594.2121056241426
97020,1450.0,1410.0,1450.0,1410.0,29800,ROCK,2020-09-25,,,,1572.0,1553.276082152111
59936,1315.0,1330.0,1580.0,1315.0,420900,ROCK,2020-09-28,,,,1510.5,1503.6591750071975
16256,1330.0,1240.0,1330.0,1240.0,121500,ROCK,2020-09-29,,,,1453.5,1445.0682472278204
84661,1240.0,1160.0,1390.0,1155.0,226000,ROCK,2020-09-30,,,,1401.0,1381.7197478438602
92061,1160.0,1190.0,1280.0,1145.0,34300,ROCK,2020-10-01,,,,1363.0,1339.1153594341135
68178,1185.0,1350.0,1400.0,1110.0,449900,ROCK,2020-10-02,,,,1351.5,1341.534168448755
12152,1355.0,1345.0,1395.0,1270.0,1162100,ROCK,2020-10-05,,,,1346.5,1342.3043532379206
120057,1345.0,1345.0,1550.0,1345.0,1260000,ROCK,2020-10-06,,,,1351.0,1342.903385851716
21210,1345.0,1255.0,1345.0,1255.0,136300,ROCK,2020-10-07,,,,1314.0,1323.3693001068903
19554,1210.0,1170.0,1275.0,1170.0,222600,ROCK,2020-10-08,,,,1279.5,1289.2872334164701
110183,1170.0,1240.0,1260.0,1155.0,160000,ROCK,2020-10-09,,,,1262.5,1278.3345148794767
28618,1200.0,1155.0,1240.0,1155.0,142500,ROCK,2020-10-12,,,,1245.0,1250.9268449062597
76423,1155.0,1150.0,1220.0,1150.0,331800,ROCK,2020-10-13,,,,1236.0,1228.4986571493132
106872,1150.0,1130.0,1150.0,1105.0,141200,ROCK,2020-10-14,,,,1233.0,1206.610066671688
14619,1110.0,1130.0,1145.0,1065.0,91500,ROCK,2020-10-15,,,,1227.0,1189.5856074113128
5567,1130.0,1125.0,1145.0,1100.0,26800,ROCK,2020-10-16,,,,1204.5,1175.2332502087988
614,1125.0,1130.0,1135.0,1120.0,36200,ROCK,2020-10-19,,,,1183.0,1165.1814168290657
124988,1130.0,1135.0,1135.0,1115.0,120800,ROCK,2020-10-20,,,,1162.0,1158.4744353114957
74773,1120.0,1065.0,1120.0,1065.0,17500,ROCK,2020-10-21,,,1371.0,1143.0,1137.7023385756077
30273,1065.0,1195.0,1200.0,995.0,29200,ROCK,2020-10-22,,,1355.0,1145.5,1150.4351522254726
32733,1135.0,1185.0,1190.0,1135.0,300,ROCK,2020-10-23,,,1324.8333333333333,1140.0,1158.1162295087008
57451,1185.0,1185.0,1185.0,1185.0,0,ROCK,2020-10-26,,,1299.5,1143.0,1164.0904007289896
52525,1170.0,1105.0,1170.0,1105.0,12600,ROCK,2020-10-27,,,1276.0,1138.5,1150.959200566992
88784,1105.0,1105.0,1105.0,1105.0,200,ROCK,2020-11-02,,,1256.6666666666667,1136.0,1140.746044885438
83835,1105.0,1105.0,1105.0,1105.0,0,ROCK,2020-11-03,,,1241.1666666666667,1133.5,1132.8024793553407
6391,1105.0,1030.0,1150.0,1030.0,4300,ROCK,2020-11-04,,,1226.6666666666667,1124.0,1109.9574839430427
18729,1000.0,975.0,1070.0,965.0,7300,ROCK,2020-11-05,,,1212.6666666666667,1108.5,1079.9669319557
42613,1000.0,1070.0,1070.0,1000.0,1100,ROCK,2020-11-06,,,1205.0,1102.0,1077.7520581877666
91235,1070.0,1015.0,1070.0,1015.0,700,ROCK,2020-11-09,,,1184.6666666666667,1097.0,1063.807156368263
2266,1070.0,980.0,1110.0,980.0,6100,ROCK,2020-11-10,,,1166.8333333333333,1075.5,1045.1833438419822
24490,1000.0,980.0,1015.0,915.0,10400,ROCK,2020-11-11,,,1152.5,1055.0,1030.6981563215418
78074,935.0,980.0,980.0,935.0,2700,ROCK,2020-11-12,,,1140.8333333333333,1034.5,1019.4318993611992
75598,980.0,920.0,980.0,915.0,21200,ROCK,2020-11-13,,,1130.1666666666667,1016.0,997.3359217253771
73948,920.0,860.0,920.0,860.0,43200,ROCK,2020-11-16,,,1120.1666666666667,991.5,966.8168280086267
40151,895.0,895.0,895.0,895.0,2900,ROCK,2020-11-17,,,1110.3333333333333,970.5,950.8575328955985
17081,935.0,940.0,950.0,935.0,8400,ROCK,2020-11-18,,,1096.6666666666667,961.5,948.4447478076877
67353,895.0,895.0,900.0,895.0,1100,ROCK,2020-11-19,,,1081.6666666666667,953.5,936.5681371837571
80528,895.0,925.0,925.0,880.0,5000,ROCK,2020-11-20,,,1067.6666666666667,939.0,933.9974400318112
71469,925.0,930.0,945.0,925.0,9600,ROCK,2020-11-23,,,1056.8333333333333,930.5,933.109120024742
112645,930.0,905.0,970.0,905.0,28800,ROCK,2020-11-24,,,1048.0,923.0,926.8626489081327
119231,905.0,930.0,930.0,905.0,2100,ROCK,2020-11-25,,,1037.6666666666667,918.0,927.5598380396588
59109,930.0,935.0,940.0,890.0,3000,ROCK,2020-11-26,,,1030.3333333333333,913.5,929.2132073641791
13793,900.0,900.0,920.0,900.0,4600,ROCK,2020-11-27,,,1022.0,911.5,922.7213835054727
117593,900.0,900.0,900.0,840.0,18100,ROCK,2020-11-30,,,1014.3333333333334,915.5,917.6721871709232
114296,850.0,895.0,895.0,850.0,900,ROCK,2020-12-01,,,1006.5,915.5,912.6339233551624
116768,895.0,840.0,895.0,835.0,52900,ROCK,2020-12-02,,,997.0,905.5,896.4930514984596
38508,840.0,800.0,840.0,785.0,17300,ROCK,2020-12-03,,,986.0,896.0,875.0501511654686
31096,820.0,855.0,855.0,800.0,22200,ROCK,2020-12-04,,,976.6666666666666,889.0,870.5945620175867
46740,855.0,840.0,855.0,800.0,90800,ROCK,2020-12-07,,,969.1666666666666,880.0,863.795770458123
92885,840.0,840.0,840.0,805.0,6700,ROCK,2020-12-08,,,957.3333333333334,873.5,858.507821467429
126641,810.0,830.0,835.0,800.0,10800,ROCK,2020-12-10,,,945.5,863.5,852.1727500302226
40975,840.0,815.0,840.0,815.0,6700,ROCK,2020-12-11,,,933.1666666666666,851.5,843.9121389123953
73122,815.0,820.0,840.0,815.0,22500,ROCK,2020-12-14,,,923.6666666666666,843.5,838.5983302651964
111007,815.0,815.0,815.0,815.0,4200,ROCK,2020-12-15,,,914.0,835.0,833.3542568729306
128294,840.0,825.0,885.0,825.0,25800,ROCK,2020-12-16,,,904.6666666666666,828.0,831.4977553456126
64046,825.0,860.0,860.0,810.0,19500,ROCK,2020-12-17,,,899.0,830.0,837.831587491032
98675,810.0,820.0,925.0,805.0,3600,ROCK,2020-12-18,,,893.8333333333334,832.0,833.8690124930249
113471,810.0,900.0,900.0,765.0,15300,ROCK,2020-12-21,,,888.1666666666666,836.5,848.564787494575
33557,890.0,850.0,890.0,850.0,6700,ROCK,2020-12-22,,,882.6666666666666,837.5,848.8837236068916
96192,850.0,845.0,900.0,795.0,4800,ROCK,2020-12-23,,,878.1666666666666,838.0,848.0206739164713
64871,845.0,820.0,845.0,790.0,8800,ROCK,2020-12-28,,,872.8333333333334,837.0,841.7938574905888
60760,820.0,975.0,975.0,775.0,9900,ROCK,2020-12-29,,,872.6666666666666,853.0,871.3952224926802
