,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
619,54.0,54.0,54.0,52.0,955700,RODA,2021-04-01,,,,,
1459,53.0,54.0,55.0,52.0,1166700,RODA,2021-04-05,,,,,
2299,55.0,55.0,57.0,53.0,1173400,RODA,2021-04-06,,,,,
3141,56.0,74.0,74.0,55.0,86178800,RODA,2021-04-07,,,,,
3983,79.0,99.0,99.0,79.0,67822700,RODA,2021-04-08,,,,,
4826,100.0,93.0,110.0,93.0,11191100,RODA,2021-04-09,,,,,
5669,87.0,87.0,87.0,87.0,1665000,RODA,2021-04-12,,,,,
6513,82.0,81.0,82.0,81.0,2482400,RODA,2021-04-13,,,,,74.625
7358,76.0,82.0,90.0,76.0,77458000,RODA,2021-04-14,,,,,76.26388888888889
8203,82.0,80.0,86.0,79.0,12406000,RODA,2021-04-15,,,,75.9,77.09413580246914
9047,80.0,75.0,81.0,75.0,12634000,RODA,2021-04-16,,,,78.0,76.62877229080934
9891,75.0,82.0,90.0,74.0,29180600,RODA,2021-04-19,,,,80.8,77.82237844840726
10735,83.0,93.0,100.0,83.0,53354200,RODA,2021-04-20,,,,84.6,81.1951832376501
11579,93.0,92.0,95.0,87.0,30859200,RODA,2021-04-21,,,,86.4,83.59625362928341
12423,91.0,86.0,94.0,86.0,11594400,RODA,2021-04-22,,,,85.1,84.13041948944266
13267,86.0,81.0,89.0,81.0,8641800,RODA,2021-04-23,,,,83.9,83.43477071401095
14110,81.0,78.0,85.0,76.0,8885000,RODA,2021-04-26,,,,83.0,82.22704388867518
14953,78.0,89.0,90.0,77.0,32413100,RODA,2021-04-27,,,,83.8,83.73214524674736
15797,89.0,83.0,91.0,83.0,16166100,RODA,2021-04-28,,,,83.9,83.56944630302573
16641,83.0,84.0,84.0,79.0,6685200,RODA,2021-04-29,,,,84.3,83.66512490235334
17485,84.0,82.0,92.0,81.0,22997100,RODA,2021-04-30,,,,85.0,83.29509714627483
18328,82.0,81.0,87.0,80.0,12010400,RODA,2021-05-03,,,,84.9,82.78507555821375
19171,82.0,78.0,82.0,77.0,8118600,RODA,2021-05-04,,,,83.4,81.72172543416625
20015,79.0,80.0,83.0,78.0,6071400,RODA,2021-05-05,,,,82.2,81.3391197821293
20859,81.0,78.0,81.0,78.0,3927300,RODA,2021-05-06,,,,81.4,80.59709316387834
21703,77.0,78.0,81.0,76.0,4096800,RODA,2021-05-07,,,,81.1,80.01996134968316
22546,78.0,77.0,79.0,76.0,2642000,RODA,2021-05-10,,,,81.0,79.34885882753134
23389,77.0,77.0,79.0,75.0,4468900,RODA,2021-05-11,,,,79.8,78.82689019919104
24230,77.0,72.0,77.0,72.0,3732600,RODA,2021-05-17,,,,78.7,77.3098034882597
25070,72.0,67.0,74.0,67.0,6957900,RODA,2021-05-18,,,79.06666666666666,77.0,75.01873604642421
25910,68.0,71.0,83.0,67.0,33492600,RODA,2021-05-19,,,79.63333333333334,75.9,74.12568359166328
26828,71.0,72.0,74.0,69.0,5345400,RODA,2021-05-20,,,80.23333333333333,75.0,73.65330946018254
27634,72.0,69.0,72.0,68.0,4167200,RODA,2021-05-21,,,80.7,74.1,72.61924069125308
28476,65.0,69.0,71.0,65.0,1972300,RODA,2021-05-24,,,80.53333333333333,73.0,71.81496498208573
29316,70.0,84.0,88.0,70.0,53229600,RODA,2021-05-25,,,80.03333333333333,73.6,74.52275054162223
30109,84.0,84.0,88.0,82.0,11759900,RODA,2021-05-27,,,79.73333333333333,74.2,76.62880597681729
30951,79.0,84.0,85.0,79.0,5982500,RODA,2021-05-28,,,79.63333333333334,74.9,78.26684909308011
31793,84.0,83.0,85.0,82.0,2496100,RODA,2021-05-31,,,79.7,75.5,79.31866040572898
32635,79.0,84.0,86.0,79.0,2013300,RODA,2021-06-02,,,79.76666666666667,76.7,80.35895809334475
33476,81.0,86.0,95.0,81.0,39379600,RODA,2021-06-03,,,79.96666666666667,78.6,81.61252296149037
34317,86.0,89.0,93.0,85.0,17367100,RODA,2021-06-04,,,80.43333333333334,80.4,83.25418452560362
