,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
622,272.0,296.0,298.0,254.0,720200,RUIS,2021-04-01,,,,,
1462,296.0,288.0,298.0,276.0,1206900,RUIS,2021-04-05,,,,,
2302,288.0,278.0,294.0,278.0,771700,RUIS,2021-04-06,,,,,
3144,288.0,278.0,288.0,270.0,268700,RUIS,2021-04-07,,,,,
3986,278.0,270.0,288.0,268.0,502600,RUIS,2021-04-08,,,,,
4829,270.0,270.0,282.0,268.0,68200,RUIS,2021-04-09,,,,,
5672,268.0,268.0,278.0,254.0,677300,RUIS,2021-04-12,,,,,
6516,260.0,260.0,268.0,250.0,2319300,RUIS,2021-04-13,,,,,276.0
7361,260.0,244.0,262.0,244.0,347800,RUIS,2021-04-14,,,,,268.8888888888889
8206,244.0,258.0,260.0,244.0,134400,RUIS,2021-04-15,,,,271.0,266.46913580246917
9050,258.0,258.0,260.0,246.0,244300,RUIS,2021-04-16,,,,267.2,264.5871056241427
9894,258.0,246.0,258.0,240.0,1186400,RUIS,2021-04-19,,,,263.0,260.4566377076665
10738,248.0,250.0,252.0,242.0,97700,RUIS,2021-04-20,,,,260.2,258.1329404392962
11582,248.0,250.0,250.0,248.0,118800,RUIS,2021-04-21,,,,257.4,256.32562034167483
12426,250.0,248.0,252.0,242.0,117800,RUIS,2021-04-22,,,,255.2,254.47548248796932
13270,248.0,246.0,252.0,240.0,196800,RUIS,2021-04-23,,,,252.8,252.59204193508725
14113,246.0,248.0,248.0,230.0,420600,RUIS,2021-04-26,,,,250.8,251.57158817173453
14956,248.0,234.0,248.0,232.0,596800,RUIS,2021-04-27,,,,248.2,247.66679080023798
15800,238.0,238.0,240.0,238.0,125300,RUIS,2021-04-28,,,,247.6,245.51861506685177
16644,246.0,244.0,250.0,238.0,176700,RUIS,2021-04-29,,,,246.2,245.18114505199583
17488,242.0,236.0,248.0,228.0,464400,RUIS,2021-04-30,,,,244.0,243.14089059599675
18331,236.0,236.0,240.0,234.0,127500,RUIS,2021-05-03,,,,243.0,241.5540260191086
19174,236.0,238.0,238.0,234.0,17600,RUIS,2021-05-04,,,,241.8,240.76424245930667
