,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120862,191.0,178.0,196.0,178.0,290300,SAFE,2020-07-01,,,,,
128283,178.0,181.0,181.0,178.0,290300,SAFE,2020-07-02,,,,,
101957,181.0,181.0,182.0,181.0,298700,SAFE,2020-07-03,,,,,
84650,182.0,182.0,182.0,181.0,279300,SAFE,2020-07-06,,,,,
34382,182.0,185.0,185.0,182.0,286600,SAFE,2020-07-07,,,,,
47559,185.0,187.0,187.0,185.0,286900,SAFE,2020-07-08,,,,,
114286,187.0,189.0,189.0,187.0,287100,SAFE,2020-07-09,,,,,
23677,189.0,191.0,191.0,189.0,287300,SAFE,2020-07-10,,,,,184.25
15441,189.0,192.0,192.0,189.0,288200,SAFE,2020-07-13,,,,,185.97222222222223
31919,192.0,192.0,193.0,191.0,287900,SAFE,2020-07-14,,,,185.8,187.31172839506172
89588,193.0,192.0,198.0,186.0,293400,SAFE,2020-07-15,,,,187.2,188.35356652949244
22032,192.0,192.0,192.0,191.0,288600,SAFE,2020-07-16,,,,188.3,189.16388507849413
104394,192.0,192.0,200.0,186.0,295300,SAFE,2020-07-17,,,,189.4,189.79413283882877
78064,192.0,186.0,192.0,186.0,105700,SAFE,2020-07-20,,,,189.8,188.95099220797795
102767,186.0,187.0,188.0,186.0,289100,SAFE,2020-07-21,,,,190.0,188.51743838398284
93710,187.0,180.0,187.0,180.0,276100,SAFE,2020-07-22,,,,189.3,186.6246742986533
8852,180.0,180.0,180.0,180.0,0,SAFE,2020-07-23,,,,188.4,185.15252445450813
101145,180.0,196.0,196.0,170.0,176000,SAFE,2020-07-24,,,,188.9,187.56307457572854
54975,194.0,192.0,194.0,192.0,289500,SAFE,2020-07-27,,,,188.9,188.5490580033444
41800,190.0,190.0,190.0,190.0,289900,SAFE,2020-07-28,,,,188.7,188.87148955815675
110998,190.0,192.0,192.0,190.0,290100,SAFE,2020-07-29,,,,188.7,189.56671410078857
80518,192.0,193.0,193.0,183.0,290400,SAFE,2020-07-30,,,,188.8,190.32966652283557
117584,193.0,195.0,195.0,193.0,290600,SAFE,2020-08-03,,,,189.1,191.36751840664988
7215,194.0,194.0,194.0,183.0,291200,SAFE,2020-08-04,,,,189.9,191.95251431628324
53331,194.0,195.0,195.0,193.0,290900,SAFE,2020-08-05,,,,190.7,192.6297333571092
69820,195.0,194.0,195.0,193.0,291500,SAFE,2020-08-06,,,,192.1,192.93423705552937
43436,194.0,194.0,195.0,194.0,299100,SAFE,2020-08-07,,,,193.5,193.17107326541174
98665,194.0,196.0,196.0,183.0,342200,SAFE,2020-08-10,,,,193.5,193.7997236508758
52514,195.0,195.0,195.0,194.0,293500,SAFE,2020-08-11,,,,193.8,194.06645172845896
120046,194.0,194.0,194.0,193.0,297500,SAFE,2020-08-12,,,189.56666666666666,194.2,194.0516846776903
62395,194.0,194.0,194.0,192.0,311800,SAFE,2020-08-13,,,190.1,194.4,194.04019919375912
87132,194.0,183.0,194.0,183.0,322800,SAFE,2020-08-14,,,190.16666666666666,193.4,191.58682159514598
60751,183.0,186.0,186.0,183.0,301900,SAFE,2020-08-18,,,190.33333333333334,192.5,190.34530568511354
88773,186.0,189.0,189.0,186.0,305200,SAFE,2020-08-19,,,190.56666666666666,192.0,190.04634886619942
10499,189.0,190.0,190.0,188.0,304800,SAFE,2020-08-24,,,190.73333333333332,191.5,190.03604911815512
129092,189.0,189.0,189.0,189.0,99900,SAFE,2020-08-25,,,190.8,191.0,189.80581598078732
103579,190.0,193.0,194.0,181.0,232400,SAFE,2020-08-26,,,190.93333333333334,190.9,190.51563465172347
3919,193.0,193.0,193.0,192.0,208400,SAFE,2020-08-27,,,191.0,190.6,191.06771584022937
78875,193.0,193.0,193.0,192.0,216600,SAFE,2020-08-28,,,191.03333333333333,190.4,191.4971123201784
27799,193.0,194.0,194.0,193.0,259200,SAFE,2020-08-31,,,191.1,190.4,192.05330958236098
35194,193.0,193.0,193.0,192.0,222700,SAFE,2020-09-01,,,191.13333333333333,190.3,192.2636852307252
39332,193.0,191.0,193.0,191.0,166800,SAFE,2020-09-02,,,191.1,191.1,191.98286629056403
68167,190.0,188.0,190.0,188.0,188800,SAFE,2020-09-03,,,190.96666666666667,191.3,191.0977848926609
12975,187.0,186.0,187.0,185.0,203800,SAFE,2020-09-04,,,190.96666666666667,191.0,189.96494380540292
26981,186.0,186.0,193.0,186.0,218500,SAFE,2020-09-07,,,190.93333333333334,190.6,189.08384518198005
107693,186.0,187.0,187.0,173.0,204800,SAFE,2020-09-08,,,191.16666666666666,190.4,188.6207684748734
121674,187.0,188.0,189.0,187.0,214100,SAFE,2020-09-09,,,191.43333333333334,189.9,188.48281992490152
8032,188.0,188.0,188.0,186.0,236000,SAFE,2020-09-10,,,191.16666666666666,189.4,188.37552660825673
17909,188.0,188.0,189.0,187.0,207000,SAFE,2020-09-11,,,191.03333333333333,188.9,188.29207625086636
44257,188.0,188.0,189.0,187.0,212200,SAFE,2020-09-14,,,190.96666666666667,188.3,188.2271704173405
65698,188.0,185.0,188.0,185.0,213100,SAFE,2020-09-15,,,190.73333333333332,187.5,187.51002143570926
1446,185.0,185.0,185.0,183.0,227000,SAFE,2020-09-16,,,190.46666666666667,186.9,186.95223889444054
55796,185.0,185.0,185.0,183.0,218600,SAFE,2020-09-17,,,190.13333333333333,186.6,186.51840802900932
61576,185.0,182.0,185.0,178.0,205700,SAFE,2020-09-18,,,189.73333333333332,186.2,185.51431735589614
71468,182.0,184.0,185.0,182.0,247300,SAFE,2020-09-21,,,189.36666666666667,186.0,185.17780238791923
99490,184.0,183.0,184.0,182.0,191400,SAFE,2020-09-22,,,189.0,185.6,184.69384630171496
76420,182.0,180.0,182.0,173.0,232000,SAFE,2020-09-23,,,188.53333333333333,184.8,183.6507693457783
64870,190.0,169.0,190.0,169.0,164000,SAFE,2020-09-24,,,187.63333333333333,182.9,180.39504282449423
96191,169.0,172.0,173.0,169.0,252800,SAFE,2020-09-25,,,186.86666666666667,181.3,178.5294777523844
59107,172.0,172.0,173.0,171.0,257000,SAFE,2020-09-28,,,186.13333333333333,179.7,177.07848269629898
16261,172.0,172.0,172.0,170.0,243000,SAFE,2020-09-29,,,185.4,178.4,175.94993098601032
83832,172.0,174.0,175.0,172.0,228600,SAFE,2020-09-30,,,185.1,177.3,175.51661298911912
91232,174.0,176.0,176.0,174.0,203700,SAFE,2020-10-01,,,184.76666666666668,176.4,175.62403232487043
67349,176.0,193.0,193.0,167.0,263400,SAFE,2020-10-02,,,184.9,177.5,179.48535847489921
12157,193.0,189.0,195.0,180.0,245300,SAFE,2020-10-05,,,184.86666666666667,178.0,181.59972325825495
119228,189.0,189.0,189.0,177.0,231000,SAFE,2020-10-06,,,184.86666666666667,178.6,183.24422920086496
21215,188.0,182.0,188.0,182.0,219600,SAFE,2020-10-07,,,184.5,178.8,182.96773382289498
19559,178.0,180.0,180.0,171.0,237100,SAFE,2020-10-08,,,184.06666666666666,179.9,182.30823741780722
109354,180.0,180.0,183.0,177.0,245800,SAFE,2020-10-09,,,183.63333333333333,180.7,181.7952957694056
28623,181.0,180.0,183.0,180.0,253300,SAFE,2020-10-12,,,183.16666666666666,181.5,181.39634115398215
75594,180.0,180.0,182.0,170.0,255400,SAFE,2020-10-13,,,182.73333333333332,182.3,181.0860431197639
106043,180.0,182.0,186.0,180.0,220600,SAFE,2020-10-14,,,182.43333333333334,183.1,181.28914464870525
14624,182.0,185.0,185.0,182.0,214600,SAFE,2020-10-15,,,182.33333333333334,184.0,182.11377917121519
5572,185.0,185.0,185.0,174.0,216000,SAFE,2020-10-16,,,182.3,183.2,182.7551615776118
619,185.0,183.0,185.0,182.0,213800,SAFE,2020-10-19,,,182.2,182.6,182.80957011592028
124159,185.0,186.0,186.0,185.0,201900,SAFE,2020-10-20,,,182.16666666666666,182.3,183.51855453460468
73944,186.0,189.0,189.0,185.0,237600,SAFE,2020-10-21,,,182.2,183.0,184.73665352691475
30278,185.0,189.0,189.0,185.0,237100,SAFE,2020-10-22,,,182.23333333333332,183.9,185.68406385426704
32738,189.0,189.0,191.0,188.0,220800,SAFE,2020-10-23,,,182.26666666666668,184.8,186.42093855331882
56622,189.0,190.0,191.0,189.0,224700,SAFE,2020-10-26,,,182.33333333333334,185.8,187.2162855414702
51696,190.0,191.0,191.0,189.0,226300,SAFE,2020-10-27,,,182.53333333333333,186.9,188.05711097669905
87955,190.0,191.0,191.0,185.0,246100,SAFE,2020-11-02,,,182.73333333333332,187.8,188.71108631521037
83006,191.0,189.0,191.0,185.0,241400,SAFE,2020-11-03,,,182.86666666666667,188.2,188.77528935627473
6396,189.0,190.0,190.0,185.0,265500,SAFE,2020-11-04,,,183.13333333333333,188.7,189.04744727710258
18734,190.0,190.0,190.0,188.0,240700,SAFE,2020-11-05,,,183.33333333333334,189.4,189.25912565996867
42618,190.0,185.0,256.0,185.0,273100,SAFE,2020-11-06,,,183.4,189.3,188.31265329108675
90406,185.0,200.0,208.0,185.0,245900,SAFE,2020-11-09,,,184.06666666666666,190.4,190.909841448623
2271,200.0,195.0,200.0,189.0,248800,SAFE,2020-11-10,,,184.93333333333334,191.0,191.81876557115123
24495,191.0,192.0,194.0,185.0,245700,SAFE,2020-11-11,,,185.6,191.3,191.85903988867318
77245,192.0,230.0,240.0,185.0,537800,SAFE,2020-11-12,,,187.53333333333333,195.3,200.33480880230135
74769,230.0,214.0,240.0,214.0,10300,SAFE,2020-11-13,,,188.93333333333334,197.6,203.3715179573455
73119,202.0,200.0,202.0,200.0,900,SAFE,2020-11-16,,,189.8,198.5,202.62229174460205
40156,187.0,187.0,187.0,187.0,1000,SAFE,2020-11-17,,,190.16666666666666,198.3,199.1506713569127
17086,187.0,190.0,195.0,187.0,238200,SAFE,2020-11-18,,,190.06666666666666,198.3,197.11718883315433
66524,191.0,190.0,192.0,190.0,231000,SAFE,2020-11-19,,,190.1,198.3,195.5355913146756
79699,190.0,189.0,240.0,186.0,269700,SAFE,2020-11-20,,,190.1,198.7,194.08323768919215
70640,190.0,189.0,250.0,185.0,234900,SAFE,2020-11-23,,,190.33333333333334,197.6,192.95362931381612
111816,189.0,191.0,195.0,185.0,220300,SAFE,2020-11-24,,,190.7,197.2,192.51948946630142
118402,189.0,191.0,192.0,185.0,238800,SAFE,2020-11-25,,,191.06666666666666,197.1,192.18182514045665
58280,191.0,186.0,193.0,186.0,219100,SAFE,2020-11-26,188.24,,191.26666666666668,192.7,190.80808622035516
13798,186.0,190.0,240.0,186.0,243400,SAFE,2020-11-27,188.36,,191.6,190.3,190.62851150472068
116764,191.0,191.0,192.0,190.0,210100,SAFE,2020-11-30,188.46,,191.9,189.4,190.71106450367165
113467,190.0,185.0,240.0,185.0,243300,SAFE,2020-12-01,188.5,,191.9,189.2,189.4419390584113
115939,185.0,189.0,190.0,185.0,239300,SAFE,2020-12-02,188.57,,192.03333333333333,189.1,189.34373037876435
38513,189.0,191.0,191.0,189.0,214500,SAFE,2020-12-03,188.63,,192.3,189.2,189.7117902945945
31101,190.0,190.0,190.0,188.0,218100,SAFE,2020-12-04,188.66,,192.43333333333334,189.3,189.77583689579572
45911,189.0,189.0,189.0,187.0,234600,SAFE,2020-12-07,188.66,,192.43333333333334,189.3,189.60342869673
92056,188.0,189.0,189.0,185.0,221000,SAFE,2020-12-08,188.64,,192.43333333333334,189.1,189.46933343079
125812,192.0,189.0,192.0,188.0,244600,SAFE,2020-12-10,188.61,,192.43333333333334,188.9,189.36503711283666
40980,188.0,180.0,188.0,180.0,161500,SAFE,2020-12-11,188.49,,192.1,188.3,187.2839177544285
72293,183.0,186.0,186.0,180.0,221800,SAFE,2020-12-14,188.43,,191.93333333333334,187.9,186.99860269788883
110178,186.0,187.0,188.0,186.0,237100,SAFE,2020-12-15,188.38,,191.8,187.5,186.9989132094691
127465,187.0,188.0,188.0,185.0,238200,SAFE,2020-12-16,188.34,,191.76666666666668,187.8,187.22137694069818
63217,188.0,188.0,188.0,186.0,246500,SAFE,2020-12-17,188.36,,191.7,187.7,187.39440428720968
97846,188.0,188.0,188.0,181.0,247700,SAFE,2020-12-18,188.37,,191.63333333333333,187.4,187.5289811122742
112642,188.0,188.0,188.0,181.0,243800,SAFE,2020-12-21,188.45,,191.73333333333332,187.2,187.6336519762133
33562,188.0,188.0,188.0,186.0,238100,SAFE,2020-12-22,188.53,,191.33333333333334,187.1,187.71506264816588
95363,188.0,189.0,189.0,186.0,234800,SAFE,2020-12-23,188.46,,191.13333333333333,187.1,188.0006042819068
64042,188.0,188.0,188.0,186.0,230400,SAFE,2020-12-28,188.42,,191.0,187.0,188.0004699970386
59931,187.0,184.0,188.0,184.0,217900,SAFE,2020-12-29,188.36,,189.46666666666667,187.4,187.11147666436335
126637,184.0,188.0,188.0,184.0,238900,SAFE,2020-12-30,188.32,,188.6,187.6,187.30892629450483
4743,184.0,183.0,184.0,180.0,223600,SAFE,2021-01-04,188.22,,188.03333333333333,187.2,186.3513871179482
106868,185.0,184.0,186.0,182.0,228400,SAFE,2021-01-05,188.11,,187.93333333333334,186.8,185.82885664729304
123330,183.0,183.0,183.0,180.0,242700,SAFE,2021-01-06,188.0,,187.7,186.3,185.20022183678347
29449,181.0,185.0,185.0,180.0,251600,SAFE,2021-01-07,187.9,,187.53333333333333,186.0,185.15572809527603
46737,187.0,187.0,187.0,185.0,222300,SAFE,2021-01-08,187.83,,187.46666666666667,185.9,185.5655662963258
122500,187.0,187.0,187.0,185.0,219200,SAFE,2021-01-11,187.76,,187.4,185.8,185.88432934158675
48378,186.0,186.0,187.0,186.0,221900,SAFE,2021-01-12,187.66,,187.23333333333332,185.5,185.91003393234524
49207,186.0,187.0,187.0,186.0,218800,SAFE,2021-01-13,187.58,,187.1,185.4,186.1522486140463
124984,187.0,186.0,187.0,186.0,227100,SAFE,2021-01-14,187.5,,187.1,185.6,186.11841558870267
36019,186.0,184.0,186.0,184.0,167800,SAFE,2021-01-15,187.4,,186.9,185.2,185.64765656899098
36849,185.0,186.0,188.0,185.0,224800,SAFE,2021-01-18,187.43,,186.73333333333332,185.5,185.72595510921522
105214,186.0,183.0,188.0,183.0,230500,SAFE,2021-01-19,187.4,,186.66666666666666,185.4,185.12018730716738
50037,184.0,187.0,187.0,184.0,225400,SAFE,2021-01-20,187.38,,186.6,185.8,185.5379234611302
50867,187.0,185.0,187.0,180.0,229500,SAFE,2021-01-21,187.33,,186.4,185.8,185.41838491421237
3097,185.0,186.0,187.0,185.0,241300,SAFE,2021-01-22,187.3,,186.26666666666668,185.7,185.54763271105406
97017,187.0,189.0,190.0,187.0,248500,SAFE,2021-01-25,187.26,,186.26666666666668,185.9,186.31482544193094
45084,189.0,190.0,192.0,189.0,225500,SAFE,2021-01-26,187.23,,186.3,186.3,187.13375312150183
20386,190.0,185.0,190.0,178.0,193200,SAFE,2021-01-27,187.15,,186.16666666666666,186.1,186.65958576116807
25322,187.0,187.0,195.0,178.0,235800,SAFE,2021-01-28,187.08,,186.4,186.2,186.73523336979738
54152,190.0,187.0,190.0,187.0,246100,SAFE,2021-01-29,187.02,,186.43333333333334,186.5,186.7940703987313
92886,187.0,187.0,187.0,185.0,238100,SAFE,2021-02-01,186.98,,186.43333333333334,186.6,186.83983253234655
26155,186.0,182.0,187.0,178.0,162900,SAFE,2021-02-02,186.92,,186.23333333333332,186.5,185.7643141918251
9675,182.0,185.0,185.0,182.0,237300,SAFE,2021-02-03,186.91,,186.13333333333333,186.3,185.59446659364173
115109,187.0,187.0,187.0,185.0,234100,SAFE,2021-02-04,186.92,,186.1,186.5,185.90680735061022
11326,189.0,187.0,189.0,186.0,225000,SAFE,2021-02-05,186.92,,186.06666666666666,186.6,186.1497390504746
37683,187.0,178.0,187.0,178.0,321800,SAFE,2021-02-08,186.82,,185.73333333333332,185.5,184.33868592814693
86308,178.0,179.0,179.0,170.0,248000,SAFE,2021-02-09,186.73,,185.4,184.4,183.1523112774476
85472,179.0,178.0,180.0,171.0,239900,SAFE,2021-02-10,186.63,,185.06666666666666,183.7,182.0073532157926
82175,179.0,180.0,181.0,178.0,247700,SAFE,2021-02-11,186.55,,184.93333333333334,183.0,181.56127472339423
108523,182.0,182.0,200.0,172.0,248000,SAFE,2021-02-15,186.52,,184.73333333333332,182.5,181.6587692293066
100320,183.0,183.0,185.0,172.0,256000,SAFE,2021-02-16,186.5,,184.73333333333332,182.1,181.95682051168293
94533,183.0,183.0,185.0,171.0,362200,SAFE,2021-02-17,186.48,,184.7,182.2,182.1886381757534
68995,183.0,172.0,183.0,171.0,293100,SAFE,2021-02-18,186.38,,184.33333333333334,180.9,179.9244963589193
57450,172.0,175.0,175.0,172.0,282800,SAFE,2021-02-19,186.29,,184.0,179.7,178.83016383471502
81340,175.0,175.0,175.0,175.0,0,SAFE,2021-02-22,186.21,,183.6,178.5,177.97901631588945
22854,168.0,175.0,200.0,166.0,1900,SAFE,2021-02-23,186.16,,183.2,178.2,177.31701269013624
