,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124202,50.0,50.0,50.0,50.0,0,SATU,2020-07-01,,,,,
131623,50.0,50.0,50.0,50.0,0,SATU,2020-07-02,,,,,
105297,50.0,50.0,50.0,50.0,0,SATU,2020-07-03,,,,,
87156,50.0,50.0,50.0,50.0,0,SATU,2020-07-06,,,,,
34386,50.0,50.0,50.0,50.0,0,SATU,2020-07-07,,,,,
49231,50.0,50.0,50.0,50.0,0,SATU,2020-07-08,,,,,
117626,50.0,50.0,50.0,50.0,900,SATU,2020-07-09,,,,,
23681,50.0,50.0,50.0,50.0,0,SATU,2020-07-10,,,,,50.0
15445,50.0,50.0,50.0,50.0,0,SATU,2020-07-13,,,,,50.0
31923,50.0,50.0,50.0,50.0,0,SATU,2020-07-14,,,,50.0,50.0
92928,50.0,50.0,50.0,50.0,0,SATU,2020-07-15,,,,50.0,50.0
22036,50.0,50.0,50.0,50.0,0,SATU,2020-07-16,,,,50.0,50.0
107734,50.0,50.0,50.0,50.0,0,SATU,2020-07-17,,,,50.0,50.0
80570,50.0,50.0,50.0,50.0,0,SATU,2020-07-20,,,,50.0,50.0
106107,50.0,50.0,50.0,50.0,0,SATU,2020-07-21,,,,50.0,50.0
97050,50.0,50.0,50.0,50.0,0,SATU,2020-07-22,,,,50.0,50.0
8856,50.0,50.0,50.0,50.0,48000,SATU,2020-07-23,,,,50.0,50.0
104485,50.0,50.0,50.0,50.0,100,SATU,2020-07-24,,,,50.0,50.0
57481,50.0,50.0,50.0,50.0,0,SATU,2020-07-27,,,,50.0,50.0
41804,50.0,50.0,50.0,50.0,0,SATU,2020-07-28,,,,50.0,50.0
114338,50.0,50.0,50.0,50.0,100,SATU,2020-07-29,,,,50.0,50.0
83024,50.0,50.0,50.0,50.0,0,SATU,2020-07-30,,,,50.0,50.0
120924,50.0,50.0,50.0,50.0,0,SATU,2020-08-03,,,,50.0,50.0
7219,50.0,50.0,50.0,50.0,0,SATU,2020-08-04,,,,50.0,50.0
55837,50.0,50.0,50.0,50.0,100,SATU,2020-08-05,,,,50.0,50.0
72326,50.0,50.0,50.0,50.0,0,SATU,2020-08-06,,,,50.0,50.0
44274,50.0,50.0,50.0,50.0,0,SATU,2020-08-07,,,,50.0,50.0
102005,50.0,50.0,50.0,50.0,0,SATU,2020-08-10,,,,50.0,50.0
55020,50.0,50.0,50.0,50.0,0,SATU,2020-08-11,,,,50.0,50.0
123386,50.0,50.0,50.0,50.0,0,SATU,2020-08-12,,,50.0,50.0,50.0
64901,50.0,50.0,50.0,50.0,0,SATU,2020-08-13,,,50.0,50.0,50.0
90472,50.0,50.0,50.0,50.0,0,SATU,2020-08-14,,,50.0,50.0,50.0
63257,50.0,50.0,50.0,50.0,100,SATU,2020-08-18,,,50.0,50.0,50.0
92113,50.0,50.0,50.0,50.0,50000,SATU,2020-08-19,,,50.0,50.0,50.0
10503,50.0,50.0,50.0,50.0,0,SATU,2020-08-24,,,50.0,50.0,50.0
132432,50.0,50.0,50.0,50.0,0,SATU,2020-08-25,,,50.0,50.0,50.0
