,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
629,12.0,12.0,13.0,11.0,17833000,SBAT-W,2021-04-01,,,,,
1469,12.0,11.0,12.0,10.0,23508100,SBAT-W,2021-04-05,,,,,
2309,11.0,10.0,11.0,10.0,7273600,SBAT-W,2021-04-06,,,,,
3151,11.0,10.0,11.0,9.0,19472000,SBAT-W,2021-04-07,,,,,
3993,10.0,10.0,11.0,9.0,17348000,SBAT-W,2021-04-08,,,,,
4836,10.0,12.0,12.0,10.0,35231200,SBAT-W,2021-04-09,,,,,
5679,12.0,11.0,12.0,10.0,6856700,SBAT-W,2021-04-12,,,,,
6523,11.0,11.0,12.0,9.0,30143500,SBAT-W,2021-04-13,,,,,10.875
7368,11.0,10.0,11.0,10.0,18914000,SBAT-W,2021-04-14,,,,,10.680555555555555
8213,11.0,10.0,11.0,10.0,7268900,SBAT-W,2021-04-15,,,,10.7,10.529320987654321
9057,10.0,10.0,12.0,10.0,40783000,SBAT-W,2021-04-16,,,,10.5,10.411694101508916
9901,11.0,11.0,12.0,10.0,8522800,SBAT-W,2021-04-19,,,,10.5,10.542428745618045
10745,11.0,11.0,12.0,10.0,9737100,SBAT-W,2021-04-20,,,,10.6,10.644111246591812
11589,11.0,11.0,12.0,10.0,8084800,SBAT-W,2021-04-21,,,,10.7,10.723197636238076
12433,11.0,10.0,11.0,10.0,12461100,SBAT-W,2021-04-22,,,,10.7,10.562487050407393
13277,10.0,10.0,11.0,10.0,11548800,SBAT-W,2021-04-23,,,,10.5,10.437489928094639
14120,11.0,10.0,11.0,10.0,952900,SBAT-W,2021-04-26,,,,10.4,10.340269944073608
14963,10.0,9.0,10.0,9.0,9772500,SBAT-W,2021-04-27,,,,10.2,10.042432178723917
15807,9.0,9.0,10.0,8.0,12380100,SBAT-W,2021-04-28,,,,10.1,9.810780583451935
16651,9.0,9.0,10.0,9.0,2586400,SBAT-W,2021-04-29,,,,10.0,9.630607120462615
17495,9.0,9.0,10.0,9.0,3780600,SBAT-W,2021-04-30,,,,9.9,9.490472204804256
18338,9.0,10.0,10.0,9.0,3423700,SBAT-W,2021-05-03,,,,9.8,9.603700603736643
19181,9.0,10.0,12.0,9.0,37370400,SBAT-W,2021-05-04,,,,9.7,9.69176713623961
20025,10.0,10.0,11.0,10.0,20278200,SBAT-W,2021-05-05,,,,9.6,9.760263328186364
20869,10.0,10.0,11.0,10.0,2773400,SBAT-W,2021-05-06,,,,9.6,9.81353814414495
21713,10.0,10.0,11.0,9.0,9313800,SBAT-W,2021-05-07,,,,9.6,9.854974112112739
22556,10.0,10.0,10.0,9.0,3943200,SBAT-W,2021-05-10,,,,9.6,9.887202087198798
23399,10.0,10.0,10.0,9.0,1524200,SBAT-W,2021-05-11,,,,9.7,9.91226829004351
24240,10.0,9.0,10.0,9.0,3816100,SBAT-W,2021-05-17,,,,9.7,9.709542003367174
25080,9.0,10.0,10.0,9.0,4208800,SBAT-W,2021-05-18,,,10.166666666666666,9.8,9.774088224841135
25920,9.0,10.0,10.0,9.0,4261400,SBAT-W,2021-05-19,,,10.1,9.9,9.824290841543105
26838,10.0,9.0,10.0,9.0,1380100,SBAT-W,2021-05-20,,,10.033333333333333,9.8,9.64111509897797
27644,9.0,10.0,10.0,9.0,3578200,SBAT-W,2021-05-21,,,10.033333333333333,9.8,9.720867299205088
28486,9.0,9.0,10.0,8.0,6665300,SBAT-W,2021-05-24,,,10.0,9.7,9.560674566048402
29326,9.0,9.0,10.0,8.0,5822100,SBAT-W,2021-05-25,,,9.966666666666667,9.6,9.436080218037645
30119,9.0,9.0,10.0,8.0,2461900,SBAT-W,2021-05-27,,,9.866666666666667,9.5,9.339173502918168
30961,9.0,9.0,10.0,8.0,3144600,SBAT-W,2021-05-28,,,9.8,9.4,9.263801613380798
31803,9.0,9.0,9.0,8.0,2738200,SBAT-W,2021-05-31,,,9.733333333333333,9.3,9.205179032629509
32645,9.0,8.0,9.0,8.0,1726700,SBAT-W,2021-06-02,,,9.666666666666666,9.2,8.937361469822951
33486,9.0,8.0,9.0,8.0,4212500,SBAT-W,2021-06-03,,,9.6,9.0,8.729058920973406
34327,8.0,9.0,9.0,8.0,3714700,SBAT-W,2021-06-04,,,9.566666666666666,8.9,8.789268049645983
35168,9.0,9.0,9.0,8.0,5083000,SBAT-W,2021-06-07,,,9.5,8.9,8.836097371946876
36011,8.0,9.0,9.0,8.0,7933000,SBAT-W,2021-06-08,,,9.433333333333334,8.8,8.872520178180903
