,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
631,1700.0,1700.0,1725.0,1630.0,10382600,SCMA,2021-04-01,,,,,
1471,1710.0,1725.0,1725.0,1685.0,6976400,SCMA,2021-04-05,,,,,
2311,1725.0,1720.0,1740.0,1660.0,7153000,SCMA,2021-04-06,,,,,
3153,1720.0,1790.0,1790.0,1700.0,11824600,SCMA,2021-04-07,,,,,
3995,1800.0,1785.0,1805.0,1750.0,8024900,SCMA,2021-04-08,,,,,
4838,1790.0,1735.0,1790.0,1710.0,9033200,SCMA,2021-04-09,,,,,
5681,1740.0,1625.0,1750.0,1620.0,15916800,SCMA,2021-04-12,,,,,
6525,1625.0,1620.0,1635.0,1575.0,13119600,SCMA,2021-04-13,,,,,1712.5
7370,1625.0,1670.0,1675.0,1610.0,6890600,SCMA,2021-04-14,,,,,1703.0555555555557
8215,1675.0,1725.0,1770.0,1620.0,24585300,SCMA,2021-04-15,,,,1709.5,1707.932098765432
9059,1730.0,1680.0,1740.0,1655.0,13217700,SCMA,2021-04-16,,,,1707.5,1701.7249657064472
9903,1680.0,1635.0,1695.0,1630.0,16778800,SCMA,2021-04-19,,,,1698.5,1686.897195549459
10747,1635.0,1600.0,1635.0,1580.0,17788200,SCMA,2021-04-20,,,,1686.5,1667.5867076495792
11591,1585.0,1565.0,1605.0,1560.0,12877700,SCMA,2021-04-21,,,,1664.0,1644.7896615052282
12435,1575.0,1520.0,1580.0,1510.0,15857400,SCMA,2021-04-22,,,,1637.5,1617.0586256151776
13279,1525.0,1525.0,1565.0,1520.0,13026700,SCMA,2021-04-23,,,,1616.5,1596.6011532562493
14122,1550.0,1545.0,1555.0,1520.0,11994300,SCMA,2021-04-26,,,,1608.5,1585.1342303104161
14965,1545.0,1480.0,1555.0,1470.0,16147100,SCMA,2021-04-27,,,,1594.5,1561.7710680192126
15809,1480.0,1480.0,1485.0,1430.0,36250500,SCMA,2021-04-28,,,,1575.5,1543.5997195704988
16653,1495.0,1550.0,1560.0,1490.0,31338200,SCMA,2021-04-29,,,,1558.0,1545.022004110388
17497,1550.0,1575.0,1595.0,1520.0,15609300,SCMA,2021-04-30,,,,1547.5,1551.6837809747462
18340,1580.0,1570.0,1590.0,1560.0,4558800,SCMA,2021-05-03,,,,1541.0,1555.7540518692472
19183,1575.0,1525.0,1575.0,1510.0,5624500,SCMA,2021-05-04,,,,1533.5,1548.9198181205256
20027,1525.0,1535.0,1545.0,1510.0,4526300,SCMA,2021-05-05,,,,1530.5,1545.8265252048532
20871,1530.0,1510.0,1540.0,1495.0,9450800,SCMA,2021-05-06,,,,1529.5,1537.8650751593302
21715,1510.0,1480.0,1535.0,1460.0,13109700,SCMA,2021-05-07,,,,1525.0,1525.006169568368
22558,1485.0,1465.0,1485.0,1445.0,16931900,SCMA,2021-05-10,,,,1517.0,1511.6714652198418
23401,1460.0,1440.0,1465.0,1435.0,14317300,SCMA,2021-05-11,,,,1513.0,1495.7444729487659
24242,1440.0,1385.0,1450.0,1385.0,18718200,SCMA,2021-05-17,,,,1503.5,1471.1345900712624
25082,1385.0,1435.0,1435.0,1385.0,19794200,SCMA,2021-05-18,,,1586.5,1492.0,1463.1046811665374
25922,1435.0,1475.0,1490.0,1415.0,13834300,SCMA,2021-05-19,,,1579.0,1482.0,1465.7480853517513
26840,1475.0,1490.0,1500.0,1425.0,12793100,SCMA,2021-05-20,,,1571.1666666666667,1474.0,1471.1373997180287
