,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
632,262.0,260.0,262.0,250.0,4200,SCNP,2021-04-01,,,,,
1472,260.0,270.0,270.0,260.0,78200,SCNP,2021-04-05,,,,,
2312,270.0,278.0,280.0,254.0,28200,SCNP,2021-04-06,,,,,
3154,278.0,262.0,278.0,260.0,70300,SCNP,2021-04-07,,,,,
3996,262.0,256.0,262.0,254.0,77300,SCNP,2021-04-08,,,,,
4839,254.0,254.0,254.0,254.0,55900,SCNP,2021-04-09,,,,,
5682,252.0,250.0,252.0,250.0,140600,SCNP,2021-04-12,,,,,
6526,250.0,250.0,250.0,250.0,45300,SCNP,2021-04-13,,,,,260.0
7371,250.0,250.0,256.0,250.0,57600,SCNP,2021-04-14,,,,,257.77777777777777
8216,310.0,260.0,310.0,250.0,74900,SCNP,2021-04-15,,,,259.0,258.2716049382716
9060,254.0,254.0,254.0,250.0,1900,SCNP,2021-04-16,,,,258.4,257.32235939643346
9904,250.0,250.0,252.0,250.0,121800,SCNP,2021-04-19,,,,256.4,255.69516841944824
10748,250.0,250.0,250.0,250.0,52000,SCNP,2021-04-20,,,,253.6,254.42957543734863
11592,250.0,248.0,250.0,248.0,99900,SCNP,2021-04-21,,,,252.2,253.0007808957156
12436,250.0,248.0,254.0,248.0,154500,SCNP,2021-04-22,,,,251.4,251.88949625222324
13280,248.0,248.0,248.0,248.0,0,SCNP,2021-04-23,,,,250.8,251.0251637517292
14123,248.0,248.0,248.0,248.0,0,SCNP,2021-04-26,,,,250.6,250.35290514023382
14966,246.0,246.0,246.0,246.0,2300,SCNP,2021-04-27,,,,250.2,249.3855928868485
15810,246.0,248.0,250.0,234.0,374600,SCNP,2021-04-28,,,,250.0,249.07768335643775
16654,246.0,250.0,252.0,242.0,713200,SCNP,2021-04-29,,,,249.0,249.2826426105627
17498,254.0,252.0,254.0,248.0,867400,SCNP,2021-04-30,,,,248.8,249.88649980821543
18341,252.0,256.0,258.0,252.0,714700,SCNP,2021-05-03,,,,249.4,251.24505540638978
19184,258.0,252.0,258.0,250.0,527700,SCNP,2021-05-04,,,,249.6,251.41282087163648
20028,252.0,250.0,252.0,236.0,651000,SCNP,2021-05-05,,,,249.8,251.09886067793948
20872,250.0,248.0,250.0,244.0,954800,SCNP,2021-05-06,,,,249.8,250.4102249717307
21716,248.0,246.0,250.0,246.0,755200,SCNP,2021-05-07,,,,249.6,249.4301749780128
22559,248.0,246.0,248.0,244.0,710000,SCNP,2021-05-10,,,,249.4,248.66791387178773
23402,248.0,244.0,250.0,240.0,630200,SCNP,2021-05-11,,,,249.2,247.63059967805714
24243,246.0,246.0,250.0,246.0,670900,SCNP,2021-05-17,,,,249.0,247.26824419404443
25083,246.0,248.0,248.0,246.0,706900,SCNP,2021-05-18,,,252.26666666666668,248.8,247.43085659536789
25923,248.0,240.0,248.0,236.0,753500,SCNP,2021-05-19,,,251.6,247.6,245.77955512973057
26841,240.0,246.0,250.0,238.0,974300,SCNP,2021-05-20,,,250.8,246.6,245.82854287867934
27647,248.0,246.0,254.0,242.0,1111300,SCNP,2021-05-21,,,249.73333333333332,246.0,245.86664446119505
28489,246.0,244.0,246.0,242.0,705900,SCNP,2021-05-24,,,249.13333333333333,245.4,245.45183458092947
29329,244.0,246.0,246.0,242.0,935100,SCNP,2021-05-25,,,248.8,245.2,245.5736491185007
30122,248.0,246.0,250.0,244.0,1016200,SCNP,2021-05-27,,,248.53333333333333,245.2,245.66839375883387
30964,246.0,246.0,250.0,244.0,999500,SCNP,2021-05-28,,,248.4,245.2,245.74208403464857
31806,246.0,244.0,246.0,242.0,716800,SCNP,2021-05-31,,,248.2,245.2,245.3549542491711
32648,244.0,254.0,256.0,244.0,853900,SCNP,2021-06-02,,,248.33333333333334,246.0,247.2760755271331
33489,254.0,252.0,254.0,250.0,770700,SCNP,2021-06-03,,,248.06666666666666,246.4,248.32583652110353
34330,250.0,252.0,252.0,248.0,721700,SCNP,2021-06-04,,,248.0,247.6,249.14231729419163
35171,252.0,248.0,254.0,248.0,794300,SCNP,2021-06-07,,,247.93333333333334,247.8,248.88846900659348
36014,248.0,244.0,248.0,244.0,757300,SCNP,2021-06-08,,,247.73333333333332,247.6,247.80214256068382
36857,244.0,244.0,248.0,242.0,756200,SCNP,2021-06-09,,,247.6,247.6,246.95722199164297
37702,244.0,244.0,246.0,242.0,1002300,SCNP,2021-06-10,,,247.46666666666667,247.4,246.30006154905564
38549,246.0,304.0,304.0,244.0,19239000,SCNP,2021-06-11,,,249.33333333333334,253.2,259.12227009371
39396,306.0,380.0,380.0,300.0,63940100,SCNP,2021-06-14,,,253.73333333333332,266.6,285.9839878506633
40243,388.0,358.0,398.0,354.0,51272500,SCNP,2021-06-15,,,257.46666666666664,278.0,301.9875461060715
41090,358.0,352.0,370.0,334.0,24386700,SCNP,2021-06-16,,,260.93333333333334,287.8,313.1014247491667
41937,354.0,350.0,370.0,330.0,23243300,SCNP,2021-06-17,,,264.26666666666665,297.6,321.30110813824075
42784,350.0,360.0,362.0,326.0,16860900,SCNP,2021-06-18,,,267.8666666666667,308.4,329.90086188529835
43631,360.0,450.0,450.0,352.0,80960300,SCNP,2021-06-21,,,274.3333333333333,328.6,356.58955924412095
44478,460.0,498.0,525.0,452.0,44366400,SCNP,2021-06-22,,,282.53333333333336,354.0,388.01410163431626
45325,498.0,498.0,498.0,498.0,0,SCNP,2021-06-23,,,290.8,379.4,412.455412382246
46172,498.0,464.0,505.0,464.0,21940400,SCNP,2021-06-24,,,298.0,401.4,423.9097651861913
47019,466.0,530.0,575.0,432.0,148590000,SCNP,2021-06-25,,,307.46666666666664,424.0,447.4853729225932
47867,520.0,494.0,555.0,494.0,63538800,SCNP,2021-06-28,,,315.73333333333335,435.4,457.8219567175725
48709,484.0,500.0,505.0,460.0,59829400,SCNP,2021-06-29,,,324.26666666666665,449.6,467.1948552247786
49510,510.0,496.0,535.0,484.0,28545600,SCNP,2021-06-30,,,332.6,464.0,473.59599850816113
50361,492.0,482.0,505.0,468.0,17858400,SCNP,2021-07-01,,,340.4,477.2,475.46355439523643
51212,480.0,484.0,490.0,472.0,13435300,SCNP,2021-07-02,,,348.53333333333336,489.6,477.3605423074061
52063,484.0,468.0,490.0,452.0,13436700,SCNP,2021-07-05,,,355.93333333333334,491.4,475.28042179464916
52915,460.0,466.0,505.0,460.0,20766200,SCNP,2021-07-06,,,363.26666666666665,488.2,473.2181058402827
53740,460.0,434.0,478.0,434.0,14392600,SCNP,2021-07-07,,,369.6,481.8,464.50297120910875
54577,410.0,418.0,430.0,404.0,13096200,SCNP,2021-07-08,,,375.3333333333333,477.2,454.16897760708457
55430,414.0,426.0,452.0,412.0,16616300,SCNP,2021-07-09,,,381.3333333333333,466.8,447.9092048055102
56283,424.0,398.0,428.0,398.0,4980400,SCNP,2021-07-12,,,386.4,457.2,436.8182704042857
57136,388.0,382.0,394.0,372.0,20029100,SCNP,2021-07-13,,,391.0,445.4,424.6364325366667
57989,362.0,386.0,392.0,362.0,6595600,SCNP,2021-07-14,,,395.4,434.4,416.0505586396296
58842,382.0,386.0,390.0,372.0,4686600,SCNP,2021-07-15,,,399.8666666666667,424.8,409.3726567197119
59695,378.0,388.0,396.0,374.0,6140600,SCNP,2021-07-16,,,404.4,415.2,404.6231774486648
60547,388.0,374.0,388.0,374.0,2663700,SCNP,2021-07-19,,,408.6,405.8,397.81802690451707
61399,374.0,414.0,436.0,374.0,21121400,SCNP,2021-07-21,,,414.26666666666665,400.6,401.4140209257355
62251,408.0,418.0,418.0,404.0,1524700,SCNP,2021-07-22,,,420.06666666666666,399.0,405.0997940533498
63103,416.0,398.0,418.0,390.0,3841900,SCNP,2021-07-23,,,425.2,397.0,403.5220620414943
63955,396.0,382.0,398.0,372.0,2769800,SCNP,2021-07-26,,,427.8,392.6,398.73938158782886
64807,380.0,380.0,400.0,374.0,2214300,SCNP,2021-07-27,,,427.8,390.8,394.5750745683113
