,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
637,1270.0,1270.0,1275.0,1270.0,410700,SFAN,2021-04-01,,,,,
1477,1270.0,1265.0,1270.0,1260.0,439700,SFAN,2021-04-05,,,,,
2317,1270.0,1270.0,1280.0,1270.0,256400,SFAN,2021-04-06,,,,,
3159,1275.0,1280.0,1280.0,1270.0,336400,SFAN,2021-04-07,,,,,
4001,1280.0,1285.0,1290.0,1280.0,397400,SFAN,2021-04-08,,,,,
4844,1285.0,1285.0,1285.0,1275.0,228900,SFAN,2021-04-09,,,,,
5687,1285.0,1295.0,1295.0,1285.0,195900,SFAN,2021-04-12,,,,,
6531,1290.0,1290.0,1290.0,1285.0,391100,SFAN,2021-04-13,,,,,1280.0
7376,1295.0,1295.0,1295.0,1290.0,317200,SFAN,2021-04-14,,,,,1283.3333333333333
8221,1270.0,1300.0,1300.0,1270.0,285400,SFAN,2021-04-15,,,,1283.5,1287.037037037037
9065,1300.0,1295.0,1300.0,1295.0,289600,SFAN,2021-04-16,,,,1286.0,1288.8065843621398
9909,1295.0,1285.0,1295.0,1280.0,364200,SFAN,2021-04-19,,,,1288.0,1287.9606767261087
10753,1285.0,1270.0,1285.0,1260.0,394900,SFAN,2021-04-20,,,,1288.0,1283.9694152314178
11597,1270.0,1270.0,1270.0,1265.0,328900,SFAN,2021-04-21,,,,1287.0,1280.8651007355472
12441,1270.0,1275.0,1275.0,1270.0,389700,SFAN,2021-04-22,,,,1286.0,1279.5617450165366
13285,1275.0,1275.0,1280.0,1270.0,448100,SFAN,2021-04-23,,,,1285.0,1278.5480239017506
14128,1275.0,1270.0,1275.0,1260.0,534500,SFAN,2021-04-26,,,,1282.5,1276.648463034695
14971,1270.0,1275.0,1275.0,1265.0,336800,SFAN,2021-04-27,,,,1281.0,1276.2821379158738
15815,1275.0,1275.0,1275.0,1270.0,411000,SFAN,2021-04-28,,,,1279.0,1275.997218379013
16659,1275.0,1300.0,1300.0,1275.0,585400,SFAN,2021-04-29,,,,1279.0,1281.3311698503435
17503,1300.0,1295.0,1300.0,1290.0,531100,SFAN,2021-04-30,,,,1279.0,1284.3686876613783
18346,1295.0,1295.0,1295.0,1295.0,234400,SFAN,2021-05-03,,,,1280.0,1286.7312015144053
19189,1300.0,1295.0,1300.0,1295.0,281800,SFAN,2021-05-04,,,,1282.5,1288.568712288982
20033,1300.0,1300.0,1300.0,1300.0,229800,SFAN,2021-05-05,,,,1285.5,1291.1089984469859
20877,1295.0,1300.0,1300.0,1295.0,332300,SFAN,2021-05-06,,,,1288.0,1293.084776569878
21721,1295.0,1300.0,1300.0,1295.0,198800,SFAN,2021-05-07,,,,1290.5,1294.6214928876827
22564,1300.0,1305.0,1305.0,1300.0,239400,SFAN,2021-05-10,,,,1294.0,1296.927827801531
23407,1300.0,1300.0,1305.0,1300.0,238200,SFAN,2021-05-11,,,,1296.5,1297.6105327345242
24248,1295.0,1290.0,1295.0,1290.0,159500,SFAN,2021-05-17,,,,1298.0,1295.9193032379633
25088,1290.0,1295.0,1295.0,1280.0,291500,SFAN,2021-05-18,,,1286.6666666666667,1297.5,1295.715013629527
25928,1290.0,1295.0,1295.0,1290.0,162400,SFAN,2021-05-19,,,1287.5,1297.5,1295.5561217118543
26846,1295.0,1305.0,1310.0,1295.0,230100,SFAN,2021-05-20,,,1288.8333333333333,1298.5,1297.6547613314422
27652,1300.0,1305.0,1310.0,1300.0,271900,SFAN,2021-05-21,,,1290.0,1299.5,1299.2870365911217
28494,1305.0,1310.0,1315.0,1300.0,348500,SFAN,2021-05-24,,,1291.0,1300.5,1301.667695126428
29334,1310.0,1310.0,1310.0,1310.0,6500,SFAN,2021-05-25,,,1291.8333333333333,1301.5,1303.5193184316663
30127,1305.0,1305.0,1305.0,1300.0,430900,SFAN,2021-05-27,,,1292.5,1302.0,1303.848358780185
30969,1305.0,1305.0,1305.0,1300.0,365000,SFAN,2021-05-28,,,1292.8333333333333,1302.0,1304.104279051255
31811,1305.0,1320.0,1320.0,1305.0,567500,SFAN,2021-05-31,,,1293.8333333333333,1304.0,1307.6366614843093
32653,1320.0,1325.0,1330.0,1320.0,477000,SFAN,2021-06-02,,,1294.8333333333333,1307.5,1311.495181154463
33494,1325.0,1330.0,1330.0,1325.0,537600,SFAN,2021-06-03,,,1295.8333333333333,1311.0,1315.6073631201377
34335,1330.0,1325.0,1330.0,1325.0,395200,SFAN,2021-06-04,,,1296.8333333333333,1314.0,1317.6946157601071
35176,1325.0,1325.0,1330.0,1320.0,495900,SFAN,2021-06-07,,,1298.1666666666667,1316.0,1319.3180344800833
36019,1325.0,1320.0,1325.0,1315.0,445000,SFAN,2021-06-08,,,1299.8333333333333,1317.5,1319.469582373398
36862,1320.0,1320.0,1325.0,1315.0,453500,SFAN,2021-06-09,,,1301.5,1318.5,1319.5874529570874
37707,1325.0,1325.0,1325.0,1315.0,444600,SFAN,2021-06-10,,,1303.1666666666667,1320.0,1320.7902411888458
38554,1325.0,1325.0,1325.0,1320.0,240100,SFAN,2021-06-11,,,1304.8333333333333,1322.0,1321.7257431468802
39401,1325.0,1320.0,1335.0,1315.0,498400,SFAN,2021-06-14,,,1306.5,1323.5,1321.3422446697957
40248,1320.0,1310.0,1320.0,1300.0,454200,SFAN,2021-06-15,,,1307.6666666666667,1322.5,1318.8217458542856
41095,1310.0,1310.0,1310.0,1305.0,305500,SFAN,2021-06-16,,,1308.8333333333333,1321.0,1316.8613578866666
41942,1310.0,1300.0,1310.0,1295.0,439400,SFAN,2021-06-17,,,1308.8333333333333,1318.0,1313.1143894674074
42789,1300.0,1290.0,1300.0,1280.0,494000,SFAN,2021-06-18,,,1308.6666666666667,1314.5,1307.9778584746502
43636,1290.0,1290.0,1290.0,1285.0,334200,SFAN,2021-06-21,,,1308.5,1311.0,1303.982778813617
44483,1290.0,1300.0,1300.0,1290.0,412000,SFAN,2021-06-22,,,1308.6666666666667,1309.0,1303.0977168550355
45330,1300.0,1300.0,1300.0,1295.0,179600,SFAN,2021-06-23,,,1308.6666666666667,1307.0,1302.4093353316944
46177,1300.0,1300.0,1305.0,1300.0,347700,SFAN,2021-06-24,,,1308.6666666666667,1304.5,1301.8739274802067
47024,1300.0,1305.0,1305.0,1300.0,209900,SFAN,2021-06-25,,,1308.8333333333333,1302.5,1302.568610262383
47872,1305.0,1300.0,1305.0,1295.0,301200,SFAN,2021-06-28,,,1308.6666666666667,1300.5,1301.9978079818534
48714,1300.0,1310.0,1310.0,1300.0,332800,SFAN,2021-06-29,,,1309.0,1300.5,1303.7760728747749
49515,1305.0,1310.0,1310.0,1305.0,258600,SFAN,2021-06-30,,,1309.6666666666667,1300.5,1305.1591677914917
50366,1310.0,1310.0,1320.0,1310.0,310500,SFAN,2021-07-01,,,1310.1666666666667,1301.5,1306.2349082822714
51217,1310.0,1310.0,1315.0,1310.0,203000,SFAN,2021-07-02,,,1310.6666666666667,1303.5,1307.0715953306556
52068,1310.0,1305.0,1315.0,1305.0,231500,SFAN,2021-07-05,,,1310.6666666666667,1305.0,1306.6112408127321
52920,1305.0,1310.0,1315.0,1305.0,309800,SFAN,2021-07-06,,,1310.8333333333333,1306.0,1307.3642984099029
53745,1310.0,1310.0,1320.0,1305.0,399000,SFAN,2021-07-07,,,1310.8333333333333,1307.0,1307.9500098743688
54582,1310.0,1310.0,1325.0,1310.0,308800,SFAN,2021-07-08,,,1310.8333333333333,1308.0,1308.40556323562
55435,1310.0,1300.0,1310.0,1300.0,387500,SFAN,2021-07-09,,,1310.6666666666667,1307.5,1306.537660294371
56288,1300.0,1305.0,1305.0,1295.0,376700,SFAN,2021-07-12,,,1310.6666666666667,1308.0,1306.195958006733
57141,1305.0,1300.0,1305.0,1295.0,331600,SFAN,2021-07-13,,,1310.0,1307.0,1304.8190784496812
57994,1300.0,1295.0,1300.0,1290.0,274400,SFAN,2021-07-14,,,1309.0,1305.5,1302.6370610164188
58847,1295.0,1305.0,1310.0,1295.0,388100,SFAN,2021-07-15,,,1308.1666666666667,1305.0,1303.1621585683258
59700,1305.0,1305.0,1315.0,1305.0,319500,SFAN,2021-07-16,,,1307.5,1304.5,1303.5705677753645
60552,1305.0,1300.0,1305.0,1295.0,328800,SFAN,2021-07-19,,,1306.6666666666667,1304.0,1302.777108269728
61404,1300.0,1305.0,1310.0,1300.0,421800,SFAN,2021-07-21,,,1306.1666666666667,1303.5,1303.2710842097883
62256,1305.0,1310.0,1315.0,1305.0,459700,SFAN,2021-07-22,,,1305.8333333333333,1303.5,1304.7663988298355
63108,1310.0,1310.0,1310.0,1300.0,195400,SFAN,2021-07-23,,,1305.3333333333333,1303.5,1305.9294213120943
63960,1305.0,1315.0,1320.0,1305.0,308800,SFAN,2021-07-26,,,1305.0,1305.0,1307.9451054649621
64812,1315.0,1300.0,1320.0,1300.0,473900,SFAN,2021-07-27,,,1304.3333333333333,1304.5,1306.1795264727484
65666,1300.0,1290.0,1305.0,1290.0,388500,SFAN,2021-07-28,,,1303.6666666666667,1303.5,1302.584076145471
66520,1290.0,1300.0,1300.0,1290.0,324400,SFAN,2021-07-29,,,1303.3333333333333,1304.0,1302.009837002033
67374,1300.0,1285.0,1310.0,1285.0,377700,SFAN,2021-07-30,,,1302.8333333333333,1302.0,1298.2298732238035
68228,1285.0,1295.0,1300.0,1285.0,433100,SFAN,2021-08-02,,,1303.0,1301.0,1297.512123618514
