,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
99513,145.0,145.0,145.0,145.0,1400,SGER,2020-08-10,,,,,
53362,195.0,195.0,195.0,195.0,66600,SGER,2020-08-11,,,,,
120894,262.0,262.0,262.0,256.0,8002000,SGER,2020-08-12,,,,,
63243,300.0,244.0,326.0,244.0,77466400,SGER,2020-08-13,,,,,
87980,234.0,228.0,236.0,228.0,11687500,SGER,2020-08-14,,,,,
61599,228.0,258.0,280.0,216.0,29080500,SGER,2020-08-18,,,,,
89621,260.0,264.0,282.0,244.0,24659400,SGER,2020-08-19,,,,,
10513,264.0,284.0,304.0,260.0,32406600,SGER,2020-08-24,,,,,235.0
129940,288.0,290.0,292.0,274.0,11191400,SGER,2020-08-25,,,,,247.22222222222223
104427,290.0,294.0,304.0,282.0,10301200,SGER,2020-08-26,,,,246.4,257.61728395061726
3933,294.0,306.0,328.0,290.0,23502700,SGER,2020-08-27,,,,262.5,268.3689986282579
79723,306.0,298.0,314.0,296.0,4634200,SGER,2020-08-28,,,,272.8,274.9536655997561
27813,298.0,296.0,304.0,292.0,5483800,SGER,2020-08-31,,,,276.2,279.6306287998103
35208,294.0,304.0,312.0,294.0,5935800,SGER,2020-09-01,,,,282.2,285.0460446220747
39346,304.0,316.0,316.0,304.0,4040500,SGER,2020-09-02,,,,291.0,291.92470137272477
69015,316.0,316.0,328.0,310.0,10662300,SGER,2020-09-03,,,,296.8,297.2747677343415
12989,316.0,318.0,330.0,310.0,5828700,SGER,2020-09-04,,,,302.2,301.88037490448784
26996,318.0,320.0,326.0,316.0,3265400,SGER,2020-09-07,,,,305.8,305.9069582590461
108542,322.0,316.0,322.0,314.0,1881800,SGER,2020-09-08,,,,308.4,308.14985642370254
122523,316.0,314.0,326.0,312.0,3861100,SGER,2020-09-09,,,,310.4,309.4498883295464
8047,316.0,320.0,326.0,308.0,6525600,SGER,2020-09-10,,,,311.8,311.79435758964723
17924,322.0,324.0,326.0,316.0,2585600,SGER,2020-09-11,,,,314.4,314.50672256972564
45106,324.0,322.0,326.0,320.0,2483700,SGER,2020-09-14,,,,317.0,316.17189533200883
66547,322.0,340.0,342.0,322.0,5316300,SGER,2020-09-15,,,,320.6,321.4670297026735
1461,344.0,332.0,356.0,332.0,6899200,SGER,2020-09-16,,,,322.2,323.80768976874606
56645,332.0,326.0,338.0,324.0,3082600,SGER,2020-09-17,,,,323.2,324.29486982013583
62425,326.0,326.0,332.0,324.0,1745500,SGER,2020-09-18,,,,324.0,324.67378763788344
72317,326.0,324.0,330.0,324.0,956800,SGER,2020-09-21,,,,324.4,324.5240570516871
100339,322.0,382.0,394.0,314.0,19489500,SGER,2020-09-22,,,,331.0,337.29648881797885
77269,384.0,374.0,386.0,372.0,4354500,SGER,2020-09-23,,,297.93333333333334,337.0,345.4528246362058
65719,374.0,368.0,374.0,366.0,1150100,SGER,2020-09-24,,,305.3666666666667,341.8,350.4633080503823
97040,372.0,372.0,374.0,364.0,2734600,SGER,2020-09-25,,,311.26666666666665,346.6,355.24923959474177
59956,374.0,366.0,378.0,362.0,4537100,SGER,2020-09-28,,,314.73333333333335,351.0,357.63829746257693
16276,366.0,368.0,376.0,364.0,3070200,SGER,2020-09-29,,,318.8666666666667,353.8,359.94089802644874
84681,370.0,364.0,378.0,362.0,3105300,SGER,2020-09-30,,,323.4,357.0,360.8429206872379
92081,366.0,372.0,372.0,356.0,3083100,SGER,2020-10-01,,,327.2,361.6,363.3222716456295
68198,376.0,370.0,380.0,368.0,3620200,SGER,2020-10-02,,,330.73333333333335,366.0,364.806211279934
12172,370.0,366.0,378.0,366.0,2839900,SGER,2020-10-05,,,333.46666666666664,370.2,365.0714976621709
120077,366.0,370.0,376.0,366.0,1868400,SGER,2020-10-06,,,336.1333333333333,369.0,366.1667204039107
21230,368.0,376.0,384.0,368.0,3537000,SGER,2020-10-07,,,338.8666666666667,369.2,368.35189364748607
