,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
640,1750.0,1750.0,1750.0,1725.0,77600,SGRO,2021-04-01,,,,,
1480,1750.0,1745.0,1750.0,1720.0,55200,SGRO,2021-04-05,,,,,
2320,1720.0,1750.0,1750.0,1705.0,143100,SGRO,2021-04-06,,,,,
3162,1740.0,1750.0,1750.0,1705.0,152000,SGRO,2021-04-07,,,,,
4004,1750.0,1750.0,1760.0,1725.0,13700,SGRO,2021-04-08,,,,,
4847,1750.0,1750.0,1750.0,1745.0,49500,SGRO,2021-04-09,,,,,
5690,1725.0,1750.0,1750.0,1720.0,122500,SGRO,2021-04-12,,,,,
6534,1730.0,1750.0,1750.0,1730.0,15600,SGRO,2021-04-13,,,,,1749.375
7379,1750.0,1755.0,1755.0,1730.0,78900,SGRO,2021-04-14,,,,,1750.625
8224,1755.0,1750.0,1755.0,1750.0,3200,SGRO,2021-04-15,,,,1750.0,1750.486111111111
9068,1750.0,1750.0,1750.0,1745.0,39700,SGRO,2021-04-16,,,,1750.0,1750.3780864197531
9912,1750.0,1750.0,1750.0,1720.0,337200,SGRO,2021-04-19,,,,1750.5,1750.2940672153636
10756,1750.0,1750.0,1750.0,1730.0,402800,SGRO,2021-04-20,,,,1750.5,1750.2287189452827
11600,1750.0,1750.0,1750.0,1730.0,23700,SGRO,2021-04-21,,,,1750.5,1750.1778925129977
12444,1745.0,1750.0,1750.0,1735.0,18300,SGRO,2021-04-22,,,,1750.5,1750.1383608434426
13288,1735.0,1835.0,2000.0,1735.0,405800,SGRO,2021-04-23,,,,1759.0,1768.996502878233
14131,1875.0,1910.0,1970.0,1875.0,449300,SGRO,2021-04-26,,,,1775.0,1800.3306133497367
14974,1910.0,1890.0,1910.0,1860.0,28200,SGRO,2021-04-27,,,,1789.0,1820.257143716462
15818,1905.0,1890.0,1910.0,1870.0,213000,SGRO,2021-04-28,,,,1802.5,1835.755556223915
16662,1895.0,1890.0,1900.0,1885.0,81400,SGRO,2021-04-29,,,,1816.5,1847.809877063045
17506,1895.0,1890.0,1920.0,1880.0,162300,SGRO,2021-04-30,,,,1830.5,1857.185459937924
18349,1900.0,1900.0,1920.0,1900.0,71000,SGRO,2021-05-03,,,,1845.5,1866.699802173941
19192,1905.0,1895.0,1905.0,1880.0,11800,SGRO,2021-05-04,,,,1860.0,1872.9887350241763
20036,1945.0,1900.0,1945.0,1895.0,88400,SGRO,2021-05-05,,,,1875.0,1878.991238352137
20880,1900.0,1905.0,1930.0,1890.0,199000,SGRO,2021-05-06,,,,1890.5,1884.7709631627733
21724,1910.0,1900.0,1925.0,1900.0,26000,SGRO,2021-05-07,,,,1897.0,1888.1551935710459
22567,1900.0,1925.0,1930.0,1900.0,144800,SGRO,2021-05-10,,,,1898.5,1896.3429283330356
23410,1920.0,1915.0,1920.0,1900.0,38500,SGRO,2021-05-11,,,,1901.0,1900.4889442590277
24251,1915.0,1980.0,2000.0,1915.0,987900,SGRO,2021-05-17,,,,1910.0,1918.1580677570216
25091,1990.0,1935.0,1990.0,1920.0,169700,SGRO,2021-05-18,,,1827.0,1914.5,1921.9007193665723
25931,1935.0,1955.0,1970.0,1935.0,11600,SGRO,2021-05-19,,,1833.8333333333333,1921.0,1929.2561150628896
26849,1950.0,1940.0,1975.0,1920.0,12800,SGRO,2021-05-20,,,1840.3333333333333,1925.0,1931.643645048914
27655,1935.0,1900.0,1935.0,1875.0,72700,SGRO,2021-05-21,,,1845.3333333333333,1925.5,1924.611723926933
28497,1915.0,1915.0,1980.0,1915.0,114700,SGRO,2021-05-24,,,1850.8333333333333,1927.0,1922.4757852765035
29337,1915.0,1915.0,1935.0,1915.0,12900,SGRO,2021-05-25,,,1856.3333333333333,1928.0,1920.8144996595026
30130,1915.0,1900.0,2000.0,1785.0,656900,SGRO,2021-05-27,,,1861.3333333333333,1928.0,1916.1890552907244
30972,1895.0,1850.0,1895.0,1825.0,67900,SGRO,2021-05-28,,,1864.6666666666667,1920.5,1901.4803763372302
31814,1850.0,1870.0,1900.0,1840.0,51600,SGRO,2021-05-31,,,1868.6666666666667,1916.0,1894.484737151179
32656,1870.0,1880.0,1900.0,1870.0,67900,SGRO,2021-06-02,,,1872.8333333333333,1906.0,1891.2659066731392
33497,1900.0,1880.0,1900.0,1880.0,29700,SGRO,2021-06-03,,,1877.1666666666667,1900.5,1888.762371856886
34338,1880.0,1900.0,1920.0,1870.0,31400,SGRO,2021-06-04,,,1882.1666666666667,1895.0,1891.2596225553557
35179,1920.0,1910.0,1920.0,1900.0,30300,SGRO,2021-06-07,,,1887.5,1892.0,1895.4241508763878
36022,1915.0,1895.0,1920.0,1870.0,58300,SGRO,2021-06-08,,,1892.3333333333333,1891.5,1895.3298951260795
36865,1895.0,1905.0,1905.0,1890.0,23700,SGRO,2021-06-09,,,1897.5,1890.5,1897.478807320284
