,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
645,50.0,50.0,50.0,50.0,0,SIMA,2021-04-01,,,,,
1485,50.0,50.0,50.0,50.0,0,SIMA,2021-04-05,,,,,
2325,50.0,50.0,50.0,50.0,0,SIMA,2021-04-06,,,,,
3167,50.0,50.0,50.0,50.0,0,SIMA,2021-04-07,,,,,
4009,50.0,50.0,50.0,50.0,0,SIMA,2021-04-08,,,,,
4852,50.0,50.0,50.0,50.0,0,SIMA,2021-04-09,,,,,
5695,50.0,50.0,50.0,50.0,0,SIMA,2021-04-12,,,,,
6539,50.0,50.0,50.0,50.0,0,SIMA,2021-04-13,,,,,50.0
7384,50.0,50.0,50.0,50.0,0,SIMA,2021-04-14,,,,,50.0
8229,50.0,50.0,50.0,50.0,0,SIMA,2021-04-15,,,,50.0,50.0
9073,50.0,50.0,50.0,50.0,0,SIMA,2021-04-16,,,,50.0,50.0
9917,50.0,50.0,50.0,50.0,0,SIMA,2021-04-19,,,,50.0,50.0
10761,50.0,50.0,50.0,50.0,0,SIMA,2021-04-20,,,,50.0,50.0
11605,50.0,50.0,50.0,50.0,0,SIMA,2021-04-21,,,,50.0,50.0
12449,50.0,50.0,50.0,50.0,0,SIMA,2021-04-22,,,,50.0,50.0
13293,50.0,50.0,50.0,50.0,0,SIMA,2021-04-23,,,,50.0,50.0
14136,50.0,50.0,50.0,50.0,0,SIMA,2021-04-26,,,,50.0,50.0
14979,50.0,50.0,50.0,50.0,0,SIMA,2021-04-27,,,,50.0,50.0
15823,50.0,50.0,50.0,50.0,0,SIMA,2021-04-28,,,,50.0,50.0
16667,50.0,50.0,50.0,50.0,0,SIMA,2021-04-29,,,,50.0,50.0
17511,50.0,50.0,50.0,50.0,0,SIMA,2021-04-30,,,,50.0,50.0
18354,50.0,50.0,50.0,50.0,0,SIMA,2021-05-03,,,,50.0,50.0
19197,50.0,50.0,50.0,50.0,0,SIMA,2021-05-04,,,,50.0,50.0
20041,50.0,50.0,50.0,50.0,0,SIMA,2021-05-05,,,,50.0,50.0
20885,50.0,50.0,50.0,50.0,0,SIMA,2021-05-06,,,,50.0,50.0
21729,50.0,50.0,50.0,50.0,0,SIMA,2021-05-07,,,,50.0,50.0
22572,50.0,50.0,50.0,50.0,0,SIMA,2021-05-10,,,,50.0,50.0
23415,50.0,50.0,50.0,50.0,0,SIMA,2021-05-11,,,,50.0,50.0
24256,50.0,50.0,50.0,50.0,0,SIMA,2021-05-17,,,,50.0,50.0
25096,50.0,50.0,50.0,50.0,0,SIMA,2021-05-18,,,50.0,50.0,50.0
25936,50.0,50.0,50.0,50.0,0,SIMA,2021-05-19,,,50.0,50.0,50.0
26854,50.0,50.0,50.0,50.0,0,SIMA,2021-05-20,,,50.0,50.0,50.0
27660,50.0,50.0,50.0,50.0,0,SIMA,2021-05-21,,,50.0,50.0,50.0
28502,50.0,50.0,50.0,50.0,0,SIMA,2021-05-24,,,50.0,50.0,50.0
29342,50.0,50.0,50.0,50.0,0,SIMA,2021-05-25,,,50.0,50.0,50.0
30135,50.0,50.0,50.0,50.0,0,SIMA,2021-05-27,,,50.0,50.0,50.0
30977,50.0,50.0,50.0,50.0,0,SIMA,2021-05-28,,,50.0,50.0,50.0
31819,50.0,50.0,50.0,50.0,0,SIMA,2021-05-31,,,50.0,50.0,50.0
32661,50.0,50.0,50.0,50.0,0,SIMA,2021-06-02,,,50.0,50.0,50.0
33502,50.0,50.0,50.0,50.0,0,SIMA,2021-06-03,,,50.0,50.0,50.0
34343,50.0,50.0,50.0,50.0,0,SIMA,2021-06-04,,,50.0,50.0,50.0
35184,50.0,50.0,50.0,50.0,0,SIMA,2021-06-07,,,50.0,50.0,50.0
36027,50.0,50.0,50.0,50.0,0,SIMA,2021-06-08,,,50.0,50.0,50.0
36870,50.0,50.0,50.0,50.0,0,SIMA,2021-06-09,,,50.0,50.0,50.0
37715,50.0,50.0,50.0,50.0,0,SIMA,2021-06-10,,,50.0,50.0,50.0
38562,50.0,50.0,50.0,50.0,0,SIMA,2021-06-11,,,50.0,50.0,50.0
39409,50.0,50.0,50.0,50.0,0,SIMA,2021-06-14,,,50.0,50.0,50.0
40256,50.0,50.0,50.0,50.0,0,SIMA,2021-06-15,,,50.0,50.0,50.0
41103,50.0,50.0,50.0,50.0,0,SIMA,2021-06-16,,,50.0,50.0,50.0
41950,50.0,50.0,50.0,50.0,0,SIMA,2021-06-17,,,50.0,50.0,50.0
42797,50.0,50.0,50.0,50.0,0,SIMA,2021-06-18,,,50.0,50.0,50.0
43644,50.0,50.0,50.0,50.0,0,SIMA,2021-06-21,,,50.0,50.0,50.0
44491,50.0,50.0,50.0,50.0,0,SIMA,2021-06-22,,,50.0,50.0,50.0
45338,50.0,50.0,50.0,50.0,0,SIMA,2021-06-23,,,50.0,50.0,50.0
46185,50.0,50.0,50.0,50.0,0,SIMA,2021-06-24,,,50.0,50.0,50.0
47032,50.0,50.0,50.0,50.0,0,SIMA,2021-06-25,,,50.0,50.0,50.0
47880,50.0,50.0,50.0,50.0,0,SIMA,2021-06-28,,,50.0,50.0,50.0
48722,50.0,50.0,50.0,50.0,0,SIMA,2021-06-29,,,50.0,50.0,50.0
49523,50.0,50.0,50.0,50.0,0,SIMA,2021-06-30,,,50.0,50.0,50.0
50374,50.0,50.0,50.0,50.0,0,SIMA,2021-07-01,,,50.0,50.0,50.0
51225,50.0,50.0,50.0,50.0,0,SIMA,2021-07-02,,,50.0,50.0,50.0
52076,50.0,50.0,50.0,50.0,0,SIMA,2021-07-05,,,50.0,50.0,50.0
52928,50.0,50.0,50.0,50.0,0,SIMA,2021-07-06,,,50.0,50.0,50.0
53752,50.0,50.0,50.0,50.0,0,SIMA,2021-07-07,,,50.0,50.0,50.0
54590,50.0,50.0,50.0,50.0,0,SIMA,2021-07-08,,,50.0,50.0,50.0
55443,50.0,50.0,50.0,50.0,0,SIMA,2021-07-09,,,50.0,50.0,50.0
56296,50.0,50.0,50.0,50.0,0,SIMA,2021-07-12,,,50.0,50.0,50.0
