,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120885,1050.0,1050.0,1050.0,1050.0,2000,SIPD,2020-07-01,,,,,
128306,1000.0,990.0,1000.0,980.0,19100,SIPD,2020-07-02,,,,,
101980,1050.0,1100.0,1100.0,995.0,120600,SIPD,2020-07-03,,,,,
84673,1100.0,1100.0,1100.0,1100.0,200,SIPD,2020-07-06,,,,,
34405,1100.0,1100.0,1100.0,1100.0,0,SIPD,2020-07-07,,,,,
47582,1100.0,1100.0,1100.0,1100.0,400,SIPD,2020-07-08,,,,,
114309,1025.0,1045.0,1080.0,1025.0,36600,SIPD,2020-07-09,,,,,
23700,1095.0,1085.0,1095.0,1085.0,300,SIPD,2020-07-10,,,,,1071.25
15464,1015.0,1010.0,1015.0,1010.0,200000,SIPD,2020-07-13,,,,,1057.638888888889
31942,1010.0,1015.0,1015.0,1010.0,10900,SIPD,2020-07-14,,,,1059.5,1048.1635802469136
89611,1000.0,1000.0,1000.0,1000.0,3000,SIPD,2020-07-15,,,,1054.5,1037.4605624142662
22055,1000.0,990.0,1000.0,990.0,1800,SIPD,2020-07-16,,,,1054.5,1026.9137707666514
104417,990.0,990.0,990.0,990.0,0,SIPD,2020-07-17,,,,1043.5,1018.7107105962845
78087,970.0,970.0,970.0,970.0,1500,SIPD,2020-07-20,,,,1030.5,1007.8861082415546
102790,970.0,970.0,970.0,970.0,8800,SIPD,2020-07-21,,,,1017.5,999.4669730767647
93733,975.0,980.0,980.0,970.0,11900,SIPD,2020-07-22,,,,1005.5,995.1409790597058
8875,980.0,1040.0,1040.0,980.0,1100,SIPD,2020-07-23,,,,1005.0,1005.1096503797712
101168,1010.0,1040.0,1040.0,1010.0,300,SIPD,2020-07-24,,,,1000.5,1012.8630614064887
54998,1040.0,1040.0,1040.0,1040.0,100,SIPD,2020-07-27,,,,1003.5,1018.8934922050468
41823,1040.0,1040.0,1040.0,1040.0,100,SIPD,2020-07-28,,,,1006.0,1023.5838272705919
111021,1040.0,1040.0,1040.0,1040.0,0,SIPD,2020-07-29,,,,1010.0,1027.2318656549048
80541,1040.0,1040.0,1040.0,1040.0,100,SIPD,2020-07-30,,,,1015.0,1030.0692288427038
117607,1040.0,1040.0,1040.0,1040.0,0,SIPD,2020-08-03,,,,1020.0,1032.2760668776584
7238,1040.0,970.0,1040.0,970.0,105000,SIPD,2020-08-04,,,,1020.0,1018.4369409048454
53354,970.0,1000.0,1150.0,970.0,69300,SIPD,2020-08-05,,,,1023.0,1014.3398429259909
69843,1000.0,1000.0,1000.0,1000.0,100,SIPD,2020-08-06,,,,1025.0,1011.1532111646595
43459,970.0,970.0,970.0,970.0,100,SIPD,2020-08-07,,,,1018.0,1002.0080531280685
98690,970.0,1130.0,1155.0,970.0,139400,SIPD,2020-08-10,,,,1027.0,1030.4507079884977
52539,1055.0,1150.0,1150.0,1055.0,175700,SIPD,2020-08-11,,,,1038.0,1057.017217324387
120071,1150.0,1150.0,1200.0,1150.0,535100,SIPD,2020-08-12,,,1038.1666666666667,1049.0,1077.6800579189678
62420,1150.0,1150.0,1150.0,1150.0,0,SIPD,2020-08-13,,,1041.5,1060.0,1093.751156159197
87157,1150.0,1150.0,1150.0,1150.0,0,SIPD,2020-08-14,,,1046.8333333333333,1071.0,1106.250899234931
60776,1100.0,1080.0,1100.0,1080.0,10200,SIPD,2020-08-18,,,1046.1666666666667,1075.0,1100.417366071613
88798,1145.0,1065.0,1145.0,1065.0,200,SIPD,2020-08-19,,,1045.0,1084.5,1092.5468402779213
10524,1065.0,1065.0,1065.0,1065.0,10100,SIPD,2020-08-24,,,1043.8333333333333,1091.0,1086.425320216161
129117,1060.0,1150.0,1150.0,1050.0,162000,SIPD,2020-08-25,,,1045.5,1106.0,1100.5530268347918
103604,1150.0,1150.0,1150.0,1150.0,200,SIPD,2020-08-26,,,1049.0,1124.0,1111.541243093727
3944,1155.0,1250.0,1250.0,1155.0,205500,SIPD,2020-08-27,,,1054.5,1136.0,1142.3098557395654
78900,1250.0,1250.0,1250.0,1250.0,2200,SIPD,2020-08-28,,,1062.5,1146.0,1166.2409989085509
27824,1165.0,1165.0,1170.0,1165.0,53200,SIPD,2020-08-31,,,1067.5,1147.5,1165.9652213733173
