,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120887,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-01,,,,,
128308,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-02,,,,,
101982,1610.0,1610.0,1610.0,1610.0,1100,SKLT,2020-07-03,,,,,
84675,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-06,,,,,
34407,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-07,,,,,
47584,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-08,,,,,
114311,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-09,,,,,
23702,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-10,,,,,1610.0
15466,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-13,,,,,1610.0
31944,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-14,,,,1610.0,1610.0
89613,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-15,,,,1610.0,1610.0
22057,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-16,,,,1610.0,1610.0
104419,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-17,,,,1610.0,1610.0
78089,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-20,,,,1610.0,1610.0
102792,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-21,,,,1610.0,1610.0
93735,1610.0,1610.0,1610.0,1610.0,100,SKLT,2020-07-22,,,,1610.0,1610.0
8877,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-23,,,,1610.0,1610.0
101170,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-24,,,,1610.0,1610.0
55000,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-27,,,,1610.0,1610.0
41825,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-28,,,,1610.0,1610.0
111023,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-29,,,,1610.0,1610.0
80543,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-07-30,,,,1610.0,1610.0
117609,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-08-03,,,,1610.0,1610.0
7240,1610.0,1610.0,1610.0,1610.0,1100,SKLT,2020-08-04,,,,1610.0,1610.0
53356,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-08-05,,,,1610.0,1610.0
69845,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-08-06,,,,1610.0,1610.0
43461,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-08-07,,,,1610.0,1610.0
98692,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-08-10,,,,1610.0,1610.0
52541,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-08-11,,,,1610.0,1610.0
120073,1610.0,1610.0,1610.0,1610.0,0,SKLT,2020-08-12,,,1610.0,1610.0,1610.0
