,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120889,51.0,51.0,51.0,51.0,0,SKYB,2020-07-01,,,,,
128310,51.0,51.0,51.0,51.0,0,SKYB,2020-07-02,,,,,
101984,51.0,51.0,51.0,51.0,0,SKYB,2020-07-03,,,,,
84677,51.0,51.0,51.0,51.0,0,SKYB,2020-07-06,,,,,
34409,51.0,51.0,51.0,51.0,0,SKYB,2020-07-07,,,,,
47586,51.0,51.0,51.0,51.0,0,SKYB,2020-07-08,,,,,
114313,51.0,51.0,51.0,51.0,0,SKYB,2020-07-09,,,,,
23704,51.0,51.0,51.0,51.0,0,SKYB,2020-07-10,,,,,51.0
15468,51.0,51.0,51.0,51.0,0,SKYB,2020-07-13,,,,,51.0
31946,51.0,51.0,51.0,51.0,0,SKYB,2020-07-14,,,,51.0,51.0
89615,51.0,51.0,51.0,51.0,0,SKYB,2020-07-15,,,,51.0,51.0
22059,51.0,51.0,51.0,51.0,0,SKYB,2020-07-16,,,,51.0,51.0
104421,51.0,51.0,51.0,51.0,0,SKYB,2020-07-17,,,,51.0,51.0
78091,51.0,51.0,51.0,51.0,0,SKYB,2020-07-20,,,,51.0,51.0
102794,51.0,51.0,51.0,51.0,0,SKYB,2020-07-21,,,,51.0,51.0
93737,51.0,51.0,51.0,51.0,0,SKYB,2020-07-22,,,,51.0,51.0
8879,51.0,51.0,51.0,51.0,0,SKYB,2020-07-23,,,,51.0,51.0
101172,51.0,51.0,51.0,51.0,0,SKYB,2020-07-24,,,,51.0,51.0
55002,51.0,51.0,51.0,51.0,0,SKYB,2020-07-27,,,,51.0,51.0
41827,51.0,51.0,51.0,51.0,0,SKYB,2020-07-28,,,,51.0,51.0
111025,51.0,51.0,51.0,51.0,0,SKYB,2020-07-29,,,,51.0,51.0
80545,51.0,51.0,51.0,51.0,0,SKYB,2020-07-30,,,,51.0,51.0
117611,51.0,51.0,51.0,51.0,0,SKYB,2020-08-03,,,,51.0,51.0
7242,51.0,51.0,51.0,51.0,0,SKYB,2020-08-04,,,,51.0,51.0
53358,51.0,51.0,51.0,51.0,0,SKYB,2020-08-05,,,,51.0,51.0
69847,51.0,51.0,51.0,51.0,0,SKYB,2020-08-06,,,,51.0,51.0
43463,51.0,51.0,51.0,51.0,0,SKYB,2020-08-07,,,,51.0,51.0
98694,51.0,51.0,51.0,51.0,0,SKYB,2020-08-10,,,,51.0,51.0
52543,51.0,51.0,51.0,51.0,0,SKYB,2020-08-11,,,,51.0,51.0
120075,51.0,51.0,51.0,51.0,0,SKYB,2020-08-12,,,51.0,51.0,51.0
62424,51.0,51.0,51.0,51.0,0,SKYB,2020-08-13,,,51.0,51.0,51.0
87161,51.0,51.0,51.0,51.0,0,SKYB,2020-08-14,,,51.0,51.0,51.0
60780,51.0,51.0,51.0,51.0,0,SKYB,2020-08-18,,,51.0,51.0,51.0
