,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126731,1110.0,1090.0,1120.0,1080.0,117200,SMCB,2020-07-01,,,,,
134152,1090.0,1080.0,1105.0,1070.0,205200,SMCB,2020-07-02,,,,,
107826,1085.0,1070.0,1095.0,1070.0,178100,SMCB,2020-07-03,,,,,
89685,1065.0,1030.0,1080.0,1010.0,280200,SMCB,2020-07-06,,,,,
34413,1030.0,1035.0,1060.0,1030.0,102400,SMCB,2020-07-07,,,,,
51760,1050.0,1065.0,1080.0,1035.0,113500,SMCB,2020-07-08,,,,,
120155,1065.0,1065.0,1070.0,1050.0,116100,SMCB,2020-07-09,,,,,
23708,1065.0,1045.0,1070.0,1045.0,53100,SMCB,2020-07-10,,,,,1060.0
15472,1070.0,1030.0,1085.0,1025.0,177000,SMCB,2020-07-13,,,,,1053.3333333333333
31950,1030.0,1045.0,1050.0,1010.0,167300,SMCB,2020-07-14,,,,1055.5,1051.4814814814815
95457,1050.0,1035.0,1050.0,1010.0,59500,SMCB,2020-07-15,,,,1050.0,1047.8189300411523
22063,1030.0,1030.0,1030.0,1020.0,55400,SMCB,2020-07-16,,,,1045.0,1043.859167809785
110263,1050.0,1035.0,1050.0,1030.0,72400,SMCB,2020-07-17,,,,1041.5,1041.890463852055
83099,1035.0,1025.0,1035.0,1020.0,25400,SMCB,2020-07-20,,,,1041.0,1038.1370274404874
108636,1025.0,1035.0,1040.0,1010.0,33300,SMCB,2020-07-21,,,,1041.0,1037.43991023149
99579,1045.0,1040.0,1055.0,1040.0,75800,SMCB,2020-07-22,,,,1038.5,1038.0088190689366
8883,1040.0,1030.0,1040.0,1025.0,65000,SMCB,2020-07-23,,,,1035.0,1036.2290814980618
107014,1040.0,1040.0,1045.0,1025.0,22900,SMCB,2020-07-24,,,,1034.5,1037.0670633873813
60010,1040.0,1040.0,1060.0,1040.0,21000,SMCB,2020-07-27,,,,1035.5,1037.7188270790743
