,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
660,10425.0,10425.0,10500.0,10275.0,4423500,SMGR,2021-04-01,,,,,
1500,10600.0,10300.0,10600.0,10275.0,1976200,SMGR,2021-04-05,,,,,
2340,10300.0,10375.0,10400.0,10200.0,4374200,SMGR,2021-04-06,,,,,
3182,10350.0,10350.0,10475.0,10275.0,4271700,SMGR,2021-04-07,,,,,
4024,10250.0,10250.0,10275.0,10125.0,5986700,SMGR,2021-04-08,,,,,
4867,10350.0,10375.0,10500.0,10300.0,6518300,SMGR,2021-04-09,,,,,
5710,10450.0,9925.0,10450.0,9750.0,5632400,SMGR,2021-04-12,,,,,
6554,9950.0,10500.0,10650.0,9750.0,12297800,SMGR,2021-04-13,,,,,10312.5
7399,10550.0,11050.0,11200.0,10450.0,8004300,SMGR,2021-04-14,,,,,10476.388888888889
8244,10950.0,10825.0,10950.0,10650.0,3251000,SMGR,2021-04-15,,,,10437.5,10553.858024691357
9088,10850.0,10650.0,10900.0,10525.0,3721100,SMGR,2021-04-16,,,,10460.0,10575.222908093278
9932,10550.0,10425.0,10650.0,10350.0,2117100,SMGR,2021-04-19,,,,10472.5,10541.840039628105
10776,10475.0,10550.0,10575.0,10375.0,2463000,SMGR,2021-04-20,,,,10490.0,10543.653364155192
11620,10525.0,10450.0,10600.0,10425.0,897100,SMGR,2021-04-21,,,,10500.0,10522.841505454038
12464,10600.0,10325.0,10600.0,10325.0,1481000,SMGR,2021-04-22,,,,10507.5,10478.876726464252
13308,10300.0,10400.0,10650.0,10300.0,3481400,SMGR,2021-04-23,,,,10510.0,10461.34856502775
14151,10425.0,10525.0,10600.0,10375.0,3437600,SMGR,2021-04-26,,,,10570.0,10475.493328354918
14994,10525.0,10300.0,10550.0,10300.0,1985300,SMGR,2021-04-27,,,,10550.0,10436.494810942713
15838,10300.0,10525.0,10575.0,10250.0,1883700,SMGR,2021-04-28,,,,10497.5,10456.16263073322
16682,10625.0,10550.0,10625.0,10450.0,1404000,SMGR,2021-04-29,,,,10470.0,10477.015379459172
17526,10750.0,10425.0,10750.0,10300.0,3191200,SMGR,2021-04-30,,,,10447.5,10465.456406246023
18369,10300.0,10175.0,10425.0,10150.0,1722800,SMGR,2021-05-03,,,,10422.5,10400.91053819135
19212,10150.0,10050.0,10225.0,9900.0,4601900,SMGR,2021-05-04,,,,10372.5,10322.930418593272
20056,10100.0,10150.0,10300.0,10000.0,3115300,SMGR,2021-05-05,,,,10342.5,10284.501436683657
20900,10150.0,10025.0,10300.0,10025.0,3941600,SMGR,2021-05-06,,,,10312.5,10226.834450753955
21744,10100.0,9800.0,10125.0,9800.0,6323100,SMGR,2021-05-07,,,,10252.5,10131.98235058641
22587,9925.0,9950.0,10075.0,9700.0,3911300,SMGR,2021-05-10,,,,10195.0,10091.541828233874
23430,9950.0,9925.0,10025.0,9800.0,1531600,SMGR,2021-05-11,,,,10157.5,10054.532533070791
24271,10000.0,9725.0,10000.0,9725.0,2969000,SMGR,2021-05-17,,,,10077.5,9981.303081277281
25111,9725.0,9525.0,9800.0,9250.0,5544500,SMGR,2021-05-18,,,10294.166666666666,9975.0,9879.902396548996
25951,9500.0,9275.0,9550.0,9150.0,4802100,SMGR,2021-05-19,,,10255.833333333334,9860.0,9745.47964176033
26869,9275.0,9525.0,9575.0,9100.0,4300600,SMGR,2021-05-20,,,10230.0,9795.0,9696.48416581359
27675,9500.0,9425.0,9600.0,9300.0,3124300,SMGR,2021-05-21,,,10198.333333333334,9732.5,9636.154351188348
28517,9500.0,9225.0,9500.0,9200.0,2575900,SMGR,2021-05-24,,,10160.833333333334,9640.0,9544.786717590938
29357,9250.0,9400.0,9450.0,9150.0,4522700,SMGR,2021-05-25,,,10132.5,9577.5,9512.611891459619
30150,9500.0,9500.0,9675.0,9400.0,9274100,SMGR,2021-05-27,,,10103.333333333334,9547.5,9509.809248913038
30992,9500.0,9650.0,9675.0,9375.0,2720600,SMGR,2021-05-28,,,10094.166666666666,9517.5,9540.962749154585
31834,9675.0,9700.0,9775.0,9450.0,3274300,SMGR,2021-05-31,,,10067.5,9495.0,9576.304360453567
32676,9900.0,10425.0,10525.0,9800.0,11084500,SMGR,2021-06-02,,,10046.666666666666,9565.0,9764.903391463886
33517,10425.0,10550.0,10550.0,10150.0,5767300,SMGR,2021-06-03,,,10037.5,9667.5,9939.369304471911
34358,10550.0,10375.0,10550.0,10275.0,4172300,SMGR,2021-06-04,,,10028.333333333334,9777.5,10036.176125700375
35199,10500.0,10400.0,10500.0,10225.0,2369800,SMGR,2021-06-07,,,10027.5,9865.0,10117.025875544736
36042,10275.0,10175.0,10400.0,10100.0,3877700,SMGR,2021-06-08,,,10015.0,9940.0,10129.909014312572
36885,10175.0,10400.0,10500.0,10175.0,4029300,SMGR,2021-06-09,,,10013.333333333334,10057.5,10189.929233354223
37730,10500.0,10325.0,10500.0,10275.0,2352700,SMGR,2021-06-10,,,10013.333333333334,10150.0,10219.944959275506
38577,10325.0,10325.0,10450.0,10325.0,3014100,SMGR,2021-06-11,,,10010.833333333334,10232.5,10243.290523880949
39424,10600.0,10175.0,10600.0,10125.0,3397600,SMGR,2021-06-14,,,9999.166666666666,10285.0,10228.114851907405
40271,10125.0,10200.0,10275.0,10075.0,4701100,SMGR,2021-06-15,,,9995.833333333334,10335.0,10221.867107039092
41118,10275.0,10200.0,10275.0,10150.0,2366300,SMGR,2021-06-16,,,9985.0,10312.5,10217.007749919294
