,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120897,180.0,180.0,180.0,171.0,48400,SMKL,2020-07-01,,,,,
128318,175.0,181.0,181.0,175.0,10200,SMKL,2020-07-02,,,,,
101992,175.0,177.0,179.0,169.0,6500,SMKL,2020-07-03,,,,,
84685,182.0,173.0,182.0,173.0,7900,SMKL,2020-07-06,,,,,
34417,170.0,162.0,184.0,162.0,19100,SMKL,2020-07-07,,,,,
47594,164.0,165.0,165.0,164.0,800,SMKL,2020-07-08,,,,,
114321,165.0,175.0,175.0,163.0,23800,SMKL,2020-07-09,,,,,
23712,175.0,175.0,175.0,175.0,0,SMKL,2020-07-10,,,,,173.5
15476,175.0,175.0,175.0,175.0,50100,SMKL,2020-07-13,,,,,173.83333333333334
31954,170.0,175.0,178.0,170.0,21000,SMKL,2020-07-14,,,,173.8,174.0925925925926
89623,178.0,177.0,180.0,170.0,35300,SMKL,2020-07-15,,,,173.5,174.73868312757202
22067,180.0,179.0,180.0,175.0,180100,SMKL,2020-07-16,,,,173.3,175.68564243255602
104429,178.0,179.0,179.0,178.0,138000,SMKL,2020-07-17,,,,173.5,176.42216633643247
78099,179.0,176.0,180.0,176.0,203400,SMKL,2020-07-20,,,,173.8,176.32835159500303
102802,178.0,178.0,178.0,178.0,55000,SMKL,2020-07-21,,,,175.4,176.6998290183357
93745,182.0,177.0,184.0,177.0,50200,SMKL,2020-07-22,,,,176.6,176.76653368092775
8887,177.0,181.0,184.0,177.0,2500,SMKL,2020-07-23,,,,177.2,177.70730397405492
101180,179.0,178.0,179.0,178.0,45000,SMKL,2020-07-24,,,,177.5,177.77234753537604
55010,178.0,185.0,186.0,178.0,25400,SMKL,2020-07-27,,,,178.5,179.3784925275147
41835,185.0,186.0,192.0,185.0,11900,SMKL,2020-07-28,,,,179.6,180.84993863251145
111033,192.0,192.0,192.0,192.0,800,SMKL,2020-07-29,,,,181.1,183.3277300475089
80553,179.0,188.0,188.0,179.0,1100,SMKL,2020-07-30,,,,182.0,184.3660122591736
117619,179.0,179.0,179.0,179.0,44400,SMKL,2020-08-03,,,,182.0,183.17356509046834
7250,179.0,177.0,179.0,177.0,155100,SMKL,2020-08-04,,,,182.1,181.80166173703094
53366,189.0,178.0,189.0,178.0,132800,SMKL,2020-08-05,,,,182.1,180.95684801769073
69855,178.0,178.0,178.0,178.0,111700,SMKL,2020-08-06,,,,182.2,180.29977068042612
