,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126737,18200.0,18400.0,18400.0,17500.0,1600,SMMA,2020-07-01,,,,,
134158,18400.0,17700.0,18400.0,17500.0,2100,SMMA,2020-07-02,,,,,
107832,17700.0,16475.0,17700.0,16475.0,7200,SMMA,2020-07-03,,,,,
89691,16475.0,15325.0,16475.0,15325.0,4400,SMMA,2020-07-06,,,,,
34419,15300.0,15300.0,16200.0,15300.0,3400,SMMA,2020-07-07,,,,,
51766,15900.0,17200.0,17200.0,15600.0,8600,SMMA,2020-07-08,,,,,
120161,17200.0,18000.0,18000.0,16025.0,23500,SMMA,2020-07-09,,,,,
23714,17900.0,17500.0,17900.0,16750.0,36900,SMMA,2020-07-10,,,,,16987.5
15478,17475.0,17500.0,17500.0,16500.0,42500,SMMA,2020-07-13,,,,,17101.38888888889
31956,17500.0,17350.0,17500.0,16275.0,615000,SMMA,2020-07-14,,,,17075.0,17156.635802469136
95463,17300.0,17800.0,17800.0,16975.0,73300,SMMA,2020-07-15,,,,17015.0,17299.605624142663
22069,17300.0,16575.0,17300.0,16575.0,214800,SMMA,2020-07-16,,,,16902.5,17138.58215211096
110269,16575.0,16250.0,16575.0,16000.0,17200,SMMA,2020-07-17,,,,16880.0,16941.119451641858
83105,16250.0,16250.0,16275.0,16175.0,2700,SMMA,2020-07-20,,,,16972.5,16787.537351277002
108642,16175.0,16250.0,16250.0,16075.0,2300,SMMA,2020-07-21,,,,17067.5,16668.08460654878
99585,16250.0,16250.0,16250.0,16250.0,0,SMMA,2020-07-22,,,,16972.5,16575.176916204604
8889,16100.0,16300.0,16300.0,16100.0,8200,SMMA,2020-07-23,,,,16802.5,16514.02649038136
107020,15500.0,16300.0,16300.0,15200.0,3700,SMMA,2020-07-24,,,,16682.5,16466.46504807439
60016,16900.0,16900.0,16900.0,16900.0,9600,SMMA,2020-07-27,,,,16622.5,16562.806148502303
43505,16800.0,16925.0,16925.0,16800.0,56500,SMMA,2020-07-28,,,,16580.0,16643.293671057345
116873,16700.0,16900.0,16900.0,16700.0,200,SMMA,2020-07-29,,,,16490.0,16700.33952193349
85559,16900.0,17200.0,17200.0,16900.0,118800,SMMA,2020-07-30,,,,16552.5,16811.375183726046
123459,16975.0,16975.0,16975.0,16975.0,400,SMMA,2020-08-03,,,,16625.0,16847.736254009145
7252,16975.0,16975.0,16975.0,16975.0,0,SMMA,2020-08-04,,,,16697.5,16876.017086451557
58372,16875.0,16950.0,16950.0,16875.0,11100,SMMA,2020-08-05,,,,16767.5,16892.457733906765
74861,16950.0,16950.0,16950.0,16950.0,600,SMMA,2020-08-06,,,,16837.5,16905.244904149706
46809,16550.0,16550.0,16550.0,16550.0,100,SMMA,2020-08-07,,,,16862.5,16826.301592116437
104542,17200.0,17200.0,17200.0,17200.0,1200,SMMA,2020-08-10,,,,16952.5,16909.34568275723
57557,17200.0,17200.0,17200.0,17200.0,0,SMMA,2020-08-11,,,,16982.5,16973.9355310334
125923,17000.0,17000.0,17000.0,17000.0,200,SMMA,2020-08-12,,,16881.666666666668,16990.0,16979.7276352482
67438,17000.0,17000.0,17000.0,17000.0,0,SMMA,2020-08-13,,,16835.0,17000.0,16984.232605193043
