,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
669,210.0,210.0,212.0,208.0,7460600,SOCI,2021-04-01,,,,,
1509,210.0,208.0,212.0,206.0,7201100,SOCI,2021-04-05,,,,,
2349,208.0,212.0,212.0,206.0,7486600,SOCI,2021-04-06,,,,,
3191,212.0,208.0,214.0,208.0,7900100,SOCI,2021-04-07,,,,,
4033,210.0,212.0,218.0,208.0,7013200,SOCI,2021-04-08,,,,,
4876,214.0,224.0,224.0,214.0,26557600,SOCI,2021-04-09,,,,,
5719,228.0,212.0,236.0,210.0,80403500,SOCI,2021-04-12,,,,,
6563,212.0,206.0,212.0,200.0,26498700,SOCI,2021-04-13,,,,,211.5
7408,208.0,210.0,212.0,206.0,11307400,SOCI,2021-04-14,,,,,211.16666666666666
8253,212.0,206.0,212.0,206.0,7110700,SOCI,2021-04-15,,,,210.8,210.0185185185185
9097,208.0,206.0,210.0,206.0,7888000,SOCI,2021-04-16,,,,210.4,209.12551440329216
9941,206.0,208.0,212.0,206.0,5043100,SOCI,2021-04-19,,,,210.4,208.87540009144945
10785,208.0,206.0,210.0,206.0,5535500,SOCI,2021-04-20,,,,209.8,208.23642229334956
11629,206.0,206.0,210.0,204.0,7547400,SOCI,2021-04-21,,,,209.6,207.7394395614941
12473,208.0,206.0,208.0,204.0,5195100,SOCI,2021-04-22,,,,209.0,207.35289743671763
13317,200.0,206.0,208.0,200.0,4135700,SOCI,2021-04-23,,,,207.2,207.0522535618915
14160,206.0,204.0,208.0,202.0,5702000,SOCI,2021-04-26,,,,206.4,206.37397499258228
15003,204.0,202.0,206.0,202.0,6167100,SOCI,2021-04-27,,,,206.0,205.4019805497862
15847,202.0,202.0,204.0,200.0,5163100,SOCI,2021-04-28,,,,205.2,204.64598487205595
16691,202.0,204.0,206.0,200.0,5051400,SOCI,2021-04-29,,,,205.0,204.50243267826573
17535,204.0,204.0,206.0,202.0,3953900,SOCI,2021-04-30,,,,204.8,204.39078097198447
18378,204.0,212.0,218.0,202.0,36765300,SOCI,2021-05-03,,,,205.2,206.0817185337657
19221,216.0,206.0,216.0,206.0,15501900,SOCI,2021-05-04,,,,205.2,206.06355885959553
20065,206.0,204.0,208.0,202.0,10496300,SOCI,2021-05-05,,,,205.0,205.60499022412986
20909,204.0,210.0,212.0,204.0,21112600,SOCI,2021-05-06,,,,205.4,206.58165906321213
21753,210.0,212.0,214.0,210.0,26275700,SOCI,2021-05-07,,,,206.0,207.78573482694276
22596,214.0,214.0,224.0,212.0,48919300,SOCI,2021-05-10,,,,207.0,209.1666826431777
23439,214.0,222.0,228.0,208.0,81849000,SOCI,2021-05-11,,,,209.0,212.01853094469377
24280,236.0,212.0,238.0,212.0,50726100,SOCI,2021-05-17,,,,210.0,212.01441295698405
25120,212.0,228.0,228.0,208.0,60059200,SOCI,2021-05-18,,,209.4,212.4,215.56676563320983
25960,228.0,216.0,232.0,216.0,48515800,SOCI,2021-05-19,,,209.6,213.6,215.66303993694098
26878,218.0,222.0,224.0,216.0,22551900,SOCI,2021-05-20,,,210.06666666666666,214.6,217.07125328428742
27684,224.0,236.0,244.0,224.0,119744700,SOCI,2021-05-21,,,210.86666666666667,217.6,221.27764144333466
28526,240.0,228.0,244.0,226.0,60935200,SOCI,2021-05-24,,,211.53333333333333,220.0,222.7714989003714
29366,228.0,228.0,234.0,220.0,42926100,SOCI,2021-05-25,,,212.06666666666666,221.8,223.9333880336222
30159,228.0,226.0,234.0,222.0,32026800,SOCI,2021-05-27,,,212.13333333333333,223.2,224.39263513726172
31001,226.0,220.0,228.0,216.0,31587800,SOCI,2021-05-28,,,212.4,223.8,223.416493995648
31843,220.0,218.0,224.0,216.0,12937100,SOCI,2021-05-31,,,212.8,223.4,222.21282866328178
32685,220.0,232.0,232.0,218.0,30783000,SOCI,2021-06-02,,,213.53333333333333,225.4,224.38775562699695
33526,234.0,224.0,234.0,224.0,18510200,SOCI,2021-06-03,,,214.13333333333333,225.0,224.30158770988652
34367,224.0,224.0,228.0,222.0,10247700,SOCI,2021-06-04,,,214.73333333333332,225.8,224.23456821880063
35208,226.0,222.0,228.0,220.0,16510300,SOCI,2021-06-07,,,215.2,225.8,223.7379975035116
36051,224.0,218.0,224.0,218.0,8876400,SOCI,2021-06-08,,,215.6,224.0,222.4628869471757
36894,218.0,218.0,224.0,216.0,10859500,SOCI,2021-06-09,,,216.0,223.0,221.47113429224777
37739,220.0,218.0,222.0,218.0,8359700,SOCI,2021-06-10,,,216.4,222.0,220.69977111619272
38586,220.0,222.0,228.0,216.0,28335800,SOCI,2021-06-11,,,216.93333333333334,221.6,220.9887108681499
39433,222.0,226.0,228.0,220.0,18263500,SOCI,2021-06-14,,,217.66666666666666,222.2,222.1023306752277
40280,226.0,230.0,234.0,222.0,57690600,SOCI,2021-06-15,,,218.6,223.4,223.85736830295488
41127,232.0,226.0,240.0,226.0,94421200,SOCI,2021-06-16,,,219.4,222.8,224.33350868007602
41974,224.0,218.0,230.0,218.0,24980500,SOCI,2021-06-17,,,219.86666666666667,222.2,222.92606230672578
42821,218.0,206.0,220.0,204.0,50703800,SOCI,2021-06-18,,,219.93333333333334,220.4,219.16471512745338
43668,204.0,204.0,206.0,195.0,18786100,SOCI,2021-06-21,,,219.66666666666666,218.6,215.79477843246374
44515,204.0,208.0,210.0,202.0,10702800,SOCI,2021-06-22,,,219.73333333333332,217.6,214.0626054474718
45362,212.0,206.0,212.0,204.0,13844500,SOCI,2021-06-23,,,219.8,216.4,212.27091534803364
46209,208.0,204.0,210.0,204.0,9276200,SOCI,2021-06-24,,,219.6,215.0,210.43293415958172
47056,204.0,204.0,216.0,202.0,37188900,SOCI,2021-06-25,,,219.33333333333334,213.2,209.00339323523022
47904,204.0,193.0,206.0,190.0,46289000,SOCI,2021-06-28,,,218.63333333333333,209.9,205.44708362740127
48746,194.0,195.0,195.0,191.0,12044900,SOCI,2021-06-29,,,217.73333333333332,206.4,203.12550948797877
49547,196.0,195.0,200.0,194.0,12153900,SOCI,2021-06-30,,,217.16666666666666,203.3,201.31984071287238
50398,196.0,194.0,200.0,193.0,8400100,SOCI,2021-07-01,,,216.03333333333333,200.9,199.69320944334518
51249,194.0,192.0,196.0,191.0,7427000,SOCI,2021-07-02,,,215.23333333333332,199.5,197.98360734482404
52100,193.0,192.0,197.0,190.0,6174700,SOCI,2021-07-05,,,214.23333333333332,198.3,196.65391682375204
52952,192.0,192.0,194.0,191.0,5618800,SOCI,2021-07-06,,,212.76666666666668,196.7,195.6197130851405
53775,192.0,193.0,193.0,190.0,4188300,SOCI,2021-07-07,,,211.6,195.4,195.03755462177594
54614,193.0,191.0,194.0,190.0,4930600,SOCI,2021-07-08,,,210.36666666666667,194.1,194.14032026138128
55467,191.0,191.0,193.0,190.0,5105600,SOCI,2021-07-09,,,209.2,192.8,193.44247131440767
56320,191.0,187.0,193.0,186.0,11536500,SOCI,2021-07-12,,,208.1,192.2,192.01081102231709
57173,187.0,181.0,187.0,180.0,12735600,SOCI,2021-07-13,,,206.86666666666667,190.8,189.56396412846885
58026,182.0,180.0,186.0,178.0,8073200,SOCI,2021-07-14,,,205.13333333333333,189.3,187.43863876658688
58879,180.0,184.0,194.0,180.0,27542000,SOCI,2021-07-15,,,203.8,188.3,186.67449681845645
59732,184.0,185.0,192.0,182.0,13656300,SOCI,2021-07-16,,,202.5,187.6,186.30238641435503
60584,186.0,182.0,188.0,182.0,5885500,SOCI,2021-07-19,,,201.16666666666666,186.6,185.34630054449835
61436,183.0,185.0,187.0,182.0,6110500,SOCI,2021-07-21,,,200.06666666666666,185.9,185.26934486794315
62288,186.0,189.0,190.0,186.0,6777500,SOCI,2021-07-22,,,199.1,185.5,186.09837934173356
63140,190.0,188.0,191.0,187.0,8072400,SOCI,2021-07-23,,,198.1,185.2,186.5209617102372
63992,189.0,188.0,193.0,188.0,7910100,SOCI,2021-07-26,,,196.96666666666667,184.9,186.84963688574004
64844,189.0,186.0,191.0,185.0,6474300,SOCI,2021-07-27,,,195.63333333333333,184.8,186.6608286889089
65698,185.0,184.0,189.0,183.0,6396100,SOCI,2021-07-28,,,194.1,185.1,186.06953342470692
66552,185.0,208.0,212.0,184.0,122582400,SOCI,2021-07-29,,,193.5,187.9,190.94297044143872
67406,208.0,194.0,210.0,194.0,38667800,SOCI,2021-07-30,,,192.7,188.9,191.6223103433412
68260,193.0,187.0,194.0,187.0,14076400,SOCI,2021-08-02,,,192.06666666666666,189.1,190.59513026704317
69114,187.0,197.0,198.0,187.0,21599400,SOCI,2021-08-03,,,191.83333333333334,190.6,192.0184346521447
69968,198.0,193.0,199.0,192.0,9988800,SOCI,2021-08-04,,,191.33333333333334,191.4,192.23656028500142
70822,194.0,194.0,195.0,191.0,8084500,SOCI,2021-08-05,,,190.93333333333334,191.9,192.62843577722333
71677,194.0,198.0,200.0,190.0,28537100,SOCI,2021-08-06,,,190.73333333333332,192.9,193.82211671561814
72532,199.0,192.0,202.0,191.0,13220200,SOCI,2021-08-09,,,190.33333333333334,193.3,193.41720188992522
73387,192.0,188.0,194.0,184.0,14160500,SOCI,2021-08-10,,,190.16666666666666,193.5,192.21337924771962
74242,187.0,191.0,193.0,187.0,5994100,SOCI,2021-08-12,,,190.03333333333333,194.2,191.94373941489303
75097,192.0,190.0,192.0,189.0,3733200,SOCI,2021-08-13,,,189.86666666666667,192.4,191.51179732269458
75952,190.0,187.0,190.0,186.0,4745800,SOCI,2021-08-16,,,189.63333333333333,191.7,190.50917569542912
76807,187.0,185.0,188.0,183.0,9287500,SOCI,2021-08-18,,,189.4,191.5,189.2849144297782
