,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124241,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-01,,,,,
131662,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-02,,,,,
105336,6000.0,6000.0,6000.0,6000.0,100,SONA,2020-07-03,,,,,
87195,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-06,,,,,
34427,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-07,,,,,
49272,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-08,,,,,
117667,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-09,,,,,
23722,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-10,,,,,6000.0
15486,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-13,,,,,6000.0
31964,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-14,,,,6000.0,6000.0
92969,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-15,,,,6000.0,6000.0
22077,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-16,,,,6000.0,6000.0
107775,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-17,,,,6000.0,6000.0
80611,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-20,,,,6000.0,6000.0
106148,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-21,,,,6000.0,6000.0
97091,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-22,,,,6000.0,6000.0
8897,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-23,,,,6000.0,6000.0
104526,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-24,,,,6000.0,6000.0
57522,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-27,,,,6000.0,6000.0
41845,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-28,,,,6000.0,6000.0
114379,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-07-29,,,,6000.0,6000.0
83065,6000.0,6000.0,6000.0,6000.0,100,SONA,2020-07-30,,,,6000.0,6000.0
120965,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-03,,,,6000.0,6000.0
7260,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-04,,,,6000.0,6000.0
55878,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-05,,,,6000.0,6000.0
72367,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-06,,,,6000.0,6000.0
44315,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-07,,,,6000.0,6000.0
102048,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-10,,,,6000.0,6000.0
55063,6000.0,6000.0,6000.0,6000.0,100,SONA,2020-08-11,,,,6000.0,6000.0
123429,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-12,,,6000.0,6000.0,6000.0
64944,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-13,,,6000.0,6000.0,6000.0
90515,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-14,,,6000.0,6000.0,6000.0
63300,6000.0,6000.0,6000.0,6000.0,0,SONA,2020-08-18,,,6000.0,6000.0,6000.0
92156,5975.0,5975.0,5975.0,5975.0,100,SONA,2020-08-19,,,5999.166666666667,5997.5,5994.444444444444
10546,5975.0,5975.0,5975.0,5975.0,0,SONA,2020-08-24,,,5998.333333333333,5995.0,5990.123456790124
132475,5975.0,5975.0,5975.0,5975.0,0,SONA,2020-08-25,,,5997.5,5992.5,5986.762688614541
106962,5975.0,5975.0,5975.0,5975.0,0,SONA,2020-08-26,,,5996.666666666667,5990.0,5984.148757811309
3966,5975.0,5975.0,5975.0,5975.0,0,SONA,2020-08-27,,,5995.833333333333,5987.5,5982.1157005199075
81424,5975.0,5975.0,5975.0,5975.0,0,SONA,2020-08-28,,,5995.0,5985.0,5980.5344337377055
27846,5975.0,5975.0,5975.0,5975.0,0,SONA,2020-08-31,,,5994.166666666667,5982.5,5979.304559573771
35241,5975.0,5975.0,5975.0,5975.0,0,SONA,2020-09-01,,,5993.333333333333,5980.0,5978.3479907796
