,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121753,600.0,580.0,600.0,580.0,1200,SSTM,2020-07-01,,,,,
129174,720.0,675.0,720.0,675.0,600,SSTM,2020-07-02,,,,,
102848,675.0,675.0,675.0,675.0,0,SSTM,2020-07-03,,,,,
85541,675.0,675.0,675.0,675.0,0,SSTM,2020-07-06,,,,,
34441,675.0,675.0,675.0,675.0,0,SSTM,2020-07-07,,,,,
48452,675.0,675.0,675.0,675.0,0,SSTM,2020-07-08,,,,,
115179,675.0,675.0,675.0,675.0,0,SSTM,2020-07-09,,,,,
23736,675.0,675.0,675.0,675.0,0,SSTM,2020-07-10,,,,,663.125
15500,675.0,675.0,675.0,675.0,0,SSTM,2020-07-13,,,,,665.7638888888889
31978,675.0,675.0,675.0,675.0,0,SSTM,2020-07-14,,,,665.5,667.8163580246913
90481,675.0,675.0,675.0,675.0,0,SSTM,2020-07-15,,,,675.0,669.4127229080933
22091,630.0,670.0,670.0,630.0,400,SSTM,2020-07-16,,,,674.5,669.543228928517
105287,670.0,670.0,670.0,670.0,0,SSTM,2020-07-17,,,,674.0,669.6447336110688
78957,700.0,700.0,700.0,700.0,100,SSTM,2020-07-20,,,,676.5,676.3903483641647
103660,700.0,700.0,700.0,700.0,0,SSTM,2020-07-21,,,,679.0,681.6369376165725
94603,655.0,655.0,655.0,655.0,100,SSTM,2020-07-22,,,,677.0,675.717618146223
8911,655.0,655.0,655.0,655.0,0,SSTM,2020-07-23,,,,675.0,671.1137030026179
102038,700.0,700.0,700.0,700.0,100,SSTM,2020-07-24,,,,677.5,677.5328801131473
55868,655.0,655.0,655.0,655.0,1000,SSTM,2020-07-27,,,,675.5,672.5255734213367
41859,610.0,610.0,610.0,610.0,200,SSTM,2020-07-28,,,,669.0,658.6310015499286
111891,570.0,610.0,610.0,570.0,7100,SSTM,2020-07-29,,,,662.5,647.8241123166111
81411,570.0,665.0,665.0,570.0,51000,SSTM,2020-07-30,,,,662.0,651.6409762462531
118477,620.0,665.0,665.0,620.0,10400,SSTM,2020-08-03,,,,661.5,654.6096481915301
7274,620.0,620.0,620.0,620.0,400,SSTM,2020-08-04,,,,653.5,646.918615260079
54224,585.0,670.0,670.0,580.0,15100,SSTM,2020-08-05,,,,650.5,652.0478118689504
70713,625.0,625.0,625.0,625.0,100,SSTM,2020-08-06,,,,647.5,646.0371870091836
44329,585.0,585.0,585.0,585.0,1200,SSTM,2020-08-07,,,,640.5,632.4733676738095
99560,575.0,575.0,575.0,575.0,100,SSTM,2020-08-10,,,,628.0,619.7015081907408
53409,540.0,595.0,595.0,535.0,26800,SSTM,2020-08-11,,,,622.0,614.212284148354
