,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121756,50.0,50.0,50.0,50.0,0,SUGI,2020-07-01,,,,,
129177,50.0,50.0,50.0,50.0,0,SUGI,2020-07-02,,,,,
102851,50.0,50.0,50.0,50.0,0,SUGI,2020-07-03,,,,,
85544,50.0,50.0,50.0,50.0,0,SUGI,2020-07-06,,,,,
34444,50.0,50.0,50.0,50.0,0,SUGI,2020-07-07,,,,,
48455,50.0,50.0,50.0,50.0,0,SUGI,2020-07-08,,,,,
115182,50.0,50.0,50.0,50.0,0,SUGI,2020-07-09,,,,,
23739,50.0,50.0,50.0,50.0,0,SUGI,2020-07-10,,,,,50.0
15503,50.0,50.0,50.0,50.0,0,SUGI,2020-07-13,,,,,50.0
31981,50.0,50.0,50.0,50.0,0,SUGI,2020-07-14,,,,50.0,50.0
90484,50.0,50.0,50.0,50.0,0,SUGI,2020-07-15,,,,50.0,50.0
22094,50.0,50.0,50.0,50.0,0,SUGI,2020-07-16,,,,50.0,50.0
105290,50.0,50.0,50.0,50.0,0,SUGI,2020-07-17,,,,50.0,50.0
78960,50.0,50.0,50.0,50.0,0,SUGI,2020-07-20,,,,50.0,50.0
103663,50.0,50.0,50.0,50.0,0,SUGI,2020-07-21,,,,50.0,50.0
94606,50.0,50.0,50.0,50.0,0,SUGI,2020-07-22,,,,50.0,50.0
8914,50.0,50.0,50.0,50.0,0,SUGI,2020-07-23,,,,50.0,50.0
102041,50.0,50.0,50.0,50.0,0,SUGI,2020-07-24,,,,50.0,50.0
55871,50.0,50.0,50.0,50.0,0,SUGI,2020-07-27,,,,50.0,50.0
41862,50.0,50.0,50.0,50.0,0,SUGI,2020-07-28,,,,50.0,50.0
111894,50.0,50.0,50.0,50.0,0,SUGI,2020-07-29,,,,50.0,50.0
81414,50.0,50.0,50.0,50.0,0,SUGI,2020-07-30,,,,50.0,50.0
118480,50.0,50.0,50.0,50.0,0,SUGI,2020-08-03,,,,50.0,50.0
7277,50.0,50.0,50.0,50.0,0,SUGI,2020-08-04,,,,50.0,50.0
54227,50.0,50.0,50.0,50.0,0,SUGI,2020-08-05,,,,50.0,50.0
70716,50.0,50.0,50.0,50.0,0,SUGI,2020-08-06,,,,50.0,50.0
44332,50.0,50.0,50.0,50.0,0,SUGI,2020-08-07,,,,50.0,50.0
99563,50.0,50.0,50.0,50.0,0,SUGI,2020-08-10,,,,50.0,50.0
