,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
693,2090.0,2090.0,2090.0,2090.0,30000,SURE,2021-04-01,,,,,
1533,2090.0,2090.0,2090.0,2090.0,0,SURE,2021-04-05,,,,,
2373,1950.0,1950.0,1950.0,1950.0,1000,SURE,2021-04-06,,,,,
3215,1925.0,2080.0,2080.0,1925.0,66900,SURE,2021-04-07,,,,,
4057,2050.0,2050.0,2050.0,2050.0,900,SURE,2021-04-08,,,,,
4900,2000.0,2050.0,2050.0,2000.0,21300,SURE,2021-04-09,,,,,
5743,2050.0,2050.0,2050.0,2050.0,0,SURE,2021-04-12,,,,,
6587,2000.0,2050.0,2050.0,2000.0,20100,SURE,2021-04-13,,,,,2051.25
7432,2000.0,2050.0,2050.0,2000.0,20200,SURE,2021-04-14,,,,,2050.972222222222
8277,2000.0,2000.0,2000.0,2000.0,500,SURE,2021-04-15,,,,2046.0,2039.645061728395
9121,1990.0,2000.0,2000.0,1990.0,6700,SURE,2021-04-16,,,,2037.0,2030.8350480109739
9965,2100.0,2100.0,2100.0,2100.0,46300,SURE,2021-04-19,,,,2038.0,2046.2050373418685
10809,2070.0,2070.0,2070.0,2070.0,100,SURE,2021-04-20,,,,2050.0,2051.492806821453
11653,2070.0,2070.0,2070.0,2070.0,0,SURE,2021-04-21,,,,2049.0,2055.6055164166855
12497,2070.0,2070.0,2070.0,2070.0,0,SURE,2021-04-22,,,,2051.0,2058.8042905463108
13341,2070.0,2070.0,2070.0,2070.0,0,SURE,2021-04-23,,,,2053.0,2061.292225980464
14184,2040.0,2070.0,2070.0,2040.0,9200,SURE,2021-04-26,,,,2055.0,2063.227286873694
15027,2040.0,2040.0,2040.0,2040.0,2300,SURE,2021-04-27,,,,2054.0,2058.0656675684286
15871,2020.0,2000.0,2020.0,1900.0,1400,SURE,2021-04-28,,,,2049.0,2045.1621858865556
16715,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-04-29,,,,2049.0,2035.126144578432
17559,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-04-30,,,,2049.0,2027.3203346721139
18402,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-05-03,,,,2039.0,2021.2491491894218
19245,1980.0,1980.0,1980.0,1980.0,1400,SURE,2021-05-04,,,,2030.0,2012.0826715917726
20089,1980.0,1980.0,1980.0,1980.0,0,SURE,2021-05-05,,,,2021.0,2004.9531890158232
20933,1960.0,1920.0,1960.0,1920.0,300,SURE,2021-05-06,,,,2006.0,1986.0747025678625
21777,2000.0,2000.0,2000.0,2000.0,41000,SURE,2021-05-07,,,,1999.0,1989.1692131083375
22620,1970.0,1970.0,1970.0,1970.0,100,SURE,2021-05-10,,,,1989.0,1984.9093879731515
23463,2000.0,2000.0,2000.0,2000.0,20500,SURE,2021-05-11,,,,1985.0,1988.2628573124512
24304,2000.0,2000.0,2000.0,2000.0,100,SURE,2021-05-17,,,,1985.0,1990.8711112430176
25144,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-05-18,,,2026.6666666666667,1985.0,1992.8997531890136
25984,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-05-19,,,2023.6666666666667,1985.0,1994.4775858136773
26903,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-05-20,,,2020.6666666666667,1985.0,1995.7047889661935
27708,1980.0,1980.0,1980.0,1980.0,100,SURE,2021-05-21,,,2021.6666666666667,1985.0,1992.214835862595
28550,2000.0,2000.0,2000.0,2000.0,11500,SURE,2021-05-24,,,2019.0,1987.0,1993.944872337574
29390,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-05-25,,,2017.3333333333333,1995.0,1995.2904562625577
30183,2000.0,2000.0,2000.0,2000.0,300,SURE,2021-05-27,,,2015.6666666666667,1995.0,1996.3370215375448
31025,2000.0,2000.0,2000.0,2000.0,0,SURE,2021-05-28,,,2014.0,1998.0,1997.1510167514239
31867,1860.0,2000.0,2000.0,1860.0,525900,SURE,2021-05-31,,,2012.3333333333333,1998.0,1997.7841241399963
32709,1995.0,2000.0,2000.0,1995.0,942900,SURE,2021-06-02,,,2010.6666666666667,1998.0,1998.2765409977749
33550,1985.0,1995.0,1995.0,1985.0,873600,SURE,2021-06-03,,,2010.5,1997.5,1997.5484207760471
34391,1995.0,2000.0,2000.0,1995.0,855100,SURE,2021-06-04,,,2010.5,1997.5,1998.0932161591477
35232,1995.0,1995.0,1995.0,1955.0,929500,SURE,2021-06-07,,,2007.0,1997.0,1997.4058347904481
36075,1995.0,2000.0,2000.0,1990.0,1015300,SURE,2021-06-08,,,2004.6666666666667,1999.0,1997.9823159481264
36918,1995.0,1930.0,1995.0,1930.0,905800,SURE,2021-06-09,,,2000.0,1992.0,1982.8751346263205
