,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120926,95.0,95.0,98.0,92.0,2283700,SWAT,2020-07-01,,,,,
128347,95.0,96.0,97.0,94.0,873800,SWAT,2020-07-02,,,,,
102021,96.0,97.0,98.0,96.0,200500,SWAT,2020-07-03,,,,,
84714,101.0,100.0,102.0,97.0,287000,SWAT,2020-07-06,,,,,
34448,100.0,97.0,100.0,97.0,1171200,SWAT,2020-07-07,,,,,
47625,97.0,95.0,100.0,93.0,2012300,SWAT,2020-07-08,,,,,
114352,96.0,93.0,99.0,93.0,1412600,SWAT,2020-07-09,,,,,
23743,94.0,95.0,97.0,93.0,1131700,SWAT,2020-07-10,,,,,96.0
15507,96.0,96.0,99.0,95.0,1247600,SWAT,2020-07-13,,,,,96.0
31985,96.0,97.0,98.0,96.0,1023100,SWAT,2020-07-14,,,,96.1,96.22222222222223
89654,97.0,94.0,99.0,94.0,1337400,SWAT,2020-07-15,,,,96.0,95.7283950617284
22098,95.0,95.0,97.0,95.0,1151400,SWAT,2020-07-16,,,,95.9,95.56652949245543
104460,96.0,95.0,98.0,94.0,1092300,SWAT,2020-07-17,,,,95.7,95.44063404968756
78130,95.0,93.0,97.0,93.0,1279200,SWAT,2020-07-20,,,,95.0,94.89827092753477
102833,94.0,95.0,99.0,94.0,1705600,SWAT,2020-07-21,,,,94.8,94.9208773880826
93776,96.0,96.0,98.0,94.0,1427200,SWAT,2020-07-22,,,,94.9,95.16068241295314
8918,96.0,95.0,96.0,94.0,1449900,SWAT,2020-07-23,,,,95.1,95.12497521007467
101211,95.0,93.0,95.0,93.0,1424000,SWAT,2020-07-24,,,,94.9,94.65275849672474
55041,94.0,95.0,95.0,93.0,1288600,SWAT,2020-07-27,,,,94.8,94.72992327523036
41866,95.0,95.0,98.0,94.0,1576700,SWAT,2020-07-28,,,,94.6,94.78994032517917
111064,95.0,95.0,97.0,95.0,1040900,SWAT,2020-07-29,,,,94.7,94.83662025291713
80584,95.0,95.0,96.0,93.0,1599700,SWAT,2020-07-30,,,,94.7,94.87292686337999
117650,94.0,95.0,95.0,89.0,3402200,SWAT,2020-08-03,,,,94.7,94.90116533818444
7281,95.0,90.0,95.0,89.0,2627600,SWAT,2020-08-04,,,,94.4,93.81201748525457
53397,91.0,90.0,97.0,90.0,2658500,SWAT,2020-08-05,,,,93.9,92.96490248853134
69886,90.0,93.0,96.0,90.0,2130000,SWAT,2020-08-06,,,,93.6,92.97270193552437
43502,93.0,92.0,94.0,90.0,1594300,SWAT,2020-08-07,,,,93.3,92.75654594985228
98733,92.0,92.0,95.0,90.0,1216000,SWAT,2020-08-10,,,,93.2,92.58842462766289
52582,92.0,91.0,95.0,90.0,1446600,SWAT,2020-08-11,,,,92.8,92.23544137707114
120114,91.0,86.0,99.0,85.0,7635800,SWAT,2020-08-12,,,94.2,91.9,90.849787737722
62463,87.0,89.0,92.0,87.0,2221200,SWAT,2020-08-13,,,94.0,91.3,90.438723796006
87200,83.0,90.0,94.0,83.0,1544000,SWAT,2020-08-14,,,93.8,90.8,90.34122961911578
60819,84.0,91.0,93.0,84.0,1819700,SWAT,2020-08-18,,,93.6,90.4,90.48762303709005
88841,88.0,91.0,94.0,88.0,2011600,SWAT,2020-08-19,,,93.3,90.5,90.60148458440337
10567,86.0,122.0,122.0,86.0,27078600,SWAT,2020-08-24,,,94.13333333333334,93.7,97.57893245453594
129160,123.0,118.0,133.0,114.0,28337800,SWAT,2020-08-25,,,94.9,96.2,102.11694746463907
103647,119.0,110.0,119.0,110.0,1979300,SWAT,2020-08-26,,,95.46666666666667,98.0,103.8687369169415
3987,108.0,103.0,108.0,103.0,3606300,SWAT,2020-08-27,,,95.73333333333333,99.1,103.67568426873228
78943,100.0,96.0,105.0,96.0,9891500,SWAT,2020-08-28,,,95.73333333333333,99.6,101.96997665345845
27867,98.0,98.0,102.0,96.0,2073400,SWAT,2020-08-31,,,95.76666666666667,100.8,101.08775961935658
35262,98.0,94.0,99.0,92.0,1776300,SWAT,2020-09-01,,,95.76666666666667,101.3,99.51270192616623
39400,95.0,94.0,95.0,94.0,581900,SWAT,2020-09-02,,,95.73333333333333,101.7,98.28765705368484
