,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
5749,270.0,270.0,270.0,270.0,40200,TAPG,2021-04-12,,,,,
6593,336.0,336.0,336.0,336.0,101700,TAPG,2021-04-13,,,,,
7438,420.0,420.0,420.0,420.0,514900,TAPG,2021-04-14,,,,,
8283,525.0,525.0,525.0,525.0,6460300,TAPG,2021-04-15,,,,,
9127,655.0,655.0,655.0,625.0,167185500,TAPG,2021-04-16,,,,,
9971,700.0,680.0,775.0,615.0,1077729200,TAPG,2021-04-19,,,,,
10815,680.0,715.0,720.0,670.0,655967200,TAPG,2021-04-20,,,,,
11659,715.0,715.0,725.0,685.0,532644500,TAPG,2021-04-21,,,,,539.5
12503,720.0,750.0,795.0,695.0,581605100,TAPG,2021-04-22,,,,,586.2777777777778
13347,750.0,730.0,770.0,725.0,655037100,TAPG,2021-04-23,,,,579.6,618.216049382716
14190,725.0,705.0,730.0,690.0,265035300,TAPG,2021-04-26,,,,623.1,637.5013717421125
15033,705.0,725.0,730.0,685.0,190533800,TAPG,2021-04-27,,,,662.0,656.9455113549764
15877,725.0,700.0,730.0,695.0,165422900,TAPG,2021-04-28,,,,690.0,666.5131754983149
16721,705.0,705.0,715.0,690.0,162347200,TAPG,2021-04-29,,,,708.0,675.0658031653561
17565,710.0,695.0,710.0,685.0,134920900,TAPG,2021-04-30,,,,712.0,679.4956246841658
18408,695.0,685.0,700.0,680.0,104976800,TAPG,2021-05-03,,,,712.5,680.7188191987956
19251,695.0,695.0,695.0,680.0,144088300,TAPG,2021-05-04,,,,710.5,683.8924149323966
20095,700.0,740.0,740.0,695.0,157766700,TAPG,2021-05-05,,,,713.0,696.3607671696418
20939,740.0,720.0,740.0,715.0,130343100,TAPG,2021-05-06,,,,710.0,701.6139300208325
21783,730.0,765.0,775.0,725.0,221036600,TAPG,2021-05-07,,,,713.5,715.6997233495364
22626,775.0,795.0,800.0,755.0,169318400,TAPG,2021-05-10,,,,722.5,733.3220070496394
23469,790.0,775.0,790.0,765.0,113652200,TAPG,2021-05-11,,,,727.5,742.5837832608306
24310,775.0,750.0,780.0,725.0,130345400,TAPG,2021-05-17,,,,732.5,744.2318314250905
25150,745.0,775.0,780.0,715.0,175788400,TAPG,2021-05-18,,,,739.5,751.0692022195149
25990,780.0,785.0,795.0,760.0,132428000,TAPG,2021-05-19,,,,748.5,758.6093795040671
26910,785.0,770.0,785.0,750.0,120653400,TAPG,2021-05-20,,,,757.0,761.1406285031633
27714,770.0,755.0,775.0,750.0,55733500,TAPG,2021-05-21,,,,763.0,759.7760443913492
28556,760.0,740.0,780.0,740.0,61312200,TAPG,2021-05-24,,,,763.0,755.3813678599382
29396,740.0,725.0,745.0,725.0,49554200,TAPG,2021-05-25,,,,763.5,748.629952779952
30189,725.0,750.0,765.0,725.0,135633300,TAPG,2021-05-27,,,685.0333333333333,762.0,748.9344077177404
31031,740.0,735.0,750.0,730.0,95267600,TAPG,2021-05-28,,,700.5333333333333,756.0,745.8378726693537
31873,740.0,745.0,770.0,735.0,119971600,TAPG,2021-05-31,,,714.1666666666666,753.0,745.6516787428307
32715,745.0,725.0,745.0,715.0,106404800,TAPG,2021-06-02,,,724.3333333333334,750.5,741.0624167999794
33556,730.0,720.0,740.0,705.0,114148100,TAPG,2021-06-03,,,730.8333333333334,745.0,736.3818797333173
34397,725.0,710.0,730.0,705.0,103183100,TAPG,2021-06-04,,,732.6666666666666,737.5,730.5192397925802
35238,705.0,700.0,715.0,700.0,54784200,TAPG,2021-06-07,,,733.3333333333334,730.5,723.7371865053401
36081,705.0,700.0,710.0,685.0,82726400,TAPG,2021-06-08,,,732.8333333333334,725.0,718.4622561708201
