,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
700,50.0,50.0,50.0,50.0,100,TAXI,2021-04-01,,,,,
1540,50.0,50.0,50.0,50.0,200000,TAXI,2021-04-05,,,,,
2380,50.0,50.0,50.0,50.0,2600,TAXI,2021-04-06,,,,,
3222,50.0,50.0,50.0,50.0,200,TAXI,2021-04-07,,,,,
4064,50.0,50.0,50.0,50.0,200,TAXI,2021-04-08,,,,,
4907,50.0,50.0,50.0,50.0,20000,TAXI,2021-04-09,,,,,
5751,50.0,50.0,50.0,50.0,0,TAXI,2021-04-12,,,,,
6595,50.0,50.0,50.0,50.0,3700,TAXI,2021-04-13,,,,,50.0
7440,50.0,50.0,50.0,50.0,0,TAXI,2021-04-14,,,,,50.0
8285,50.0,50.0,50.0,50.0,200,TAXI,2021-04-15,,,,50.0,50.0
9129,50.0,50.0,50.0,50.0,200,TAXI,2021-04-16,,,,50.0,50.0
9973,50.0,50.0,50.0,50.0,4300,TAXI,2021-04-19,,,,50.0,50.0
10817,50.0,50.0,50.0,50.0,0,TAXI,2021-04-20,,,,50.0,50.0
11661,50.0,50.0,50.0,50.0,1000,TAXI,2021-04-21,,,,50.0,50.0
12505,50.0,50.0,50.0,50.0,11000,TAXI,2021-04-22,,,,50.0,50.0
13349,50.0,50.0,50.0,50.0,0,TAXI,2021-04-23,,,,50.0,50.0
14192,50.0,50.0,50.0,50.0,0,TAXI,2021-04-26,,,,50.0,50.0
15035,50.0,50.0,50.0,50.0,100,TAXI,2021-04-27,,,,50.0,50.0
15879,50.0,50.0,50.0,50.0,1000,TAXI,2021-04-28,,,,50.0,50.0
16723,50.0,50.0,50.0,50.0,0,TAXI,2021-04-29,,,,50.0,50.0
17567,50.0,50.0,50.0,50.0,0,TAXI,2021-04-30,,,,50.0,50.0
18410,50.0,50.0,50.0,50.0,100,TAXI,2021-05-03,,,,50.0,50.0
19253,50.0,50.0,50.0,50.0,3000,TAXI,2021-05-04,,,,50.0,50.0
20097,50.0,50.0,50.0,50.0,100,TAXI,2021-05-05,,,,50.0,50.0
