,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
704,6275.0,6375.0,6375.0,6275.0,1000,TCID,2021-04-01,,,,,
1544,6375.0,6350.0,6375.0,6350.0,1100,TCID,2021-04-05,,,,,
2384,6375.0,6375.0,6375.0,6375.0,7500,TCID,2021-04-06,,,,,
3226,6325.0,6350.0,6375.0,6300.0,5300,TCID,2021-04-07,,,,,
4068,6375.0,6350.0,6375.0,6350.0,1600,TCID,2021-04-08,,,,,
4911,6350.0,6425.0,6425.0,6350.0,46000,TCID,2021-04-09,,,,,
5755,6475.0,6375.0,6500.0,6375.0,6300,TCID,2021-04-12,,,,,
6599,6375.0,6400.0,6400.0,6375.0,1000,TCID,2021-04-13,,,,,6375.0
7444,6400.0,6400.0,6400.0,6400.0,1200,TCID,2021-04-14,,,,,6380.555555555556
8289,6400.0,6375.0,6400.0,6375.0,1600,TCID,2021-04-15,,,,6377.5,6379.3209876543215
9133,6350.0,6375.0,6375.0,6350.0,2700,TCID,2021-04-16,,,,6377.5,6378.360768175583
9977,6375.0,6375.0,6375.0,6350.0,5900,TCID,2021-04-19,,,,6380.0,6377.613930803232
10821,6375.0,6425.0,6425.0,6325.0,5300,TCID,2021-04-20,,,,6385.0,6388.144168402513
11665,6400.0,6400.0,6400.0,6350.0,7100,TCID,2021-04-21,,,,6390.0,6390.778797646399
12509,6350.0,6375.0,6375.0,6350.0,8400,TCID,2021-04-22,,,,6392.5,6387.272398169422
13353,6400.0,6400.0,6400.0,6375.0,2200,TCID,2021-04-23,,,,6390.0,6390.100754131772
14196,6400.0,6350.0,6400.0,6325.0,2200,TCID,2021-04-26,,,,6387.5,6381.189475435823
15039,6350.0,6200.0,6350.0,6200.0,60700,TCID,2021-04-27,,,,6367.5,6340.925147561195
15883,6200.0,6200.0,6200.0,6150.0,24800,TCID,2021-04-28,,,,6347.5,6309.608448103152
16727,6200.0,6175.0,6200.0,6150.0,14800,TCID,2021-04-29,,,,6327.5,6279.695459635785
17571,6150.0,6175.0,6200.0,6125.0,4300,TCID,2021-04-30,,,,6307.5,6256.4298019389435
18414,6200.0,6200.0,6200.0,6175.0,1500,TCID,2021-05-03,,,,6290.0,6243.889845952512
