,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120944,5750.0,6000.0,6000.0,5750.0,700,TGKA,2020-07-01,,,,,
128365,6200.0,6300.0,6300.0,6200.0,2000,TGKA,2020-07-02,,,,,
102039,6400.0,6400.0,6400.0,6400.0,2800,TGKA,2020-07-03,,,,,
84732,6500.0,6400.0,6500.0,6400.0,800,TGKA,2020-07-06,,,,,
34466,6400.0,6400.0,6400.0,6400.0,200,TGKA,2020-07-07,,,,,
47643,6450.0,6450.0,6450.0,6450.0,2500,TGKA,2020-07-08,,,,,
114370,6500.0,6500.0,6500.0,6500.0,500,TGKA,2020-07-09,,,,,
23761,6500.0,6500.0,6500.0,6500.0,0,TGKA,2020-07-10,,,,,6368.75
15525,6500.0,6500.0,6500.0,6500.0,0,TGKA,2020-07-13,,,,,6397.916666666667
32003,6500.0,6500.0,6500.0,6500.0,300,TGKA,2020-07-14,,,,6395.0,6420.601851851852
89672,6500.0,6500.0,6500.0,6500.0,0,TGKA,2020-07-15,,,,6445.0,6438.2458847736625
22116,6500.0,6500.0,6500.0,6500.0,0,TGKA,2020-07-16,,,,6465.0,6451.969021490627
104478,6500.0,6500.0,6500.0,6500.0,0,TGKA,2020-07-17,,,,6475.0,6462.642572270487
78148,6400.0,6400.0,6400.0,6400.0,200,TGKA,2020-07-20,,,,6475.0,6448.722000654823
102851,6400.0,6400.0,6400.0,6400.0,0,TGKA,2020-07-21,,,,6475.0,6437.894889398196
93794,6400.0,6400.0,6400.0,6400.0,0,TGKA,2020-07-22,,,,6470.0,6429.473802865264
8936,6400.0,6400.0,6400.0,6400.0,200,TGKA,2020-07-23,,,,6460.0,6422.924068895205
101229,6400.0,6400.0,6400.0,6400.0,0,TGKA,2020-07-24,,,,6450.0,6417.8298313629375
55059,6500.0,6500.0,6500.0,6500.0,200,TGKA,2020-07-27,,,,6450.0,6436.08986883784
41884,6500.0,6500.0,6500.0,6500.0,0,TGKA,2020-07-28,,,,6450.0,6450.292120207209
111082,7800.0,7800.0,7800.0,7800.0,100,TGKA,2020-07-29,,,,6580.0,6750.227204605607
80602,7350.0,7275.0,7350.0,7275.0,1000,TGKA,2020-07-30,,,,6657.5,6866.843381359917
117668,7275.0,7275.0,7275.0,7275.0,200,TGKA,2020-08-03,,,,6735.0,6957.544852168824
7299,7275.0,7500.0,7500.0,7275.0,400,TGKA,2020-08-04,,,,6845.0,7078.090440575752
53415,7500.0,7500.0,7500.0,7500.0,0,TGKA,2020-08-05,,,,6955.0,7171.848120447807
69904,7500.0,7500.0,7500.0,7500.0,0,TGKA,2020-08-06,,,,7065.0,7244.770760348294
43520,7500.0,7500.0,7500.0,7500.0,0,TGKA,2020-08-07,,,,7175.0,7301.488369159784
98751,7500.0,7500.0,7500.0,7500.0,200,TGKA,2020-08-10,,,,7285.0,7345.602064902055
52600,7500.0,7500.0,7500.0,7500.0,200,TGKA,2020-08-11,,,,7385.0,7379.912717146042
120132,7500.0,7500.0,7500.0,7500.0,0,TGKA,2020-08-12,,,6776.666666666667,7485.0,7406.598780002478
62481,7500.0,7500.0,7500.0,7500.0,100,TGKA,2020-08-13,,,6826.666666666667,7455.0,7427.354606668594
87218,7500.0,7500.0,7500.0,7500.0,0,TGKA,2020-08-14,,,6866.666666666667,7477.5,7443.498027408907
60837,7500.0,7500.0,7500.0,7500.0,0,TGKA,2020-08-18,,,6903.333333333333,7500.0,7456.054021318038
88859,7000.0,7000.0,7000.0,6975.0,1400,TGKA,2020-08-19,,,6923.333333333333,7450.0,7354.708683247363
10585,7000.0,7000.0,7000.0,7000.0,100,TGKA,2020-08-24,,,6943.333333333333,7400.0,7275.884531414616
129178,7250.0,7725.0,7725.0,7250.0,1300,TGKA,2020-08-25,,,6985.833333333333,7422.5,7375.687968878035
103665,7750.0,7750.0,7750.0,7500.0,800,TGKA,2020-08-26,,,7027.5,7447.5,7458.868420238471
4005,8000.0,7750.0,8500.0,7750.0,1800,TGKA,2020-08-27,,,7069.166666666667,7472.5,7523.564326852144
78961,7750.0,7750.0,7750.0,7750.0,100,TGKA,2020-08-28,,,7110.833333333333,7497.5,7573.883365329446
27885,7700.0,8000.0,8000.0,7700.0,500,TGKA,2020-08-31,,,7160.833333333333,7547.5,7668.575950811792
35280,8000.0,8050.0,8750.0,8000.0,5400,TGKA,2020-09-01,,,7212.5,7602.5,7753.336850631394
39418,8050.0,8050.0,8050.0,8050.0,100,TGKA,2020-09-02,,,7264.166666666667,7657.5,7819.2619949355285
68253,8050.0,8050.0,8050.0,8050.0,100,TGKA,2020-09-03,,,7315.833333333333,7712.5,7870.537107172077
13061,8050.0,8050.0,8050.0,8050.0,0,TGKA,2020-09-04,,,7370.833333333333,7817.5,7910.417750022727
27068,8050.0,8050.0,8050.0,8050.0,100,TGKA,2020-09-07,,,7425.833333333333,7922.5,7941.436027795455
107781,7850.0,7850.0,7850.0,7850.0,100,TGKA,2020-09-08,,,7474.166666666667,7935.0,7921.116910507576
121762,7850.0,7850.0,7850.0,7850.0,100,TGKA,2020-09-09,,,7522.5,7945.0,7905.313152617004
8120,7700.0,7325.0,7700.0,7325.0,1200,TGKA,2020-09-10,,,7553.333333333333,7902.5,7776.354674257669
17997,7325.0,7575.0,7575.0,7100.0,700,TGKA,2020-09-11,,,7589.166666666667,7885.0,7731.609191089298
44345,8000.0,8500.0,8500.0,8000.0,200,TGKA,2020-09-14,,,7655.833333333333,7935.0,7902.362704180566
65786,8500.0,8675.0,8700.0,8500.0,1400,TGKA,2020-09-15,,,7685.0,7997.5,8074.059881029329
1534,8400.0,8500.0,8500.0,8400.0,300,TGKA,2020-09-16,,,7725.833333333333,8042.5,8168.713240800589
55884,8000.0,8000.0,8000.0,8000.0,100,TGKA,2020-09-17,,,7750.0,8037.5,8131.22140951157
61664,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-09-18,,,7766.666666666667,8032.5,8102.061096286777
71556,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-09-21,,,7783.333333333333,8027.5,8079.380852667493
99578,8000.0,8000.0,8000.0,8000.0,200,TGKA,2020-09-22,,,7800.0,8042.5,8061.7406631858275
76508,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-09-23,,,7816.666666666667,8057.5,8048.020515811199
64958,8000.0,8000.0,8000.0,8000.0,400,TGKA,2020-09-24,,,7833.333333333333,8125.0,8037.349290075377
96279,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-09-25,,,7850.0,8167.5,8029.049447836404
59195,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-09-28,,,7866.666666666667,8117.5,8022.59401498387
16349,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-09-29,,,7883.333333333333,8050.0,8017.573122765232
83920,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-09-30,,,7900.0,8000.0,8013.667984372958
91320,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-10-01,,,7916.666666666667,8000.0,8010.630654512301
67437,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-10-02,,,7950.0,8000.0,8008.2682868429
12245,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-10-05,,,7983.333333333333,8000.0,8006.4308897667
119316,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-10-06,,,7992.5,8000.0,8005.0018031518775
21303,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-10-07,,,8000.833333333333,8000.0,8003.890291340349
19647,8000.0,8000.0,8000.0,8000.0,0,TGKA,2020-10-08,,,8009.166666666667,8000.0,8003.025782153605
