,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120951,3070.0,3040.0,3100.0,3010.0,148037400,TLKM,2020-07-01,,,,,
128372,3040.0,3140.0,3140.0,3040.0,178357900,TLKM,2020-07-02,,,,,
102046,3150.0,3120.0,3180.0,3110.0,102033100,TLKM,2020-07-03,,,,,
84739,3130.0,3050.0,3150.0,3040.0,248572600,TLKM,2020-07-06,,,,,
34473,3060.0,3120.0,3120.0,3050.0,169104200,TLKM,2020-07-07,,,,,
47650,3130.0,3150.0,3160.0,3110.0,158166300,TLKM,2020-07-08,,,,,
114377,3170.0,3110.0,3190.0,3110.0,125940800,TLKM,2020-07-09,,,,,
23768,3110.0,3110.0,3130.0,3100.0,95422400,TLKM,2020-07-10,,,,,3105.0
15532,3120.0,3090.0,3130.0,3080.0,77733900,TLKM,2020-07-13,,,,,3101.6666666666665
32010,3100.0,3080.0,3110.0,3070.0,111442600,TLKM,2020-07-14,,,,3101.0,3096.8518518518517
89679,3120.0,3090.0,3130.0,3080.0,102304100,TLKM,2020-07-15,,,,3106.0,3095.329218106996
22123,3090.0,3100.0,3110.0,3080.0,91951000,TLKM,2020-07-16,,,,3102.0,3096.3671696387746
104485,3100.0,3060.0,3110.0,3060.0,112416300,TLKM,2020-07-17,,,,3096.0,3088.2855763857137
78155,3080.0,3060.0,3080.0,3040.0,64735500,TLKM,2020-07-20,,,,3097.0,3081.999892744444
102858,3050.0,3060.0,3110.0,3050.0,101283800,TLKM,2020-07-21,,,,3091.0,3077.111027690123
93801,3070.0,3070.0,3090.0,3060.0,69462100,TLKM,2020-07-22,,,,3083.0,3075.53079931454
8943,3070.0,3070.0,3090.0,3060.0,70482100,TLKM,2020-07-23,,,,3079.0,3074.301732800198
101236,3080.0,3020.0,3080.0,3020.0,137265100,TLKM,2020-07-24,,,,3070.0,3062.2346810668205
55066,3020.0,3040.0,3050.0,3020.0,58708800,TLKM,2020-07-27,,,,3065.0,3057.293640829749
41891,3050.0,3020.0,3050.0,3010.0,102705300,TLKM,2020-07-28,,,,3059.0,3049.006165089805
111089,3030.0,3000.0,3050.0,3000.0,114352000,TLKM,2020-07-29,,,,3050.0,3038.1159061809594
80609,3040.0,3050.0,3050.0,3000.0,95785000,TLKM,2020-07-30,,,,3045.0,3040.756815918524
117675,3060.0,2920.0,3060.0,2850.0,255659800,TLKM,2020-08-03,,,,3031.0,3013.9219679366297
7306,2970.0,2950.0,2970.0,2920.0,96018000,TLKM,2020-08-04,,,,3020.0,2999.717086172934
53422,2960.0,3020.0,3040.0,2920.0,120719100,TLKM,2020-08-05,,,,3016.0,3004.2244003567266
69911,3050.0,3020.0,3050.0,3000.0,71699000,TLKM,2020-08-06,,,,3011.0,3007.730089166343
43527,3020.0,2980.0,3030.0,2970.0,78347200,TLKM,2020-08-07,,,,3002.0,3001.567847129378
98758,3000.0,2970.0,3020.0,2970.0,65485400,TLKM,2020-08-10,,,,2997.0,2994.5527699895165
52607,2980.0,2930.0,3000.0,2930.0,175693000,TLKM,2020-08-11,,,,2986.0,2980.207709991846
120139,2930.0,2950.0,2960.0,2920.0,110934800,TLKM,2020-08-12,,,3046.3333333333335,2979.0,2973.4948855492134
62488,2950.0,3010.0,3020.0,2950.0,160906600,TLKM,2020-08-13,,,3045.3333333333335,2980.0,2981.6071332049437
87225,3020.0,3030.0,3040.0,3000.0,93007500,TLKM,2020-08-14,,,3041.6666666666665,2978.0,2992.361103603845
60844,3030.0,3050.0,3060.0,3000.0,139358500,TLKM,2020-08-18,,,3039.3333333333335,2991.0,3005.169747247435
88866,3050.0,3000.0,3050.0,3000.0,103980600,TLKM,2020-08-19,,,3037.6666666666665,2996.0,3004.020914525783
10592,3010.0,3000.0,3020.0,2990.0,76713900,TLKM,2020-08-24,,,3033.6666666666665,2994.0,3003.127377964498
129185,3010.0,2980.0,3010.0,2980.0,100013600,TLKM,2020-08-25,,,3028.0,2990.0,2997.987960639054
103672,2980.0,3020.0,3050.0,2980.0,122465300,TLKM,2020-08-26,,,3025.0,2994.0,3002.8795249414866
4012,3020.0,2990.0,3040.0,2970.0,102787800,TLKM,2020-08-27,,,3021.0,2996.0,3000.017408287823
78968,2990.0,2960.0,2990.0,2940.0,160569500,TLKM,2020-08-28,,,3016.6666666666665,2999.0,2991.1246508905288
27892,2960.0,2860.0,2980.0,2860.0,204261100,TLKM,2020-08-31,,,3009.3333333333335,2990.0,2961.985839581522
35287,2900.0,2900.0,2910.0,2860.0,90565400,TLKM,2020-09-01,,,3003.0,2979.0,2948.211208563406
39425,2900.0,2950.0,2970.0,2900.0,107589800,TLKM,2020-09-02,,,2998.0,2971.0,2948.608717771538
68260,2950.0,2900.0,2960.0,2880.0,123106100,TLKM,2020-09-03,,,2992.6666666666665,2956.0,2937.8067804889743
13068,2850.0,2860.0,2890.0,2840.0,143569100,TLKM,2020-09-04,,,2986.0,2942.0,2920.5163848247576
