,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126791,135.0,137.0,137.0,134.0,8100,TMPO,2020-07-01,,,,,
134212,147.0,147.0,147.0,147.0,9200,TMPO,2020-07-02,,,,,
107886,139.0,145.0,145.0,139.0,700,TMPO,2020-07-03,,,,,
89745,136.0,137.0,137.0,136.0,20100,TMPO,2020-07-06,,,,,
34475,136.0,148.0,148.0,136.0,6000,TMPO,2020-07-07,,,,,
51822,138.0,140.0,150.0,138.0,38100,TMPO,2020-07-08,,,,,
120217,134.0,146.0,150.0,134.0,23600,TMPO,2020-07-09,,,,,
23770,152.0,148.0,152.0,146.0,76400,TMPO,2020-07-10,,,,,143.5
15534,138.0,142.0,142.0,138.0,11600,TMPO,2020-07-13,,,,,143.16666666666666
32012,134.0,136.0,136.0,134.0,6300,TMPO,2020-07-14,,,,142.6,141.57407407407408
95519,131.0,135.0,135.0,131.0,200,TMPO,2020-07-15,,,,142.4,140.11316872427983
22125,130.0,133.0,147.0,130.0,2200,TMPO,2020-07-16,,,,141.0,138.53246456332874
110325,147.0,143.0,147.0,140.0,1700,TMPO,2020-07-17,,,,140.8,139.52525021592237
83161,153.0,152.0,153.0,145.0,10300,TMPO,2020-07-20,,,,142.3,142.29741683460628
108698,152.0,147.0,152.0,142.0,13100,TMPO,2020-07-21,,,,142.2,143.3424353158049
99641,147.0,145.0,147.0,137.0,1500,TMPO,2020-07-22,,,,142.7,143.7107830234038
8945,145.0,145.0,145.0,145.0,0,TMPO,2020-07-23,,,,142.6,143.9972756848696
107076,145.0,136.0,145.0,136.0,1300,TMPO,2020-07-24,,,,141.4,142.22010331045414
60072,128.0,136.0,136.0,128.0,2300,TMPO,2020-07-27,,,,140.8,140.83785813035323
43561,145.0,141.0,145.0,141.0,300,TMPO,2020-07-28,,,,141.3,140.8738896569414
116929,140.0,140.0,140.0,140.0,100,TMPO,2020-07-29,,,,141.8,140.67969195539888
85615,138.0,138.0,138.0,138.0,700,TMPO,2020-07-30,,,,142.3,140.08420485419913
123515,129.0,130.0,139.0,129.0,800,TMPO,2020-08-03,,,,141.0,137.84327044215487
7308,122.0,123.0,123.0,122.0,19600,TMPO,2020-08-04,,,,138.1,134.54476589945378
58428,121.0,130.0,130.0,121.0,800,TMPO,2020-08-05,,,,136.4,133.53481792179738
74917,121.0,132.0,132.0,121.0,2600,TMPO,2020-08-06,,,,135.1,133.19374727250909
46865,124.0,126.0,127.0,124.0,3300,TMPO,2020-08-07,,,,133.2,131.59513676750706
104598,145.0,142.0,145.0,141.0,1600,TMPO,2020-08-10,,,,133.8,133.90732859694992
57613,150.0,134.0,150.0,134.0,700,TMPO,2020-08-11,,,,133.6,133.92792224207216
125979,127.0,127.0,127.0,127.0,100,TMPO,2020-08-12,,,138.7,132.2,132.38838396605613
67494,125.0,125.0,125.0,125.0,1100,TMPO,2020-08-13,,,138.3,130.7,130.7465208624881
93065,119.0,120.0,131.0,119.0,5100,TMPO,2020-08-14,,,137.4,128.9,128.3584051152685
65850,130.0,130.0,130.0,125.0,1300,TMPO,2020-08-18,,,136.9,128.9,128.7232039785422
94706,140.0,140.0,141.0,134.0,25900,TMPO,2020-08-19,,,137.0,130.6,131.22915864997725
10594,132.0,139.0,139.0,132.0,200,TMPO,2020-08-24,,,136.7,131.5,132.95601228331563
135025,139.0,132.0,139.0,132.0,8200,TMPO,2020-08-25,,,136.43333333333334,131.5,132.74356510924548
109512,132.0,130.0,132.0,123.0,112700,TMPO,2020-08-26,,,135.9,131.9,132.1338839738576
4014,123.0,139.0,139.0,121.0,70300,TMPO,2020-08-27,,,135.6,131.6,133.65968753522256
83974,130.0,130.0,132.0,130.0,9500,TMPO,2020-08-28,,,135.2,131.2,132.84642363850642
27894,139.0,132.0,139.0,130.0,1700,TMPO,2020-08-31,,,135.06666666666666,131.7,132.65832949661612
35289,132.0,132.0,132.0,132.0,0,TMPO,2020-09-01,,,134.96666666666667,132.4,132.51203405292364
39427,132.0,131.0,132.0,130.0,41100,TMPO,2020-09-02,,,134.9,133.5,132.17602648560728
73266,139.0,130.0,139.0,130.0,179700,TMPO,2020-09-03,,,134.46666666666667,133.5,131.69246504436123
13070,123.0,123.0,123.0,123.0,1500,TMPO,2020-09-04,,,133.5,131.8,129.76080614561428
27077,121.0,121.0,121.0,121.0,300,TMPO,2020-09-07,,,132.63333333333333,130.0,127.81396033547777
113628,114.0,131.0,139.0,114.0,28600,TMPO,2020-09-08,,,132.16666666666666,129.9,128.52196914981604
127609,141.0,134.0,141.0,134.0,600,TMPO,2020-09-09,,,131.8,130.3,129.7393093387458
8129,132.0,131.0,132.0,125.0,500,TMPO,2020-09-10,,,131.63333333333333,129.5,130.0194628190245
18006,131.0,131.0,131.0,131.0,0,TMPO,2020-09-11,,,131.46666666666667,129.6,130.2373599703524
47690,122.0,123.0,131.0,122.0,117000,TMPO,2020-09-14,,,130.86666666666667,128.7,128.62905775471853
70799,123.0,123.0,123.0,123.0,100,TMPO,2020-09-15,,,130.3,127.8,127.37815603144774
1543,134.0,130.0,134.0,130.0,7800,TMPO,2020-09-16,,,130.03333333333333,127.7,127.96078802445936
60897,121.0,129.0,129.0,121.0,5900,TMPO,2020-09-17,,,130.0,127.6,128.19172401902395
66677,129.0,128.0,133.0,128.0,700,TMPO,2020-09-18,,,130.16666666666666,128.1,128.14911868146308
76569,120.0,120.0,121.0,120.0,8300,TMPO,2020-09-21,,,129.83333333333334,128.0,126.33820341891573
105425,112.0,119.0,120.0,112.0,4600,TMPO,2020-09-22,,,129.4,126.8,124.70749154804557
81521,112.0,114.0,125.0,112.0,400,TMPO,2020-09-23,,,129.0,124.8,122.32804898181323
69971,114.0,114.0,114.0,114.0,100,TMPO,2020-09-24,,,128.06666666666666,123.1,120.47737143029917
102126,114.0,114.0,114.0,114.0,100,TMPO,2020-09-25,,,127.4,121.4,119.03795555689936
64208,108.0,112.0,112.0,108.0,125100,TMPO,2020-09-28,,,126.9,120.3,117.47396543314395
16358,112.0,117.0,131.0,112.0,400,TMPO,2020-09-29,,,126.63333333333334,119.7,117.36863978133418
88933,131.0,119.0,131.0,119.0,1300,TMPO,2020-09-30,,,126.6,118.6,117.73116427437103
97167,119.0,114.0,119.0,113.0,300,TMPO,2020-10-01,,,126.06666666666666,117.1,116.90201665784413
72450,114.0,114.0,114.0,114.0,1100,TMPO,2020-10-02,,,125.2,115.7,116.2571240672121
12254,108.0,109.0,109.0,108.0,300,TMPO,2020-10-05,,,124.2,114.6,114.64442983005385
125163,103.0,108.0,108.0,102.0,300,TMPO,2020-10-06,,,123.4,113.5,113.16788986781967
21312,107.0,107.0,107.0,107.0,100,TMPO,2020-10-07,,,122.63333333333334,112.8,111.79724767497085
19656,107.0,107.0,107.0,107.0,300,TMPO,2020-10-08,,,121.56666666666666,112.1,110.73119263608844
115289,107.0,107.0,107.0,107.0,0,TMPO,2020-10-09,,,120.8,111.4,109.90203871695768
28720,107.0,109.0,109.0,107.0,900,TMPO,2020-10-12,,,120.03333333333333,111.1,109.70158566874485
80695,107.0,107.0,107.0,107.0,100,TMPO,2020-10-13,,,119.2,110.1,109.10123329791267
111978,107.0,107.0,107.0,107.0,100,TMPO,2020-10-14,,,118.4,108.9,108.63429256504318
14721,109.0,109.0,109.0,109.0,500,TMPO,2020-10-15,,,117.7,108.4,108.71556088392248
