,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124290,165.0,180.0,180.0,165.0,11200,TNCA,2020-07-01,,,,,
131711,220.0,224.0,240.0,171.0,48700,TNCA,2020-07-02,,,,,
105385,250.0,210.0,250.0,210.0,2600,TNCA,2020-07-03,,,,,
87244,196.0,196.0,196.0,196.0,1300,TNCA,2020-07-06,,,,,
34476,196.0,183.0,196.0,183.0,17900,TNCA,2020-07-07,,,,,
49321,182.0,171.0,182.0,171.0,3300,TNCA,2020-07-08,,,,,
117716,165.0,171.0,171.0,165.0,18300,TNCA,2020-07-09,,,,,
23771,160.0,160.0,161.0,160.0,28000,TNCA,2020-07-10,,,,,186.875
15535,184.0,160.0,214.0,160.0,10800,TNCA,2020-07-13,,,,,180.90277777777777
32013,150.0,149.0,170.0,149.0,77600,TNCA,2020-07-14,,,,180.4,173.81327160493828
93018,145.0,156.0,158.0,145.0,302400,TNCA,2020-07-15,,,,178.0,169.85476680384087
22126,156.0,164.0,164.0,156.0,9900,TNCA,2020-07-16,,,,172.0,168.55370751409845
107824,162.0,178.0,184.0,162.0,54600,TNCA,2020-07-17,,,,168.8,170.65288362207656
80660,168.0,182.0,183.0,168.0,28700,TNCA,2020-07-20,,,,167.4,173.17446503939289
106197,182.0,182.0,184.0,182.0,28400,TNCA,2020-07-21,,,,167.3,175.1356950306389
97140,182.0,182.0,182.0,182.0,100,TNCA,2020-07-22,,,,168.4,176.66109613494137
8946,182.0,182.0,182.0,182.0,26200,TNCA,2020-07-23,,,,169.5,177.8475192160655
104575,172.0,198.0,198.0,172.0,13800,TNCA,2020-07-24,,,,173.3,182.32584827916207
57571,190.0,194.0,194.0,190.0,4200,TNCA,2020-07-27,,,,176.7,184.92010421712607
41894,204.0,182.0,204.0,182.0,42900,TNCA,2020-07-28,,,,180.0,184.27119216887584
114428,204.0,204.0,204.0,180.0,8300,TNCA,2020-07-29,,,,184.8,188.65537168690344
83114,204.0,204.0,204.0,204.0,1500,TNCA,2020-07-30,,,,188.8,192.06528908981377
121014,192.0,192.0,192.0,192.0,1100,TNCA,2020-08-03,,,,190.2,192.0507804031885
7309,182.0,202.0,214.0,182.0,1200,TNCA,2020-08-04,,,,192.2,194.26171809136883
55927,188.0,189.0,189.0,188.0,2100,TNCA,2020-08-05,,,,192.9,193.09244740439797
72416,179.0,179.0,179.0,179.0,100,TNCA,2020-08-06,,,,192.6,189.96079242564286
44364,169.0,180.0,180.0,169.0,200,TNCA,2020-08-07,,,,192.4,187.74728299772224
102097,170.0,204.0,206.0,169.0,12000,TNCA,2020-08-10,,,,193.0,191.35899788711728
55112,224.0,214.0,224.0,190.0,2700,TNCA,2020-08-11,,,,195.0,196.39033168998012
123478,200.0,200.0,200.0,200.0,600,TNCA,2020-08-12,,,185.73333333333332,196.8,197.19248020331787
64993,200.0,198.0,200.0,187.0,1700,TNCA,2020-08-13,,,186.33333333333334,196.2,197.37192904702502
90564,212.0,202.0,212.0,185.0,2100,TNCA,2020-08-14,,,185.6,196.0,198.40038925879725
63349,212.0,188.0,212.0,188.0,1000,TNCA,2020-08-18,,,184.86666666666667,195.6,196.0891916457312
92205,212.0,180.0,212.0,180.0,4600,TNCA,2020-08-19,,,184.33333333333334,193.4,192.5138157244576
10595,170.0,206.0,206.0,170.0,14300,TNCA,2020-08-24,,,185.1,195.1,195.51074556346703
132524,192.0,192.0,192.0,192.0,400,TNCA,2020-08-25,,,185.8,196.4,194.7305798826966
107011,192.0,200.0,200.0,181.0,4300,TNCA,2020-08-26,,,186.76666666666668,198.4,195.90156213098624
4015,200.0,202.0,202.0,192.0,39300,TNCA,2020-08-27,,,188.16666666666666,198.2,197.25677054632263
81473,195.0,190.0,195.0,188.0,11100,TNCA,2020-08-28,,,189.16666666666666,195.8,195.64415486936204
27895,192.0,192.0,192.0,192.0,1000,TNCA,2020-08-31,,,190.6,195.0,194.83434267617048
35290,190.0,180.0,190.0,180.0,7700,TNCA,2020-09-01,,,191.4,193.2,191.53782208146592
39428,180.0,172.0,180.0,172.0,11000,TNCA,2020-09-02,,,191.66666666666666,190.2,187.19608384114017
70765,172.0,165.0,173.0,165.0,91300,TNCA,2020-09-03,,,191.23333333333332,187.9,182.26362076533124
13071,163.0,163.0,163.0,163.0,5042500,TNCA,2020-09-04,,,190.6,186.2,177.9828161508132
27078,210.0,166.0,210.0,164.0,6088500,TNCA,2020-09-07,,,190.06666666666666,182.2,175.31996811729914
111127,165.0,165.0,181.0,160.0,12380200,TNCA,2020-09-08,,,189.5,179.5,173.02664186901043
125108,165.0,166.0,170.0,163.0,3366200,TNCA,2020-09-09,,,188.96666666666667,176.1,171.46516589811924
8130,166.0,166.0,166.0,166.0,10000,TNCA,2020-09-10,,,187.9,172.5,170.25068458742606
18007,161.0,159.0,210.0,156.0,301300,TNCA,2020-09-11,,,186.73333333333332,169.4,167.75053245688693
45189,159.0,164.0,214.0,159.0,81900,TNCA,2020-09-14,,,186.13333333333333,166.6,166.91708079980094
68298,164.0,197.0,199.0,160.0,3500,TNCA,2020-09-15,,,185.9,168.3,173.60217395540073
1544,198.0,184.0,198.0,184.0,13100,TNCA,2020-09-16,,,185.23333333333332,169.5,175.91280196531167
58396,184.0,172.0,184.0,172.0,2000200,TNCA,2020-09-17,,,184.56666666666666,170.2,175.04329041746465
64176,162.0,164.0,170.0,161.0,8955900,TNCA,2020-09-18,,,183.3,170.3,172.58922588025027
74068,164.0,166.0,184.0,164.0,158800,TNCA,2020-09-21,,,182.53333333333333,170.3,171.12495346241687
102924,156.0,169.0,170.0,156.0,2200,TNCA,2020-09-22,,,182.2,170.7,170.65274158187978
79020,169.0,170.0,175.0,169.0,5800,TNCA,2020-09-23,,,181.86666666666667,171.1,170.5076878970176
67470,166.0,170.0,170.0,166.0,51700,TNCA,2020-09-24,,,180.73333333333332,171.5,170.39486836434702
99625,166.0,166.0,166.0,166.0,20400,TNCA,2020-09-25,,,179.13333333333333,172.2,169.41823095004767
61707,156.0,159.0,159.0,156.0,300,TNCA,2020-09-28,,,177.76666666666668,171.7,167.10306851670376
16359,160.0,160.0,161.0,160.0,85200,TNCA,2020-09-29,,,176.5,168.0,165.52460884632515
86432,202.0,171.0,216.0,170.0,18400,TNCA,2020-09-30,,,175.46666666666667,166.7,166.74136243603067
94666,161.0,176.0,184.0,161.0,41400,TNCA,2020-10-01,,,175.06666666666666,167.1,168.79883745024608
69949,188.0,181.0,195.0,181.0,156400,TNCA,2020-10-02,,,175.1,168.8,171.51020690574694
12255,181.0,196.0,222.0,180.0,70700,TNCA,2020-10-05,,,174.76666666666668,171.8,176.9523831489143
122662,196.0,218.0,220.0,196.0,98300,TNCA,2020-10-06,,,175.63333333333333,176.7,186.0740757824889
21313,218.0,210.0,218.0,210.0,18100,TNCA,2020-10-07,,,175.96666666666667,180.7,191.3909478308247
19657,212.0,210.0,216.0,210.0,34300,TNCA,2020-10-08,,,176.23333333333332,184.7,195.5262927573081
112788,210.0,208.0,228.0,208.0,53400,TNCA,2020-10-09,,,176.83333333333334,188.9,198.29822770012854
28721,206.0,230.0,236.0,206.0,258800,TNCA,2020-10-12,,,178.1,196.0,205.34306598898885
78194,230.0,246.0,246.0,230.0,119900,TNCA,2020-10-13,,,180.3,204.6,214.377940213658
109477,246.0,264.0,264.0,244.0,97000,TNCA,2020-10-14,,,183.36666666666667,213.9,225.4050646106229
14722,264.0,272.0,272.0,260.0,58400,TNCA,2020-10-15,,,186.93333333333334,223.5,235.75949469715115
5670,270.0,268.0,270.0,258.0,19700,TNCA,2020-10-16,,,190.43333333333334,232.2,242.92405143111756
717,260.0,266.0,268.0,260.0,35900,TNCA,2020-10-19,,,193.76666666666668,239.2,248.05204000198032
127593,266.0,266.0,266.0,266.0,100,TNCA,2020-10-20,,,197.13333333333333,244.0,252.0404755570958
76544,268.0,264.0,268.0,264.0,27900,TNCA,2020-10-21,,,200.4,249.4,254.69814765551894
30376,262.0,262.0,262.0,260.0,25100,TNCA,2020-10-22,,,203.6,254.6,256.3207815098481
32836,262.0,256.0,262.0,246.0,9300,TNCA,2020-10-23,,,206.83333333333334,259.4,256.24949672988186
59222,256.0,276.0,276.0,256.0,53800,TNCA,2020-10-26,,,210.56666666666666,264.0,260.6384974565748
54296,276.0,292.0,292.0,272.0,97000,TNCA,2020-10-27,,,213.73333333333332,268.6,267.6077202440026
91389,292.0,290.0,292.0,288.0,357900,TNCA,2020-11-02,,,217.26666666666668,271.2,272.58378241200205
85606,290.0,288.0,290.0,286.0,50000,TNCA,2020-11-03,,,221.13333333333333,272.8,276.0096085426683
6494,288.0,296.0,296.0,288.0,164400,TNCA,2020-11-04,,,225.53333333333333,275.6,280.45191775540866
18832,288.0,320.0,320.0,288.0,276900,TNCA,2020-11-05,,,230.66666666666666,281.0,289.240380476429
42716,320.0,316.0,320.0,314.0,44900,TNCA,2020-11-06,,,235.56666666666666,286.0,295.1869625927781
93840,298.0,312.0,316.0,298.0,160300,TNCA,2020-11-09,,,240.3,290.8,298.92319312771633
2369,308.0,318.0,324.0,308.0,121300,TNCA,2020-11-10,,,245.23333333333332,296.4,303.1624835437794
24593,318.0,316.0,320.0,316.0,90300,TNCA,2020-11-11,,,250.23333333333332,302.4,306.01526497849505
79845,312.0,316.0,316.0,296.0,9400,TNCA,2020-11-12,,,255.46666666666667,306.4,308.2340949832739
77369,298.0,312.0,312.0,296.0,33500,TNCA,2020-11-13,,,260.53333333333336,308.4,309.0709627647686
75719,310.0,310.0,310.0,310.0,300,TNCA,2020-11-16,,,265.1666666666667,310.4,309.2774154837089
