,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
723,492.0,486.0,492.0,486.0,196800,TOBA,2021-04-01,,,,,
1563,486.0,492.0,494.0,482.0,129000,TOBA,2021-04-05,,,,,
2403,492.0,492.0,492.0,486.0,28900,TOBA,2021-04-06,,,,,
3245,494.0,488.0,494.0,484.0,105400,TOBA,2021-04-07,,,,,
4087,490.0,492.0,492.0,484.0,190500,TOBA,2021-04-08,,,,,
4930,490.0,492.0,492.0,488.0,38000,TOBA,2021-04-09,,,,,
5774,480.0,492.0,492.0,480.0,58900,TOBA,2021-04-12,,,,,
6618,492.0,492.0,492.0,482.0,57700,TOBA,2021-04-13,,,,,490.75
7463,488.0,492.0,492.0,488.0,269700,TOBA,2021-04-14,,,,,491.02777777777777
8308,490.0,496.0,496.0,488.0,358300,TOBA,2021-04-15,,,,491.4,492.13271604938274
9152,496.0,500.0,500.0,490.0,230100,TOBA,2021-04-16,,,,492.8,493.8810013717421
9996,500.0,500.0,500.0,492.0,769300,TOBA,2021-04-19,,,,493.6,495.2407788446883
10840,500.0,500.0,500.0,498.0,1790000,TOBA,2021-04-20,,,,494.4,496.29838354586866
11684,500.0,500.0,500.0,496.0,109100,TOBA,2021-04-21,,,,495.6,497.12096498012005
12528,500.0,500.0,500.0,494.0,199500,TOBA,2021-04-22,,,,496.4,497.7607505400934
13372,498.0,500.0,500.0,494.0,178400,TOBA,2021-04-23,,,,497.2,498.25836153118377
14215,500.0,500.0,500.0,494.0,92700,TOBA,2021-04-26,,,,498.0,498.64539230203184
15058,496.0,500.0,500.0,494.0,50800,TOBA,2021-04-27,,,,498.8,498.94641623491367
15902,496.0,498.0,498.0,494.0,119800,TOBA,2021-04-28,,,,499.4,498.73610151604396
16746,496.0,498.0,498.0,494.0,86000,TOBA,2021-04-29,,,,499.6,498.5725234013675
17590,496.0,496.0,498.0,494.0,73400,TOBA,2021-04-30,,,,499.2,498.00085153439693
18433,496.0,500.0,500.0,494.0,36100,TOBA,2021-05-03,,,,499.2,498.4451067489754
