,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
726,212.0,210.0,216.0,210.0,92900,TOTO,2021-04-01,,,,,
1566,210.0,212.0,216.0,210.0,123100,TOTO,2021-04-05,,,,,
2406,212.0,210.0,216.0,210.0,190300,TOTO,2021-04-06,,,,,
3248,210.0,214.0,216.0,210.0,172100,TOTO,2021-04-07,,,,,
4090,212.0,214.0,214.0,212.0,52700,TOTO,2021-04-08,,,,,
4933,214.0,214.0,216.0,212.0,101700,TOTO,2021-04-09,,,,,
5777,214.0,214.0,214.0,212.0,15200,TOTO,2021-04-12,,,,,
6621,212.0,210.0,212.0,210.0,458100,TOTO,2021-04-13,,,,,212.25
7466,210.0,214.0,214.0,210.0,63600,TOTO,2021-04-14,,,,,212.63888888888889
8311,214.0,214.0,214.0,210.0,38400,TOTO,2021-04-15,,,,212.6,212.94135802469137
9155,214.0,212.0,214.0,208.0,361200,TOTO,2021-04-16,,,,212.8,212.73216735253774
9999,214.0,216.0,216.0,212.0,289900,TOTO,2021-04-19,,,,213.2,213.45835238530714
10843,216.0,216.0,218.0,216.0,1024500,TOTO,2021-04-20,,,,213.8,214.02316296635
11687,218.0,216.0,218.0,216.0,216200,TOTO,2021-04-21,,,,214.0,214.46246008493887
12531,218.0,214.0,218.0,214.0,57900,TOTO,2021-04-22,,,,214.0,214.35969117717468
13375,216.0,214.0,216.0,214.0,298300,TOTO,2021-04-23,,,,214.0,214.2797598044692
14218,214.0,216.0,216.0,214.0,20900,TOTO,2021-04-26,,,,214.2,214.66203540347604
15061,214.0,214.0,216.0,214.0,58300,TOTO,2021-04-27,,,,214.6,214.51491642492581
15905,216.0,212.0,216.0,212.0,104800,TOTO,2021-04-28,,,,214.4,213.95604610827564
16749,214.0,212.0,214.0,206.0,751700,TOTO,2021-04-29,,,,214.2,213.5213691953255
17593,212.0,212.0,212.0,208.0,305900,TOTO,2021-04-30,,,,214.2,213.1832871519198
18436,212.0,210.0,212.0,208.0,320800,TOTO,2021-05-03,,,,213.6,212.47589000704875
19279,210.0,212.0,214.0,210.0,192600,TOTO,2021-05-04,,,,213.2,212.37013667214902
20123,214.0,210.0,214.0,210.0,1324500,TOTO,2021-05-05,,,,212.6,211.84343963389367
20967,210.0,208.0,212.0,206.0,1602500,TOTO,2021-05-06,,,,212.0,210.98934193747286
21811,208.0,208.0,212.0,208.0,72100,TOTO,2021-05-07,,,,211.4,210.32504372914556
22654,208.0,210.0,212.0,206.0,74000,TOTO,2021-05-10,,,,210.8,210.25281178933542
23497,212.0,210.0,212.0,210.0,1185500,TOTO,2021-05-11,,,,210.4,210.19663139170532
24338,210.0,214.0,214.0,210.0,606600,TOTO,2021-05-17,,,,210.6,211.0418244157708
25178,214.0,212.0,214.0,208.0,129300,TOTO,2021-05-18,,,212.46666666666667,210.6,211.2547523233773
26018,212.0,212.0,212.0,210.0,299200,TOTO,2021-05-19,,,212.53333333333333,210.6,211.42036291818235
26941,210.0,212.0,212.0,208.0,74700,TOTO,2021-05-20,,,212.53333333333333,210.8,211.54917115858626
27742,212.0,210.0,212.0,208.0,391700,TOTO,2021-05-21,,,212.53333333333333,210.6,211.20491090112264
28584,210.0,208.0,212.0,204.0,63500,TOTO,2021-05-24,,,212.33333333333334,210.4,210.49270847865094
29424,210.0,210.0,212.0,208.0,53100,TOTO,2021-05-25,,,212.2,210.6,210.3832177056174
30217,212.0,210.0,212.0,210.0,134500,TOTO,2021-05-27,,,212.06666666666666,210.8,210.2980582154802
31059,210.0,210.0,212.0,208.0,79000,TOTO,2021-05-28,,,211.93333333333334,210.8,210.23182305648461
31901,210.0,212.0,212.0,210.0,163100,TOTO,2021-05-31,,,212.0,211.0,210.6247512661547
32743,212.0,210.0,216.0,210.0,1893100,TOTO,2021-06-02,,,211.86666666666667,210.6,210.48591765145366
33584,212.0,212.0,214.0,210.0,1367200,TOTO,2021-06-03,,,211.8,210.6,210.82238039557507
34425,214.0,214.0,214.0,210.0,828100,TOTO,2021-06-04,,,211.86666666666667,210.8,211.52851808544727
35266,212.0,212.0,214.0,208.0,805200,TOTO,2021-06-07,,,211.73333333333332,210.8,211.63329184423677
36109,212.0,210.0,212.0,208.0,1188900,TOTO,2021-06-08,,,211.53333333333333,210.8,211.27033810107304
36952,212.0,208.0,212.0,206.0,342300,TOTO,2021-06-09,,,211.26666666666668,210.8,210.5435963008346
37797,208.0,210.0,212.0,206.0,1580200,TOTO,2021-06-10,,,211.13333333333333,210.8,210.42279712287134
38644,210.0,210.0,210.0,206.0,163000,TOTO,2021-06-11,,,211.0,210.8,210.3288422066777
39491,212.0,208.0,212.0,208.0,91300,TOTO,2021-06-14,,,210.73333333333332,210.6,209.8113217163049
40338,208.0,210.0,212.0,206.0,255800,TOTO,2021-06-15,,,210.6,210.4,209.85325022379268
41185,210.0,208.0,210.0,208.0,104500,TOTO,2021-06-16,,,210.46666666666667,210.2,209.44141684072764
42032,208.0,208.0,210.0,206.0,113500,TOTO,2021-06-17,,,210.33333333333334,209.8,209.1211019872326
42879,208.0,208.0,210.0,206.0,108000,TOTO,2021-06-18,,,210.2,209.2,208.87196821229202
43726,206.0,206.0,210.0,200.0,248500,TOTO,2021-06-21,,,210.06666666666666,208.6,208.2337530540049
44573,206.0,208.0,208.0,206.0,65100,TOTO,2021-06-22,,,209.93333333333334,208.4,208.1818079308927
45420,208.0,208.0,210.0,206.0,116200,TOTO,2021-06-23,,,209.86666666666667,208.4,208.1414061684721
46267,206.0,208.0,208.0,204.0,44300,TOTO,2021-06-24,,,209.86666666666667,208.2,208.10998257547828
47114,206.0,208.0,208.0,206.0,46400,TOTO,2021-06-25,,,209.86666666666667,208.0,208.08554200314978
47962,208.0,208.0,210.0,204.0,96900,TOTO,2021-06-28,,,209.8,208.0,208.0665326691165
48804,208.0,206.0,210.0,206.0,19200,TOTO,2021-06-29,,,209.66666666666666,207.6,207.60730318709062
49605,206.0,206.0,206.0,204.0,23900,TOTO,2021-06-30,,,209.4,207.4,207.2501247010705
50456,204.0,204.0,210.0,204.0,183400,TOTO,2021-07-01,,,209.13333333333333,207.0,206.52787476749927
51307,204.0,206.0,208.0,204.0,104900,TOTO,2021-07-02,,,208.93333333333334,206.8,206.41056926361054
52158,210.0,204.0,210.0,202.0,325300,TOTO,2021-07-05,,,208.66666666666666,206.6,205.87488720503043
53009,204.0,204.0,208.0,202.0,131000,TOTO,2021-07-06,,,208.46666666666667,206.2,205.45824560391256
53830,204.0,206.0,208.0,202.0,88400,TOTO,2021-07-07,,,208.4,206.0,205.57863546970978
54671,206.0,206.0,208.0,206.0,6400,TOTO,2021-07-08,,,208.26666666666668,205.8,205.6722720319965
55524,204.0,206.0,208.0,204.0,45900,TOTO,2021-07-09,,,208.13333333333333,205.6,205.74510046933062
56377,206.0,202.0,206.0,200.0,762000,TOTO,2021-07-12,,,207.86666666666667,205.0,204.9128559205905
57230,202.0,200.0,204.0,200.0,204900,TOTO,2021-07-13,,,207.46666666666667,204.4,203.82111016045926
58083,200.0,206.0,210.0,200.0,779700,TOTO,2021-07-14,,,207.33333333333334,204.4,204.30530790257941
58936,208.0,206.0,210.0,204.0,336400,TOTO,2021-07-15,,,207.13333333333333,204.6,204.68190614645064
59789,206.0,204.0,208.0,200.0,427300,TOTO,2021-07-16,,,206.8,204.4,204.5303714472394
60641,202.0,200.0,204.0,198.0,982600,TOTO,2021-07-19,,,206.4,204.0,203.52362223674174
61493,200.0,204.0,204.0,200.0,53600,TOTO,2021-07-21,,,206.2,204.0,203.62948396191024
62345,204.0,204.0,206.0,202.0,142500,TOTO,2021-07-22,,,206.06666666666666,203.8,203.71182085926353
63197,204.0,202.0,206.0,198.0,284500,TOTO,2021-07-23,,,205.8,203.4,203.33141622387163
64049,202.0,202.0,204.0,200.0,269700,TOTO,2021-07-26,,,205.53333333333333,203.0,203.03554595190016
64901,202.0,202.0,202.0,200.0,37200,TOTO,2021-07-27,,,205.33333333333334,203.0,202.80542462925567
65755,202.0,202.0,206.0,199.0,581200,TOTO,2021-07-28,,,205.06666666666666,203.2,202.62644137830998
66609,200.0,202.0,204.0,200.0,185600,TOTO,2021-07-29,,,204.86666666666667,202.8,202.48723218312998
67463,202.0,200.0,204.0,200.0,106700,TOTO,2021-07-30,,,204.6,202.2,201.9345139202122
68317,202.0,204.0,204.0,200.0,163600,TOTO,2021-08-02,,,204.46666666666667,202.2,202.39351082683172
69171,204.0,202.0,204.0,200.0,193000,TOTO,2021-08-03,,,204.33333333333334,202.4,202.30606397642467
70025,202.0,202.0,202.0,200.0,151600,TOTO,2021-08-04,,,204.13333333333333,202.2,202.2380497594414
70879,202.0,202.0,202.0,200.0,404000,TOTO,2021-08-05,,,203.93333333333334,202.0,202.18514981289886
