,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
730,11175.0,11125.0,11225.0,11000.0,1990700,TPIA,2021-04-01,,,,,
1570,11125.0,11000.0,11175.0,10975.0,1365800,TPIA,2021-04-05,,,,,
2410,11025.0,11050.0,11100.0,10975.0,1157900,TPIA,2021-04-06,,,,,
3252,11025.0,10950.0,11100.0,10950.0,973100,TPIA,2021-04-07,,,,,
4094,10950.0,11100.0,11100.0,10925.0,1598000,TPIA,2021-04-08,,,,,
4937,11125.0,11050.0,11250.0,10950.0,1465200,TPIA,2021-04-09,,,,,
5781,11050.0,10950.0,11075.0,10875.0,1694800,TPIA,2021-04-12,,,,,
6625,10925.0,10825.0,10925.0,10725.0,1171900,TPIA,2021-04-13,,,,,11006.25
7470,10825.0,10925.0,10925.0,10775.0,844700,TPIA,2021-04-14,,,,,10988.194444444445
8315,10900.0,10775.0,10925.0,10750.0,843000,TPIA,2021-04-15,,,,10975.0,10940.817901234568
9159,10750.0,10675.0,10775.0,10600.0,692300,TPIA,2021-04-16,,,,10930.0,10881.747256515775
10003,10625.0,10425.0,10675.0,10325.0,1737200,TPIA,2021-04-19,,,,10872.5,10780.247866178936
10847,10425.0,10350.0,10425.0,10250.0,1114300,TPIA,2021-04-20,,,,10802.5,10684.637229250284
11691,10325.0,10250.0,10325.0,10150.0,958900,TPIA,2021-04-21,,,,10732.5,10588.051178305775
12535,10250.0,10275.0,10325.0,10175.0,991500,TPIA,2021-04-22,,,,10650.0,10518.48424979338
13379,10275.0,10275.0,10300.0,10250.0,424300,TPIA,2021-04-23,,,,10572.5,10464.376638728185
14222,10275.0,10100.0,10275.0,10050.0,2178100,TPIA,2021-04-26,,,,10487.5,10383.404052344144
15065,10100.0,9975.0,10175.0,9850.0,3012500,TPIA,2021-04-27,,,,10402.5,10292.647596267667
15909,10050.0,10100.0,10100.0,9825.0,1229000,TPIA,2021-04-28,,,,10320.0,10249.837019319297
16753,10125.0,9950.0,10175.0,9950.0,615800,TPIA,2021-04-29,,,,10237.5,10183.206570581675
17597,10050.0,10075.0,10100.0,10025.0,674200,TPIA,2021-04-30,,,,10177.5,10159.160666007969
18440,10075.0,9900.0,10150.0,9675.0,1668600,TPIA,2021-05-03,,,,10125.0,10101.569406895087
19283,9900.0,9700.0,9950.0,9650.0,1163700,TPIA,2021-05-04,,,,10060.0,10012.331760918401
20127,9700.0,9650.0,9725.0,9575.0,844900,TPIA,2021-05-05,,,,10000.0,9931.813591825423
20971,9650.0,9475.0,9725.0,9400.0,1605200,TPIA,2021-05-06,,,,9920.0,9830.299460308663
21815,9525.0,9350.0,9525.0,9275.0,1173500,TPIA,2021-05-07,,,,9827.5,9723.566246906737
22658,9400.0,9100.0,9400.0,9075.0,1877000,TPIA,2021-05-10,,,,9727.5,9584.995969816351
23501,9100.0,8725.0,9100.0,8575.0,3888800,TPIA,2021-05-11,,,,9602.5,9393.885754301606
24342,8725.0,8225.0,8775.0,8175.0,3313700,TPIA,2021-05-17,,,,9415.0,9134.133364456804
25182,8225.0,7975.0,8300.0,7975.0,3056100,TPIA,2021-05-18,,,10143.333333333334,9217.5,8876.548172355291
26022,7975.0,7450.0,7975.0,7425.0,10567100,TPIA,2021-05-19,,,10020.833333333334,8955.0,8559.537467387448
26945,7500.0,7625.0,7750.0,7450.0,14556500,TPIA,2021-05-20,,,9908.333333333334,8727.5,8351.862474634681
27746,7750.0,7975.0,8550.0,7750.0,7105200,TPIA,2021-05-21,,,9805.833333333334,8555.0,8268.115258049196
28588,8050.0,7675.0,8100.0,7625.0,2955200,TPIA,2021-05-24,,,9696.666666666666,8357.5,8136.311867371597
29428,7675.0,7525.0,7850.0,7475.0,3485800,TPIA,2021-05-25,,,9577.5,8162.5,8000.464785733465
30221,7550.0,7650.0,7775.0,7525.0,2765500,TPIA,2021-05-27,,,9464.166666666666,7992.5,7922.583722237139
31063,7675.0,7575.0,7700.0,7500.0,1649100,TPIA,2021-05-28,,,9351.666666666666,7840.0,7845.3428950733305
31905,7625.0,7925.0,7950.0,7525.0,4283400,TPIA,2021-05-31,,,9255.0,7760.0,7863.0444739459235
32747,7950.0,7925.0,8100.0,7875.0,2733400,TPIA,2021-06-02,,,9155.0,7730.0,7876.812368624607
33588,7950.0,7775.0,8000.0,7750.0,1954800,TPIA,2021-06-03,,,9055.0,7710.0,7854.187397819139
34429,7800.0,7825.0,7975.0,7775.0,2220800,TPIA,2021-06-04,,,8960.0,7747.5,7847.701309414886
35270,7825.0,7750.0,7875.0,7750.0,1886600,TPIA,2021-06-07,,,8870.833333333334,7760.0,7825.989907322689
36113,7750.0,7700.0,7775.0,7600.0,3117200,TPIA,2021-06-08,,,8782.5,7732.5,7797.992150139869
36956,7750.0,8075.0,8100.0,7700.0,2824600,TPIA,2021-06-09,,,8710.0,7772.5,7859.549450108787
37801,8150.0,8075.0,8175.0,7900.0,3946400,TPIA,2021-06-10,,,8636.666666666666,7827.5,7907.427350084612
38648,8075.0,8000.0,8100.0,7950.0,3248200,TPIA,2021-06-11,,,8560.833333333334,7862.5,7927.99905006581
39495,8000.0,8300.0,8300.0,7950.0,3924400,TPIA,2021-06-14,,,8500.833333333334,7935.0,8010.665927828963
40342,8300.0,9325.0,9475.0,8300.0,9910800,TPIA,2021-06-15,,,8479.166666666666,8075.0,8302.740166089194
41189,9325.0,9425.0,9500.0,9175.0,4120700,TPIA,2021-06-16,,,8456.666666666666,8225.0,8552.131240291596
42036,9375.0,9575.0,9600.0,9375.0,2952900,TPIA,2021-06-17,,,8444.166666666666,8405.0,8779.435409115686
42883,9600.0,9450.0,9700.0,9450.0,3878100,TPIA,2021-06-18,,,8423.333333333334,8567.5,8928.449762645534
43730,9400.0,9425.0,9625.0,9250.0,2881400,TPIA,2021-06-21,,,8407.5,8735.0,9038.794259835415
44577,9425.0,9775.0,9850.0,9350.0,4034800,TPIA,2021-06-22,,,8410.0,8942.5,9202.395535427544
45424,9750.0,9950.0,9950.0,9700.0,3846100,TPIA,2021-06-23,,,8420.0,9130.0,9368.52986088809
46271,9975.0,9950.0,10100.0,9950.0,3450200,TPIA,2021-06-24,,,8435.833333333334,9317.5,9497.745447357403
47118,9950.0,10050.0,10100.0,9950.0,2767200,TPIA,2021-06-25,,,8459.166666666666,9522.5,9620.46868127798
47966,10050.0,9750.0,10100.0,9750.0,2797300,TPIA,2021-06-28,,,8480.833333333334,9667.5,9649.253418771763
48808,9750.0,9725.0,9850.0,9650.0,1823500,TPIA,2021-06-29,,,8514.166666666666,9707.5,9666.085992378037
49609,9725.0,9825.0,9825.0,9675.0,3900200,TPIA,2021-06-30,,,8567.5,9747.5,9701.400216294029
50460,9850.0,9850.0,10000.0,9825.0,1883300,TPIA,2021-07-01,,,8630.0,9775.0,9734.42239045091
51311,9850.0,9750.0,9950.0,9750.0,1353800,TPIA,2021-07-02,,,8706.666666666666,9805.0,9737.88408146182
52162,9775.0,9550.0,9775.0,9550.0,1978200,TPIA,2021-07-05,,,8770.833333333334,9817.5,9696.132063359193
53013,9525.0,9550.0,9675.0,9425.0,2944900,TPIA,2021-07-06,,,8823.333333333334,9795.0,9663.658271501594
53833,9625.0,9825.0,9900.0,9625.0,2361100,TPIA,2021-07-07,,,8895.0,9782.5,9699.511988945684
54675,9875.0,9800.0,9875.0,9725.0,2625900,TPIA,2021-07-08,,,8970.833333333334,9767.5,9721.842658068865
55528,9800.0,9925.0,9975.0,9675.0,3420000,TPIA,2021-07-09,,,9046.666666666666,9755.0,9766.98873405356
56381,9950.0,10000.0,10025.0,9925.0,3205000,TPIA,2021-07-12,,,9127.5,9780.0,9818.769015374992
57234,10050.0,9875.0,10100.0,9875.0,3530500,TPIA,2021-07-13,,,9192.5,9795.0,9831.264789736104
58087,9875.0,9850.0,9900.0,9750.0,2486000,TPIA,2021-07-14,,,9256.666666666666,9797.5,9835.428169794748
58940,9850.0,9750.0,9900.0,9700.0,2089800,TPIA,2021-07-15,,,9322.5,9787.5,9816.444132062581
59793,9750.0,9575.0,9850.0,9575.0,2681600,TPIA,2021-07-16,,,9380.833333333334,9770.0,9762.78988049312
60645,9550.0,9100.0,9550.0,9000.0,5554500,TPIA,2021-07-19,,,9425.833333333334,9725.0,9615.503240383538
61497,9125.0,8900.0,9200.0,8800.0,3841600,TPIA,2021-07-21,,,9465.833333333334,9660.0,9456.502520298307
62349,8950.0,8875.0,9025.0,8750.0,3284700,TPIA,2021-07-22,,,9492.5,9565.0,9327.279738009795
63201,8850.0,8750.0,8875.0,8500.0,5695900,TPIA,2021-07-23,,,9515.0,9460.0,9198.995351785396
64053,8825.0,8750.0,8850.0,8675.0,2674200,TPIA,2021-07-26,,,9540.0,9342.5,9099.218606944196
64905,8775.0,8800.0,8850.0,8750.0,2507400,TPIA,2021-07-27,,,9556.666666666666,9222.5,9032.725583178819
65759,8850.0,8850.0,9025.0,8800.0,2959600,TPIA,2021-07-28,,,9540.833333333334,9120.0,8992.11989802797
66613,8950.0,9075.0,9075.0,8875.0,5707700,TPIA,2021-07-29,,,9529.166666666666,9042.5,9010.537698466198
67467,9200.0,9400.0,9425.0,9200.0,6610600,TPIA,2021-07-30,,,9523.333333333334,9007.5,9097.08487658482
68321,9450.0,9300.0,9500.0,9175.0,4584800,TPIA,2021-08-02,,,9518.333333333334,8980.0,9142.177126232638
69175,9300.0,9350.0,9425.0,9250.0,2935600,TPIA,2021-08-03,,,9515.833333333334,9005.0,9188.359987069829
70029,9400.0,9425.0,9425.0,9300.0,1774500,TPIA,2021-08-04,,,9504.166666666666,9057.5,9240.946656609867
70883,9375.0,9350.0,9425.0,9300.0,2991200,TPIA,2021-08-05,,,9484.166666666666,9105.0,9265.180732918785
71738,9350.0,9375.0,9450.0,9350.0,2721200,TPIA,2021-08-06,,,9465.0,9167.5,9289.585014492388
72593,9375.0,9200.0,9425.0,9175.0,2759400,TPIA,2021-08-09,,,9436.666666666666,9212.5,9269.67723349408
73448,9200.0,9200.0,9300.0,9100.0,1454300,TPIA,2021-08-10,,,9418.333333333334,9252.5,9254.193403828729
74303,9250.0,9150.0,9300.0,9150.0,2520000,TPIA,2021-08-12,,,9399.166666666666,9282.5,9231.039314089012
75158,9125.0,9250.0,9250.0,9100.0,1134800,TPIA,2021-08-13,,,9380.0,9300.0,9235.252799847009
76013,9250.0,9025.0,9250.0,9000.0,2066700,TPIA,2021-08-16,,,9352.5,9262.5,9188.529955436563
76868,9025.0,9100.0,9125.0,8975.0,2520600,TPIA,2021-08-18,,,9330.833333333334,9242.5,9168.856632006216
77723,9100.0,8950.0,9100.0,8800.0,2246400,TPIA,2021-08-19,,,9310.833333333334,9202.5,9120.221824893724
78578,8950.0,8975.0,9050.0,8875.0,1328800,TPIA,2021-08-20,,,9291.666666666666,9157.5,9087.950308250674
79433,8975.0,8850.0,9000.0,8725.0,2237900,TPIA,2021-08-23,,,9259.166666666666,9107.5,9035.072461972746
80288,8875.0,8600.0,8875.0,8450.0,2989100,TPIA,2021-08-24,,,9219.166666666666,9030.0,8938.389692645469
81143,8575.0,8600.0,8675.0,8550.0,1886300,TPIA,2021-08-25,,,9175.0,8970.0,8863.191983168697
81998,8650.0,8575.0,8675.0,8500.0,1325500,TPIA,2021-08-26,,,9127.5,8907.5,8799.14932024232
82853,8625.0,8375.0,8650.0,8350.0,2543300,TPIA,2021-08-27,,,9077.5,8830.0,8704.893915744027
83708,8375.0,8650.0,8650.0,8375.0,5594400,TPIA,2021-08-30,,,9037.5,8770.0,8692.69526780091
84563,8100.0,7850.0,8200.0,7750.0,4676700,TPIA,2021-08-31,9303.0,,8974.166666666666,8652.5,8505.429652734041
85419,7875.0,7675.0,7875.0,7675.0,2207700,TPIA,2021-09-01,9268.5,,8910.833333333334,8510.0,8320.889729904255
86275,7700.0,7600.0,7725.0,7600.0,1416300,TPIA,2021-09-02,9234.5,,8860.833333333334,8375.0,8160.692012147753
87131,7550.0,7550.0,7575.0,7350.0,3088900,TPIA,2021-09-03,9199.5,,8815.833333333334,8232.5,8024.982676114919
87991,7500.0,7400.0,7500.0,7325.0,2555700,TPIA,2021-09-06,9164.0,,8766.666666666666,8087.5,7886.09763697827
88852,7400.0,7125.0,7400.0,7075.0,4106500,TPIA,2021-09-07,9124.25,,8712.5,7940.0,7716.964828760877
89719,7100.0,6975.0,7100.0,6875.0,4080700,TPIA,2021-09-08,9083.5,,8653.333333333334,7777.5,7552.083755702904
90587,6950.0,6850.0,6975.0,6800.0,7522900,TPIA,2021-09-09,9042.5,,8588.333333333334,7605.0,7396.065143324481
91455,6875.0,7200.0,7200.0,6850.0,6005000,TPIA,2021-09-10,9006.25,,8533.333333333334,7487.5,7352.495111474596
92323,7200.0,7050.0,7225.0,6900.0,8514700,TPIA,2021-09-13,8967.5,,8465.833333333334,7327.5,7285.273975591353
93191,7050.0,7075.0,7100.0,6800.0,8434100,TPIA,2021-09-14,8930.5,,8388.333333333334,7250.0,7238.546425459941
94059,7050.0,7000.0,7050.0,6925.0,2560100,TPIA,2021-09-15,8893.75,,8311.666666666666,7182.5,7185.536108691065
94927,7025.0,7475.0,7500.0,7000.0,9617400,TPIA,2021-09-16,8864.25,,8249.166666666666,7170.0,7249.8614178708285
95795,7550.0,7450.0,7575.0,7300.0,4208500,TPIA,2021-09-17,8835.25,,8183.333333333333,7160.0,7294.336658343977
96663,7450.0,7250.0,7450.0,7150.0,9348800,TPIA,2021-09-20,8805.25,,8113.333333333333,7145.0,7284.484067600872
97531,7200.0,7375.0,7375.0,7100.0,1614600,TPIA,2021-09-21,8776.25,,8046.666666666667,7170.0,7304.598719245122
98400,7400.0,7250.0,7400.0,7225.0,2139100,TPIA,2021-09-22,8746.0,,7981.666666666667,7197.5,7292.465670523984
99269,7300.0,7200.0,7300.0,7150.0,2355300,TPIA,2021-09-23,8717.0,,7915.0,7232.5,7271.917743740876
100138,7250.0,7200.0,7300.0,7175.0,1818900,TPIA,2021-09-24,8689.25,,7850.0,7232.5,7255.93602290957
101006,7250.0,7150.0,7250.0,7075.0,2191000,TPIA,2021-09-27,8659.75,,7780.0,7242.5,7232.394684485221
101874,7175.0,7125.0,7175.0,7000.0,2672000,TPIA,2021-09-28,8631.5,,7716.666666666667,7247.5,7208.529199044061
102742,7075.0,7050.0,7100.0,7000.0,1684200,TPIA,2021-09-29,8601.25,,7648.333333333333,7252.5,7173.300488145381
103610,7050.0,7200.0,7225.0,7050.0,2342400,TPIA,2021-09-30,8574.25,,7590.0,7225.0,7179.233713001963
104477,7175.0,7050.0,7175.0,7025.0,2893200,TPIA,2021-10-01,8547.75,,7525.833333333333,7185.0,7150.5151101126385
105344,7050.0,7125.0,7175.0,6900.0,4198400,TPIA,2021-10-04,8522.5,,7468.333333333333,7172.5,7144.845085643164
106211,7125.0,7000.0,7125.0,6925.0,4160500,TPIA,2021-10-05,8497.75,,7415.0,7135.0,7112.657288833571
107078,7000.0,7275.0,7350.0,6950.0,7091400,TPIA,2021-10-06,8477.0,,7370.833333333333,7137.5,7148.733446870556
107945,7275.0,7250.0,7300.0,7125.0,4571800,TPIA,2021-10-07,8458.5,,7326.666666666667,7142.5,7171.237125343766
108812,7200.0,7325.0,7375.0,7175.0,4056800,TPIA,2021-10-08,8444.5,,7291.666666666667,7155.0,7205.406653045151
109678,7325.0,7075.0,7350.0,7050.0,5593800,TPIA,2021-10-11,8433.0,,7239.166666666667,7147.5,7176.4273968128955
110544,7075.0,7050.0,7150.0,6975.0,4438600,TPIA,2021-10-12,8423.75,,7212.5,7140.0,7148.332419743363
111410,7050.0,6950.0,7150.0,6950.0,8438900,TPIA,2021-10-13,8418.75,,7188.333333333333,7130.0,7104.258548689282
112276,7000.0,7225.0,7275.0,6975.0,8510200,TPIA,2021-10-14,8414.75,,7175.833333333333,7132.5,7131.089982313886
113142,7275.0,7150.0,7325.0,7125.0,4129900,TPIA,2021-10-15,8406.5,,7162.5,7142.5,7135.292208466356
114008,7175.0,7200.0,7225.0,7150.0,2845800,TPIA,2021-10-18,8401.75,,7155.833333333333,7150.0,7149.671717696055
114874,7200.0,7250.0,7350.0,7200.0,7108400,TPIA,2021-10-19,8399.0,,7160.0,7175.0,7171.966891541376
115740,7275.0,7175.0,7300.0,7150.0,2690600,TPIA,2021-10-21,8394.25,,7166.666666666667,7165.0,7172.640915643292
116605,7175.0,7525.0,7575.0,7150.0,9633000,TPIA,2021-10-22,8393.75,,7189.166666666667,7192.5,7250.942934389227
117472,7575.0,7725.0,7725.0,7550.0,8015600,TPIA,2021-10-25,8391.75,,7206.666666666667,7232.5,7356.288948969399
118340,7725.0,7625.0,7825.0,7625.0,4826600,TPIA,2021-10-26,8388.75,,7225.833333333333,7287.5,7416.002515865088
119208,7650.0,7650.0,7675.0,7525.0,3192200,TPIA,2021-10-27,8387.5,,7245.0,7347.5,7468.001956783957
120076,7650.0,7425.0,7775.0,7325.0,6903600,TPIA,2021-10-28,8383.5,,7259.166666666667,7395.0,7458.445966387522
120944,7500.0,7600.0,7600.0,7375.0,3158300,TPIA,2021-10-29,8382.0,,7263.333333333333,7432.5,7489.902418301406
121812,7650.0,7600.0,7725.0,7550.0,4720400,TPIA,2021-11-01,8381.0,,7268.333333333333,7477.5,7514.36854756776
122679,7650.0,7500.0,7675.0,7400.0,3507000,TPIA,2021-11-02,8375.25,,7276.666666666667,7507.5,7511.175536997147
123546,7500.0,7425.0,7525.0,7325.0,3028200,TPIA,2021-11-03,8368.75,,7278.333333333333,7525.0,7492.025417664448
124413,7425.0,7325.0,7425.0,7325.0,3740600,TPIA,2021-11-04,8362.0,,7280.833333333333,7540.0,7454.908658183459
125280,7325.0,7175.0,7375.0,7150.0,4431700,TPIA,2021-11-05,8350.75,,7280.0,7505.0,7392.70673414269
126147,7175.0,7200.0,7250.0,7150.0,2231400,TPIA,2021-11-08,8329.5,,7280.0,7452.5,7349.883015444315
127013,7200.0,7350.0,7350.0,7200.0,2784600,TPIA,2021-11-09,8308.75,,7286.666666666667,7425.0,7349.909012012245
127879,7350.0,7275.0,7350.0,7250.0,3029100,TPIA,2021-11-10,8285.75,,7291.666666666667,7387.5,7333.262564898412
128745,7325.0,7375.0,7400.0,7300.0,2895700,TPIA,2021-11-11,8265.0,,7302.5,7382.5,7342.5375504765425
129612,7375.0,7275.0,7400.0,7275.0,1766800,TPIA,2021-11-12,8243.5,,7305.0,7350.0,7327.5292059262
130479,7275.0,7125.0,7275.0,7125.0,3507900,TPIA,2021-11-15,8217.0,,7307.5,7302.5,7282.522715720378
