,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126802,50.0,50.0,50.0,50.0,0,TRIL,2020-07-01,,,,,
134223,50.0,50.0,50.0,50.0,0,TRIL,2020-07-02,,,,,
107897,50.0,50.0,50.0,50.0,0,TRIL,2020-07-03,,,,,
89756,50.0,50.0,50.0,50.0,0,TRIL,2020-07-06,,,,,
34486,50.0,50.0,50.0,50.0,0,TRIL,2020-07-07,,,,,
51833,50.0,50.0,50.0,50.0,0,TRIL,2020-07-08,,,,,
120228,50.0,50.0,50.0,50.0,0,TRIL,2020-07-09,,,,,
23781,50.0,50.0,50.0,50.0,0,TRIL,2020-07-10,,,,,50.0
15545,50.0,50.0,50.0,50.0,0,TRIL,2020-07-13,,,,,50.0
32023,50.0,50.0,50.0,50.0,0,TRIL,2020-07-14,,,,50.0,50.0
95530,50.0,50.0,50.0,50.0,0,TRIL,2020-07-15,,,,50.0,50.0
22136,50.0,50.0,50.0,50.0,0,TRIL,2020-07-16,,,,50.0,50.0
110336,50.0,50.0,50.0,50.0,0,TRIL,2020-07-17,,,,50.0,50.0
83172,50.0,50.0,50.0,50.0,0,TRIL,2020-07-20,,,,50.0,50.0
108709,50.0,50.0,50.0,50.0,0,TRIL,2020-07-21,,,,50.0,50.0
99652,50.0,50.0,50.0,50.0,0,TRIL,2020-07-22,,,,50.0,50.0
8956,50.0,50.0,50.0,50.0,0,TRIL,2020-07-23,,,,50.0,50.0
107087,50.0,50.0,50.0,50.0,0,TRIL,2020-07-24,,,,50.0,50.0
60083,50.0,50.0,50.0,50.0,0,TRIL,2020-07-27,,,,50.0,50.0
43572,50.0,50.0,50.0,50.0,0,TRIL,2020-07-28,,,,50.0,50.0
116940,50.0,50.0,50.0,50.0,0,TRIL,2020-07-29,,,,50.0,50.0
85626,50.0,50.0,50.0,50.0,0,TRIL,2020-07-30,,,,50.0,50.0
123526,50.0,50.0,50.0,50.0,0,TRIL,2020-08-03,,,,50.0,50.0
7319,50.0,50.0,50.0,50.0,0,TRIL,2020-08-04,,,,50.0,50.0
58439,50.0,50.0,50.0,50.0,0,TRIL,2020-08-05,,,,50.0,50.0
74930,50.0,50.0,50.0,50.0,0,TRIL,2020-08-06,,,,50.0,50.0
46878,50.0,50.0,50.0,50.0,0,TRIL,2020-08-07,,,,50.0,50.0
104611,50.0,50.0,50.0,50.0,0,TRIL,2020-08-10,,,,50.0,50.0
57626,50.0,50.0,50.0,50.0,0,TRIL,2020-08-11,,,,50.0,50.0
125992,50.0,50.0,50.0,50.0,0,TRIL,2020-08-12,,,50.0,50.0,50.0
67507,50.0,50.0,50.0,50.0,0,TRIL,2020-08-13,,,50.0,50.0,50.0
93078,50.0,50.0,50.0,50.0,0,TRIL,2020-08-14,,,50.0,50.0,50.0
65863,50.0,50.0,50.0,50.0,0,TRIL,2020-08-18,,,50.0,50.0,50.0
94719,50.0,50.0,50.0,50.0,0,TRIL,2020-08-19,,,50.0,50.0,50.0
10607,50.0,50.0,50.0,50.0,0,TRIL,2020-08-24,,,50.0,50.0,50.0
135038,50.0,50.0,50.0,50.0,0,TRIL,2020-08-25,,,50.0,50.0,50.0
109525,50.0,50.0,50.0,50.0,0,TRIL,2020-08-26,,,50.0,50.0,50.0
4027,50.0,50.0,50.0,50.0,0,TRIL,2020-08-27,,,50.0,50.0,50.0
83987,50.0,50.0,50.0,50.0,0,TRIL,2020-08-28,,,50.0,50.0,50.0
27907,50.0,50.0,50.0,50.0,0,TRIL,2020-08-31,,,50.0,50.0,50.0
35302,50.0,50.0,50.0,50.0,0,TRIL,2020-09-01,,,50.0,50.0,50.0
39440,50.0,50.0,50.0,50.0,0,TRIL,2020-09-02,,,50.0,50.0,50.0
73279,50.0,50.0,50.0,50.0,0,TRIL,2020-09-03,,,50.0,50.0,50.0
13083,50.0,50.0,50.0,50.0,0,TRIL,2020-09-04,,,50.0,50.0,50.0
27090,50.0,50.0,50.0,50.0,0,TRIL,2020-09-07,,,50.0,50.0,50.0
113641,50.0,50.0,50.0,50.0,0,TRIL,2020-09-08,,,50.0,50.0,50.0
127622,50.0,50.0,50.0,50.0,0,TRIL,2020-09-09,,,50.0,50.0,50.0
8142,50.0,50.0,50.0,50.0,0,TRIL,2020-09-10,,,50.0,50.0,50.0
18019,50.0,50.0,50.0,50.0,0,TRIL,2020-09-11,,,50.0,50.0,50.0
47703,50.0,50.0,50.0,50.0,0,TRIL,2020-09-14,,,50.0,50.0,50.0
70812,50.0,50.0,50.0,50.0,0,TRIL,2020-09-15,,,50.0,50.0,50.0
1556,50.0,50.0,50.0,50.0,0,TRIL,2020-09-16,,,50.0,50.0,50.0
60910,50.0,50.0,50.0,50.0,0,TRIL,2020-09-17,,,50.0,50.0,50.0
66690,50.0,50.0,50.0,50.0,0,TRIL,2020-09-18,,,50.0,50.0,50.0
76582,50.0,50.0,50.0,50.0,0,TRIL,2020-09-21,,,50.0,50.0,50.0
105438,50.0,50.0,50.0,50.0,0,TRIL,2020-09-22,,,50.0,50.0,50.0
81534,50.0,50.0,50.0,50.0,0,TRIL,2020-09-23,,,50.0,50.0,50.0
69984,50.0,50.0,50.0,50.0,0,TRIL,2020-09-24,,,50.0,50.0,50.0
102139,50.0,50.0,50.0,50.0,0,TRIL,2020-09-25,,,50.0,50.0,50.0
64221,50.0,50.0,50.0,50.0,0,TRIL,2020-09-28,,,50.0,50.0,50.0
16371,50.0,50.0,50.0,50.0,0,TRIL,2020-09-29,,,50.0,50.0,50.0
88946,50.0,50.0,50.0,50.0,0,TRIL,2020-09-30,,,50.0,50.0,50.0
97180,50.0,50.0,50.0,50.0,0,TRIL,2020-10-01,,,50.0,50.0,50.0
72463,50.0,50.0,50.0,50.0,0,TRIL,2020-10-02,,,50.0,50.0,50.0
12267,50.0,50.0,50.0,50.0,0,TRIL,2020-10-05,,,50.0,50.0,50.0
125176,50.0,50.0,50.0,50.0,0,TRIL,2020-10-06,,,50.0,50.0,50.0
21325,50.0,50.0,50.0,50.0,0,TRIL,2020-10-07,,,50.0,50.0,50.0
19669,50.0,50.0,50.0,50.0,0,TRIL,2020-10-08,,,50.0,50.0,50.0
115302,50.0,50.0,50.0,50.0,0,TRIL,2020-10-09,,,50.0,50.0,50.0
28733,50.0,50.0,50.0,50.0,0,TRIL,2020-10-12,,,50.0,50.0,50.0
80708,50.0,50.0,50.0,50.0,0,TRIL,2020-10-13,,,50.0,50.0,50.0
111991,50.0,50.0,50.0,50.0,0,TRIL,2020-10-14,,,50.0,50.0,50.0
14734,50.0,50.0,50.0,50.0,0,TRIL,2020-10-15,,,50.0,50.0,50.0
5682,50.0,50.0,50.0,50.0,0,TRIL,2020-10-16,,,50.0,50.0,50.0
729,50.0,50.0,50.0,50.0,0,TRIL,2020-10-19,,,50.0,50.0,50.0
130107,50.0,50.0,50.0,50.0,0,TRIL,2020-10-20,,,50.0,50.0,50.0
79058,50.0,50.0,50.0,50.0,0,TRIL,2020-10-21,,,50.0,50.0,50.0
30388,50.0,50.0,50.0,50.0,0,TRIL,2020-10-22,,,50.0,50.0,50.0
32848,50.0,50.0,50.0,50.0,0,TRIL,2020-10-23,,,50.0,50.0,50.0
61736,50.0,50.0,50.0,50.0,0,TRIL,2020-10-26,,,50.0,50.0,50.0
56810,50.0,50.0,50.0,50.0,0,TRIL,2020-10-27,,,50.0,50.0,50.0
93903,50.0,50.0,50.0,50.0,0,TRIL,2020-11-02,,,50.0,50.0,50.0
88120,50.0,50.0,50.0,50.0,0,TRIL,2020-11-03,,,50.0,50.0,50.0
6506,50.0,50.0,50.0,50.0,0,TRIL,2020-11-04,,,50.0,50.0,50.0
18844,50.0,50.0,50.0,50.0,0,TRIL,2020-11-05,,,50.0,50.0,50.0
45230,50.0,50.0,50.0,50.0,0,TRIL,2020-11-06,,,50.0,50.0,50.0
96354,50.0,50.0,50.0,50.0,0,TRIL,2020-11-09,,,50.0,50.0,50.0
2381,50.0,50.0,50.0,50.0,0,TRIL,2020-11-10,,,50.0,50.0,50.0
24605,50.0,50.0,50.0,50.0,0,TRIL,2020-11-11,,,50.0,50.0,50.0
82359,50.0,50.0,50.0,50.0,0,TRIL,2020-11-12,,,50.0,50.0,50.0
79883,50.0,50.0,50.0,50.0,0,TRIL,2020-11-13,,,50.0,50.0,50.0
78233,50.0,50.0,50.0,50.0,0,TRIL,2020-11-16,,,50.0,50.0,50.0
41100,50.0,50.0,50.0,50.0,0,TRIL,2020-11-17,,,50.0,50.0,50.0
17196,50.0,50.0,50.0,50.0,0,TRIL,2020-11-18,,,50.0,50.0,50.0
71638,50.0,50.0,50.0,50.0,0,TRIL,2020-11-19,,,50.0,50.0,50.0
84813,50.0,50.0,50.0,50.0,0,TRIL,2020-11-20,,,50.0,50.0,50.0
75754,50.0,50.0,50.0,50.0,0,TRIL,2020-11-23,,,50.0,50.0,50.0
117764,50.0,50.0,50.0,50.0,0,TRIL,2020-11-24,,,50.0,50.0,50.0
124350,50.0,50.0,50.0,50.0,0,TRIL,2020-11-25,,,50.0,50.0,50.0
63394,50.0,50.0,50.0,50.0,0,TRIL,2020-11-26,50.0,,50.0,50.0,50.0
13908,50.0,50.0,50.0,50.0,0,TRIL,2020-11-27,50.0,,50.0,50.0,50.0
122712,50.0,50.0,50.0,50.0,0,TRIL,2020-11-30,50.0,,50.0,50.0,50.0
119415,50.0,50.0,50.0,50.0,0,TRIL,2020-12-01,50.0,,50.0,50.0,50.0
121887,50.0,50.0,50.0,50.0,0,TRIL,2020-12-02,50.0,,50.0,50.0,50.0
38623,50.0,50.0,50.0,50.0,0,TRIL,2020-12-03,50.0,,50.0,50.0,50.0
31211,50.0,50.0,50.0,50.0,0,TRIL,2020-12-04,50.0,,50.0,50.0,50.0
50191,50.0,50.0,50.0,50.0,0,TRIL,2020-12-07,50.0,,50.0,50.0,50.0
98004,50.0,50.0,50.0,50.0,0,TRIL,2020-12-08,50.0,,50.0,50.0,50.0
