,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
736,21.0,20.0,22.0,14.0,12706500,TRIN-W,2021-04-01,,,,,
1576,21.0,19.0,25.0,17.0,39500000,TRIN-W,2021-04-05,,,,,
2416,19.0,20.0,21.0,18.0,10025800,TRIN-W,2021-04-06,,,,,
3258,21.0,19.0,22.0,19.0,5714600,TRIN-W,2021-04-07,,,,,
4100,19.0,22.0,22.0,19.0,5975000,TRIN-W,2021-04-08,,,,,
4943,22.0,22.0,24.0,21.0,3277600,TRIN-W,2021-04-09,,,,,
5787,23.0,23.0,25.0,22.0,5610200,TRIN-W,2021-04-12,,,,,
6631,24.0,23.0,24.0,21.0,2339800,TRIN-W,2021-04-13,,,,,21.0
7476,23.0,23.0,25.0,23.0,2884000,TRIN-W,2021-04-14,,,,,21.444444444444443
8321,24.0,22.0,24.0,22.0,3548200,TRIN-W,2021-04-15,,,,21.3,21.5679012345679
9165,23.0,23.0,23.0,21.0,2085000,TRIN-W,2021-04-16,,,,21.6,21.88614540466392
10009,22.0,24.0,24.0,21.0,7787900,TRIN-W,2021-04-19,,,,22.1,22.35589087029416
10853,24.0,24.0,25.0,22.0,3127000,TRIN-W,2021-04-20,,,,22.5,22.721248454673237
11697,24.0,23.0,25.0,22.0,4403600,TRIN-W,2021-04-21,,,,22.9,22.78319324252363
12541,23.0,23.0,23.0,22.0,1004400,TRIN-W,2021-04-22,,,,23.0,22.831372521962823
13385,23.0,21.0,23.0,21.0,1876000,TRIN-W,2021-04-23,,,,22.9,22.42440085041553
14228,21.0,18.0,22.0,17.0,6798000,TRIN-W,2021-04-26,,,,22.4,21.4412006614343
15071,19.0,16.0,19.0,15.0,11970500,TRIN-W,2021-04-27,,,,21.7,20.232044958893347
15915,16.0,17.0,18.0,15.0,10133800,TRIN-W,2021-04-28,,,,21.1,19.513812745805936
16759,17.0,17.0,18.0,16.0,3995000,TRIN-W,2021-04-29,,,,20.6,18.955187691182395
17603,17.0,18.0,18.0,16.0,3277500,TRIN-W,2021-04-30,,,,20.1,18.74292375980853
18446,18.0,17.0,18.0,16.0,3167000,TRIN-W,2021-05-03,,,,19.4,18.355607368739967
19289,18.0,17.0,18.0,16.0,2073500,TRIN-W,2021-05-04,,,,18.7,18.054361286797754
20133,17.0,15.0,18.0,15.0,7746500,TRIN-W,2021-05-05,,,,17.9,17.37561433417603
20977,16.0,19.0,20.0,16.0,15088100,TRIN-W,2021-05-06,,,,17.5,17.73658892658136
21821,19.0,18.0,19.0,17.0,3664600,TRIN-W,2021-05-07,,,,17.2,17.79512472067439
