,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
738,105.0,103.0,105.0,103.0,3308700,TRIS,2021-04-01,,,,,
1578,103.0,102.0,104.0,102.0,3129100,TRIS,2021-04-05,,,,,
2418,103.0,105.0,106.0,103.0,5782900,TRIS,2021-04-06,,,,,
3260,107.0,104.0,107.0,103.0,3223400,TRIS,2021-04-07,,,,,
4102,104.0,104.0,104.0,102.0,4977800,TRIS,2021-04-08,,,,,
4945,104.0,104.0,106.0,102.0,5395400,TRIS,2021-04-09,,,,,
5789,105.0,103.0,105.0,102.0,3369300,TRIS,2021-04-12,,,,,
6633,104.0,103.0,104.0,102.0,3593300,TRIS,2021-04-13,,,,,103.5
7478,104.0,104.0,104.0,103.0,3579400,TRIS,2021-04-14,,,,,103.61111111111111
8323,104.0,103.0,104.0,103.0,5679000,TRIS,2021-04-15,,,,103.5,103.47530864197532
9167,104.0,103.0,104.0,103.0,2180900,TRIS,2021-04-16,,,,103.5,103.36968449931413
10011,105.0,103.0,105.0,102.0,2974700,TRIS,2021-04-19,,,,103.6,103.28753238835543
10855,104.0,104.0,104.0,101.0,4994500,TRIS,2021-04-20,,,,103.5,103.44585852427645
11699,107.0,140.0,140.0,107.0,11301300,TRIS,2021-04-21,,,,107.1,111.56900107443724
12543,146.0,161.0,188.0,142.0,31450000,TRIS,2021-04-22,,,,112.8,122.55366750234008
13387,164.0,150.0,177.0,150.0,8134500,TRIS,2021-04-23,,,,117.4,128.65285250182006
14230,151.0,140.0,154.0,140.0,1520500,TRIS,2021-04-26,,,,121.1,131.17444083474894
15073,140.0,131.0,140.0,131.0,356500,TRIS,2021-04-27,,,,123.9,131.13567620480472
15917,122.0,124.0,151.0,122.0,3780300,TRIS,2021-04-28,,,,125.9,129.54997038151478
16761,124.0,120.0,130.0,116.0,1196400,TRIS,2021-04-29,,,,127.6,127.42775474117816
17605,122.0,134.0,159.0,120.0,8433300,TRIS,2021-04-30,,,,130.7,128.88825368758302
18448,136.0,134.0,153.0,134.0,2923300,TRIS,2021-05-03,,,,133.8,130.02419731256458
19291,134.0,125.0,136.0,125.0,898900,TRIS,2021-05-04,,,,135.9,128.90770902088357
