,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
741,420.0,420.0,420.0,420.0,20900,TRST,2021-04-01,,,,,
1581,420.0,420.0,420.0,420.0,200,TRST,2021-04-05,,,,,
2421,424.0,424.0,424.0,424.0,100,TRST,2021-04-06,,,,,
3263,424.0,420.0,424.0,420.0,200,TRST,2021-04-07,,,,,
4105,420.0,428.0,428.0,420.0,3300,TRST,2021-04-08,,,,,
4948,430.0,428.0,430.0,428.0,300,TRST,2021-04-09,,,,,
5792,430.0,426.0,430.0,426.0,15400,TRST,2021-04-12,,,,,
6636,426.0,450.0,450.0,426.0,2136300,TRST,2021-04-13,,,,,427.0
7481,430.0,430.0,430.0,430.0,500,TRST,2021-04-14,,,,,427.6666666666667
8326,430.0,432.0,432.0,430.0,21600,TRST,2021-04-15,,,,427.8,428.6296296296296
9170,446.0,450.0,450.0,446.0,121400,TRST,2021-04-16,,,,430.8,433.37860082304525
10014,450.0,450.0,450.0,450.0,100,TRST,2021-04-19,,,,433.8,437.07224508459075
10858,436.0,430.0,436.0,430.0,25100,TRST,2021-04-20,,,,434.4,435.5006350657928
11702,430.0,430.0,430.0,430.0,200,TRST,2021-04-21,,,,435.4,434.27827171783883
12546,430.0,430.0,430.0,430.0,0,TRST,2021-04-22,,,,435.6,433.3275446694302
13390,430.0,448.0,448.0,430.0,200,TRST,2021-04-23,,,,437.6,436.5880902984457
14233,448.0,448.0,448.0,448.0,100,TRST,2021-04-26,,,,439.8,439.12407023212444
15076,448.0,450.0,450.0,448.0,500,TRST,2021-04-27,,,,439.8,441.54094351387454
15920,460.0,460.0,460.0,460.0,2800,TRST,2021-04-28,,,,442.8,445.64295606634687
16764,460.0,468.0,468.0,460.0,1600,TRST,2021-04-29,,,,446.4,450.6111880516031
17608,468.0,450.0,468.0,450.0,2600,TRST,2021-04-30,,,,446.4,450.4753684845802
18451,460.0,460.0,460.0,460.0,600,TRST,2021-05-03,,,,447.4,452.5919532657846
19294,460.0,460.0,460.0,460.0,0,TRST,2021-05-04,,,,450.4,454.23818587338803
20138,458.0,430.0,458.0,430.0,300,TRST,2021-05-05,,,,450.4,448.8519223459685
20982,432.0,432.0,432.0,432.0,1000,TRST,2021-05-06,,,,450.6,445.10705071353107
21826,430.0,448.0,448.0,430.0,700,TRST,2021-05-07,,,,450.6,445.7499283327464
22669,430.0,430.0,430.0,430.0,100200,TRST,2021-05-10,,,,448.8,442.2499442588027
23512,430.0,430.0,430.0,430.0,0,TRST,2021-05-11,,,,446.8,439.5277344235132
24353,432.0,430.0,432.0,430.0,479000,TRST,2021-05-17,,,,443.8,437.41046010717696
25193,430.0,430.0,430.0,430.0,0,TRST,2021-05-18,,,438.06666666666666,440.0,435.763691194471
26033,430.0,436.0,436.0,430.0,69900,TRST,2021-05-19,,,438.6,438.6,435.81620426236634
26956,448.0,450.0,450.0,448.0,60100,TRST,2021-05-20,,,439.6,437.6,438.9681588707294
27757,450.0,450.0,450.0,450.0,26000,TRST,2021-05-21,,,440.46666666666664,436.6,441.4196791216784
28599,450.0,450.0,450.0,450.0,0,TRST,2021-05-24,,,441.46666666666664,438.6,443.32641709463877
29439,450.0,450.0,450.0,450.0,0,TRST,2021-05-25,,,442.2,440.4,444.8094355180524
30232,450.0,468.0,468.0,450.0,900,TRST,2021-05-27,,,443.53333333333336,442.4,449.96289429181854
31074,470.0,468.0,470.0,468.0,200,TRST,2021-05-28,,,444.93333333333334,446.2,453.9711400047478
31916,470.0,490.0,490.0,470.0,13700,TRST,2021-05-31,,,446.26666666666665,452.2,461.97755333702605
32758,488.0,488.0,488.0,488.0,100,TRST,2021-06-02,,,448.2,458.0,467.76031926213136
33599,470.0,490.0,490.0,470.0,21200,TRST,2021-06-03,,,450.1333333333333,464.0,472.7024705372133
34440,470.0,500.0,500.0,468.0,281600,TRST,2021-06-04,,,451.8,470.4,478.76858819561033
35281,500.0,500.0,500.0,490.0,80300,TRST,2021-06-07,,,453.46666666666664,475.4,483.4866797076969
36124,500.0,500.0,500.0,500.0,50200,TRST,2021-06-08,,,455.8,480.4,487.1563064393198
36967,500.0,500.0,500.0,500.0,0,TRST,2021-06-09,,,458.1333333333333,485.4,490.0104605639154
37812,500.0,500.0,500.0,500.0,20000,TRST,2021-06-10,,,460.46666666666664,490.4,492.23035821637865
38659,500.0,500.0,500.0,500.0,25000,TRST,2021-06-11,,,462.2,493.6,493.9569452794056
39506,500.0,500.0,500.0,500.0,0,TRST,2021-06-14,,,463.93333333333334,496.8,495.29984632842655
40353,500.0,505.0,505.0,500.0,20100,TRST,2021-06-15,,,465.76666666666665,498.3,497.4554360332207
41200,550.0,490.0,550.0,470.0,51800,TRST,2021-06-16,,,466.76666666666665,498.5,495.7986724702827
42047,490.0,490.0,490.0,490.0,600,TRST,2021-06-17,,,467.5,498.5,494.51007858799767
42894,500.0,500.0,500.0,500.0,50000,TRST,2021-06-18,,,469.1666666666667,498.5,495.7300611239982
43741,500.0,500.0,500.0,500.0,0,TRST,2021-06-21,,,470.5,498.5,496.6789364297764
44588,505.0,505.0,505.0,505.0,3200,TRST,2021-06-22,,,472.0,499.0,498.5280616676039
45435,472.0,472.0,472.0,472.0,2900,TRST,2021-06-23,,,473.4,496.2,492.63293685258077
46282,505.0,505.0,505.0,505.0,20100,TRST,2021-06-24,,,475.8333333333333,496.7,495.3811731075628
47129,500.0,505.0,505.0,500.0,50200,TRST,2021-06-25,,,477.73333333333335,497.2,497.51869019477107
47977,505.0,505.0,505.0,505.0,0,TRST,2021-06-28,,,480.23333333333335,497.7,499.18120348482194
48819,510.0,510.0,510.0,510.0,3000,TRST,2021-06-29,,,482.9,498.2,501.58538048819486
49620,510.0,505.0,510.0,500.0,23200,TRST,2021-06-30,,,485.4,499.7,502.34418482415157
50471,505.0,505.0,505.0,505.0,20300,TRST,2021-07-01,,,487.9,501.2,502.9343659743401
51322,505.0,505.0,505.0,505.0,21800,TRST,2021-07-02,,,490.2,501.7,503.3933957578201
52173,510.0,505.0,510.0,505.0,26100,TRST,2021-07-05,,,492.03333333333336,502.2,503.75041892274896
53024,505.0,505.0,505.0,505.0,20000,TRST,2021-07-06,,,493.8666666666667,502.2,504.02810360658253
53843,505.0,505.0,505.0,505.0,10000,TRST,2021-07-07,,,495.7,505.5,504.24408058289754
54686,498.0,505.0,505.0,482.0,13100,TRST,2021-07-08,,,497.53333333333336,505.5,504.412062675587
55539,474.0,510.0,510.0,474.0,89700,TRST,2021-07-09,,,498.93333333333334,506.0,505.65382652545657
56392,510.0,510.0,510.0,510.0,100,TRST,2021-07-12,,,500.3333333333333,506.5,506.61964285313286
57245,510.0,510.0,510.0,510.0,100,TRST,2021-07-13,,,501.0,506.5,507.37083333021445
58098,510.0,510.0,510.0,510.0,10000,TRST,2021-07-14,,,501.73333333333335,507.0,507.95509259016677
58951,510.0,510.0,510.0,510.0,11200,TRST,2021-07-15,,,502.4,507.5,508.4095164590186
59804,510.0,510.0,510.0,510.0,25000,TRST,2021-07-16,,,502.73333333333335,508.0,508.76295724590335
60656,480.0,480.0,480.0,480.0,2000,TRST,2021-07-19,,,502.06666666666666,505.5,502.3711889690359
61508,510.0,510.0,510.0,510.0,13300,TRST,2021-07-21,,,502.4,506.0,504.06648030925015
62360,510.0,510.0,510.0,500.0,20500,TRST,2021-07-22,,,502.73333333333335,506.5,505.38504024052787
63212,480.0,515.0,515.0,480.0,25100,TRST,2021-07-23,,,503.23333333333335,507.5,507.52169796485504
64064,515.0,515.0,515.0,515.0,25100,TRST,2021-07-26,,,503.73333333333335,508.0,509.1835428615539
64916,515.0,515.0,515.0,515.0,17600,TRST,2021-07-27,,,504.23333333333335,508.5,510.4760888923197
65770,515.0,515.0,515.0,515.0,100,TRST,2021-07-28,,,504.56666666666666,509.0,511.4814024718042
66624,515.0,515.0,515.0,515.0,0,TRST,2021-07-29,,,505.4,509.5,512.2633130336255
67478,550.0,486.0,550.0,486.0,2600,TRST,2021-07-30,,,505.26666666666665,507.1,506.4270212483754
68332,486.0,515.0,515.0,486.0,30300,TRST,2021-08-02,,,505.76666666666665,507.6,508.3321276376253
69186,520.0,520.0,520.0,520.0,3300,TRST,2021-08-03,,,506.43333333333334,511.6,510.92498816259746
70040,515.0,520.0,520.0,515.0,6900,TRST,2021-08-04,,,506.93333333333334,512.6,512.9416574597981
70894,520.0,530.0,530.0,500.0,91200,TRST,2021-08-05,,,508.8666666666667,514.6,516.7324002465097
71749,530.0,535.0,535.0,530.0,104300,TRST,2021-08-06,,,509.8666666666667,516.6,520.7918668583964
72604,540.0,530.0,540.0,505.0,40600,TRST,2021-08-09,,,510.7,518.1,522.8381186676417
73459,535.0,535.0,540.0,520.0,42800,TRST,2021-08-10,,,511.7,520.1,525.5407589637213
74314,535.0,535.0,540.0,535.0,2700,TRST,2021-08-12,,,512.5333333333333,522.1,527.6428125273387
75169,540.0,510.0,540.0,510.0,43200,TRST,2021-08-13,,,512.7,521.6,523.7221875212634
76024,580.0,525.0,580.0,510.0,65900,TRST,2021-08-16,,,513.3666666666667,525.5,524.0061458498716
76879,525.0,535.0,535.0,490.0,41800,TRST,2021-08-18,,,514.3666666666667,527.5,526.4492245499001
77734,498.0,500.0,505.0,498.0,43600,TRST,2021-08-19,,,514.2,525.5,520.5716190943667
78589,468.0,535.0,535.0,468.0,51700,TRST,2021-08-20,,,515.2,527.0,523.7779259622853
79444,535.0,535.0,535.0,530.0,60000,TRST,2021-08-23,,,516.2,527.5,526.2717201928886
80299,510.0,535.0,535.0,498.0,53400,TRST,2021-08-24,,,517.2,527.5,528.2113379278022
