,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124310,1390.0,1380.0,1395.0,1380.0,160000,TSPC,2020-07-01,,,,,
131731,1390.0,1375.0,1400.0,1375.0,231300,TSPC,2020-07-02,,,,,
105405,1375.0,1380.0,1415.0,1375.0,397900,TSPC,2020-07-03,,,,,
87264,1400.0,1450.0,1460.0,1380.0,457400,TSPC,2020-07-06,,,,,
34496,1460.0,1460.0,1490.0,1440.0,192800,TSPC,2020-07-07,,,,,
49341,1460.0,1400.0,1465.0,1400.0,1096200,TSPC,2020-07-08,,,,,
117736,1365.0,1375.0,1400.0,1365.0,632700,TSPC,2020-07-09,,,,,
23791,1375.0,1380.0,1405.0,1375.0,155700,TSPC,2020-07-10,,,,,1400.0
15555,1380.0,1380.0,1395.0,1380.0,97100,TSPC,2020-07-13,,,,,1395.5555555555557
32033,1395.0,1400.0,1400.0,1390.0,190500,TSPC,2020-07-14,,,,1398.0,1396.5432098765432
93038,1400.0,1400.0,1420.0,1380.0,118200,TSPC,2020-07-15,,,,1400.0,1397.3113854595335
22146,1400.0,1380.0,1405.0,1380.0,84000,TSPC,2020-07-16,,,,1400.5,1393.4644109129706
107844,1395.0,1385.0,1400.0,1380.0,66300,TSPC,2020-07-17,,,,1401.0,1391.5834307100884
80680,1385.0,1370.0,1400.0,1365.0,179900,TSPC,2020-07-20,,,,1393.0,1386.7871127745132
106217,1375.0,1395.0,1415.0,1375.0,563100,TSPC,2020-07-21,,,,1386.5,1388.6121988246214
97160,1395.0,1395.0,1410.0,1395.0,853800,TSPC,2020-07-22,,,,1386.0,1390.0317101969276
8966,1410.0,1460.0,1705.0,1400.0,6204800,TSPC,2020-07-23,,,,1394.5,1405.5802190420548
104595,1465.0,1405.0,1500.0,1395.0,2132200,TSPC,2020-07-24,,,,1397.0,1405.4512814771538
57591,1405.0,1380.0,1415.0,1355.0,481200,TSPC,2020-07-27,,,,1397.0,1399.7954411488975
41914,1385.0,1370.0,1395.0,1355.0,361100,TSPC,2020-07-28,,,,1394.0,1393.174232004698
114448,1380.0,1380.0,1400.0,1380.0,358900,TSPC,2020-07-29,,,,1392.0,1390.246624892543
83134,1380.0,1380.0,1410.0,1380.0,274500,TSPC,2020-07-30,,,,1392.0,1387.9695971386445
121034,1395.0,1310.0,1400.0,1285.0,531200,TSPC,2020-08-03,,,,1384.5,1370.6430199967235
7329,1345.0,1360.0,1375.0,1315.0,131100,TSPC,2020-08-04,,,,1383.5,1368.277904441896
55947,1360.0,1365.0,1390.0,1340.0,233300,TSPC,2020-08-05,,,,1380.5,1367.5494812325858
72438,1385.0,1375.0,1405.0,1365.0,662300,TSPC,2020-08-06,,,,1378.5,1369.205152069789
44386,1375.0,1355.0,1375.0,1350.0,702300,TSPC,2020-08-07,,,,1368.0,1366.0484516098359
102119,1355.0,1355.0,1355.0,1305.0,723800,TSPC,2020-08-10,,,,1363.0,1363.5932401409834
55134,1355.0,1365.0,1370.0,1340.0,110700,TSPC,2020-08-11,,,,1361.5,1363.905853442987
123500,1375.0,1380.0,1390.0,1375.0,287100,TSPC,2020-08-12,,,1384.8333333333333,1362.5,1367.4823304556567
65015,1380.0,1400.0,1405.0,1370.0,1651200,TSPC,2020-08-13,,,1385.5,1364.5,1374.7084792432886
90586,1400.0,1400.0,1405.0,1395.0,583900,TSPC,2020-08-14,,,1386.3333333333333,1366.5,1380.3288171892245
63371,1395.0,1395.0,1400.0,1345.0,577500,TSPC,2020-08-18,,,1386.8333333333333,1375.0,1383.5890800360635
92227,1390.0,1385.0,1390.0,1365.0,222700,TSPC,2020-08-19,,,1384.6666666666667,1377.5,1383.902617805827
10617,1380.0,1395.0,1395.0,1365.0,259400,TSPC,2020-08-24,,,1382.5,1380.5,1386.3687027378655
132546,1390.0,1375.0,1390.0,1365.0,458200,TSPC,2020-08-25,,,1381.6666666666667,1380.5,1383.8423243516731
107033,1375.0,1365.0,1375.0,1360.0,452700,TSPC,2020-08-26,,,1381.3333333333333,1381.5,1379.6551411624125
4038,1370.0,1365.0,1370.0,1355.0,253200,TSPC,2020-08-27,,,1380.8333333333333,1382.5,1376.398443126321
81496,1365.0,1370.0,1375.0,1365.0,627400,TSPC,2020-08-28,,,1380.5,1383.0,1374.9765668760274
27918,1380.0,1335.0,1380.0,1330.0,665900,TSPC,2020-08-31,,,1378.3333333333333,1378.5,1366.0928853480214
35313,1335.0,1350.0,1350.0,1330.0,158100,TSPC,2020-09-01,,,1376.6666666666667,1373.5,1362.5166886040165
39451,1350.0,1355.0,1355.0,1345.0,161900,TSPC,2020-09-02,,,1375.8333333333333,1369.0,1360.8463133586795
70788,1355.0,1350.0,1355.0,1345.0,73300,TSPC,2020-09-03,,,1374.6666666666667,1364.5,1358.4360215011952
13094,1335.0,1335.0,1350.0,1330.0,151700,TSPC,2020-09-04,,,1373.5,1359.5,1353.2280167231518
27101,1335.0,1305.0,1335.0,1285.0,477800,TSPC,2020-09-07,,,1370.5,1350.5,1342.5106796735624
111150,1305.0,1315.0,1325.0,1305.0,271200,TSPC,2020-09-08,,,1367.8333333333333,1344.5,1336.3971953016596
125131,1315.0,1295.0,1325.0,1290.0,442600,TSPC,2020-09-09,,,1362.3333333333333,1337.5,1327.1978185679575
8153,1285.0,1235.0,1285.0,1215.0,1162600,TSPC,2020-09-10,,,1356.6666666666667,1324.5,1306.7094144417447
18030,1235.0,1285.0,1295.0,1160.0,417200,TSPC,2020-09-11,,,1353.5,1316.0,1301.885100121357
45212,1290.0,1345.0,1355.0,1290.0,320800,TSPC,2020-09-14,,,1352.6666666666667,1317.0,1311.4661889832778
68321,1365.0,1350.0,1370.0,1345.0,87500,TSPC,2020-09-15,,,1351.6666666666667,1317.0,1320.029258098105
1567,1350.0,1345.0,1370.0,1345.0,275100,TSPC,2020-09-16,,,1350.5,1316.0,1325.5783118540817
58419,1345.0,1340.0,1360.0,1340.0,123100,TSPC,2020-09-17,,,1351.5,1315.0,1328.7831314420634
64199,1335.0,1325.0,1340.0,1300.0,74600,TSPC,2020-09-18,,,1350.3333333333333,1314.0,1327.9424355660494
74091,1325.0,1305.0,1345.0,1305.0,115600,TSPC,2020-09-21,,,1348.3333333333333,1314.0,1322.8441165513718
102947,1300.0,1315.0,1325.0,1300.0,88000,TSPC,2020-09-22,,,1346.3333333333333,1314.0,1321.100979539956
79043,1325.0,1300.0,1335.0,1290.0,82500,TSPC,2020-09-23,,,1344.5,1314.5,1316.4118729755212
67493,1300.0,1285.0,1320.0,1275.0,169700,TSPC,2020-09-24,,,1342.1666666666667,1319.5,1309.4314567587387
99648,1320.0,1335.0,1345.0,1285.0,227100,TSPC,2020-09-25,,,1341.1666666666667,1324.5,1315.1133552567967
61730,1335.0,1300.0,1335.0,1295.0,198500,TSPC,2020-09-28,,,1338.5,1320.0,1311.7548318663974
16382,1300.0,1305.0,1305.0,1280.0,177900,TSPC,2020-09-29,,,1335.3333333333333,1315.5,1310.253758118309
86455,1290.0,1280.0,1300.0,1275.0,88500,TSPC,2020-09-30,,,1331.3333333333333,1309.0,1303.5307007586848
94689,1310.0,1295.0,1310.0,1285.0,80100,TSPC,2020-10-01,,,1328.0,1304.5,1301.634989478977
69972,1295.0,1285.0,1295.0,1270.0,367400,TSPC,2020-10-02,,,1324.6666666666667,1300.5,1297.9383251503154
12278,1285.0,1280.0,1285.0,1275.0,174000,TSPC,2020-10-05,,,1320.8333333333333,1298.0,1293.9520306724676
122685,1285.0,1280.0,1285.0,1275.0,344200,TSPC,2020-10-06,,,1317.6666666666667,1294.5,1290.8515794119191
21336,1285.0,1280.0,1310.0,1280.0,40800,TSPC,2020-10-07,,,1314.8333333333333,1292.5,1288.4401173203817
19680,1290.0,1275.0,1295.0,1275.0,220000,TSPC,2020-10-08,,,1311.8333333333333,1291.5,1285.4534245825191
112811,1280.0,1275.0,1280.0,1265.0,184500,TSPC,2020-10-09,,,1308.6666666666667,1285.5,1283.1304413419593
28744,1270.0,1270.0,1280.0,1265.0,406200,TSPC,2020-10-12,,,1306.5,1282.5,1280.2125654881906
78217,1275.0,1265.0,1280.0,1265.0,183100,TSPC,2020-10-13,,,1303.6666666666667,1278.5,1276.8319953797038
109500,1265.0,1265.0,1270.0,1265.0,329400,TSPC,2020-10-14,,,1300.6666666666667,1277.0,1274.202663073103
14745,1265.0,1265.0,1270.0,1265.0,262600,TSPC,2020-10-15,,,1297.8333333333333,1274.0,1272.1576268346357
5693,1265.0,1265.0,1280.0,1265.0,623100,TSPC,2020-10-16,,,1295.5,1272.0,1270.5670430936057
740,1280.0,1260.0,1280.0,1255.0,238900,TSPC,2020-10-19,,,1294.0,1270.0,1268.2188112950266
127616,1270.0,1255.0,1270.0,1255.0,151000,TSPC,2020-10-20,,,1292.0,1267.5,1265.2812976739096
76567,1265.0,1240.0,1265.0,1240.0,449700,TSPC,2020-10-21,,,1290.1666666666667,1263.5,1259.663231524152
30399,1240.0,1245.0,1255.0,1240.0,189700,TSPC,2020-10-22,,,1290.5,1260.5,1256.404735629896
32859,1255.0,1265.0,1270.0,1245.0,259400,TSPC,2020-10-23,,,1289.8333333333333,1259.5,1258.314794378808
59245,1265.0,1260.0,1275.0,1260.0,111000,TSPC,2020-10-26,,,1287.0,1258.5,1258.6892845168506
54319,1255.0,1260.0,1270.0,1255.0,55200,TSPC,2020-10-27,,,1284.0,1258.0,1258.9805546242171
91412,1260.0,1255.0,1260.0,1250.0,89300,TSPC,2020-11-02,,,1281.0,1257.0,1258.0959869299465
85629,1265.0,1260.0,1275.0,1260.0,220200,TSPC,2020-11-03,,,1278.3333333333333,1256.5,1258.519100945514
6517,1270.0,1255.0,1270.0,1255.0,261200,TSPC,2020-11-04,,,1276.0,1255.5,1257.7370785131777
18855,1265.0,1255.0,1265.0,1250.0,306400,TSPC,2020-11-05,,,1274.3333333333333,1255.0,1257.1288388435826
42739,1260.0,1265.0,1265.0,1250.0,478200,TSPC,2020-11-06,,,1272.6666666666667,1256.0,1258.877985767231
93863,1265.0,1260.0,1270.0,1255.0,304700,TSPC,2020-11-09,,,1271.3333333333333,1258.0,1259.1273222634018
2392,1265.0,1315.0,1320.0,1265.0,830000,TSPC,2020-11-10,,,1272.3333333333333,1265.0,1271.5434728715347
24616,1320.0,1315.0,1335.0,1310.0,330200,TSPC,2020-11-11,,,1271.6666666666667,1270.0,1281.2004789000825
79868,1320.0,1285.0,1320.0,1285.0,249500,TSPC,2020-11-12,,,1271.1666666666667,1272.5,1282.0448169222864
77392,1285.0,1265.0,1290.0,1255.0,702900,TSPC,2020-11-13,,,1269.8333333333333,1273.0,1278.257079828445
75742,1270.0,1285.0,1300.0,1270.0,523600,TSPC,2020-11-16,,,1270.0,1276.0,1279.7555065332351
40277,1300.0,1290.0,1300.0,1285.0,644600,TSPC,2020-11-17,,,1269.8333333333333,1279.0,1282.0320606369608
17207,1295.0,1280.0,1300.0,1280.0,567800,TSPC,2020-11-18,,,1269.6666666666667,1281.5,1281.5804916065251
69147,1290.0,1300.0,1300.0,1280.0,1039800,TSPC,2020-11-19,,,1270.3333333333333,1286.0,1285.673715693964
82322,1300.0,1290.0,1300.0,1290.0,341000,TSPC,2020-11-20,,,1270.6666666666667,1288.5,1286.6351122064164
73263,1300.0,1310.0,1310.0,1290.0,242700,TSPC,2020-11-23,,,1271.6666666666667,1293.5,1291.8273094938793
115273,1310.0,1315.0,1320.0,1300.0,477600,TSPC,2020-11-24,,,1273.0,1293.5,1296.9767962730173
121859,1325.0,1310.0,1340.0,1305.0,778100,TSPC,2020-11-25,,,1274.1666666666667,1293.0,1299.8708415456802
60903,1310.0,1320.0,1335.0,1310.0,246900,TSPC,2020-11-26,1328.0,,1275.8333333333333,1296.5,1304.3439878688623
13919,1330.0,1310.0,1335.0,1305.0,450700,TSPC,2020-11-27,1327.3,,1277.3333333333333,1301.0,1305.6008794535596
120221,1310.0,1300.0,1330.0,1285.0,647000,TSPC,2020-11-30,1326.55,,1278.5,1302.5,1304.356239574991
116924,1300.0,1300.0,1310.0,1270.0,599200,TSPC,2020-12-01,1325.75,,1279.6666666666667,1303.5,1303.3881863361041
119396,1300.0,1305.0,1320.0,1295.0,348500,TSPC,2020-12-02,1324.3,,1281.0,1306.0,1303.7463671503033
38634,1310.0,1310.0,1310.0,1305.0,267900,TSPC,2020-12-03,1322.8,,1282.6666666666667,1307.0,1305.1360633391248
31222,1320.0,1305.0,1330.0,1300.0,1457600,TSPC,2020-12-04,1321.85,,1284.3333333333333,1308.5,1305.1058270415415
47700,1310.0,1390.0,1500.0,1305.0,6050100,TSPC,2020-12-07,1322.0,,1289.3333333333333,1316.5,1323.9711988100878
95513,1450.0,1540.0,1730.0,1430.0,18210900,TSPC,2020-12-08,1323.6,,1299.1666666666667,1339.0,1371.9775990745127
129269,1590.0,1535.0,1650.0,1530.0,3328500,TSPC,2020-12-10,1325.15,,1308.1666666666667,1361.5,1408.2047992801765
41101,1580.0,1430.0,1580.0,1430.0,1981200,TSPC,2020-12-11,1325.45,,1313.8333333333333,1372.5,1413.048177217915
74916,1435.0,1425.0,1475.0,1425.0,1820900,TSPC,2020-12-14,1325.7,,1319.3333333333333,1384.0,1415.7041378361562
113635,1445.0,1385.0,1445.0,1385.0,1584800,TSPC,2020-12-15,1325.75,,1323.6666666666667,1392.5,1408.880996094788
130921,1385.0,1420.0,1450.0,1385.0,1277200,TSPC,2020-12-16,1326.1,,1329.0,1404.5,1411.351885851502
65839,1440.0,1410.0,1440.0,1400.0,1473600,TSPC,2020-12-17,1326.5,,1334.1666666666667,1415.0,1411.0514667733903
101302,1410.0,1395.0,1410.0,1395.0,775000,TSPC,2020-12-18,1326.5,,1338.8333333333333,1423.5,1407.4844741570814
116098,1400.0,1400.0,1410.0,1395.0,1541700,TSPC,2020-12-21,1326.55,,1343.3333333333333,1433.0,1405.82125767773
33682,1390.0,1390.0,1415.0,1375.0,1268900,TSPC,2020-12-22,1325.85,,1347.6666666666667,1433.0,1402.3054226382344
98819,1390.0,1375.0,1395.0,1360.0,787900,TSPC,2020-12-23,1325.55,,1349.6666666666667,1416.5,1396.237550940849
66664,1375.0,1385.0,1395.0,1370.0,1223100,TSPC,2020-12-28,1325.6,,1352.0,1401.5,1393.740317398438
62553,1390.0,1375.0,1400.0,1370.0,792600,TSPC,2020-12-29,1325.65,,1355.0,1396.0,1389.5758024210074
130093,1380.0,1400.0,1400.0,1365.0,892200,TSPC,2020-12-30,1325.85,,1359.5,1393.5,1391.8922907718947
4863,1400.0,1425.0,1475.0,1385.0,3361800,TSPC,2021-01-04,1326.3,,1364.1666666666667,1397.5,1399.2495594892514
110324,1420.0,1420.0,1425.0,1400.0,1186700,TSPC,2021-01-05,1327.4,,1368.5,1397.5,1403.8607684916399
126786,1425.0,1540.0,1590.0,1380.0,14602500,TSPC,2021-01-06,1329.2,,1377.1666666666667,1410.5,1434.1139310490532
29569,1560.0,1565.0,1650.0,1550.0,19774000,TSPC,2021-01-07,1331.2,,1386.0,1427.5,1463.1997241492636
48525,1565.0,1595.0,1645.0,1560.0,17107900,TSPC,2021-01-08,1333.4,,1396.1666666666667,1447.0,1492.488674338316
125956,1600.0,1990.0,1990.0,1600.0,50385800,TSPC,2021-01-11,1339.75,,1418.8333333333333,1507.0,1603.0467467075791
51000,2190.0,2050.0,2390.0,2040.0,59406000,TSPC,2021-01-12,1346.7,,1443.3333333333333,1574.5,1702.3696918836727
51829,2060.0,1910.0,2130.0,1910.0,20680600,TSPC,2021-01-13,1352.15,,1463.3333333333333,1627.0,1748.5097603539675
128440,1910.0,1780.0,1910.0,1780.0,6937600,TSPC,2021-01-14,1356.15,,1478.6666666666667,1667.5,1755.507591386419
36139,1740.0,1770.0,1880.0,1735.0,19497400,TSPC,2021-01-15,1359.85,,1494.0,1704.5,1758.7281266338816
36969,1800.0,1650.0,1805.0,1650.0,9556600,TSPC,2021-01-18,1362.35,,1505.6666666666667,1727.0,1734.5663207152413
108670,1650.0,1535.0,1650.0,1535.0,9709200,TSPC,2021-01-19,1363.75,,1513.5,1738.5,1690.2182494451877
52659,1525.0,1600.0,1625.0,1510.0,5333600,TSPC,2021-01-20,1365.9,,1523.3333333333333,1744.5,1670.1697495684793
53489,1610.0,1585.0,1650.0,1570.0,3818000,TSPC,2021-01-21,1367.8,,1532.5,1746.5,1651.2431385532618
3217,1590.0,1530.0,1605.0,1525.0,3455900,TSPC,2021-01-22,1369.35,,1540.0,1740.0,1624.3002188747591
100473,1530.0,1480.0,1540.0,1455.0,4089000,TSPC,2021-01-25,1370.5,,1543.0,1689.0,1592.2335035692572
46872,1480.0,1430.0,1515.0,1430.0,3372300,TSPC,2021-01-26,1371.15,,1539.3333333333333,1627.0,1556.1816138872
20506,1435.0,1395.0,1435.0,1355.0,3415800,TSPC,2021-01-27,1371.4,,1534.6666666666667,1575.5,1520.3634774678221
25442,1390.0,1385.0,1470.0,1365.0,2525800,TSPC,2021-01-28,1371.9,,1533.1666666666667,1536.0,1490.282704697195
56774,1400.0,1370.0,1400.0,1290.0,4582100,TSPC,2021-01-29,1372.1,,1531.3333333333333,1496.0,1463.553214764485
96342,1360.0,1420.0,1425.0,1325.0,2291900,TSPC,2021-02-01,1372.75,,1532.5,1473.0,1453.8747225945995
26275,1425.0,1445.0,1545.0,1425.0,3628000,TSPC,2021-02-02,1373.7,,1533.3333333333333,1464.0,1451.9025620180219
9795,1460.0,1495.0,1520.0,1450.0,2008100,TSPC,2021-02-03,1375.3,,1536.1666666666667,1453.5,1461.4797704584614
118565,1500.0,1475.0,1520.0,1465.0,1819400,TSPC,2021-02-04,1377.0,,1538.8333333333333,1442.5,1464.4842659121366
11446,1475.0,1490.0,1500.0,1470.0,829300,TSPC,2021-02-05,1378.75,,1541.8333333333333,1438.5,1470.154429042773
37803,1510.0,1505.0,1510.0,1480.0,1231800,TSPC,2021-02-08,1380.85,,1545.6666666666667,1441.0,1477.89788925549
88930,1515.0,1505.0,1590.0,1480.0,6333200,TSPC,2021-02-09,1383.55,,1550.0,1448.5,1483.9205805320478
88094,1515.0,1490.0,1525.0,1480.0,1326900,TSPC,2021-02-10,1385.6,,1553.5,1458.0,1485.271562636037
84797,1490.0,1505.0,1510.0,1475.0,1320600,TSPC,2021-02-11,1387.2,,1557.8333333333333,1470.0,1489.6556598280288
111979,1505.0,1540.0,1540.0,1500.0,1841900,TSPC,2021-02-15,1389.1,,1562.5,1487.0,1500.8432909773558
103776,1550.0,1540.0,1585.0,1515.0,3850000,TSPC,2021-02-16,1391.05,,1566.3333333333333,1499.0,1509.5447818712767
97989,1540.0,1505.0,1560.0,1495.0,2458200,TSPC,2021-02-17,1392.7,,1569.1666666666667,1505.0,1508.5348303443263
71617,1500.0,1470.0,1505.0,1460.0,1968300,TSPC,2021-02-18,1394.15,,1566.8333333333333,1502.5,1499.9715347122537
60072,1470.0,1485.0,1505.0,1465.0,1083800,TSPC,2021-02-19,1395.95,,1564.1666666666667,1503.5,1496.6445269984197
83962,1485.0,1480.0,1500.0,1480.0,1001100,TSPC,2021-02-22,1397.6,,1560.3333333333333,1502.5,1492.945743220993
22974,1480.0,1475.0,1485.0,1470.0,717200,TSPC,2021-02-23,1399.35,,1543.1666666666667,1499.5,1488.9578002829946
