,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120975,2700.0,2700.0,2700.0,2700.0,10500,TUGU,2020-07-01,,,,,
128396,2700.0,2700.0,2700.0,2700.0,0,TUGU,2020-07-02,,,,,
102070,2700.0,2680.0,2700.0,2680.0,11500,TUGU,2020-07-03,,,,,
84763,2800.0,2750.0,2820.0,2700.0,59700,TUGU,2020-07-06,,,,,
34497,2820.0,2730.0,2900.0,2730.0,9200,TUGU,2020-07-07,,,,,
47674,2780.0,2770.0,2780.0,2730.0,27300,TUGU,2020-07-08,,,,,
114401,2770.0,2710.0,2770.0,2700.0,6400,TUGU,2020-07-09,,,,,
23792,2710.0,2710.0,2710.0,2710.0,500,TUGU,2020-07-10,,,,,2718.75
15556,2670.0,2650.0,2670.0,2650.0,3700,TUGU,2020-07-13,,,,,2703.472222222222
32034,2630.0,2650.0,2650.0,2630.0,800,TUGU,2020-07-14,,,,2705.0,2691.5895061728393
89703,2650.0,2650.0,2650.0,2650.0,300,TUGU,2020-07-15,,,,2700.0,2682.347393689986
22147,2650.0,2650.0,2650.0,2640.0,600,TUGU,2020-07-16,,,,2695.0,2675.1590839811
104509,2620.0,2710.0,2710.0,2600.0,17200,TUGU,2020-07-17,,,,2698.0,2682.9015097630777
78179,2700.0,2680.0,2700.0,2640.0,7900,TUGU,2020-07-20,,,,2691.0,2682.256729815727
102882,2670.0,2680.0,2680.0,2670.0,5300,TUGU,2020-07-21,,,,2686.0,2681.7552343011207
93825,2600.0,2690.0,2690.0,2600.0,2700,TUGU,2020-07-22,,,,2678.0,2683.587404456427
8967,2690.0,2690.0,2690.0,2690.0,1100,TUGU,2020-07-23,,,,2676.0,2685.0124256883323
101260,2610.0,2730.0,2730.0,2610.0,6600,TUGU,2020-07-24,,,,2678.0,2695.0096644242585
55090,2750.0,2740.0,2750.0,2600.0,14800,TUGU,2020-07-27,,,,2687.0,2705.0075167744235
41915,2740.0,2750.0,2750.0,2670.0,4200,TUGU,2020-07-28,,,,2697.0,2715.005846380107
111113,2750.0,2760.0,2760.0,2560.0,154500,TUGU,2020-07-29,,,,2708.0,2725.004547184528
80633,2660.0,2740.0,2740.0,2630.0,2300,TUGU,2020-07-30,,,,2717.0,2728.3368700324104
117699,2660.0,2690.0,2690.0,2650.0,11900,TUGU,2020-08-03,,,,2715.0,2719.8175655807636
7330,2690.0,2730.0,2730.0,2690.0,2200,TUGU,2020-08-04,,,,2720.0,2722.0803287850385
53446,2700.0,2600.0,2700.0,2600.0,110000,TUGU,2020-08-05,,,,2712.0,2694.9513668328077
69937,2600.0,2420.0,2600.0,2420.0,104200,TUGU,2020-08-06,,,,2685.0,2633.8510630921837
43553,2420.0,2390.0,2420.0,2300.0,34000,TUGU,2020-08-07,,,,2655.0,2579.6619379605872
98784,2310.0,2450.0,2450.0,2310.0,9400,TUGU,2020-08-10,,,,2627.0,2550.8481739693457
52633,2450.0,2440.0,2450.0,2440.0,7400,TUGU,2020-08-11,,,,2597.0,2526.2152464206024
120165,2440.0,2550.0,2550.0,2410.0,6500,TUGU,2020-08-12,,,2659.6666666666665,2577.0,2531.500747216024
62514,2550.0,2540.0,2550.0,2540.0,7900,TUGU,2020-08-13,,,2654.3333333333335,2555.0,2533.3894700569076
87251,2540.0,2560.0,2560.0,2540.0,4200,TUGU,2020-08-14,,,2649.6666666666665,2537.0,2539.3029211553726
60870,2550.0,2600.0,2600.0,2470.0,5900,TUGU,2020-08-18,,,2647.0,2528.0,2552.7911608986233
88892,2600.0,2600.0,2600.0,2500.0,3000,TUGU,2020-08-19,,,2642.0,2515.0,2563.2820140322624
10618,2550.0,2500.0,2550.0,2500.0,5900,TUGU,2020-08-24,,,2634.3333333333335,2505.0,2549.2193442473153
129211,2500.0,2420.0,2500.0,2420.0,8900,TUGU,2020-08-25,,,2622.6666666666665,2505.0,2520.5039344145785
103698,2420.0,2600.0,2600.0,2370.0,10300,TUGU,2020-08-26,,,2619.0,2526.0,2538.169726766894
4039,2510.0,2430.0,2510.0,2420.0,17500,TUGU,2020-08-27,,,2609.6666666666665,2524.0,2514.1320097075845
78995,2440.0,2260.0,2440.0,2260.0,83900,TUGU,2020-08-28,,,2596.6666666666665,2506.0,2457.658229772566
27919,2270.0,2490.0,2490.0,2200.0,8700,TUGU,2020-08-31,,,2591.3333333333335,2500.0,2464.8452898231067
35314,2480.0,2320.0,2480.0,2320.0,16800,TUGU,2020-09-01,,,2580.3333333333335,2478.0,2432.6574476401943
39452,2310.0,2230.0,2310.0,2160.0,130000,TUGU,2020-09-02,,,2566.3333333333335,2445.0,2387.6224592757067
68287,2210.0,2080.0,2210.0,2080.0,243400,TUGU,2020-09-03,,,2545.3333333333335,2393.0,2319.261912769994
13095,1950.0,2080.0,2080.0,1935.0,103300,TUGU,2020-09-04,,,2525.3333333333335,2341.0,2266.0925988211065
27102,2080.0,1935.0,2080.0,1935.0,78100,TUGU,2020-09-07,,,2500.5,2284.5,2192.5164657497494
107815,1935.0,1800.0,1950.0,1800.0,269600,TUGU,2020-09-08,,,2470.8333333333335,2222.5,2105.290584472027
121796,1800.0,1675.0,1800.0,1675.0,87700,TUGU,2020-09-09,,,2437.0,2130.0,2009.6704545893544
8154,1620.0,1560.0,1620.0,1560.0,19700,TUGU,2020-09-10,,,2398.0,2043.0,1909.7436869028313
18031,1560.0,1455.0,1575.0,1455.0,45000,TUGU,2020-09-11,,,2355.1666666666665,1962.5,1808.6895342577577
44379,1575.0,1555.0,1700.0,1505.0,73400,TUGU,2020-09-14,,,2315.3333333333335,1869.0,1752.3140822004782
65820,1555.0,1470.0,1690.0,1450.0,37700,TUGU,2020-09-15,,,2272.3333333333335,1784.0,1689.5776194892608
1568,1500.0,1400.0,1525.0,1400.0,179200,TUGU,2020-09-16,,,2227.6666666666665,1701.0,1625.227037380536
55918,1405.0,1305.0,1405.0,1305.0,239700,TUGU,2020-09-17,,,2181.5,1623.5,1554.0654735181947
61698,1300.0,1305.0,1345.0,1225.0,138300,TUGU,2020-09-18,,,2134.0,1546.0,1498.7175905141514
71590,1300.0,1400.0,1400.0,1300.0,9000,TUGU,2020-09-21,,,2094.0,1492.5,1476.7803481776734
99612,1400.0,1390.0,1400.0,1350.0,8200,TUGU,2020-09-22,,,2059.6666666666665,1451.5,1457.4958263604126
76542,1360.0,1695.0,1730.0,1295.0,177100,TUGU,2020-09-23,,,2036.5,1453.5,1510.2745316136543
64992,1675.0,1595.0,1695.0,1590.0,27900,TUGU,2020-09-24,,,2008.0,1457.0,1529.1024134772867
96313,1490.0,1485.0,1490.0,1485.0,9700,TUGU,2020-09-25,,,1976.1666666666667,1460.0,1519.3018771490008
59229,1390.0,1390.0,1400.0,1385.0,67900,TUGU,2020-09-28,,,1937.5,1443.5,1490.568126671445
16383,1450.0,1295.0,1450.0,1295.0,72400,TUGU,2020-09-29,,,1896.0,1426.0,1447.1085429666796
83954,1295.0,1355.0,1390.0,1290.0,14100,TUGU,2020-09-30,,,1855.8333333333333,1421.5,1426.639977862973
91354,1350.0,1345.0,1350.0,1295.0,12200,TUGU,2020-10-01,,,1814.0,1425.5,1408.49776056009
67471,1345.0,1350.0,1390.0,1345.0,3200,TUGU,2020-10-02,,,1772.3333333333333,1430.0,1395.4982582134032
12279,1300.0,1360.0,1405.0,1265.0,12900,TUGU,2020-10-05,,,1734.3333333333333,1426.0,1387.6097563882024
119350,1360.0,1390.0,1400.0,1295.0,33400,TUGU,2020-10-06,,,1700.0,1426.0,1388.1409216352686
21337,1340.0,1350.0,1420.0,1340.0,21700,TUGU,2020-10-07,,,1658.3333333333333,1391.5,1379.6651612718756
19681,1390.0,1395.0,1400.0,1390.0,10300,TUGU,2020-10-08,,,1623.8333333333333,1371.5,1383.0729032114589
109476,1420.0,1400.0,1420.0,1365.0,14700,TUGU,2020-10-09,,,1595.1666666666667,1363.0,1386.8344802755792
28745,1370.0,1380.0,1440.0,1370.0,85000,TUGU,2020-10-12,,,1558.1666666666667,1362.0,1385.315706881006
75716,1420.0,1400.0,1420.0,1380.0,2900,TUGU,2020-10-13,,,1527.5,1372.5,1388.5788831296713
106165,1400.0,1305.0,1425.0,1305.0,269100,TUGU,2020-10-14,,,1496.6666666666667,1367.5,1370.0057979897445
14746,1305.0,1300.0,1350.0,1300.0,152400,TUGU,2020-10-15,,,1470.6666666666667,1363.0,1354.4489539920235
5694,1300.0,1330.0,1330.0,1300.0,1900,TUGU,2020-10-16,,,1445.6666666666667,1361.0,1349.0158531049071
741,1330.0,1300.0,1330.0,1300.0,10700,TUGU,2020-10-19,,,1424.5,1355.0,1338.1234413038167
124281,1280.0,1295.0,1300.0,1280.0,19200,TUGU,2020-10-20,,,1407.6666666666667,1345.5,1328.540454347413
74066,1280.0,1295.0,1320.0,1280.0,1700,TUGU,2020-10-21,,,1395.0,1340.0,1321.0870200479878
30400,1285.0,1295.0,1305.0,1265.0,42300,TUGU,2020-10-22,,,1386.1666666666667,1330.0,1315.2899044817684
32860,1270.0,1300.0,1300.0,1270.0,9800,TUGU,2020-10-23,,,1381.0,1320.0,1311.8921479302644
56744,1300.0,1315.0,1315.0,1285.0,2400,TUGU,2020-10-26,,,1373.0,1313.5,1312.582781723539
51818,1315.0,1310.0,1315.0,1260.0,111800,TUGU,2020-10-27,,,1367.6666666666667,1304.5,1312.0088302294193
88077,1350.0,1325.0,1400.0,1285.0,214300,TUGU,2020-11-02,,,1365.1666666666667,1306.5,1314.895756845104
83128,1325.0,1300.0,1500.0,1280.0,133500,TUGU,2020-11-03,,,1365.0,1306.5,1311.585588657303
6518,1300.0,1350.0,1360.0,1300.0,68700,TUGU,2020-11-04,,,1366.5,1308.5,1320.1221245112358
18856,1385.0,1340.0,1450.0,1300.0,197600,TUGU,2020-11-05,,,1364.5,1312.5,1324.5394301754056
42740,1340.0,1335.0,1350.0,1300.0,87700,TUGU,2020-11-06,,,1362.6666666666667,1316.5,1326.8640012475378
90528,1335.0,1335.0,1360.0,1300.0,68700,TUGU,2020-11-09,,,1350.6666666666667,1320.5,1328.6720009703072
2393,1350.0,1440.0,1445.0,1320.0,138900,TUGU,2020-11-10,,,1345.5,1335.0,1353.411556310239
24617,1460.0,1380.0,1510.0,1380.0,49700,TUGU,2020-11-11,,,1342.0,1343.0,1359.320099352408
77367,1450.0,1400.0,1450.0,1380.0,17400,TUGU,2020-11-12,,,1342.3333333333333,1351.5,1368.3600772740951
74891,1440.0,1370.0,1440.0,1370.0,100500,TUGU,2020-11-13,,,1344.8333333333333,1357.5,1368.7245045465183
73241,1440.0,1335.0,1440.0,1335.0,196800,TUGU,2020-11-16,,,1344.1666666666667,1358.5,1361.2301702028476
40278,1420.0,1370.0,1420.0,1335.0,232100,TUGU,2020-11-17,,,1345.0,1365.5,1363.1790212688816
17208,1400.0,1630.0,1690.0,1395.0,377800,TUGU,2020-11-18,,,1354.3333333333333,1393.5,1422.472572098019
66646,1635.0,1735.0,1910.0,1630.0,394300,TUGU,2020-11-19,,,1366.8333333333333,1433.0,1491.9231116317926
79821,1735.0,1615.0,1770.0,1615.0,137200,TUGU,2020-11-20,,,1374.3333333333333,1461.0,1519.273531269172
70762,1620.0,1635.0,1680.0,1615.0,108500,TUGU,2020-11-23,,,1383.8333333333333,1491.0,1544.990524320467
111938,1635.0,1630.0,1665.0,1620.0,48800,TUGU,2020-11-24,,,1391.6666666666667,1510.0,1563.8815189159188
118524,1630.0,1615.0,1675.0,1615.0,76900,TUGU,2020-11-25,,,1398.8333333333333,1533.5,1575.241181379048
58402,1620.0,1615.0,1645.0,1615.0,14100,TUGU,2020-11-26,1937.35,,1406.6666666666667,1555.0,1584.076474405926
13920,1620.0,1650.0,1670.0,1620.0,29400,TUGU,2020-11-27,1926.85,,1415.0,1583.0,1598.7261467601647
116886,1660.0,1645.0,1710.0,1620.0,152500,TUGU,2020-11-30,1916.3,,1426.3333333333333,1614.0,1609.0092252579059
113589,1620.0,1620.0,1650.0,1615.0,19000,TUGU,2020-12-01,1905.7,,1437.0,1639.0,1611.451619645038
116061,1620.0,1690.0,1690.0,1620.0,63800,TUGU,2020-12-02,1895.1,,1449.0,1645.0,1628.906815279474
38635,1710.0,1720.0,1750.0,1670.0,74600,TUGU,2020-12-03,1885.0,,1463.0,1643.5,1649.1497452173685
31223,1735.0,1710.0,1735.0,1650.0,12800,TUGU,2020-12-04,1874.4,,1476.8333333333333,1653.0,1662.6720240579532
46033,1710.0,1775.0,1790.0,1710.0,71900,TUGU,2020-12-07,1865.05,,1492.8333333333333,1667.0,1687.6337964895192
92178,1775.0,2020.0,2020.0,1775.0,184900,TUGU,2020-12-08,1858.15,,1517.0,1706.0,1761.4929528251816
125934,2050.0,2070.0,2170.0,2020.0,282600,TUGU,2020-12-10,1852.35,,1542.6666666666667,1751.5,1830.0500744195858
41102,2030.0,2070.0,2080.0,2000.0,31100,TUGU,2020-12-11,1846.55,,1567.8333333333333,1797.0,1883.3722801041224
72415,2070.0,2050.0,2070.0,1995.0,176500,TUGU,2020-12-14,1840.55,,1592.5,1837.0,1920.4006623032062
110300,2050.0,1990.0,2050.0,1985.0,69200,TUGU,2020-12-15,1833.95,,1614.6666666666667,1871.5,1935.8671817913826
127586,2030.0,1995.0,2050.0,1995.0,80300,TUGU,2020-12-16,1826.8,,1637.8333333333333,1909.0,1949.0078080599642
63338,2040.0,1900.0,2040.0,1900.0,213200,TUGU,2020-12-17,1819.0,,1656.1666666666667,1930.0,1938.1171840466388
