,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124312,1370.0,1420.0,1420.0,1365.0,267900,TURI,2020-07-01,,,,,
131733,1380.0,1440.0,1500.0,1380.0,538300,TURI,2020-07-02,,,,,
105407,1420.0,1480.0,1500.0,1420.0,33500,TURI,2020-07-03,,,,,
87266,1450.0,1460.0,1460.0,1450.0,71000,TURI,2020-07-06,,,,,
34498,1400.0,1450.0,1450.0,1395.0,60300,TURI,2020-07-07,,,,,
49343,1430.0,1430.0,1430.0,1350.0,131500,TURI,2020-07-08,,,,,
117738,1420.0,1400.0,1425.0,1350.0,176600,TURI,2020-07-09,,,,,
23793,1400.0,1400.0,1400.0,1400.0,50000,TURI,2020-07-10,,,,,1435.0
15557,1370.0,1370.0,1370.0,1370.0,1900,TURI,2020-07-13,,,,,1420.5555555555557
32035,1390.0,1390.0,1390.0,1390.0,70000,TURI,2020-07-14,,,,1424.0,1413.7654320987656
93040,1390.0,1385.0,1390.0,1360.0,378100,TURI,2020-07-15,,,,1420.5,1407.3731138545954
22148,1370.0,1380.0,1380.0,1370.0,295300,TURI,2020-07-16,,,,1414.5,1401.2901996646854
107846,1375.0,1375.0,1375.0,1375.0,191100,TURI,2020-07-17,,,,1404.0,1395.447933072533
80682,1375.0,1370.0,1375.0,1370.0,244600,TURI,2020-07-20,,,,1395.0,1389.7928368341923
106219,1365.0,1365.0,1365.0,1365.0,114200,TURI,2020-07-21,,,,1386.5,1384.283317537705
97162,1370.0,1370.0,1370.0,1370.0,261000,TURI,2020-07-22,,,,1380.5,1381.1092469737705
8968,1370.0,1350.0,1375.0,1350.0,265200,TURI,2020-07-23,,,,1375.5,1374.1960809795992
104597,1355.0,1360.0,1370.0,1355.0,238700,TURI,2020-07-24,,,,1371.5,1371.041396317466
57593,1365.0,1365.0,1365.0,1365.0,220000,TURI,2020-07-27,,,,1371.0,1369.6988638024736
41916,1365.0,1365.0,1370.0,1365.0,164500,TURI,2020-07-28,,,,1368.5,1368.6546718463683
114450,1370.0,1370.0,1370.0,1370.0,268000,TURI,2020-07-29,,,,1367.0,1368.9536336582864
83136,1375.0,1400.0,1400.0,1375.0,297700,TURI,2020-07-30,,,,1369.0,1375.8528261786673
121036,1380.0,1360.0,1380.0,1360.0,257500,TURI,2020-08-03,,,,1367.5,1372.3299759167412
7331,1380.0,1400.0,1400.0,1375.0,250100,TURI,2020-08-04,,,,1370.5,1378.4788701574653
55949,1375.0,1375.0,1375.0,1375.0,300000,TURI,2020-08-05,,,,1371.5,1377.7057879002507
72440,1400.0,1400.0,1400.0,1400.0,156500,TURI,2020-08-06,,,,1374.5,1382.6600572557506
44388,1385.0,1385.0,1385.0,1385.0,200,TURI,2020-08-07,,,,1378.0,1383.1800445322506
102121,1395.0,1385.0,1395.0,1385.0,250000,TURI,2020-08-10,,,,1380.5,1383.5844790806393
55136,1390.0,1385.0,1390.0,1385.0,300000,TURI,2020-08-11,,,,1382.5,1383.8990392849416
123502,1400.0,1390.0,1405.0,1390.0,217700,TURI,2020-08-12,,,1392.5,1385.0,1385.2548083327324
65017,1390.0,1365.0,1390.0,1365.0,320100,TURI,2020-08-13,,,1390.6666666666667,1384.5,1380.7537398143475
90588,1360.0,1350.0,1360.0,1350.0,316000,TURI,2020-08-14,,,1387.6666666666667,1379.5,1373.919575411159
63373,1350.0,1370.0,1370.0,1325.0,211500,TURI,2020-08-18,,,1384.0,1380.5,1373.0485586531238
92229,1350.0,1350.0,1350.0,1350.0,271800,TURI,2020-08-19,,,1380.3333333333333,1375.5,1367.9266567302075
10619,1350.0,1340.0,1350.0,1340.0,375000,TURI,2020-08-24,,,1376.6666666666667,1372.0,1361.7207330123836
132548,1340.0,1355.0,1355.0,1340.0,200100,TURI,2020-08-25,,,1374.1666666666667,1367.5,1360.2272367874095
107035,1340.0,1340.0,1340.0,1340.0,270000,TURI,2020-08-26,,,1372.1666666666667,1363.0,1355.7322952790962
4040,1340.0,1340.0,1340.0,1340.0,158500,TURI,2020-08-27,,,1370.1666666666667,1358.5,1352.2362296615192
81498,1340.0,1335.0,1340.0,1335.0,100500,TURI,2020-08-28,,,1369.0,1353.5,1348.405956403404
27920,1340.0,1340.0,1340.0,1340.0,100000,TURI,2020-08-31,,,1367.3333333333333,1348.5,1346.5379660915364
35315,1340.0,1340.0,1340.0,1340.0,0,TURI,2020-09-01,,,1365.8333333333333,1346.0,1345.0850847378617
39453,1335.0,1335.0,1340.0,1335.0,120400,TURI,2020-09-02,,,1364.3333333333333,1344.5,1342.8439547961148
70790,1330.0,1320.0,1330.0,1320.0,9200,TURI,2020-09-03,,,1362.5,1339.5,1337.7675203969782
13096,1345.0,1300.0,1345.0,1300.0,127100,TURI,2020-09-04,,,1360.1666666666667,1334.5,1329.3747380865386
27103,1310.0,1330.0,1330.0,1310.0,107000,TURI,2020-09-07,,,1359.0,1333.5,1329.5136851784189
111152,1300.0,1300.0,1300.0,1290.0,115000,TURI,2020-09-08,,,1356.6666666666667,1328.0,1322.9550884721036
125133,1305.0,1305.0,1305.0,1305.0,98000,TURI,2020-09-09,,,1355.1666666666667,1324.5,1318.9650688116362
8155,1300.0,1250.0,1300.0,1215.0,168500,TURI,2020-09-10,,,1351.5,1315.5,1303.6394979646059
18032,1250.0,1350.0,1350.0,1250.0,28800,TURI,2020-09-11,,,1351.0,1317.0,1313.941831750249
45214,1320.0,1290.0,1320.0,1290.0,112100,TURI,2020-09-14,,,1348.5,1312.0,1308.621424694638
68323,1290.0,1290.0,1290.0,1290.0,100000,TURI,2020-09-15,,,1345.8333333333333,1307.0,1304.483330318052
1569,1290.0,1290.0,1290.0,1290.0,100000,TURI,2020-09-16,,,1342.1666666666667,1302.5,1301.2648124695959
58421,1280.0,1305.0,1305.0,1280.0,103700,TURI,2020-09-17,,,1340.3333333333333,1301.0,1302.0948541430191
64201,1305.0,1350.0,1350.0,1305.0,107000,TURI,2020-09-18,,,1338.6666666666667,1306.0,1312.7404421112371
74093,1330.0,1350.0,1350.0,1300.0,85200,TURI,2020-09-21,,,1337.8333333333333,1308.0,1321.0203438642955
102949,1350.0,1350.0,1350.0,1350.0,100,TURI,2020-09-22,,,1336.1666666666667,1313.0,1327.4602674500077
79045,1350.0,1305.0,1350.0,1305.0,900,TURI,2020-09-23,,,1333.5,1313.0,1322.4690969055616
67495,1305.0,1305.0,1305.0,1305.0,0,TURI,2020-09-24,,,1330.8333333333333,1318.5,1318.5870753709924
99650,1350.0,1350.0,1350.0,1350.0,152500,TURI,2020-09-25,,,1329.6666666666667,1318.5,1325.5677252885496
61732,1350.0,1305.0,1350.0,1280.0,141600,TURI,2020-09-28,,,1326.8333333333333,1320.0,1320.9971196688718
