,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121811,1390.0,1475.0,1480.0,1390.0,1272400,UCID,2020-07-01,,,,,
129232,1485.0,1460.0,1490.0,1435.0,984900,UCID,2020-07-02,,,,,
102906,1460.0,1450.0,1475.0,1440.0,462600,UCID,2020-07-03,,,,,
85600,1455.0,1450.0,1460.0,1430.0,302700,UCID,2020-07-06,,,,,
34500,1450.0,1450.0,1460.0,1420.0,190400,UCID,2020-07-07,,,,,
48511,1450.0,1450.0,1460.0,1420.0,153600,UCID,2020-07-08,,,,,
115238,1450.0,1450.0,1455.0,1430.0,275400,UCID,2020-07-09,,,,,
23795,1445.0,1450.0,1450.0,1440.0,318300,UCID,2020-07-10,,,,,1454.375
15559,1450.0,1450.0,1475.0,1430.0,666300,UCID,2020-07-13,,,,,1453.4027777777778
32037,1455.0,1505.0,1550.0,1455.0,680400,UCID,2020-07-14,,,,1459.0,1464.8688271604938
90540,1505.0,1505.0,1510.0,1470.0,532900,UCID,2020-07-15,,,,1462.0,1473.786865569273
22150,1505.0,1505.0,1545.0,1480.0,220400,UCID,2020-07-16,,,,1466.5,1480.72311766499
105346,1510.0,1505.0,1520.0,1475.0,67400,UCID,2020-07-17,,,,1472.0,1486.1179804061032
79016,1505.0,1500.0,1520.0,1485.0,2822100,UCID,2020-07-20,,,,1477.0,1489.2028736491914
103719,1500.0,1500.0,1505.0,1490.0,3391600,UCID,2020-07-21,,,,1482.0,1491.6022350604821
94662,1505.0,1500.0,1540.0,1500.0,4909000,UCID,2020-07-22,,,,1487.0,1493.4684050470416
8970,1500.0,1500.0,1525.0,1500.0,1325300,UCID,2020-07-23,,,,1492.0,1494.9198705921435
102097,1500.0,1505.0,1535.0,1495.0,2708500,UCID,2020-07-24,,,,1497.5,1497.159899349445
55927,1505.0,1525.0,1540.0,1500.0,378400,UCID,2020-07-27,,,,1505.0,1503.3465883829017
41918,1530.0,1535.0,1545.0,1530.0,212600,UCID,2020-07-28,,,,1508.0,1510.380679853368
111950,1535.0,1540.0,1540.0,1535.0,217500,UCID,2020-07-29,,,,1511.5,1516.962750997064
81470,1540.0,1540.0,1545.0,1530.0,3473200,UCID,2020-07-30,,,,1515.0,1522.082139664383
118536,1550.0,1500.0,1580.0,1435.0,671000,UCID,2020-08-03,,,,1514.5,1517.1749975167425
7333,1500.0,1480.0,1530.0,1470.0,52700,UCID,2020-08-04,,,,1512.5,1508.9138869574663
54283,1500.0,1475.0,1500.0,1460.0,266200,UCID,2020-08-05,,,,1510.0,1501.377467633585
70774,1485.0,1490.0,1490.0,1410.0,240500,UCID,2020-08-06,,,,1509.0,1498.8491414927882
44390,1495.0,1470.0,1495.0,1450.0,266000,UCID,2020-08-07,,,,1506.0,1492.4382211610575
99621,1450.0,1455.0,1465.0,1450.0,58200,UCID,2020-08-10,,,,1501.0,1484.1186164586004
53470,1455.0,1465.0,1475.0,1430.0,51800,UCID,2020-08-11,,,,1495.0,1479.870035023356
121002,1465.0,1455.0,1470.0,1450.0,132700,UCID,2020-08-12,,,1484.6666666666667,1487.0,1474.3433605737214
63351,1470.0,1475.0,1490.0,1460.0,108400,UCID,2020-08-13,,,1484.6666666666667,1480.5,1474.4892804462277
88088,1500.0,1490.0,1500.0,1470.0,112000,UCID,2020-08-14,,,1485.6666666666667,1475.5,1477.9361070137327
