,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
758,29.0,31.0,35.0,27.0,1200300,URBN-W,2021-04-01,,,,,
1598,33.0,29.0,34.0,27.0,1279500,URBN-W,2021-04-05,,,,,
2438,29.0,28.0,29.0,27.0,640400,URBN-W,2021-04-06,,,,,
3280,28.0,26.0,29.0,24.0,1096700,URBN-W,2021-04-07,,,,,
4122,25.0,27.0,29.0,25.0,1010600,URBN-W,2021-04-08,,,,,
4965,27.0,28.0,28.0,25.0,754900,URBN-W,2021-04-09,,,,,
5809,28.0,27.0,28.0,26.0,179900,URBN-W,2021-04-12,,,,,
6653,26.0,27.0,27.0,25.0,426700,URBN-W,2021-04-13,,,,,27.875
7498,26.0,26.0,27.0,25.0,328900,URBN-W,2021-04-14,,,,,27.458333333333332
8343,26.0,24.0,27.0,22.0,1577100,URBN-W,2021-04-15,,,,27.3,26.689814814814813
9187,24.0,25.0,25.0,23.0,334500,URBN-W,2021-04-16,,,,26.7,26.314300411522634
10031,24.0,24.0,25.0,22.0,615400,URBN-W,2021-04-19,,,,26.2,25.80001143118427
10875,24.0,24.0,24.0,22.0,616300,URBN-W,2021-04-20,,,,25.8,25.4000088909211
11719,24.0,25.0,26.0,24.0,604200,URBN-W,2021-04-21,,,,25.7,25.311118026271966
12563,25.0,24.0,25.0,23.0,189600,URBN-W,2021-04-22,,,,25.4,25.019758464878198
13407,25.0,24.0,26.0,23.0,423300,URBN-W,2021-04-23,,,,25.0,24.793145472683044
14250,23.0,22.0,23.0,20.0,1693400,URBN-W,2021-04-26,,,,24.5,24.17244647875348
15093,23.0,23.0,23.0,21.0,219000,URBN-W,2021-04-27,,,,24.1,23.91190281680826
15937,23.0,21.0,23.0,21.0,223200,URBN-W,2021-04-28,,,,23.6,23.264813301961983
16781,22.0,23.0,23.0,22.0,269100,URBN-W,2021-04-29,,,,23.5,23.205965901525985
17625,22.0,23.0,23.0,22.0,126500,URBN-W,2021-04-30,,,,23.3,23.16019570118688
18468,23.0,34.0,35.0,23.0,17941600,URBN-W,2021-05-03,,,,24.3,25.56904110092313
19311,34.0,30.0,39.0,30.0,12395700,URBN-W,2021-05-04,,,,24.9,26.553698634051322
20155,31.0,34.0,35.0,28.0,10554900,URBN-W,2021-05-05,,,,25.8,28.208432270928807
20999,34.0,33.0,35.0,30.0,3600700,URBN-W,2021-05-06,,,,26.7,29.273225099611295
21843,33.0,32.0,35.0,31.0,2188600,URBN-W,2021-05-07,,,,27.5,29.879175077475452
22686,33.0,30.0,33.0,30.0,1623500,URBN-W,2021-05-10,,,,28.3,29.906025060258685
23529,31.0,33.0,34.0,31.0,4317000,URBN-W,2021-05-11,,,,29.3,30.593575046867866
24370,33.0,33.0,35.0,31.0,1226700,URBN-W,2021-05-17,,,,30.5,31.128336147563896
25210,31.0,29.0,32.0,29.0,1654700,URBN-W,2021-05-18,,,27.3,31.1,30.655372559216364
