,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126824,115.0,87.0,115.0,85.0,301000,VICO,2020-07-01,,,,,
134245,91.0,82.0,91.0,82.0,52700,VICO,2020-07-02,,,,,
107919,77.0,84.0,87.0,77.0,39000,VICO,2020-07-03,,,,,
89779,88.0,82.0,88.0,82.0,146700,VICO,2020-07-06,,,,,
34509,88.0,84.0,88.0,80.0,42900,VICO,2020-07-07,,,,,
51856,84.0,79.0,86.0,79.0,228700,VICO,2020-07-08,,,,,
120251,81.0,80.0,87.0,79.0,18800,VICO,2020-07-09,,,,,
23804,84.0,79.0,84.0,76.0,35500,VICO,2020-07-10,,,,,82.125
15568,82.0,75.0,82.0,75.0,173000,VICO,2020-07-13,,,,,80.54166666666667
32046,70.0,73.0,80.0,70.0,50700,VICO,2020-07-14,,,,80.5,78.86574074074075
95553,82.0,78.0,83.0,75.0,11300,VICO,2020-07-15,,,,79.6,78.67335390946502
22159,78.0,78.0,80.0,77.0,61500,VICO,2020-07-16,,,,79.2,78.52371970736168
110359,78.0,79.0,80.0,75.0,5000,VICO,2020-07-17,,,,78.7,78.62955977239241
83195,80.0,79.0,80.0,74.0,1000,VICO,2020-07-20,,,,78.4,78.71187982297188
108732,79.0,78.0,79.0,75.0,800,VICO,2020-07-21,,,,77.8,78.55368430675591
99675,78.0,76.0,78.0,74.0,13700,VICO,2020-07-22,,,,77.5,77.9861989052546
8979,75.0,75.0,75.0,71.0,156900,VICO,2020-07-23,,,,77.0,77.32259914853135
107110,76.0,76.0,78.0,76.0,600,VICO,2020-07-24,,,,76.7,77.0286882266355
60106,76.0,74.0,76.0,73.0,42400,VICO,2020-07-27,,,,76.6,76.35564639849427
43595,76.0,75.0,76.0,75.0,11200,VICO,2020-07-28,,,,76.8,76.05439164327332
116963,76.0,71.0,76.0,70.0,174600,VICO,2020-07-29,,,,76.1,74.93119350032369
85649,74.0,73.0,74.0,69.0,149800,VICO,2020-07-30,,,,75.6,74.50203938914065
123549,73.0,72.0,73.0,72.0,1200,VICO,2020-08-03,,,,74.9,73.94603063599828
7342,72.0,71.0,72.0,69.0,400,VICO,2020-08-04,,,,74.1,73.291357161332
58462,70.0,78.0,78.0,67.0,175300,VICO,2020-08-05,,,,74.1,74.33772223659156
74953,77.0,73.0,77.0,73.0,14300,VICO,2020-08-06,,,,73.8,74.0404506284601
46901,73.0,72.0,73.0,68.0,200600,VICO,2020-08-07,,,,73.5,73.58701715546897
104634,72.0,72.0,80.0,67.0,115900,VICO,2020-08-10,,,,73.1,73.23434667647587
57649,75.0,74.0,75.0,67.0,42300,VICO,2020-08-11,,,,73.1,73.40449185948123
126015,73.0,72.0,73.0,72.0,4500,VICO,2020-08-12,,,76.7,72.8,73.0923825573743
67530,75.0,73.0,75.0,73.0,9800,VICO,2020-08-13,,,76.23333333333333,73.0,73.07185310018001
93101,69.0,76.0,86.0,68.0,62200,VICO,2020-08-14,,,76.03333333333333,73.3,73.72255241125112
65886,81.0,80.0,81.0,71.0,12900,VICO,2020-08-18,,,75.9,74.1,75.11754076430643
94742,79.0,79.0,79.0,79.0,33400,VICO,2020-08-19,,,75.8,74.9,75.98030948334944
10630,79.0,76.0,79.0,75.0,105500,VICO,2020-08-24,,,75.53333333333333,74.7,75.98468515371623
135061,73.0,85.0,85.0,71.0,100600,VICO,2020-08-25,,,75.73333333333333,75.9,77.9880884528904
109548,85.0,82.0,87.0,82.0,3700,VICO,2020-08-26,,,75.8,76.9,78.87962435224809
4051,82.0,85.0,86.0,79.0,3400,VICO,2020-08-27,,,76.0,78.2,80.2397078295263
84011,83.0,80.0,83.0,80.0,3300,VICO,2020-08-28,,,76.16666666666667,78.8,80.1864394229649
27931,84.0,85.0,87.0,80.0,51200,VICO,2020-08-31,,,76.56666666666666,80.1,81.25611955119491
35326,85.0,85.0,85.0,80.0,38900,VICO,2020-09-01,,,76.8,81.3,82.08809298426272
