,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
762,50.0,52.0,53.0,50.0,55448700,VIVA,2021-04-01,,,,,
1602,53.0,70.0,70.0,52.0,855200600,VIVA,2021-04-05,,,,,
2442,78.0,66.0,78.0,66.0,126135000,VIVA,2021-04-06,,,,,
3284,62.0,66.0,78.0,62.0,1038643400,VIVA,2021-04-07,,,,,
4126,68.0,67.0,73.0,63.0,177817500,VIVA,2021-04-08,,,,,
4969,67.0,69.0,73.0,67.0,182869200,VIVA,2021-04-09,,,,,
5813,70.0,67.0,73.0,66.0,218989300,VIVA,2021-04-12,,,,,
6657,67.0,65.0,68.0,63.0,40729300,VIVA,2021-04-13,,,,,65.25
7502,65.0,72.0,74.0,65.0,454051200,VIVA,2021-04-14,,,,,66.75
8347,72.0,71.0,76.0,69.0,280470100,VIVA,2021-04-15,,,,66.5,67.69444444444444
9191,72.0,70.0,72.0,68.0,90939800,VIVA,2021-04-16,,,,68.3,68.20679012345678
10035,70.0,69.0,71.0,68.0,35211900,VIVA,2021-04-19,,,,68.2,68.38305898491083
10879,69.0,68.0,70.0,66.0,66002700,VIVA,2021-04-20,,,,68.4,68.29793476604176
11723,68.0,72.0,76.0,67.0,287914800,VIVA,2021-04-21,,,,69.0,69.1206159291436
12567,72.0,67.0,74.0,67.0,157418800,VIVA,2021-04-22,,,,69.0,68.64936794488946
13411,63.0,64.0,67.0,63.0,79995400,VIVA,2021-04-23,,,,68.5,67.61617506824736
14254,64.0,62.0,66.0,62.0,97018400,VIVA,2021-04-26,,,,68.0,66.36813616419239
15097,62.0,59.0,64.0,58.0,86341600,VIVA,2021-04-27,,,,67.4,64.73077257214963
15941,60.0,60.0,62.0,57.0,65073800,VIVA,2021-04-28,,,,66.2,63.679489778338606
16785,60.0,60.0,61.0,58.0,32533200,VIVA,2021-04-29,,,,65.1,62.86182538315225
17629,61.0,60.0,64.0,59.0,66241500,VIVA,2021-04-30,,,,64.1,62.225864186896196
18472,60.0,60.0,61.0,58.0,40467600,VIVA,2021-05-03,,,,63.2,61.73122770091926
19315,60.0,60.0,61.0,58.0,44463100,VIVA,2021-05-04,,,,62.4,61.34651043404831
20159,60.0,61.0,64.0,60.0,64389200,VIVA,2021-05-05,,,,61.3,61.26950811537091
21003,63.0,61.0,63.0,60.0,19828700,VIVA,2021-05-06,,,,60.7,61.20961742306626
21847,61.0,61.0,63.0,61.0,30867000,VIVA,2021-05-07,,,,60.4,61.163035773495984
22690,61.0,62.0,65.0,61.0,50796900,VIVA,2021-05-10,,,,60.4,61.34902782383021
23533,62.0,61.0,63.0,61.0,15758200,VIVA,2021-05-11,,,,60.6,61.271466085201276
24374,61.0,58.0,62.0,57.0,37932200,VIVA,2021-05-17,,,,60.4,60.544473621823215
25214,58.0,56.0,58.0,55.0,30559400,VIVA,2021-05-18,,,63.86666666666667,60.0,59.53459059475139
26054,55.0,56.0,57.0,55.0,55965200,VIVA,2021-05-19,,,64.0,59.6,58.749126018139975
26983,56.0,58.0,60.0,55.0,39069200,VIVA,2021-05-20,,,63.6,59.4,58.58265356966442
27778,58.0,57.0,59.0,57.0,58944500,VIVA,2021-05-21,,,63.3,59.1,58.230952776405665
28620,57.0,54.0,58.0,54.0,43787200,VIVA,2021-05-24,,,62.9,58.4,57.29074104831552
29460,54.0,55.0,55.0,52.0,22053000,VIVA,2021-05-25,,,62.5,57.8,56.78168748202318
30253,55.0,54.0,57.0,54.0,23853700,VIVA,2021-05-27,,,62.0,57.1,56.16353470824025
31095,54.0,55.0,57.0,54.0,25188600,VIVA,2021-05-28,,,61.6,56.4,55.90497143974242
31937,55.0,55.0,56.0,54.0,16264400,VIVA,2021-05-31,,,61.266666666666666,55.8,55.703866675355215
32779,55.0,58.0,62.0,55.0,136232600,VIVA,2021-06-02,,,60.8,55.8,56.21411852527628
33620,59.0,58.0,61.0,56.0,89114000,VIVA,2021-06-03,,,60.36666666666667,56.0,56.61098107521488
34461,58.0,56.0,60.0,56.0,47406500,VIVA,2021-06-04,,,59.9,56.0,56.475207502944905
35302,57.0,57.0,60.0,56.0,45739200,VIVA,2021-06-07,,,59.5,55.9,56.59182805784604
36145,57.0,63.0,76.0,56.0,1129365100,VIVA,2021-06-08,,,59.333333333333336,56.5,58.01586626721358
36988,64.0,59.0,64.0,59.0,164449300,VIVA,2021-06-09,,,58.9,57.0,58.23456265227723
37835,59.0,61.0,67.0,58.0,187060700,VIVA,2021-06-10,,,58.7,57.6,58.84910428510452
38682,62.0,64.0,68.0,60.0,236641000,VIVA,2021-06-11,,,58.7,58.6,59.99374777730351
39529,64.0,61.0,65.0,61.0,61049000,VIVA,2021-06-14,,,58.666666666666664,59.2,60.217359382347176
40376,62.0,64.0,65.0,60.0,77506200,VIVA,2021-06-15,,,58.833333333333336,60.1,61.05794618627002
41223,64.0,60.0,65.0,60.0,58444600,VIVA,2021-06-16,,,58.833333333333336,60.3,60.822847033765576
42070,60.0,61.0,63.0,58.0,74178000,VIVA,2021-06-17,,,58.86666666666667,60.6,60.86221435959545
42917,63.0,59.0,63.0,58.0,56564000,VIVA,2021-06-18,,,58.833333333333336,60.9,60.44838894635202
43764,58.0,63.0,63.0,56.0,121293600,VIVA,2021-06-21,,,58.93333333333333,61.5,61.01541362494046
44611,63.0,60.0,65.0,59.0,145199000,VIVA,2021-06-22,,,58.93333333333333,61.2,60.78976615273147
45458,60.0,60.0,63.0,58.0,95046600,VIVA,2021-06-23,,,58.9,61.3,60.614262563235584
46305,63.0,61.0,63.0,60.0,93253500,VIVA,2021-06-24,,,58.9,61.3,60.699981993627674
47152,62.0,62.0,65.0,60.0,132389100,VIVA,2021-06-25,,,58.93333333333333,61.1,60.98887488393264
48000,62.0,61.0,64.0,60.0,67288500,VIVA,2021-06-28,,,58.9,61.1,60.991347131947606
48841,61.0,62.0,63.0,60.0,55293700,VIVA,2021-06-29,,,58.93333333333333,60.9,61.21549221373703
49643,62.0,61.0,62.0,60.0,28893300,VIVA,2021-06-30,,,59.03333333333333,61.0,61.1676050551288
50494,61.0,60.0,62.0,59.0,34592100,VIVA,2021-07-01,,,59.166666666666664,60.9,60.90813726510018
51345,60.0,59.0,61.0,59.0,20944300,VIVA,2021-07-02,,,59.266666666666666,60.9,60.484106761744584
